Year,UNIT_MEASURE,Quarter,Sex,AGE,Value
2022,%,Q4,_T,15 - 64,16.6
2022,%,Q4,_T,20 - 64,16.3
2022,%,Q4,_T,25 - 34,21
2022,%,Q4,_T,15 - 74,16.5
2022,%,Q4,M,15 - 89,13.5
2022,%,Q4,M,15 - 24,32.5
2022,%,Q4,M,25 - 49,12.6
2022,%,Q4,M,50 - 64,9.7
2022,%,Q4,M,15 - 64,13.6
2022,%,Q4,M,20 - 64,13.1
2022,%,Q4,M,25 - 34,18.2
2022,%,Q4,M,15 - 74,13.5
2022,%,Q4,F,15 - 89,21.5
2022,%,Q4,F,15 - 24,44
2022,%,Q4,F,25 - 49,20.5
2022,%,Q4,F,50 - 64,16.9
2022,%,Q4,F,15 - 64,21.6
2022,%,Q4,F,20 - 64,21.6
2022,%,Q4,F,25 - 34,25.2
2022,%,Q4,F,15 - 74,21.5
