Year,UNIT_MEASURE,Sex,Admin Area,Vital statistics,Value
2013,Number,M,canton_10,Live births,222.0
2013,Number,F,federation_of_bih,Live births,9725.0
2013,Number,F,una-sana_canton,Live births,1066.0
2013,Number,F,posavina_canton,Live births,82.0
2013,Number,F,tuzla_canton,Live births,2080.0
2013,Number,F,zenica-doboj_canton,Live births,1617.0
2013,Number,F,bosnian-podrinje_canton,Live births,104.0
2013,Number,F,central_bosnia_canton,Live births,1058.0
2013,Number,F,herzegovina-neretva_canton,Live births,892.0
2013,Number,F,west_herzegovina_canton,Live births,374.0
2013,Number,F,sarajevo_canton,Live births,2245.0
2013,Number,F,canton_10,Live births,207.0
2014,Number,Both sexes,federation_of_bih,Live births,19823.0
2014,Number,Both sexes,una-sana_canton,Live births,2154.0
2014,Number,Both sexes,posavina_canton,Live births,212.0
2014,Number,Both sexes,tuzla_canton,Live births,4069.0
2014,Number,Both sexes,zenica-doboj_canton,Live births,3391.0
2014,Number,Both sexes,bosnian-podrinje_canton,Live births,268.0
2014,Number,Both sexes,central_bosnia_canton,Live births,2090.0
2014,Number,Both sexes,herzegovina-neretva_canton,Live births,1824.0
2014,Number,Both sexes,west_herzegovina_canton,Live births,816.0
2014,Number,Both sexes,sarajevo_canton,Live births,4566.0
2014,Number,Both sexes,canton_10,Live births,433.0
2014,Number,M,federation_of_bih,Live births,10156.0
2014,Number,M,una-sana_canton,Live births,1112.0
2014,Number,M,posavina_canton,Live births,107.0
2014,Number,M,tuzla_canton,Live births,2091.0
2014,Number,M,zenica-doboj_canton,Live births,1724.0
2014,Number,M,bosnian-podrinje_canton,Live births,134.0
2014,Number,M,central_bosnia_canton,Live births,1088.0
2014,Number,M,herzegovina-neretva_canton,Live births,921.0
2014,Number,M,west_herzegovina_canton,Live births,403.0
2014,Number,M,sarajevo_canton,Live births,2355.0
2014,Number,M,canton_10,Live births,221.0
2014,Number,F,federation_of_bih,Live births,9667.0
2014,Number,F,una-sana_canton,Live births,1042.0
2014,Number,F,posavina_canton,Live births,105.0
2014,Number,F,tuzla_canton,Live births,1978.0
2014,Number,F,zenica-doboj_canton,Live births,1667.0
2014,Number,F,bosnian-podrinje_canton,Live births,134.0
2014,Number,F,central_bosnia_canton,Live births,1002.0
2014,Number,F,herzegovina-neretva_canton,Live births,903.0
2014,Number,F,west_herzegovina_canton,Live births,413.0
2014,Number,F,sarajevo_canton,Live births,2211.0
2014,Number,F,canton_10,Live births,212.0
2015,Number,Both sexes,federation_of_bih,Live births,19317.0
2015,Number,Both sexes,una-sana_canton,Live births,2096.0
2015,Number,Both sexes,posavina_canton,Live births,193.0
2015,Number,Both sexes,tuzla_canton,Live births,3888.0
2015,Number,Both sexes,zenica-doboj_canton,Live births,3438.0
2015,Number,Both sexes,bosnian-podrinje_canton,Live births,214.0
2015,Number,Both sexes,central_bosnia_canton,Live births,1965.0
2015,Number,Both sexes,herzegovina-neretva_canton,Live births,1762.0
2015,Number,Both sexes,west_herzegovina_canton,Live births,734.0
2015,Number,Both sexes,sarajevo_canton,Live births,4619.0
2015,Number,Both sexes,canton_10,Live births,408.0
2015,Number,M,federation_of_bih,Live births,9868.0
2015,Number,M,una-sana_canton,Live births,1098.0
2015,Number,M,posavina_canton,Live births,108.0
2015,Number,M,tuzla_canton,Live births,1919.0
2015,Number,M,zenica-doboj_canton,Live births,1782.0
2015,Number,M,bosnian-podrinje_canton,Live births,114.0
2015,Number,M,central_bosnia_canton,Live births,1047.0
2015,Number,M,herzegovina-neretva_canton,Live births,913.0
2015,Number,M,west_herzegovina_canton,Live births,390.0
2015,Number,M,sarajevo_canton,Live births,2304.0
2015,Number,M,canton_10,Live births,193.0
2015,Number,F,federation_of_bih,Live births,9449.0
2015,Number,F,una-sana_canton,Live births,998.0
2015,Number,F,posavina_canton,Live births,85.0
2015,Number,F,tuzla_canton,Live births,1969.0
2015,Number,F,zenica-doboj_canton,Live births,1656.0
2015,Number,F,bosnian-podrinje_canton,Live births,100.0
2015,Number,F,central_bosnia_canton,Live births,918.0
2015,Number,F,herzegovina-neretva_canton,Live births,849.0
2015,Number,F,west_herzegovina_canton,Live births,344.0
2015,Number,F,sarajevo_canton,Live births,2315.0
2015,Number,F,canton_10,Live births,215.0
2016,Number,Both sexes,federation_of_bih,Live births,19655.0
2016,Number,Both sexes,una-sana_canton,Live births,2105.0
2016,Number,Both sexes,posavina_canton,Live births,144.0
2016,Number,Both sexes,tuzla_canton,Live births,3903.0
2016,Number,Both sexes,zenica-doboj_canton,Live births,3452.0
2016,Number,Both sexes,bosnian-podrinje_canton,Live births,234.0
2016,Number,Both sexes,central_bosnia_canton,Live births,2135.0
2016,Number,Both sexes,herzegovina-neretva_canton,Live births,1833.0
2016,Number,Both sexes,west_herzegovina_canton,Live births,709.0
2016,Number,Both sexes,sarajevo_canton,Live births,4774.0
2016,Number,Both sexes,canton_10,Live births,366.0
2016,Number,M,federation_of_bih,Live births,10214.0
2016,Number,M,una-sana_canton,Live births,1090.0
2016,Number,M,posavina_canton,Live births,75.0
2016,Number,M,tuzla_canton,Live births,1995.0
2016,Number,M,zenica-doboj_canton,Live births,1816.0
2016,Number,M,bosnian-podrinje_canton,Live births,131.0
2016,Number,M,central_bosnia_canton,Live births,1106.0
2016,Number,M,herzegovina-neretva_canton,Live births,915.0
2016,Number,M,west_herzegovina_canton,Live births,371.0
2016,Number,M,sarajevo_canton,Live births,2516.0
2016,Number,M,canton_10,Live births,199.0
2016,Number,F,federation_of_bih,Live births,9441.0
2016,Number,F,una-sana_canton,Live births,1015.0
2016,Number,F,posavina_canton,Live births,69.0
2016,Number,F,tuzla_canton,Live births,1908.0
2016,Number,F,zenica-doboj_canton,Live births,1636.0
2016,Number,F,bosnian-podrinje_canton,Live births,103.0
2016,Number,F,central_bosnia_canton,Live births,1029.0
2016,Number,F,herzegovina-neretva_canton,Live births,918.0
2016,Number,F,west_herzegovina_canton,Live births,338.0
2016,Number,F,sarajevo_canton,Live births,2258.0
2016,Number,F,canton_10,Live births,167.0
2017,Number,Both sexes,federation_of_bih,Live births,19824.0
2017,Number,Both sexes,una-sana_canton,Live births,2057.0
2017,Number,Both sexes,posavina_canton,Live births,154.0
2017,Number,Both sexes,tuzla_canton,Live births,3966.0
2017,Number,Both sexes,zenica-doboj_canton,Live births,3585.0
2017,Number,Both sexes,bosnian-podrinje_canton,Live births,241.0
2017,Number,Both sexes,central_bosnia_canton,Live births,2167.0
2017,Number,Both sexes,herzegovina-neretva_canton,Live births,1712.0
2017,Number,Both sexes,west_herzegovina_canton,Live births,709.0
2017,Number,Both sexes,sarajevo_canton,Live births,4856.0
2017,Number,Both sexes,canton_10,Live births,377.0
2017,Number,M,federation_of_bih,Live births,10247.0
2017,Number,M,una-sana_canton,Live births,1051.0
2017,Number,M,posavina_canton,Live births,75.0
2017,Number,M,tuzla_canton,Live births,2036.0
2017,Number,M,zenica-doboj_canton,Live births,1827.0
2017,Number,M,bosnian-podrinje_canton,Live births,133.0
2017,Number,M,central_bosnia_canton,Live births,1189.0
2017,Number,M,herzegovina-neretva_canton,Live births,919.0
2017,Number,M,west_herzegovina_canton,Live births,364.0
2017,Number,M,sarajevo_canton,Live births,2459.0
2017,Number,M,canton_10,Live births,194.0
2017,Number,F,federation_of_bih,Live births,9577.0
2017,Number,F,una-sana_canton,Live births,1006.0
2017,Number,F,posavina_canton,Live births,79.0
2017,Number,F,tuzla_canton,Live births,1930.0
2017,Number,F,zenica-doboj_canton,Live births,1758.0
2017,Number,F,bosnian-podrinje_canton,Live births,108.0
2017,Number,F,central_bosnia_canton,Live births,978.0
2017,Number,F,herzegovina-neretva_canton,Live births,793.0
2017,Number,F,west_herzegovina_canton,Live births,345.0
2017,Number,F,sarajevo_canton,Live births,2397.0
2017,Number,F,canton_10,Live births,183.0
2018,Number,Both sexes,federation_of_bih,Live births,18899.0
2018,Number,Both sexes,una-sana_canton,Live births,1804.0
2018,Number,Both sexes,posavina_canton,Live births,151.0
2018,Number,Both sexes,tuzla_canton,Live births,3723.0
2018,Number,Both sexes,zenica-doboj_canton,Live births,3488.0
2018,Number,Both sexes,bosnian-podrinje_canton,Live births,240.0
2018,Number,Both sexes,central_bosnia_canton,Live births,2040.0
2018,Number,Both sexes,herzegovina-neretva_canton,Live births,1790.0
2018,Number,Both sexes,west_herzegovina_canton,Live births,760.0
2018,Number,Both sexes,sarajevo_canton,Live births,4530.0
2018,Number,Both sexes,canton_10,Live births,373.0
2018,Number,M,federation_of_bih,Live births,9742.0
2018,Number,M,una-sana_canton,Live births,975.0
2018,Number,M,posavina_canton,Live births,68.0
2018,Number,M,tuzla_canton,Live births,1895.0
2018,Number,M,zenica-doboj_canton,Live births,1760.0
2018,Number,M,bosnian-podrinje_canton,Live births,125.0
2018,Number,M,central_bosnia_canton,Live births,1059.0
2018,Number,M,herzegovina-neretva_canton,Live births,914.0
2018,Number,M,west_herzegovina_canton,Live births,397.0
2018,Number,M,sarajevo_canton,Live births,2340.0
2018,Number,M,canton_10,Live births,209.0
2018,Number,F,federation_of_bih,Live births,9157.0
2018,Number,F,una-sana_canton,Live births,829.0
2018,Number,F,posavina_canton,Live births,83.0
2018,Number,F,tuzla_canton,Live births,1828.0
2018,Number,F,zenica-doboj_canton,Live births,1728.0
2018,Number,F,bosnian-podrinje_canton,Live births,115.0
2018,Number,F,central_bosnia_canton,Live births,981.0
2018,Number,F,herzegovina-neretva_canton,Live births,876.0
2018,Number,F,west_herzegovina_canton,Live births,363.0
2018,Number,F,sarajevo_canton,Live births,2190.0
2018,Number,F,canton_10,Live births,164.0
2019,Number,Both sexes,federation_of_bih,Live births,18019.0
2019,Number,Both sexes,una-sana_canton,Live births,1735.0
2019,Number,Both sexes,posavina_canton,Live births,124.0
2019,Number,Both sexes,tuzla_canton,Live births,3636.0
2019,Number,Both sexes,zenica-doboj_canton,Live births,3337.0
2019,Number,Both sexes,bosnian-podrinje_canton,Live births,200.0
2019,Number,Both sexes,central_bosnia_canton,Live births,1929.0
2019,Number,Both sexes,herzegovina-neretva_canton,Live births,1632.0
2019,Number,Both sexes,west_herzegovina_canton,Live births,729.0
2019,Number,Both sexes,sarajevo_canton,Live births,4339.0
2019,Number,Both sexes,canton_10,Live births,358.0
2019,Number,M,federation_of_bih,Live births,9342.0
2019,Number,M,una-sana_canton,Live births,876.0
2019,Number,M,posavina_canton,Live births,68.0
2019,Number,M,tuzla_canton,Live births,1887.0
2019,Number,M,zenica-doboj_canton,Live births,1733.0
2019,Number,M,bosnian-podrinje_canton,Live births,100.0
2019,Number,M,central_bosnia_canton,Live births,1041.0
2019,Number,M,herzegovina-neretva_canton,Live births,823.0
2019,Number,M,west_herzegovina_canton,Live births,381.0
2019,Number,M,sarajevo_canton,Live births,2249.0
2019,Number,M,canton_10,Live births,184.0
2019,Number,F,federation_of_bih,Live births,8677.0
2019,Number,F,una-sana_canton,Live births,859.0
2019,Number,F,posavina_canton,Live births,56.0
2019,Number,F,tuzla_canton,Live births,1749.0
2019,Number,F,zenica-doboj_canton,Live births,1604.0
2019,Number,F,bosnian-podrinje_canton,Live births,100.0
2019,Number,F,central_bosnia_canton,Live births,888.0
2019,Number,F,herzegovina-neretva_canton,Live births,809.0
2019,Number,F,west_herzegovina_canton,Live births,348.0
2019,Number,F,sarajevo_canton,Live births,2090.0
2019,Number,F,canton_10,Live births,174.0
2020,Number,Both sexes,federation_of_bih,Live births,17211.0
2020,Number,Both sexes,una-sana_canton,Live births,1552.0
2020,Number,Both sexes,posavina_canton,Live births,128.0
2020,Number,Both sexes,tuzla_canton,Live births,3425.0
2020,Number,Both sexes,zenica-doboj_canton,Live births,3259.0
2020,Number,Both sexes,bosnian-podrinje_canton,Live births,173.0
2020,Number,Both sexes,central_bosnia_canton,Live births,1854.0
2020,Number,Both sexes,herzegovina-neretva_canton,Live births,1532.0
2020,Number,Both sexes,west_herzegovina_canton,Live births,756.0
2020,Number,Both sexes,sarajevo_canton,Live births,4206.0
2020,Number,Both sexes,canton_10,Live births,326.0
2020,Number,M,federation_of_bih,Live births,8901.0
2020,Number,M,una-sana_canton,Live births,808.0
2020,Number,M,posavina_canton,Live births,69.0
2020,Number,M,tuzla_canton,Live births,1775.0
2020,Number,M,zenica-doboj_canton,Live births,1683.0
2020,Number,M,bosnian-podrinje_canton,Live births,88.0
2020,Number,M,central_bosnia_canton,Live births,978.0
2020,Number,M,herzegovina-neretva_canton,Live births,805.0
2020,Number,M,west_herzegovina_canton,Live births,373.0
2020,Number,M,sarajevo_canton,Live births,2164.0
2020,Number,M,canton_10,Live births,158.0
2020,Number,F,federation_of_bih,Live births,8310.0
2020,Number,F,una-sana_canton,Live births,744.0
2020,Number,F,posavina_canton,Live births,59.0
2020,Number,F,tuzla_canton,Live births,1650.0
2020,Number,F,zenica-doboj_canton,Live births,1576.0
2020,Number,F,bosnian-podrinje_canton,Live births,85.0
2020,Number,F,central_bosnia_canton,Live births,876.0
2020,Number,F,herzegovina-neretva_canton,Live births,727.0
2020,Number,F,west_herzegovina_canton,Live births,383.0
2020,Number,F,sarajevo_canton,Live births,2042.0
2020,Number,F,canton_10,Live births,168.0
2011,Number,Both sexes,federation_of_bih,Deaths,
2011,Number,Both sexes,una-sana_canton,Deaths,
2011,Number,Both sexes,posavina_canton,Deaths,
2011,Number,Both sexes,tuzla_canton,Deaths,
2011,Number,Both sexes,zenica-doboj_canton,Deaths,
2011,Number,Both sexes,bosnian-podrinje_canton,Deaths,
2011,Number,Both sexes,central_bosnia_canton,Deaths,
2011,Number,Both sexes,herzegovina-neretva_canton,Deaths,
2011,Number,Both sexes,west_herzegovina_canton,Deaths,
2011,Number,Both sexes,sarajevo_canton,Deaths,
2011,Number,Both sexes,canton_10,Deaths,
2011,Number,M,federation_of_bih,Deaths,
2011,Number,M,una-sana_canton,Deaths,
2011,Number,M,posavina_canton,Deaths,
2011,Number,M,tuzla_canton,Deaths,
2011,Number,M,zenica-doboj_canton,Deaths,
2011,Number,M,bosnian-podrinje_canton,Deaths,
2011,Number,M,central_bosnia_canton,Deaths,
2011,Number,M,herzegovina-neretva_canton,Deaths,
2011,Number,M,west_herzegovina_canton,Deaths,
2011,Number,M,sarajevo_canton,Deaths,
2011,Number,M,canton_10,Deaths,
2011,Number,F,federation_of_bih,Deaths,
2011,Number,F,una-sana_canton,Deaths,
2011,Number,F,posavina_canton,Deaths,
2011,Number,F,tuzla_canton,Deaths,
2011,Number,F,zenica-doboj_canton,Deaths,
2011,Number,F,bosnian-podrinje_canton,Deaths,
2011,Number,F,central_bosnia_canton,Deaths,
2011,Number,F,herzegovina-neretva_canton,Deaths,
2011,Number,F,west_herzegovina_canton,Deaths,
2011,Number,F,sarajevo_canton,Deaths,
2011,Number,F,canton_10,Deaths,
2012,Number,Both sexes,federation_of_bih,Deaths,
2012,Number,Both sexes,una-sana_canton,Deaths,
2012,Number,Both sexes,posavina_canton,Deaths,
2012,Number,Both sexes,tuzla_canton,Deaths,
2012,Number,Both sexes,zenica-doboj_canton,Deaths,
2012,Number,Both sexes,bosnian-podrinje_canton,Deaths,
2012,Number,Both sexes,central_bosnia_canton,Deaths,
2012,Number,Both sexes,herzegovina-neretva_canton,Deaths,
2012,Number,Both sexes,west_herzegovina_canton,Deaths,
2012,Number,Both sexes,sarajevo_canton,Deaths,
2012,Number,Both sexes,canton_10,Deaths,
2012,Number,M,federation_of_bih,Deaths,
2012,Number,M,una-sana_canton,Deaths,
2012,Number,M,posavina_canton,Deaths,
2012,Number,M,tuzla_canton,Deaths,
2012,Number,M,zenica-doboj_canton,Deaths,
2012,Number,M,bosnian-podrinje_canton,Deaths,
2012,Number,M,central_bosnia_canton,Deaths,
2012,Number,M,herzegovina-neretva_canton,Deaths,
2012,Number,M,west_herzegovina_canton,Deaths,
2012,Number,M,sarajevo_canton,Deaths,
2012,Number,M,canton_10,Deaths,
2012,Number,F,federation_of_bih,Deaths,
2012,Number,F,una-sana_canton,Deaths,
2012,Number,F,posavina_canton,Deaths,
2012,Number,F,tuzla_canton,Deaths,
2012,Number,F,zenica-doboj_canton,Deaths,
2012,Number,F,bosnian-podrinje_canton,Deaths,
2012,Number,F,central_bosnia_canton,Deaths,
2012,Number,F,herzegovina-neretva_canton,Deaths,
2012,Number,F,west_herzegovina_canton,Deaths,
2012,Number,F,sarajevo_canton,Deaths,
2012,Number,F,canton_10,Deaths,
2013,Number,Both sexes,federation_of_bih,Deaths,
2013,Number,Both sexes,una-sana_canton,Deaths,
2013,Number,Both sexes,posavina_canton,Deaths,
2013,Number,Both sexes,tuzla_canton,Deaths,
2013,Number,Both sexes,zenica-doboj_canton,Deaths,
2013,Number,Both sexes,bosnian-podrinje_canton,Deaths,
2013,Number,Both sexes,central_bosnia_canton,Deaths,
2013,Number,Both sexes,herzegovina-neretva_canton,Deaths,
2013,Number,Both sexes,west_herzegovina_canton,Deaths,
2013,Number,Both sexes,sarajevo_canton,Deaths,
2013,Number,Both sexes,canton_10,Deaths,
2013,Number,M,federation_of_bih,Deaths,
2013,Number,M,una-sana_canton,Deaths,
2013,Number,M,posavina_canton,Deaths,
2013,Number,M,tuzla_canton,Deaths,
2013,Number,M,zenica-doboj_canton,Deaths,
2013,Number,M,bosnian-podrinje_canton,Deaths,
2013,Number,M,central_bosnia_canton,Deaths,
2013,Number,M,herzegovina-neretva_canton,Deaths,
2013,Number,M,west_herzegovina_canton,Deaths,
2013,Number,M,sarajevo_canton,Deaths,
2013,Number,M,canton_10,Deaths,
2013,Number,F,federation_of_bih,Deaths,
2013,Number,F,una-sana_canton,Deaths,
2013,Number,F,posavina_canton,Deaths,
2013,Number,F,tuzla_canton,Deaths,
2013,Number,F,zenica-doboj_canton,Deaths,
2013,Number,F,bosnian-podrinje_canton,Deaths,
2013,Number,F,central_bosnia_canton,Deaths,
2013,Number,F,herzegovina-neretva_canton,Deaths,
2013,Number,F,west_herzegovina_canton,Deaths,
2013,Number,F,sarajevo_canton,Deaths,
2013,Number,F,canton_10,Deaths,
2014,Number,Both sexes,federation_of_bih,Deaths,
2014,Number,Both sexes,una-sana_canton,Deaths,
2014,Number,Both sexes,posavina_canton,Deaths,
2014,Number,Both sexes,tuzla_canton,Deaths,
2014,Number,Both sexes,zenica-doboj_canton,Deaths,
2014,Number,Both sexes,bosnian-podrinje_canton,Deaths,
2014,Number,Both sexes,central_bosnia_canton,Deaths,
2014,Number,Both sexes,herzegovina-neretva_canton,Deaths,
2014,Number,Both sexes,west_herzegovina_canton,Deaths,
2014,Number,Both sexes,sarajevo_canton,Deaths,
2014,Number,Both sexes,canton_10,Deaths,
2014,Number,M,federation_of_bih,Deaths,
2014,Number,M,una-sana_canton,Deaths,
2014,Number,M,posavina_canton,Deaths,
2014,Number,M,tuzla_canton,Deaths,
2014,Number,M,zenica-doboj_canton,Deaths,
2014,Number,M,bosnian-podrinje_canton,Deaths,
2014,Number,M,central_bosnia_canton,Deaths,
2014,Number,M,herzegovina-neretva_canton,Deaths,
2014,Number,M,west_herzegovina_canton,Deaths,
2014,Number,M,sarajevo_canton,Deaths,
2014,Number,M,canton_10,Deaths,
2014,Number,F,federation_of_bih,Deaths,
2014,Number,F,una-sana_canton,Deaths,
2014,Number,F,posavina_canton,Deaths,
2014,Number,F,tuzla_canton,Deaths,
2014,Number,F,zenica-doboj_canton,Deaths,
2014,Number,F,bosnian-podrinje_canton,Deaths,
2014,Number,F,central_bosnia_canton,Deaths,
2014,Number,F,herzegovina-neretva_canton,Deaths,
2014,Number,F,west_herzegovina_canton,Deaths,
2014,Number,F,sarajevo_canton,Deaths,
2014,Number,F,canton_10,Deaths,
2015,Number,Both sexes,federation_of_bih,Deaths,
2015,Number,Both sexes,una-sana_canton,Deaths,
2015,Number,Both sexes,posavina_canton,Deaths,
2015,Number,Both sexes,tuzla_canton,Deaths,
2015,Number,Both sexes,zenica-doboj_canton,Deaths,
2015,Number,Both sexes,bosnian-podrinje_canton,Deaths,
2015,Number,Both sexes,central_bosnia_canton,Deaths,
2015,Number,Both sexes,herzegovina-neretva_canton,Deaths,
2015,Number,Both sexes,west_herzegovina_canton,Deaths,
2015,Number,Both sexes,sarajevo_canton,Deaths,
2015,Number,Both sexes,canton_10,Deaths,
2015,Number,M,federation_of_bih,Deaths,
2015,Number,M,una-sana_canton,Deaths,
2015,Number,M,posavina_canton,Deaths,
2015,Number,M,tuzla_canton,Deaths,
2015,Number,M,zenica-doboj_canton,Deaths,
2015,Number,M,bosnian-podrinje_canton,Deaths,
2015,Number,M,central_bosnia_canton,Deaths,
2015,Number,M,herzegovina-neretva_canton,Deaths,
2015,Number,M,west_herzegovina_canton,Deaths,
2015,Number,M,sarajevo_canton,Deaths,
2015,Number,M,canton_10,Deaths,
2015,Number,F,federation_of_bih,Deaths,
2015,Number,F,una-sana_canton,Deaths,
2015,Number,F,posavina_canton,Deaths,
2015,Number,F,tuzla_canton,Deaths,
2015,Number,F,zenica-doboj_canton,Deaths,
2015,Number,F,bosnian-podrinje_canton,Deaths,
2015,Number,F,central_bosnia_canton,Deaths,
2015,Number,F,herzegovina-neretva_canton,Deaths,
2015,Number,F,west_herzegovina_canton,Deaths,
2015,Number,F,sarajevo_canton,Deaths,
2015,Number,F,canton_10,Deaths,
2016,Number,Both sexes,federation_of_bih,Deaths,
2016,Number,Both sexes,una-sana_canton,Deaths,
2016,Number,Both sexes,posavina_canton,Deaths,
2016,Number,Both sexes,tuzla_canton,Deaths,
2016,Number,Both sexes,zenica-doboj_canton,Deaths,
2016,Number,Both sexes,bosnian-podrinje_canton,Deaths,
2016,Number,Both sexes,central_bosnia_canton,Deaths,
2016,Number,Both sexes,herzegovina-neretva_canton,Deaths,
2016,Number,Both sexes,west_herzegovina_canton,Deaths,
2016,Number,Both sexes,sarajevo_canton,Deaths,
2016,Number,Both sexes,canton_10,Deaths,
2016,Number,M,federation_of_bih,Deaths,
2016,Number,M,una-sana_canton,Deaths,
2016,Number,M,posavina_canton,Deaths,
2016,Number,M,tuzla_canton,Deaths,
2016,Number,M,zenica-doboj_canton,Deaths,
2016,Number,M,bosnian-podrinje_canton,Deaths,
2016,Number,M,central_bosnia_canton,Deaths,
2016,Number,M,herzegovina-neretva_canton,Deaths,
2016,Number,M,west_herzegovina_canton,Deaths,
2016,Number,M,sarajevo_canton,Deaths,
2016,Number,M,canton_10,Deaths,
2016,Number,F,federation_of_bih,Deaths,
2016,Number,F,una-sana_canton,Deaths,
2016,Number,F,posavina_canton,Deaths,
2016,Number,F,tuzla_canton,Deaths,
2016,Number,F,zenica-doboj_canton,Deaths,
2016,Number,F,bosnian-podrinje_canton,Deaths,
2016,Number,F,central_bosnia_canton,Deaths,
2016,Number,F,herzegovina-neretva_canton,Deaths,
2016,Number,F,west_herzegovina_canton,Deaths,
2016,Number,F,sarajevo_canton,Deaths,
2016,Number,F,canton_10,Deaths,
2017,Number,Both sexes,federation_of_bih,Deaths,
2017,Number,Both sexes,una-sana_canton,Deaths,
