Year,UNIT_MEASURE,Administrativna oblast,Naučna oblast,Value
2010,Broj,Tuzlanski kanton,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2010,Broj,Tuzlanski kanton,Zdravstvo i socijalna zaštita,
2010,Broj,Tuzlanski kanton,Usluge,
2010,Broj,Zeničko-dobojski kanton,Obrazovanje,
2010,Broj,Zeničko-dobojski kanton,Umjetnost i humanističke nauke,
2010,Broj,Zeničko-dobojski kanton,"Društvene nauke, novinarstvo i informiranje",
2010,Broj,Zeničko-dobojski kanton,"Poslovanje, administracija i pravo",
2010,Broj,Zeničko-dobojski kanton,"Prirodne nauke, matematika i statistika",
2010,Broj,Zeničko-dobojski kanton,Informacijske i komunikacijske tehnologije,
2010,Broj,Zeničko-dobojski kanton,"Inženjerstvo, proizvodnja i građevinarstvo",
2010,Broj,Zeničko-dobojski kanton,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2010,Broj,Zeničko-dobojski kanton,Zdravstvo i socijalna zaštita,
2010,Broj,Zeničko-dobojski kanton,Usluge,
2010,Broj,Bosansko-podrinjski kanton,Obrazovanje,
2010,Broj,Bosansko-podrinjski kanton,Umjetnost i humanističke nauke,
2010,Broj,Bosansko-podrinjski kanton,"Društvene nauke, novinarstvo i informiranje",
2010,Broj,Bosansko-podrinjski kanton,"Poslovanje, administracija i pravo",
2010,Broj,Bosansko-podrinjski kanton,"Prirodne nauke, matematika i statistika",
2010,Broj,Bosansko-podrinjski kanton,Informacijske i komunikacijske tehnologije,
2010,Broj,Bosansko-podrinjski kanton,"Inženjerstvo, proizvodnja i građevinarstvo",
2010,Broj,Bosansko-podrinjski kanton,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2010,Broj,Bosansko-podrinjski kanton,Zdravstvo i socijalna zaštita,
2010,Broj,Bosansko-podrinjski kanton,Usluge,
2010,Broj,Srednjobosanski kanton,Obrazovanje,
2010,Broj,Srednjobosanski kanton,Umjetnost i humanističke nauke,
2010,Broj,Srednjobosanski kanton,"Društvene nauke, novinarstvo i informiranje",
2010,Broj,Srednjobosanski kanton,"Poslovanje, administracija i pravo",
2010,Broj,Srednjobosanski kanton,"Prirodne nauke, matematika i statistika",
2010,Broj,Srednjobosanski kanton,Informacijske i komunikacijske tehnologije,
2010,Broj,Srednjobosanski kanton,"Inženjerstvo, proizvodnja i građevinarstvo",
2010,Broj,Srednjobosanski kanton,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2010,Broj,Srednjobosanski kanton,Zdravstvo i socijalna zaštita,
2010,Broj,Srednjobosanski kanton,Usluge,
2010,Broj,Hercegovačko-neretvanski kanton,Obrazovanje,
2010,Broj,Hercegovačko-neretvanski kanton,Umjetnost i humanističke nauke,
2010,Broj,Hercegovačko-neretvanski kanton,"Društvene nauke, novinarstvo i informiranje",
2010,Broj,Hercegovačko-neretvanski kanton,"Poslovanje, administracija i pravo",
2010,Broj,Hercegovačko-neretvanski kanton,"Prirodne nauke, matematika i statistika",
2010,Broj,Hercegovačko-neretvanski kanton,Informacijske i komunikacijske tehnologije,
2010,Broj,Hercegovačko-neretvanski kanton,"Inženjerstvo, proizvodnja i građevinarstvo",
2010,Broj,Hercegovačko-neretvanski kanton,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2010,Broj,Hercegovačko-neretvanski kanton,Zdravstvo i socijalna zaštita,
2010,Broj,Hercegovačko-neretvanski kanton,Usluge,
2010,Broj,Kanton Sarajevo,Obrazovanje,
2010,Broj,Kanton Sarajevo,Umjetnost i humanističke nauke,
2010,Broj,Kanton Sarajevo,"Društvene nauke, novinarstvo i informiranje",
2010,Broj,Kanton Sarajevo,"Poslovanje, administracija i pravo",
2010,Broj,Kanton Sarajevo,"Prirodne nauke, matematika i statistika",
2010,Broj,Kanton Sarajevo,Informacijske i komunikacijske tehnologije,
2010,Broj,Kanton Sarajevo,"Inženjerstvo, proizvodnja i građevinarstvo",
2010,Broj,Kanton Sarajevo,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2010,Broj,Kanton Sarajevo,Zdravstvo i socijalna zaštita,
2010,Broj,Kanton Sarajevo,Usluge,
2011,Broj,Federacija Bosne i Hercegovine,Obrazovanje,
2011,Broj,Federacija Bosne i Hercegovine,Umjetnost i humanističke nauke,
2011,Broj,Federacija Bosne i Hercegovine,"Društvene nauke, novinarstvo i informiranje",
2011,Broj,Federacija Bosne i Hercegovine,"Poslovanje, administracija i pravo",
2011,Broj,Federacija Bosne i Hercegovine,"Prirodne nauke, matematika i statistika",
2011,Broj,Federacija Bosne i Hercegovine,Informacijske i komunikacijske tehnologije,
2011,Broj,Federacija Bosne i Hercegovine,"Inženjerstvo, proizvodnja i građevinarstvo",
2011,Broj,Federacija Bosne i Hercegovine,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2011,Broj,Federacija Bosne i Hercegovine,Zdravstvo i socijalna zaštita,
2011,Broj,Federacija Bosne i Hercegovine,Usluge,
2011,Broj,Unsko-sanski kanton,Obrazovanje,
2011,Broj,Unsko-sanski kanton,Umjetnost i humanističke nauke,
2011,Broj,Unsko-sanski kanton,"Društvene nauke, novinarstvo i informiranje",
2011,Broj,Unsko-sanski kanton,"Poslovanje, administracija i pravo",
2011,Broj,Unsko-sanski kanton,"Prirodne nauke, matematika i statistika",
2011,Broj,Unsko-sanski kanton,Informacijske i komunikacijske tehnologije,
2011,Broj,Unsko-sanski kanton,"Inženjerstvo, proizvodnja i građevinarstvo",
2011,Broj,Unsko-sanski kanton,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2011,Broj,Unsko-sanski kanton,Zdravstvo i socijalna zaštita,
2011,Broj,Unsko-sanski kanton,Usluge,
2011,Broj,Tuzlanski kanton,Obrazovanje,
2011,Broj,Tuzlanski kanton,Umjetnost i humanističke nauke,
2011,Broj,Tuzlanski kanton,"Društvene nauke, novinarstvo i informiranje",
2011,Broj,Tuzlanski kanton,"Poslovanje, administracija i pravo",
2011,Broj,Tuzlanski kanton,"Prirodne nauke, matematika i statistika",
2011,Broj,Tuzlanski kanton,Informacijske i komunikacijske tehnologije,
2011,Broj,Tuzlanski kanton,"Inženjerstvo, proizvodnja i građevinarstvo",
2011,Broj,Tuzlanski kanton,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2011,Broj,Tuzlanski kanton,Zdravstvo i socijalna zaštita,
2011,Broj,Tuzlanski kanton,Usluge,
2011,Broj,Zeničko-dobojski kanton,Obrazovanje,
2011,Broj,Zeničko-dobojski kanton,Umjetnost i humanističke nauke,
2011,Broj,Zeničko-dobojski kanton,"Društvene nauke, novinarstvo i informiranje",
2011,Broj,Zeničko-dobojski kanton,"Poslovanje, administracija i pravo",
2011,Broj,Zeničko-dobojski kanton,"Prirodne nauke, matematika i statistika",
2011,Broj,Zeničko-dobojski kanton,Informacijske i komunikacijske tehnologije,
2011,Broj,Zeničko-dobojski kanton,"Inženjerstvo, proizvodnja i građevinarstvo",
2011,Broj,Zeničko-dobojski kanton,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2011,Broj,Zeničko-dobojski kanton,Zdravstvo i socijalna zaštita,
2011,Broj,Zeničko-dobojski kanton,Usluge,
2011,Broj,Bosansko-podrinjski kanton,Obrazovanje,
2011,Broj,Bosansko-podrinjski kanton,Umjetnost i humanističke nauke,
2011,Broj,Bosansko-podrinjski kanton,"Društvene nauke, novinarstvo i informiranje",
2011,Broj,Bosansko-podrinjski kanton,"Poslovanje, administracija i pravo",
2011,Broj,Bosansko-podrinjski kanton,"Prirodne nauke, matematika i statistika",
2011,Broj,Bosansko-podrinjski kanton,Informacijske i komunikacijske tehnologije,
2011,Broj,Bosansko-podrinjski kanton,"Inženjerstvo, proizvodnja i građevinarstvo",
2011,Broj,Bosansko-podrinjski kanton,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2011,Broj,Bosansko-podrinjski kanton,Zdravstvo i socijalna zaštita,
2011,Broj,Bosansko-podrinjski kanton,Usluge,
2011,Broj,Srednjobosanski kanton,Obrazovanje,
2011,Broj,Srednjobosanski kanton,Umjetnost i humanističke nauke,
2011,Broj,Srednjobosanski kanton,"Društvene nauke, novinarstvo i informiranje",
2011,Broj,Srednjobosanski kanton,"Poslovanje, administracija i pravo",
2011,Broj,Srednjobosanski kanton,"Prirodne nauke, matematika i statistika",
2011,Broj,Srednjobosanski kanton,Informacijske i komunikacijske tehnologije,
2011,Broj,Srednjobosanski kanton,"Inženjerstvo, proizvodnja i građevinarstvo",
2011,Broj,Srednjobosanski kanton,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2011,Broj,Srednjobosanski kanton,Zdravstvo i socijalna zaštita,
2011,Broj,Srednjobosanski kanton,Usluge,
2011,Broj,Hercegovačko-neretvanski kanton,Obrazovanje,
2011,Broj,Hercegovačko-neretvanski kanton,Umjetnost i humanističke nauke,
2011,Broj,Hercegovačko-neretvanski kanton,"Društvene nauke, novinarstvo i informiranje",
2011,Broj,Hercegovačko-neretvanski kanton,"Poslovanje, administracija i pravo",
2011,Broj,Hercegovačko-neretvanski kanton,"Prirodne nauke, matematika i statistika",
2011,Broj,Hercegovačko-neretvanski kanton,Informacijske i komunikacijske tehnologije,
2011,Broj,Hercegovačko-neretvanski kanton,"Inženjerstvo, proizvodnja i građevinarstvo",
2011,Broj,Hercegovačko-neretvanski kanton,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2011,Broj,Hercegovačko-neretvanski kanton,Zdravstvo i socijalna zaštita,
2011,Broj,Hercegovačko-neretvanski kanton,Usluge,
2011,Broj,Kanton Sarajevo,Obrazovanje,
2011,Broj,Kanton Sarajevo,Umjetnost i humanističke nauke,
2011,Broj,Kanton Sarajevo,"Društvene nauke, novinarstvo i informiranje",
2011,Broj,Kanton Sarajevo,"Poslovanje, administracija i pravo",
2011,Broj,Kanton Sarajevo,"Prirodne nauke, matematika i statistika",
2011,Broj,Kanton Sarajevo,Informacijske i komunikacijske tehnologije,
2011,Broj,Kanton Sarajevo,"Inženjerstvo, proizvodnja i građevinarstvo",
2011,Broj,Kanton Sarajevo,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2011,Broj,Kanton Sarajevo,Zdravstvo i socijalna zaštita,
2011,Broj,Kanton Sarajevo,Usluge,
2012,Broj,Federacija Bosne i Hercegovine,Obrazovanje,
2012,Broj,Federacija Bosne i Hercegovine,Umjetnost i humanističke nauke,
2012,Broj,Federacija Bosne i Hercegovine,"Društvene nauke, novinarstvo i informiranje",
2012,Broj,Federacija Bosne i Hercegovine,"Poslovanje, administracija i pravo",
2012,Broj,Federacija Bosne i Hercegovine,"Prirodne nauke, matematika i statistika",
2012,Broj,Federacija Bosne i Hercegovine,Informacijske i komunikacijske tehnologije,
2012,Broj,Federacija Bosne i Hercegovine,"Inženjerstvo, proizvodnja i građevinarstvo",
2012,Broj,Federacija Bosne i Hercegovine,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2012,Broj,Federacija Bosne i Hercegovine,Zdravstvo i socijalna zaštita,
2012,Broj,Federacija Bosne i Hercegovine,Usluge,
2012,Broj,Unsko-sanski kanton,Obrazovanje,
2012,Broj,Unsko-sanski kanton,Umjetnost i humanističke nauke,
2012,Broj,Unsko-sanski kanton,"Društvene nauke, novinarstvo i informiranje",
2012,Broj,Unsko-sanski kanton,"Poslovanje, administracija i pravo",
2012,Broj,Unsko-sanski kanton,"Prirodne nauke, matematika i statistika",
2012,Broj,Unsko-sanski kanton,Informacijske i komunikacijske tehnologije,
2012,Broj,Unsko-sanski kanton,"Inženjerstvo, proizvodnja i građevinarstvo",
2012,Broj,Unsko-sanski kanton,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2012,Broj,Unsko-sanski kanton,Zdravstvo i socijalna zaštita,
2012,Broj,Unsko-sanski kanton,Usluge,
2012,Broj,Tuzlanski kanton,Obrazovanje,
2012,Broj,Tuzlanski kanton,Umjetnost i humanističke nauke,
2012,Broj,Tuzlanski kanton,"Društvene nauke, novinarstvo i informiranje",
2012,Broj,Tuzlanski kanton,"Poslovanje, administracija i pravo",
2012,Broj,Tuzlanski kanton,"Prirodne nauke, matematika i statistika",
2012,Broj,Tuzlanski kanton,Informacijske i komunikacijske tehnologije,
2012,Broj,Tuzlanski kanton,"Inženjerstvo, proizvodnja i građevinarstvo",
2012,Broj,Tuzlanski kanton,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2012,Broj,Tuzlanski kanton,Zdravstvo i socijalna zaštita,
2012,Broj,Tuzlanski kanton,Usluge,
2012,Broj,Zeničko-dobojski kanton,Obrazovanje,
2012,Broj,Zeničko-dobojski kanton,Umjetnost i humanističke nauke,
2012,Broj,Zeničko-dobojski kanton,"Društvene nauke, novinarstvo i informiranje",
2012,Broj,Zeničko-dobojski kanton,"Poslovanje, administracija i pravo",
2012,Broj,Zeničko-dobojski kanton,"Prirodne nauke, matematika i statistika",
2012,Broj,Zeničko-dobojski kanton,Informacijske i komunikacijske tehnologije,
2012,Broj,Zeničko-dobojski kanton,"Inženjerstvo, proizvodnja i građevinarstvo",
2012,Broj,Zeničko-dobojski kanton,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2012,Broj,Zeničko-dobojski kanton,Zdravstvo i socijalna zaštita,
2012,Broj,Zeničko-dobojski kanton,Usluge,
2012,Broj,Bosansko-podrinjski kanton,Obrazovanje,
2012,Broj,Bosansko-podrinjski kanton,Umjetnost i humanističke nauke,
2012,Broj,Bosansko-podrinjski kanton,"Društvene nauke, novinarstvo i informiranje",
2012,Broj,Bosansko-podrinjski kanton,"Poslovanje, administracija i pravo",
2012,Broj,Bosansko-podrinjski kanton,"Prirodne nauke, matematika i statistika",
2012,Broj,Bosansko-podrinjski kanton,Informacijske i komunikacijske tehnologije,
2012,Broj,Bosansko-podrinjski kanton,"Inženjerstvo, proizvodnja i građevinarstvo",
2012,Broj,Bosansko-podrinjski kanton,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2012,Broj,Bosansko-podrinjski kanton,Zdravstvo i socijalna zaštita,
2012,Broj,Bosansko-podrinjski kanton,Usluge,
2012,Broj,Srednjobosanski kanton,Obrazovanje,
2012,Broj,Srednjobosanski kanton,Umjetnost i humanističke nauke,
2012,Broj,Srednjobosanski kanton,"Društvene nauke, novinarstvo i informiranje",
2012,Broj,Srednjobosanski kanton,"Poslovanje, administracija i pravo",
2012,Broj,Srednjobosanski kanton,"Prirodne nauke, matematika i statistika",
2012,Broj,Srednjobosanski kanton,Informacijske i komunikacijske tehnologije,
2012,Broj,Srednjobosanski kanton,"Inženjerstvo, proizvodnja i građevinarstvo",
2012,Broj,Srednjobosanski kanton,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2012,Broj,Srednjobosanski kanton,Zdravstvo i socijalna zaštita,
2012,Broj,Srednjobosanski kanton,Usluge,
2012,Broj,Hercegovačko-neretvanski kanton,Obrazovanje,
2012,Broj,Hercegovačko-neretvanski kanton,Umjetnost i humanističke nauke,
2012,Broj,Hercegovačko-neretvanski kanton,"Društvene nauke, novinarstvo i informiranje",
2012,Broj,Hercegovačko-neretvanski kanton,"Poslovanje, administracija i pravo",
2012,Broj,Hercegovačko-neretvanski kanton,"Prirodne nauke, matematika i statistika",
2012,Broj,Hercegovačko-neretvanski kanton,Informacijske i komunikacijske tehnologije,
2012,Broj,Hercegovačko-neretvanski kanton,"Inženjerstvo, proizvodnja i građevinarstvo",
2012,Broj,Hercegovačko-neretvanski kanton,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2012,Broj,Hercegovačko-neretvanski kanton,Zdravstvo i socijalna zaštita,
2012,Broj,Hercegovačko-neretvanski kanton,Usluge,
2012,Broj,Kanton Sarajevo,Obrazovanje,
2012,Broj,Kanton Sarajevo,Umjetnost i humanističke nauke,
2012,Broj,Kanton Sarajevo,"Društvene nauke, novinarstvo i informiranje",
2012,Broj,Kanton Sarajevo,"Poslovanje, administracija i pravo",
2012,Broj,Kanton Sarajevo,"Prirodne nauke, matematika i statistika",
2012,Broj,Kanton Sarajevo,Informacijske i komunikacijske tehnologije,
2012,Broj,Kanton Sarajevo,"Inženjerstvo, proizvodnja i građevinarstvo",
2012,Broj,Kanton Sarajevo,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2012,Broj,Kanton Sarajevo,Zdravstvo i socijalna zaštita,
2012,Broj,Kanton Sarajevo,Usluge,
2013,Broj,Federacija Bosne i Hercegovine,Obrazovanje,
2013,Broj,Federacija Bosne i Hercegovine,Umjetnost i humanističke nauke,
2013,Broj,Federacija Bosne i Hercegovine,"Društvene nauke, novinarstvo i informiranje",
2013,Broj,Federacija Bosne i Hercegovine,"Poslovanje, administracija i pravo",
2013,Broj,Federacija Bosne i Hercegovine,"Prirodne nauke, matematika i statistika",
2013,Broj,Federacija Bosne i Hercegovine,Informacijske i komunikacijske tehnologije,
2013,Broj,Federacija Bosne i Hercegovine,"Inženjerstvo, proizvodnja i građevinarstvo",
2013,Broj,Federacija Bosne i Hercegovine,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2013,Broj,Federacija Bosne i Hercegovine,Zdravstvo i socijalna zaštita,
2013,Broj,Federacija Bosne i Hercegovine,Usluge,
2013,Broj,Unsko-sanski kanton,Obrazovanje,
2013,Broj,Unsko-sanski kanton,Umjetnost i humanističke nauke,
2013,Broj,Unsko-sanski kanton,"Društvene nauke, novinarstvo i informiranje",
2013,Broj,Unsko-sanski kanton,"Poslovanje, administracija i pravo",
2013,Broj,Unsko-sanski kanton,"Prirodne nauke, matematika i statistika",
2013,Broj,Unsko-sanski kanton,Informacijske i komunikacijske tehnologije,
2013,Broj,Unsko-sanski kanton,"Inženjerstvo, proizvodnja i građevinarstvo",
2013,Broj,Unsko-sanski kanton,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2013,Broj,Unsko-sanski kanton,Zdravstvo i socijalna zaštita,
2013,Broj,Unsko-sanski kanton,Usluge,
2013,Broj,Tuzlanski kanton,Obrazovanje,
2013,Broj,Tuzlanski kanton,Umjetnost i humanističke nauke,
2013,Broj,Tuzlanski kanton,"Društvene nauke, novinarstvo i informiranje",
2013,Broj,Tuzlanski kanton,"Poslovanje, administracija i pravo",
2013,Broj,Tuzlanski kanton,"Prirodne nauke, matematika i statistika",
2013,Broj,Tuzlanski kanton,Informacijske i komunikacijske tehnologije,
2013,Broj,Tuzlanski kanton,"Inženjerstvo, proizvodnja i građevinarstvo",
2013,Broj,Tuzlanski kanton,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2013,Broj,Tuzlanski kanton,Zdravstvo i socijalna zaštita,
2013,Broj,Tuzlanski kanton,Usluge,
2013,Broj,Zeničko-dobojski kanton,Obrazovanje,
2013,Broj,Zeničko-dobojski kanton,Umjetnost i humanističke nauke,
2013,Broj,Zeničko-dobojski kanton,"Društvene nauke, novinarstvo i informiranje",
2013,Broj,Zeničko-dobojski kanton,"Poslovanje, administracija i pravo",
2013,Broj,Zeničko-dobojski kanton,"Prirodne nauke, matematika i statistika",
2013,Broj,Zeničko-dobojski kanton,Informacijske i komunikacijske tehnologije,
2013,Broj,Zeničko-dobojski kanton,"Inženjerstvo, proizvodnja i građevinarstvo",
2013,Broj,Zeničko-dobojski kanton,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2013,Broj,Zeničko-dobojski kanton,Zdravstvo i socijalna zaštita,
2013,Broj,Zeničko-dobojski kanton,Usluge,
2013,Broj,Bosansko-podrinjski kanton,Obrazovanje,
2013,Broj,Bosansko-podrinjski kanton,Umjetnost i humanističke nauke,
2013,Broj,Bosansko-podrinjski kanton,"Društvene nauke, novinarstvo i informiranje",
2013,Broj,Bosansko-podrinjski kanton,"Poslovanje, administracija i pravo",
2013,Broj,Bosansko-podrinjski kanton,"Prirodne nauke, matematika i statistika",
2013,Broj,Bosansko-podrinjski kanton,Informacijske i komunikacijske tehnologije,
2013,Broj,Bosansko-podrinjski kanton,"Inženjerstvo, proizvodnja i građevinarstvo",
2013,Broj,Bosansko-podrinjski kanton,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2013,Broj,Bosansko-podrinjski kanton,Zdravstvo i socijalna zaštita,
2013,Broj,Bosansko-podrinjski kanton,Usluge,
2013,Broj,Srednjobosanski kanton,Obrazovanje,
2013,Broj,Srednjobosanski kanton,Umjetnost i humanističke nauke,
2013,Broj,Srednjobosanski kanton,"Društvene nauke, novinarstvo i informiranje",
2013,Broj,Srednjobosanski kanton,"Poslovanje, administracija i pravo",
2013,Broj,Srednjobosanski kanton,"Prirodne nauke, matematika i statistika",
2013,Broj,Srednjobosanski kanton,Informacijske i komunikacijske tehnologije,
2013,Broj,Srednjobosanski kanton,"Inženjerstvo, proizvodnja i građevinarstvo",
2013,Broj,Srednjobosanski kanton,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2013,Broj,Srednjobosanski kanton,Zdravstvo i socijalna zaštita,
2013,Broj,Srednjobosanski kanton,Usluge,
2013,Broj,Hercegovačko-neretvanski kanton,Obrazovanje,
2013,Broj,Hercegovačko-neretvanski kanton,Umjetnost i humanističke nauke,
2013,Broj,Hercegovačko-neretvanski kanton,"Društvene nauke, novinarstvo i informiranje",
2013,Broj,Hercegovačko-neretvanski kanton,"Poslovanje, administracija i pravo",
2013,Broj,Hercegovačko-neretvanski kanton,"Prirodne nauke, matematika i statistika",
2013,Broj,Hercegovačko-neretvanski kanton,Informacijske i komunikacijske tehnologije,
2013,Broj,Hercegovačko-neretvanski kanton,"Inženjerstvo, proizvodnja i građevinarstvo",
2013,Broj,Hercegovačko-neretvanski kanton,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2013,Broj,Hercegovačko-neretvanski kanton,Zdravstvo i socijalna zaštita,
2013,Broj,Hercegovačko-neretvanski kanton,Usluge,
2013,Broj,Kanton Sarajevo,Obrazovanje,
2013,Broj,Kanton Sarajevo,Umjetnost i humanističke nauke,
2013,Broj,Kanton Sarajevo,"Društvene nauke, novinarstvo i informiranje",
2013,Broj,Kanton Sarajevo,"Poslovanje, administracija i pravo",
2013,Broj,Kanton Sarajevo,"Prirodne nauke, matematika i statistika",
2013,Broj,Kanton Sarajevo,Informacijske i komunikacijske tehnologije,
2013,Broj,Kanton Sarajevo,"Inženjerstvo, proizvodnja i građevinarstvo",
2013,Broj,Kanton Sarajevo,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2013,Broj,Kanton Sarajevo,Zdravstvo i socijalna zaštita,
2013,Broj,Kanton Sarajevo,Usluge,
2014,Broj,Federacija Bosne i Hercegovine,Obrazovanje,
2014,Broj,Federacija Bosne i Hercegovine,Umjetnost i humanističke nauke,
2014,Broj,Federacija Bosne i Hercegovine,"Društvene nauke, novinarstvo i informiranje",
2014,Broj,Federacija Bosne i Hercegovine,"Poslovanje, administracija i pravo",
2014,Broj,Federacija Bosne i Hercegovine,"Prirodne nauke, matematika i statistika",
2014,Broj,Federacija Bosne i Hercegovine,Informacijske i komunikacijske tehnologije,
2014,Broj,Federacija Bosne i Hercegovine,"Inženjerstvo, proizvodnja i građevinarstvo",
2014,Broj,Federacija Bosne i Hercegovine,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2014,Broj,Federacija Bosne i Hercegovine,Zdravstvo i socijalna zaštita,
2014,Broj,Federacija Bosne i Hercegovine,Usluge,
2014,Broj,Unsko-sanski kanton,Obrazovanje,
2014,Broj,Unsko-sanski kanton,Umjetnost i humanističke nauke,
2014,Broj,Unsko-sanski kanton,"Društvene nauke, novinarstvo i informiranje",
2014,Broj,Unsko-sanski kanton,"Poslovanje, administracija i pravo",
2014,Broj,Unsko-sanski kanton,"Prirodne nauke, matematika i statistika",
2014,Broj,Unsko-sanski kanton,Informacijske i komunikacijske tehnologije,
2014,Broj,Unsko-sanski kanton,"Inženjerstvo, proizvodnja i građevinarstvo",
2014,Broj,Unsko-sanski kanton,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2014,Broj,Unsko-sanski kanton,Zdravstvo i socijalna zaštita,
2014,Broj,Unsko-sanski kanton,Usluge,
2014,Broj,Tuzlanski kanton,Obrazovanje,
2014,Broj,Tuzlanski kanton,Umjetnost i humanističke nauke,
2014,Broj,Tuzlanski kanton,"Društvene nauke, novinarstvo i informiranje",
2014,Broj,Tuzlanski kanton,"Poslovanje, administracija i pravo",
2014,Broj,Tuzlanski kanton,"Prirodne nauke, matematika i statistika",
2014,Broj,Tuzlanski kanton,Informacijske i komunikacijske tehnologije,
2014,Broj,Tuzlanski kanton,"Inženjerstvo, proizvodnja i građevinarstvo",
2014,Broj,Tuzlanski kanton,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2014,Broj,Tuzlanski kanton,Zdravstvo i socijalna zaštita,
2014,Broj,Tuzlanski kanton,Usluge,
2014,Broj,Zeničko-dobojski kanton,Obrazovanje,
2014,Broj,Zeničko-dobojski kanton,Umjetnost i humanističke nauke,
2014,Broj,Zeničko-dobojski kanton,"Društvene nauke, novinarstvo i informiranje",
2014,Broj,Zeničko-dobojski kanton,"Poslovanje, administracija i pravo",
2014,Broj,Zeničko-dobojski kanton,"Prirodne nauke, matematika i statistika",
2014,Broj,Zeničko-dobojski kanton,Informacijske i komunikacijske tehnologije,
2014,Broj,Zeničko-dobojski kanton,"Inženjerstvo, proizvodnja i građevinarstvo",
