Year,UNIT_MEASURE,Vrsta obrazovanja,Spol,Value
2019,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,7
2019,Broj,"Poslovanje, administracija i pravo svega",Ž,15
2019,Broj,"Prirodne nauke, matematika i statistika svega",Ž,7
2019,Broj,Informacione i komunikacione tehnologije,Ž,2
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,7
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,3
2019,Broj,Zdravstvo i socijalna zaštita,Ž,11
2019,Broj,services,Ž,1
2019,Broj,Nepoznato,Ž,0
2020,Broj,Ukupno,Oba spola,148
2020,Broj,education,Oba spola,11
2020,Broj,Umjetnost i humanističke nauke,Oba spola,9
2020,Broj,"Društvene nauke, novinarstvo i informisanje",Oba spola,45
2020,Broj,"Poslovanje, administracija i pravo svega",Oba spola,21
2020,Broj,"Prirodne nauke, matematika i statistika svega",Oba spola,11
2020,Broj,Informacione i komunikacione tehnologije,Oba spola,6
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba spola,17
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba spola,6
2020,Broj,Zdravstvo i socijalna zaštita,Oba spola,15
2020,Broj,services,Oba spola,7
2020,Broj,Nepoznato,Oba spola,0
2020,Broj,Ukupno,M,90
2020,Broj,education,M,7
2020,Broj,Umjetnost i humanističke nauke,M,2
2020,Broj,"Društvene nauke, novinarstvo i informisanje",M,34
2020,Broj,"Poslovanje, administracija i pravo svega",M,16
2020,Broj,"Prirodne nauke, matematika i statistika svega",M,7
2020,Broj,Informacione i komunikacione tehnologije,M,3
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,10
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,1
2020,Broj,Zdravstvo i socijalna zaštita,M,4
2020,Broj,services,M,6
2020,Broj,Nepoznato,M,0
2020,Broj,Ukupno,Ž,58
2020,Broj,education,Ž,4
2020,Broj,Umjetnost i humanističke nauke,Ž,7
2020,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,12
2020,Broj,"Poslovanje, administracija i pravo svega",Ž,4
2020,Broj,"Prirodne nauke, matematika i statistika svega",Ž,4
2020,Broj,Informacione i komunikacione tehnologije,Ž,3
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,7
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,5
2020,Broj,Zdravstvo i socijalna zaštita,Ž,11
2020,Broj,services,Ž,1
2020,Broj,Nepoznato,Ž,0
