Year,Type_of_disability,Sex,Age,UNIT_MEASURE,Value
2013,Seeing,_F,50-59,Number,6782
2013,Hearing,_F,50-59,Number,1216
2013,walking_or_climbing_up_the_stairs,_F,50-59,Number,9927
2013,remembering_or_concentration,_F,50-59,Number,865
2013,self_care,_F,50-59,Number,80
2013,Communication,_F,50-59,Number,150
2013,multiple_disabilities,_F,50-59,Number,7822
2013,Seeing,_F,60-64,Number,4034
2013,Hearing,_F,60-64,Number,857
2013,walking_or_climbing_up_the_stairs,_F,60-64,Number,7055
2013,remembering_or_concentration,_F,60-64,Number,430
2013,self_care,_F,60-64,Number,43
2013,Communication,_F,60-64,Number,61
2013,multiple_disabilities,_F,60-64,Number,5922
2013,Seeing,_F,65+,Number,12600
2013,Hearing,_F,65+,Number,5885
2013,walking_or_climbing_up_the_stairs,_F,65+,Number,30877
2013,remembering_or_concentration,_F,65+,Number,1744
2013,self_care,_F,65+,Number,321
2013,Communication,_F,65+,Number,226
2013,multiple_disabilities,_F,65+,Number,44011
