Year,UNIT_MEASURE,Sex,Age,Cause_of_death,Value
2008,Number,F,Total,(K00-K93) Diseases of the digestive system,198
2008,Number,F,Total,(M00-M99) Diseases of the musculoskeletal system and connective tissue,12
2008,Number,F,Total,(N00-N99) Diseases of the genitourinary system,142
2008,Number,F,Total,(P00-P96) Certain conditions originating in the perinatal period,53
2008,Number,F,Total,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",19
2008,Number,F,Total,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",520
2008,Number,F,Total,"(S00-T98) Injuries, poisoning and consequences of external causes",122
2008,Number,F,Total,Unknown,370
2008,Number,Both sexes,0,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2008,Number,Both sexes,0,(H00-H59) Diseases of the eye,0
2008,Number,Both sexes,0,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2008,Number,Both sexes,0,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",0
2008,Number,Both sexes,0,(M00-M99) Diseases of the musculoskeletal system and connective tissue,0
2008,Number,Both sexes,0,(F00-F99) Mental and behavioural disorders,0
2008,Number,Both sexes,0,"(C00-C97,D00-D48) Neoplasms",0
2008,Number,Both sexes,0,(E00-E90) Endocrine metabolic and nutritional diseases,0
2008,Number,Both sexes,0,(G00-G99) Diseases of the nervous system,0
2008,Number,Both sexes,0,(N00-N99) Diseases of the genitourinary system,0
2008,Number,Both sexes,0,"(S00-T98) Injuries, poisoning and consequences of external causes",2
2008,Number,Both sexes,0,(J00-J99) Diseases of the respiratory system,3
2008,Number,Both sexes,0,(K00-K93) Diseases of the digestive system,3
2008,Number,Both sexes,0,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",10
2008,Number,Both sexes,0,(P00-P96) Certain conditions originating in the perinatal period,116
2008,Number,Both sexes,0,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",35
2008,Number,Both sexes,0,Unknown,9
2008,Number,Both sexes,0,(I00-I99) Diseases of the circulatory system,11
2008,Number,Both sexes,0,(A00-B99) Infectious and parasitic diseases,5
2008,Number,M,0,"(C00-C97,D00-D48) Neoplasms",0
2008,Number,M,0,(E00-E90) Endocrine metabolic and nutritional diseases,0
2008,Number,M,0,(G00-G99) Diseases of the nervous system,0
2008,Number,M,0,(N00-N99) Diseases of the genitourinary system,0
2008,Number,M,0,(F00-F99) Mental and behavioural disorders,0
2008,Number,M,0,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2008,Number,M,0,(H00-H59) Diseases of the eye,0
2008,Number,M,0,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",0
2008,Number,M,0,(M00-M99) Diseases of the musculoskeletal system and connective tissue,0
2008,Number,M,0,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2008,Number,M,0,"(S00-T98) Injuries, poisoning and consequences of external causes",1
2008,Number,M,0,(A00-B99) Infectious and parasitic diseases,2
2008,Number,M,0,(J00-J99) Diseases of the respiratory system,2
2008,Number,M,0,(K00-K93) Diseases of the digestive system,3
2008,Number,M,0,Unknown,4
2008,Number,M,0,(P00-P96) Certain conditions originating in the perinatal period,63
2008,Number,M,0,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",22
2008,Number,M,0,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",7
2008,Number,M,0,(I00-I99) Diseases of the circulatory system,6
2008,Number,F,0,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2008,Number,F,0,"(C00-C97,D00-D48) Neoplasms",0
2008,Number,F,0,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",0
2008,Number,F,0,(E00-E90) Endocrine metabolic and nutritional diseases,0
2008,Number,F,0,(F00-F99) Mental and behavioural disorders,0
2008,Number,F,0,(G00-G99) Diseases of the nervous system,0
2008,Number,F,0,(H00-H59) Diseases of the eye,0
2008,Number,F,0,(K00-K93) Diseases of the digestive system,0
2008,Number,F,0,(M00-M99) Diseases of the musculoskeletal system and connective tissue,0
2008,Number,F,0,(N00-N99) Diseases of the genitourinary system,0
2008,Number,F,0,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2008,Number,F,0,(J00-J99) Diseases of the respiratory system,1
2008,Number,F,0,"(S00-T98) Injuries, poisoning and consequences of external causes",1
2008,Number,F,0,(A00-B99) Infectious and parasitic diseases,3
2008,Number,F,0,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",3
2008,Number,F,0,(I00-I99) Diseases of the circulatory system,5
2008,Number,F,0,Unknown,5
2008,Number,F,0,(P00-P96) Certain conditions originating in the perinatal period,53
2008,Number,F,0,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",13
2008,Number,Both sexes, 1-4,(P00-P96) Certain conditions originating in the perinatal period,0
2008,Number,Both sexes, 1-4,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2008,Number,Both sexes, 1-4,(H00-H59) Diseases of the eye,0
2008,Number,Both sexes, 1-4,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2008,Number,Both sexes, 1-4,(M00-M99) Diseases of the musculoskeletal system and connective tissue,0
2008,Number,Both sexes, 1-4,(F00-F99) Mental and behavioural disorders,0
2008,Number,Both sexes, 1-4,(E00-E90) Endocrine metabolic and nutritional diseases,0
2008,Number,Both sexes, 1-4,(K00-K93) Diseases of the digestive system,0
2008,Number,Both sexes, 1-4,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",0
2008,Number,Both sexes, 1-4,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",1
2008,Number,Both sexes, 1-4,(G00-G99) Diseases of the nervous system,1
2008,Number,Both sexes, 1-4,(J00-J99) Diseases of the respiratory system,1
2008,Number,Both sexes, 1-4,(N00-N99) Diseases of the genitourinary system,1
2008,Number,Both sexes, 1-4,(A00-B99) Infectious and parasitic diseases,2
2008,Number,Both sexes, 1-4,Unknown,2
2008,Number,Both sexes, 1-4,"(C00-C97,D00-D48) Neoplasms",3
2008,Number,Both sexes, 1-4,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",4
2008,Number,Both sexes, 1-4,(I00-I99) Diseases of the circulatory system,6
2008,Number,Both sexes, 1-4,"(S00-T98) Injuries, poisoning and consequences of external causes",6
2008,Number,M, 1-4,(E00-E90) Endocrine metabolic and nutritional diseases,0
2008,Number,M, 1-4,(G00-G99) Diseases of the nervous system,0
2008,Number,M, 1-4,(K00-K93) Diseases of the digestive system,0
2008,Number,M, 1-4,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",0
2008,Number,M, 1-4,Unknown,0
2008,Number,M, 1-4,(F00-F99) Mental and behavioural disorders,0
2008,Number,M, 1-4,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2008,Number,M, 1-4,(H00-H59) Diseases of the eye,0
2008,Number,M, 1-4,(M00-M99) Diseases of the musculoskeletal system and connective tissue,0
2008,Number,M, 1-4,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2008,Number,M, 1-4,(P00-P96) Certain conditions originating in the perinatal period,0
2008,Number,M, 1-4,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",1
2008,Number,M, 1-4,(J00-J99) Diseases of the respiratory system,1
2008,Number,M, 1-4,(N00-N99) Diseases of the genitourinary system,1
2008,Number,M, 1-4,(A00-B99) Infectious and parasitic diseases,2
2008,Number,M, 1-4,"(C00-C97,D00-D48) Neoplasms",2
2008,Number,M, 1-4,(I00-I99) Diseases of the circulatory system,2
2008,Number,M, 1-4,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",3
2008,Number,M, 1-4,"(S00-T98) Injuries, poisoning and consequences of external causes",5
2008,Number,F, 1-4,(P00-P96) Certain conditions originating in the perinatal period,0
2008,Number,F, 1-4,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2008,Number,F, 1-4,(A00-B99) Infectious and parasitic diseases,0
2008,Number,F, 1-4,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",0
2008,Number,F, 1-4,(E00-E90) Endocrine metabolic and nutritional diseases,0
2008,Number,F, 1-4,(F00-F99) Mental and behavioural disorders,0
2008,Number,F, 1-4,(H00-H59) Diseases of the eye,0
2008,Number,F, 1-4,(J00-J99) Diseases of the respiratory system,0
2008,Number,F, 1-4,(K00-K93) Diseases of the digestive system,0
2008,Number,F, 1-4,(M00-M99) Diseases of the musculoskeletal system and connective tissue,0
2008,Number,F, 1-4,(N00-N99) Diseases of the genitourinary system,0
2008,Number,F, 1-4,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2008,Number,F, 1-4,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",0
2008,Number,F, 1-4,"(C00-C97,D00-D48) Neoplasms",1
2008,Number,F, 1-4,(G00-G99) Diseases of the nervous system,1
2008,Number,F, 1-4,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",1
2008,Number,F, 1-4,"(S00-T98) Injuries, poisoning and consequences of external causes",1
2008,Number,F, 1-4,Unknown,2
2008,Number,F, 1-4,(I00-I99) Diseases of the circulatory system,4
2008,Number,Both sexes, 5-9,(P00-P96) Certain conditions originating in the perinatal period,0
2008,Number,Both sexes, 5-9,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2008,Number,Both sexes, 5-9,(H00-H59) Diseases of the eye,0
2008,Number,Both sexes, 5-9,(A00-B99) Infectious and parasitic diseases,0
2008,Number,Both sexes, 5-9,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",0
2008,Number,Both sexes, 5-9,(E00-E90) Endocrine metabolic and nutritional diseases,0
2008,Number,Both sexes, 5-9,(F00-F99) Mental and behavioural disorders,0
2008,Number,Both sexes, 5-9,(J00-J99) Diseases of the respiratory system,0
2008,Number,Both sexes, 5-9,(K00-K93) Diseases of the digestive system,0
2008,Number,Both sexes, 5-9,(M00-M99) Diseases of the musculoskeletal system and connective tissue,0
2008,Number,Both sexes, 5-9,(N00-N99) Diseases of the genitourinary system,0
2008,Number,Both sexes, 5-9,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2008,Number,Both sexes, 5-9,(G00-G99) Diseases of the nervous system,1
2008,Number,Both sexes, 5-9,Unknown,1
2008,Number,Both sexes, 5-9,(I00-I99) Diseases of the circulatory system,2
2008,Number,Both sexes, 5-9,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",2
2008,Number,Both sexes, 5-9,"(C00-C97,D00-D48) Neoplasms",3
2008,Number,Both sexes, 5-9,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",3
2008,Number,Both sexes, 5-9,"(S00-T98) Injuries, poisoning and consequences of external causes",8
2008,Number,M, 5-9,(A00-B99) Infectious and parasitic diseases,0
2008,Number,M, 5-9,(E00-E90) Endocrine metabolic and nutritional diseases,0
2008,Number,M, 5-9,(G00-G99) Diseases of the nervous system,0
2008,Number,M, 5-9,(J00-J99) Diseases of the respiratory system,0
2008,Number,M, 5-9,(K00-K93) Diseases of the digestive system,0
2008,Number,M, 5-9,(N00-N99) Diseases of the genitourinary system,0
2008,Number,M, 5-9,Unknown,0
2008,Number,M, 5-9,(F00-F99) Mental and behavioural disorders,0
2008,Number,M, 5-9,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2008,Number,M, 5-9,(H00-H59) Diseases of the eye,0
2008,Number,M, 5-9,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",0
2008,Number,M, 5-9,(M00-M99) Diseases of the musculoskeletal system and connective tissue,0
2008,Number,M, 5-9,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",0
2008,Number,M, 5-9,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2008,Number,M, 5-9,(P00-P96) Certain conditions originating in the perinatal period,0
2008,Number,M, 5-9,"(C00-C97,D00-D48) Neoplasms",2
2008,Number,M, 5-9,(I00-I99) Diseases of the circulatory system,2
2008,Number,M, 5-9,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",2
2008,Number,M, 5-9,"(S00-T98) Injuries, poisoning and consequences of external causes",7
2008,Number,F, 5-9,(P00-P96) Certain conditions originating in the perinatal period,0
2008,Number,F, 5-9,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2008,Number,F, 5-9,(A00-B99) Infectious and parasitic diseases,0
2008,Number,F, 5-9,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",0
2008,Number,F, 5-9,(E00-E90) Endocrine metabolic and nutritional diseases,0
2008,Number,F, 5-9,(F00-F99) Mental and behavioural disorders,0
2008,Number,F, 5-9,(H00-H59) Diseases of the eye,0
2008,Number,F, 5-9,(I00-I99) Diseases of the circulatory system,0
2008,Number,F, 5-9,(J00-J99) Diseases of the respiratory system,0
2008,Number,F, 5-9,(K00-K93) Diseases of the digestive system,0
2008,Number,F, 5-9,(M00-M99) Diseases of the musculoskeletal system and connective tissue,0
2008,Number,F, 5-9,(N00-N99) Diseases of the genitourinary system,0
2008,Number,F, 5-9,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2008,Number,F, 5-9,"(C00-C97,D00-D48) Neoplasms",1
2008,Number,F, 5-9,(G00-G99) Diseases of the nervous system,1
2008,Number,F, 5-9,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",1
2008,Number,F, 5-9,"(S00-T98) Injuries, poisoning and consequences of external causes",1
2008,Number,F, 5-9,Unknown,1
2008,Number,F, 5-9,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",2
2008,Number,Both sexes, 10-14,(P00-P96) Certain conditions originating in the perinatal period,0
2008,Number,Both sexes, 10-14,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2008,Number,Both sexes, 10-14,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",0
2008,Number,Both sexes, 10-14,(H00-H59) Diseases of the eye,0
2008,Number,Both sexes, 10-14,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",0
2008,Number,Both sexes, 10-14,(F00-F99) Mental and behavioural disorders,0
2008,Number,Both sexes, 10-14,(K00-K93) Diseases of the digestive system,0
2008,Number,Both sexes, 10-14,(M00-M99) Diseases of the musculoskeletal system and connective tissue,0
2008,Number,Both sexes, 10-14,(N00-N99) Diseases of the genitourinary system,0
2008,Number,Both sexes, 10-14,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2008,Number,Both sexes, 10-14,(E00-E90) Endocrine metabolic and nutritional diseases,1
2008,Number,Both sexes, 10-14,(J00-J99) Diseases of the respiratory system,1
2008,Number,Both sexes, 10-14,(A00-B99) Infectious and parasitic diseases,2
2008,Number,Both sexes, 10-14,(I00-I99) Diseases of the circulatory system,2
2008,Number,Both sexes, 10-14,(G00-G99) Diseases of the nervous system,3
2008,Number,Both sexes, 10-14,Unknown,3
2008,Number,Both sexes, 10-14,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",4
2008,Number,Both sexes, 10-14,"(S00-T98) Injuries, poisoning and consequences of external causes",9
2008,Number,Both sexes, 10-14,"(C00-C97,D00-D48) Neoplasms",5
2008,Number,M, 10-14,(A00-B99) Infectious and parasitic diseases,0
2008,Number,M, 10-14,(E00-E90) Endocrine metabolic and nutritional diseases,0
2008,Number,M, 10-14,(I00-I99) Diseases of the circulatory system,0
2008,Number,M, 10-14,(J00-J99) Diseases of the respiratory system,0
2008,Number,M, 10-14,(K00-K93) Diseases of the digestive system,0
2008,Number,M, 10-14,(N00-N99) Diseases of the genitourinary system,0
2008,Number,M, 10-14,(F00-F99) Mental and behavioural disorders,0
2008,Number,M, 10-14,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2008,Number,M, 10-14,(H00-H59) Diseases of the eye,0
2008,Number,M, 10-14,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",0
2008,Number,M, 10-14,(M00-M99) Diseases of the musculoskeletal system and connective tissue,0
2008,Number,M, 10-14,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",0
2008,Number,M, 10-14,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2008,Number,M, 10-14,(P00-P96) Certain conditions originating in the perinatal period,0
2008,Number,M, 10-14,(G00-G99) Diseases of the nervous system,1
2008,Number,M, 10-14,Unknown,2
2008,Number,M, 10-14,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",3
2008,Number,M, 10-14,"(C00-C97,D00-D48) Neoplasms",4
2008,Number,M, 10-14,"(S00-T98) Injuries, poisoning and consequences of external causes",6
2008,Number,F, 10-14,(P00-P96) Certain conditions originating in the perinatal period,0
2008,Number,F, 10-14,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2008,Number,F, 10-14,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",0
2008,Number,F, 10-14,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",0
2008,Number,F, 10-14,(F00-F99) Mental and behavioural disorders,0
2008,Number,F, 10-14,(H00-H59) Diseases of the eye,0
2008,Number,F, 10-14,(K00-K93) Diseases of the digestive system,0
2008,Number,F, 10-14,(M00-M99) Diseases of the musculoskeletal system and connective tissue,0
2008,Number,F, 10-14,(N00-N99) Diseases of the genitourinary system,0
2008,Number,F, 10-14,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2008,Number,F, 10-14,"(C00-C97,D00-D48) Neoplasms",1
2008,Number,F, 10-14,(E00-E90) Endocrine metabolic and nutritional diseases,1
2008,Number,F, 10-14,(J00-J99) Diseases of the respiratory system,1
2008,Number,F, 10-14,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",1
2008,Number,F, 10-14,Unknown,1
2008,Number,F, 10-14,(A00-B99) Infectious and parasitic diseases,2
2008,Number,F, 10-14,(G00-G99) Diseases of the nervous system,2
2008,Number,F, 10-14,(I00-I99) Diseases of the circulatory system,2
2008,Number,F, 10-14,"(S00-T98) Injuries, poisoning and consequences of external causes",3
2008,Number,Both sexes,15-19,(P00-P96) Certain conditions originating in the perinatal period,0
2008,Number,Both sexes,15-19,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2008,Number,Both sexes,15-19,(H00-H59) Diseases of the eye,0
2008,Number,Both sexes,15-19,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",0
2008,Number,Both sexes,15-19,(M00-M99) Diseases of the musculoskeletal system and connective tissue,0
2008,Number,Both sexes,15-19,(F00-F99) Mental and behavioural disorders,0
2008,Number,Both sexes,15-19,(E00-E90) Endocrine metabolic and nutritional diseases,0
2008,Number,Both sexes,15-19,(J00-J99) Diseases of the respiratory system,0
2008,Number,Both sexes,15-19,(N00-N99) Diseases of the genitourinary system,0
2008,Number,Both sexes,15-19,(A00-B99) Infectious and parasitic diseases,1
2008,Number,Both sexes,15-19,(G00-G99) Diseases of the nervous system,1
2008,Number,Both sexes,15-19,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",1
2008,Number,Both sexes,15-19,(K00-K93) Diseases of the digestive system,2
2008,Number,Both sexes,15-19,"(O00-O99) Pregnancy, childbirth and the puerperium",2
2008,Number,Both sexes,15-19,"(C00-C97,D00-D48) Neoplasms",3
2008,Number,Both sexes,15-19,Unknown,3
2008,Number,Both sexes,15-19,(I00-I99) Diseases of the circulatory system,8
2008,Number,Both sexes,15-19,"(S00-T98) Injuries, poisoning and consequences of external causes",30
2008,Number,Both sexes,15-19,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",5
2008,Number,M,15-19,(E00-E90) Endocrine metabolic and nutritional diseases,0
2008,Number,M,15-19,(J00-J99) Diseases of the respiratory system,0
2008,Number,M,15-19,(N00-N99) Diseases of the genitourinary system,0
2008,Number,M,15-19,(F00-F99) Mental and behavioural disorders,0
2008,Number,M,15-19,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2008,Number,M,15-19,(H00-H59) Diseases of the eye,0
2008,Number,M,15-19,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",0
2008,Number,M,15-19,(M00-M99) Diseases of the musculoskeletal system and connective tissue,0
2008,Number,M,15-19,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",0
2008,Number,M,15-19,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2008,Number,M,15-19,(P00-P96) Certain conditions originating in the perinatal period,0
2008,Number,M,15-19,(A00-B99) Infectious and parasitic diseases,1
2008,Number,M,15-19,(G00-G99) Diseases of the nervous system,1
2008,Number,M,15-19,Unknown,1
2008,Number,M,15-19,(K00-K93) Diseases of the digestive system,2
2008,Number,M,15-19,"(C00-C97,D00-D48) Neoplasms",3
2008,Number,M,15-19,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",3
2008,Number,M,15-19,"(S00-T98) Injuries, poisoning and consequences of external causes",23
2008,Number,M,15-19,(I00-I99) Diseases of the circulatory system,5
2008,Number,F,15-19,(P00-P96) Certain conditions originating in the perinatal period,0
2008,Number,F,15-19,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2008,Number,F,15-19,(A00-B99) Infectious and parasitic diseases,0
2008,Number,F,15-19,"(C00-C97,D00-D48) Neoplasms",0
2008,Number,F,15-19,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",0
2008,Number,F,15-19,(E00-E90) Endocrine metabolic and nutritional diseases,0
2008,Number,F,15-19,(F00-F99) Mental and behavioural disorders,0
2008,Number,F,15-19,(G00-G99) Diseases of the nervous system,0
2008,Number,F,15-19,(H00-H59) Diseases of the eye,0
2008,Number,F,15-19,(J00-J99) Diseases of the respiratory system,0
2008,Number,F,15-19,(K00-K93) Diseases of the digestive system,0
2008,Number,F,15-19,(M00-M99) Diseases of the musculoskeletal system and connective tissue,0
2008,Number,F,15-19,(N00-N99) Diseases of the genitourinary system,0
2008,Number,F,15-19,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",1
2008,Number,F,15-19,"(O00-O99) Pregnancy, childbirth and the puerperium",2
2008,Number,F,15-19,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",2
2008,Number,F,15-19,Unknown,2
2008,Number,F,15-19,(I00-I99) Diseases of the circulatory system,3
2008,Number,F,15-19,"(S00-T98) Injuries, poisoning and consequences of external causes",7
2008,Number,Both sexes,20-24,(P00-P96) Certain conditions originating in the perinatal period,0
2008,Number,Both sexes,20-24,(L00-L99) Diseases of the skin and subcutaneous tissue,0
2008,Number,Both sexes,20-24,(H00-H59) Diseases of the eye,0
2008,Number,Both sexes,20-24,"(O00-O99) Pregnancy, childbirth and the puerperium",0
2008,Number,Both sexes,20-24,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",0
2008,Number,Both sexes,20-24,(M00-M99) Diseases of the musculoskeletal system and connective tissue,0
2008,Number,Both sexes,20-24,(F00-F99) Mental and behavioural disorders,0
2008,Number,Both sexes,20-24,(A00-B99) Infectious and parasitic diseases,1
2008,Number,Both sexes,20-24,(E00-E90) Endocrine metabolic and nutritional diseases,1
2008,Number,Both sexes,20-24,(K00-K93) Diseases of the digestive system,1
2008,Number,Both sexes,20-24,(N00-N99) Diseases of the genitourinary system,1
2008,Number,Both sexes,20-24,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",2
2008,Number,Both sexes,20-24,(G00-G99) Diseases of the nervous system,3
2008,Number,Both sexes,20-24,Unknown,3
2008,Number,Both sexes,20-24,(I00-I99) Diseases of the circulatory system,10
2008,Number,Both sexes,20-24,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",8
2008,Number,Both sexes,20-24,"(C00-C97,D00-D48) Neoplasms",13
2008,Number,Both sexes,20-24,"(S00-T98) Injuries, poisoning and consequences of external causes",51
