Year,UNIT_MEASURE,Admin_Area,scientific_field,Value
2010,Number,Central Bosnia Canton,"business,_administration_and_law",
2010,Number,Central Bosnia Canton,"natural_sciences,_mathematics_and_statistics",
2010,Number,Central Bosnia Canton,Information and communication technologies,
2010,Number,Central Bosnia Canton,"engineering,_production_and_construction",
2010,Number,Central Bosnia Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Number,Central Bosnia Canton,Health and social protection,
2010,Number,Central Bosnia Canton,Services,
2010,Number,Herzegovina-Neretva Canton,Education,
2010,Number,Herzegovina-Neretva Canton,Arts and humanities,
2010,Number,Herzegovina-Neretva Canton,"social_sciences,_journalism_and_information",
2010,Number,Herzegovina-Neretva Canton,"business,_administration_and_law",
2010,Number,Herzegovina-Neretva Canton,"natural_sciences,_mathematics_and_statistics",
2010,Number,Herzegovina-Neretva Canton,Information and communication technologies,
2010,Number,Herzegovina-Neretva Canton,"engineering,_production_and_construction",
2010,Number,Herzegovina-Neretva Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Number,Herzegovina-Neretva Canton,Health and social protection,
2010,Number,Herzegovina-Neretva Canton,Services,
2010,Number,Sarajevo Canton,Education,
2010,Number,Sarajevo Canton,Arts and humanities,
2010,Number,Sarajevo Canton,"social_sciences,_journalism_and_information",
2010,Number,Sarajevo Canton,"business,_administration_and_law",
2010,Number,Sarajevo Canton,"natural_sciences,_mathematics_and_statistics",
2010,Number,Sarajevo Canton,Information and communication technologies,
2010,Number,Sarajevo Canton,"engineering,_production_and_construction",
2010,Number,Sarajevo Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Number,Sarajevo Canton,Health and social protection,
2010,Number,Sarajevo Canton,Services,
2011,Number,Federation of Bosnia and Herzegovina,Education,
2011,Number,Federation of Bosnia and Herzegovina,Arts and humanities,
2011,Number,Federation of Bosnia and Herzegovina,"social_sciences,_journalism_and_information",
2011,Number,Federation of Bosnia and Herzegovina,"business,_administration_and_law",
2011,Number,Federation of Bosnia and Herzegovina,"natural_sciences,_mathematics_and_statistics",
2011,Number,Federation of Bosnia and Herzegovina,Information and communication technologies,
2011,Number,Federation of Bosnia and Herzegovina,"engineering,_production_and_construction",
2011,Number,Federation of Bosnia and Herzegovina,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Number,Federation of Bosnia and Herzegovina,Health and social protection,
2011,Number,Federation of Bosnia and Herzegovina,Services,
2011,Number,Una-Sana Canton,Education,
2011,Number,Una-Sana Canton,Arts and humanities,
2011,Number,Una-Sana Canton,"social_sciences,_journalism_and_information",
2011,Number,Una-Sana Canton,"business,_administration_and_law",
2011,Number,Una-Sana Canton,"natural_sciences,_mathematics_and_statistics",
2011,Number,Una-Sana Canton,Information and communication technologies,
2011,Number,Una-Sana Canton,"engineering,_production_and_construction",
2011,Number,Una-Sana Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Number,Una-Sana Canton,Health and social protection,
2011,Number,Una-Sana Canton,Services,
2011,Number,Tuzla Canton,Education,
2011,Number,Tuzla Canton,Arts and humanities,
2011,Number,Tuzla Canton,"social_sciences,_journalism_and_information",
2011,Number,Tuzla Canton,"business,_administration_and_law",
2011,Number,Tuzla Canton,"natural_sciences,_mathematics_and_statistics",
2011,Number,Tuzla Canton,Information and communication technologies,
2011,Number,Tuzla Canton,"engineering,_production_and_construction",
2011,Number,Tuzla Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Number,Tuzla Canton,Health and social protection,
2011,Number,Tuzla Canton,Services,
2011,Number,Zenica-Doboj Canton,Education,
2011,Number,Zenica-Doboj Canton,Arts and humanities,
2011,Number,Zenica-Doboj Canton,"social_sciences,_journalism_and_information",
2011,Number,Zenica-Doboj Canton,"business,_administration_and_law",
2011,Number,Zenica-Doboj Canton,"natural_sciences,_mathematics_and_statistics",
2011,Number,Zenica-Doboj Canton,Information and communication technologies,
2011,Number,Zenica-Doboj Canton,"engineering,_production_and_construction",
2011,Number,Zenica-Doboj Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Number,Zenica-Doboj Canton,Health and social protection,
2011,Number,Zenica-Doboj Canton,Services,
2011,Number,Bosnian-Podrinje Canton,Education,
2011,Number,Bosnian-Podrinje Canton,Arts and humanities,
2011,Number,Bosnian-Podrinje Canton,"social_sciences,_journalism_and_information",
2011,Number,Bosnian-Podrinje Canton,"business,_administration_and_law",
2011,Number,Bosnian-Podrinje Canton,"natural_sciences,_mathematics_and_statistics",
2011,Number,Bosnian-Podrinje Canton,Information and communication technologies,
2011,Number,Bosnian-Podrinje Canton,"engineering,_production_and_construction",
2011,Number,Bosnian-Podrinje Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Number,Bosnian-Podrinje Canton,Health and social protection,
2011,Number,Bosnian-Podrinje Canton,Services,
2011,Number,Central Bosnia Canton,Education,
2011,Number,Central Bosnia Canton,Arts and humanities,
2011,Number,Central Bosnia Canton,"social_sciences,_journalism_and_information",
2011,Number,Central Bosnia Canton,"business,_administration_and_law",
2011,Number,Central Bosnia Canton,"natural_sciences,_mathematics_and_statistics",
2011,Number,Central Bosnia Canton,Information and communication technologies,
2011,Number,Central Bosnia Canton,"engineering,_production_and_construction",
2011,Number,Central Bosnia Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Number,Central Bosnia Canton,Health and social protection,
2011,Number,Central Bosnia Canton,Services,
2011,Number,Herzegovina-Neretva Canton,Education,
2011,Number,Herzegovina-Neretva Canton,Arts and humanities,
2011,Number,Herzegovina-Neretva Canton,"social_sciences,_journalism_and_information",
2011,Number,Herzegovina-Neretva Canton,"business,_administration_and_law",
2011,Number,Herzegovina-Neretva Canton,"natural_sciences,_mathematics_and_statistics",
2011,Number,Herzegovina-Neretva Canton,Information and communication technologies,
2011,Number,Herzegovina-Neretva Canton,"engineering,_production_and_construction",
2011,Number,Herzegovina-Neretva Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Number,Herzegovina-Neretva Canton,Health and social protection,
2011,Number,Herzegovina-Neretva Canton,Services,
2011,Number,Sarajevo Canton,Education,
2011,Number,Sarajevo Canton,Arts and humanities,
2011,Number,Sarajevo Canton,"social_sciences,_journalism_and_information",
2011,Number,Sarajevo Canton,"business,_administration_and_law",
2011,Number,Sarajevo Canton,"natural_sciences,_mathematics_and_statistics",
2011,Number,Sarajevo Canton,Information and communication technologies,
2011,Number,Sarajevo Canton,"engineering,_production_and_construction",
2011,Number,Sarajevo Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Number,Sarajevo Canton,Health and social protection,
2011,Number,Sarajevo Canton,Services,
2012,Number,Federation of Bosnia and Herzegovina,Education,
2012,Number,Federation of Bosnia and Herzegovina,Arts and humanities,
2012,Number,Federation of Bosnia and Herzegovina,"social_sciences,_journalism_and_information",
2012,Number,Federation of Bosnia and Herzegovina,"business,_administration_and_law",
2012,Number,Federation of Bosnia and Herzegovina,"natural_sciences,_mathematics_and_statistics",
2012,Number,Federation of Bosnia and Herzegovina,Information and communication technologies,
2012,Number,Federation of Bosnia and Herzegovina,"engineering,_production_and_construction",
2012,Number,Federation of Bosnia and Herzegovina,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Number,Federation of Bosnia and Herzegovina,Health and social protection,
2012,Number,Federation of Bosnia and Herzegovina,Services,
2012,Number,Una-Sana Canton,Education,
2012,Number,Una-Sana Canton,Arts and humanities,
2012,Number,Una-Sana Canton,"social_sciences,_journalism_and_information",
2012,Number,Una-Sana Canton,"business,_administration_and_law",
2012,Number,Una-Sana Canton,"natural_sciences,_mathematics_and_statistics",
2012,Number,Una-Sana Canton,Information and communication technologies,
2012,Number,Una-Sana Canton,"engineering,_production_and_construction",
2012,Number,Una-Sana Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Number,Una-Sana Canton,Health and social protection,
2012,Number,Una-Sana Canton,Services,
2012,Number,Tuzla Canton,Education,
2012,Number,Tuzla Canton,Arts and humanities,
2012,Number,Tuzla Canton,"social_sciences,_journalism_and_information",
2012,Number,Tuzla Canton,"business,_administration_and_law",
2012,Number,Tuzla Canton,"natural_sciences,_mathematics_and_statistics",
2012,Number,Tuzla Canton,Information and communication technologies,
2012,Number,Tuzla Canton,"engineering,_production_and_construction",
2012,Number,Tuzla Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Number,Tuzla Canton,Health and social protection,
2012,Number,Tuzla Canton,Services,
2012,Number,Zenica-Doboj Canton,Education,
2012,Number,Zenica-Doboj Canton,Arts and humanities,
2012,Number,Zenica-Doboj Canton,"social_sciences,_journalism_and_information",
2012,Number,Zenica-Doboj Canton,"business,_administration_and_law",
2012,Number,Zenica-Doboj Canton,"natural_sciences,_mathematics_and_statistics",
2012,Number,Zenica-Doboj Canton,Information and communication technologies,
2012,Number,Zenica-Doboj Canton,"engineering,_production_and_construction",
2012,Number,Zenica-Doboj Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Number,Zenica-Doboj Canton,Health and social protection,
2012,Number,Zenica-Doboj Canton,Services,
2012,Number,Bosnian-Podrinje Canton,Education,
2012,Number,Bosnian-Podrinje Canton,Arts and humanities,
2012,Number,Bosnian-Podrinje Canton,"social_sciences,_journalism_and_information",
2012,Number,Bosnian-Podrinje Canton,"business,_administration_and_law",
2012,Number,Bosnian-Podrinje Canton,"natural_sciences,_mathematics_and_statistics",
2012,Number,Bosnian-Podrinje Canton,Information and communication technologies,
2012,Number,Bosnian-Podrinje Canton,"engineering,_production_and_construction",
2012,Number,Bosnian-Podrinje Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Number,Bosnian-Podrinje Canton,Health and social protection,
2012,Number,Bosnian-Podrinje Canton,Services,
2012,Number,Central Bosnia Canton,Education,
2012,Number,Central Bosnia Canton,Arts and humanities,
2012,Number,Central Bosnia Canton,"social_sciences,_journalism_and_information",
2012,Number,Central Bosnia Canton,"business,_administration_and_law",
2012,Number,Central Bosnia Canton,"natural_sciences,_mathematics_and_statistics",
2012,Number,Central Bosnia Canton,Information and communication technologies,
2012,Number,Central Bosnia Canton,"engineering,_production_and_construction",
2012,Number,Central Bosnia Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Number,Central Bosnia Canton,Health and social protection,
2012,Number,Central Bosnia Canton,Services,
2012,Number,Herzegovina-Neretva Canton,Education,
2012,Number,Herzegovina-Neretva Canton,Arts and humanities,
2012,Number,Herzegovina-Neretva Canton,"social_sciences,_journalism_and_information",
2012,Number,Herzegovina-Neretva Canton,"business,_administration_and_law",
2012,Number,Herzegovina-Neretva Canton,"natural_sciences,_mathematics_and_statistics",
2012,Number,Herzegovina-Neretva Canton,Information and communication technologies,
2012,Number,Herzegovina-Neretva Canton,"engineering,_production_and_construction",
2012,Number,Herzegovina-Neretva Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Number,Herzegovina-Neretva Canton,Health and social protection,
2012,Number,Herzegovina-Neretva Canton,Services,
2012,Number,Sarajevo Canton,Education,
2012,Number,Sarajevo Canton,Arts and humanities,
2012,Number,Sarajevo Canton,"social_sciences,_journalism_and_information",
2012,Number,Sarajevo Canton,"business,_administration_and_law",
2012,Number,Sarajevo Canton,"natural_sciences,_mathematics_and_statistics",
2012,Number,Sarajevo Canton,Information and communication technologies,
2012,Number,Sarajevo Canton,"engineering,_production_and_construction",
2012,Number,Sarajevo Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Number,Sarajevo Canton,Health and social protection,
2012,Number,Sarajevo Canton,Services,
2013,Number,Federation of Bosnia and Herzegovina,Education,
2013,Number,Federation of Bosnia and Herzegovina,Arts and humanities,
2013,Number,Federation of Bosnia and Herzegovina,"social_sciences,_journalism_and_information",
2013,Number,Federation of Bosnia and Herzegovina,"business,_administration_and_law",
2013,Number,Federation of Bosnia and Herzegovina,"natural_sciences,_mathematics_and_statistics",
2013,Number,Federation of Bosnia and Herzegovina,Information and communication technologies,
2013,Number,Federation of Bosnia and Herzegovina,"engineering,_production_and_construction",
2013,Number,Federation of Bosnia and Herzegovina,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Number,Federation of Bosnia and Herzegovina,Health and social protection,
2013,Number,Federation of Bosnia and Herzegovina,Services,
2013,Number,Una-Sana Canton,Education,
2013,Number,Una-Sana Canton,Arts and humanities,
2013,Number,Una-Sana Canton,"social_sciences,_journalism_and_information",
2013,Number,Una-Sana Canton,"business,_administration_and_law",
2013,Number,Una-Sana Canton,"natural_sciences,_mathematics_and_statistics",
2013,Number,Una-Sana Canton,Information and communication technologies,
2013,Number,Una-Sana Canton,"engineering,_production_and_construction",
2013,Number,Una-Sana Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Number,Una-Sana Canton,Health and social protection,
2013,Number,Una-Sana Canton,Services,
2013,Number,Tuzla Canton,Education,
2013,Number,Tuzla Canton,Arts and humanities,
2013,Number,Tuzla Canton,"social_sciences,_journalism_and_information",
2013,Number,Tuzla Canton,"business,_administration_and_law",
2013,Number,Tuzla Canton,"natural_sciences,_mathematics_and_statistics",
2013,Number,Tuzla Canton,Information and communication technologies,
2013,Number,Tuzla Canton,"engineering,_production_and_construction",
2013,Number,Tuzla Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Number,Tuzla Canton,Health and social protection,
2013,Number,Tuzla Canton,Services,
2013,Number,Zenica-Doboj Canton,Education,
2013,Number,Zenica-Doboj Canton,Arts and humanities,
2013,Number,Zenica-Doboj Canton,"social_sciences,_journalism_and_information",
2013,Number,Zenica-Doboj Canton,"business,_administration_and_law",
2013,Number,Zenica-Doboj Canton,"natural_sciences,_mathematics_and_statistics",
2013,Number,Zenica-Doboj Canton,Information and communication technologies,
2013,Number,Zenica-Doboj Canton,"engineering,_production_and_construction",
2013,Number,Zenica-Doboj Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Number,Zenica-Doboj Canton,Health and social protection,
2013,Number,Zenica-Doboj Canton,Services,
2013,Number,Bosnian-Podrinje Canton,Education,
2013,Number,Bosnian-Podrinje Canton,Arts and humanities,
2013,Number,Bosnian-Podrinje Canton,"social_sciences,_journalism_and_information",
2013,Number,Bosnian-Podrinje Canton,"business,_administration_and_law",
2013,Number,Bosnian-Podrinje Canton,"natural_sciences,_mathematics_and_statistics",
2013,Number,Bosnian-Podrinje Canton,Information and communication technologies,
2013,Number,Bosnian-Podrinje Canton,"engineering,_production_and_construction",
2013,Number,Bosnian-Podrinje Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Number,Bosnian-Podrinje Canton,Health and social protection,
2013,Number,Bosnian-Podrinje Canton,Services,
2013,Number,Central Bosnia Canton,Education,
2013,Number,Central Bosnia Canton,Arts and humanities,
2013,Number,Central Bosnia Canton,"social_sciences,_journalism_and_information",
2013,Number,Central Bosnia Canton,"business,_administration_and_law",
2013,Number,Central Bosnia Canton,"natural_sciences,_mathematics_and_statistics",
2013,Number,Central Bosnia Canton,Information and communication technologies,
2013,Number,Central Bosnia Canton,"engineering,_production_and_construction",
2013,Number,Central Bosnia Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Number,Central Bosnia Canton,Health and social protection,
2013,Number,Central Bosnia Canton,Services,
2013,Number,Herzegovina-Neretva Canton,Education,
2013,Number,Herzegovina-Neretva Canton,Arts and humanities,
2013,Number,Herzegovina-Neretva Canton,"social_sciences,_journalism_and_information",
2013,Number,Herzegovina-Neretva Canton,"business,_administration_and_law",
2013,Number,Herzegovina-Neretva Canton,"natural_sciences,_mathematics_and_statistics",
2013,Number,Herzegovina-Neretva Canton,Information and communication technologies,
2013,Number,Herzegovina-Neretva Canton,"engineering,_production_and_construction",
2013,Number,Herzegovina-Neretva Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Number,Herzegovina-Neretva Canton,Health and social protection,
2013,Number,Herzegovina-Neretva Canton,Services,
2013,Number,Sarajevo Canton,Education,
2013,Number,Sarajevo Canton,Arts and humanities,
2013,Number,Sarajevo Canton,"social_sciences,_journalism_and_information",
2013,Number,Sarajevo Canton,"business,_administration_and_law",
2013,Number,Sarajevo Canton,"natural_sciences,_mathematics_and_statistics",
2013,Number,Sarajevo Canton,Information and communication technologies,
2013,Number,Sarajevo Canton,"engineering,_production_and_construction",
2013,Number,Sarajevo Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Number,Sarajevo Canton,Health and social protection,
2013,Number,Sarajevo Canton,Services,
2014,Number,Federation of Bosnia and Herzegovina,Education,
2014,Number,Federation of Bosnia and Herzegovina,Arts and humanities,
2014,Number,Federation of Bosnia and Herzegovina,"social_sciences,_journalism_and_information",
2014,Number,Federation of Bosnia and Herzegovina,"business,_administration_and_law",
2014,Number,Federation of Bosnia and Herzegovina,"natural_sciences,_mathematics_and_statistics",
2014,Number,Federation of Bosnia and Herzegovina,Information and communication technologies,
2014,Number,Federation of Bosnia and Herzegovina,"engineering,_production_and_construction",
2014,Number,Federation of Bosnia and Herzegovina,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Number,Federation of Bosnia and Herzegovina,Health and social protection,
2014,Number,Federation of Bosnia and Herzegovina,Services,
2014,Number,Una-Sana Canton,Education,
2014,Number,Una-Sana Canton,Arts and humanities,
2014,Number,Una-Sana Canton,"social_sciences,_journalism_and_information",
2014,Number,Una-Sana Canton,"business,_administration_and_law",
2014,Number,Una-Sana Canton,"natural_sciences,_mathematics_and_statistics",
2014,Number,Una-Sana Canton,Information and communication technologies,
2014,Number,Una-Sana Canton,"engineering,_production_and_construction",
2014,Number,Una-Sana Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Number,Una-Sana Canton,Health and social protection,
2014,Number,Una-Sana Canton,Services,
2014,Number,Tuzla Canton,Education,
2014,Number,Tuzla Canton,Arts and humanities,
2014,Number,Tuzla Canton,"social_sciences,_journalism_and_information",
2014,Number,Tuzla Canton,"business,_administration_and_law",
2014,Number,Tuzla Canton,"natural_sciences,_mathematics_and_statistics",
2014,Number,Tuzla Canton,Information and communication technologies,
2014,Number,Tuzla Canton,"engineering,_production_and_construction",
2014,Number,Tuzla Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Number,Tuzla Canton,Health and social protection,
2014,Number,Tuzla Canton,Services,
2014,Number,Zenica-Doboj Canton,Education,
2014,Number,Zenica-Doboj Canton,Arts and humanities,
2014,Number,Zenica-Doboj Canton,"social_sciences,_journalism_and_information",
2014,Number,Zenica-Doboj Canton,"business,_administration_and_law",
2014,Number,Zenica-Doboj Canton,"natural_sciences,_mathematics_and_statistics",
2014,Number,Zenica-Doboj Canton,Information and communication technologies,
2014,Number,Zenica-Doboj Canton,"engineering,_production_and_construction",
2014,Number,Zenica-Doboj Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Number,Zenica-Doboj Canton,Health and social protection,
2014,Number,Zenica-Doboj Canton,Services,
2014,Number,Bosnian-Podrinje Canton,Education,
2014,Number,Bosnian-Podrinje Canton,Arts and humanities,
2014,Number,Bosnian-Podrinje Canton,"social_sciences,_journalism_and_information",
2014,Number,Bosnian-Podrinje Canton,"business,_administration_and_law",
2014,Number,Bosnian-Podrinje Canton,"natural_sciences,_mathematics_and_statistics",
2014,Number,Bosnian-Podrinje Canton,Information and communication technologies,
2014,Number,Bosnian-Podrinje Canton,"engineering,_production_and_construction",
2014,Number,Bosnian-Podrinje Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Number,Bosnian-Podrinje Canton,Health and social protection,
2014,Number,Bosnian-Podrinje Canton,Services,
2014,Number,Central Bosnia Canton,Education,
2014,Number,Central Bosnia Canton,Arts and humanities,
2014,Number,Central Bosnia Canton,"social_sciences,_journalism_and_information",
2014,Number,Central Bosnia Canton,"business,_administration_and_law",
2014,Number,Central Bosnia Canton,"natural_sciences,_mathematics_and_statistics",
2014,Number,Central Bosnia Canton,Information and communication technologies,
2014,Number,Central Bosnia Canton,"engineering,_production_and_construction",
2014,Number,Central Bosnia Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Number,Central Bosnia Canton,Health and social protection,
2014,Number,Central Bosnia Canton,Services,
2014,Number,Herzegovina-Neretva Canton,Education,
2014,Number,Herzegovina-Neretva Canton,Arts and humanities,
2014,Number,Herzegovina-Neretva Canton,"social_sciences,_journalism_and_information",
2014,Number,Herzegovina-Neretva Canton,"business,_administration_and_law",
2014,Number,Herzegovina-Neretva Canton,"natural_sciences,_mathematics_and_statistics",
2014,Number,Herzegovina-Neretva Canton,Information and communication technologies,
2014,Number,Herzegovina-Neretva Canton,"engineering,_production_and_construction",
2014,Number,Herzegovina-Neretva Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Number,Herzegovina-Neretva Canton,Health and social protection,
2014,Number,Herzegovina-Neretva Canton,Services,
2014,Number,Sarajevo Canton,Education,
2014,Number,Sarajevo Canton,Arts and humanities,
2014,Number,Sarajevo Canton,"social_sciences,_journalism_and_information",
2014,Number,Sarajevo Canton,"business,_administration_and_law",
2014,Number,Sarajevo Canton,"natural_sciences,_mathematics_and_statistics",
2014,Number,Sarajevo Canton,Information and communication technologies,
2014,Number,Sarajevo Canton,"engineering,_production_and_construction",
2014,Number,Sarajevo Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Number,Sarajevo Canton,Health and social protection,
2014,Number,Sarajevo Canton,Services,
2015,Number,Federation of Bosnia and Herzegovina,Education,
2015,Number,Federation of Bosnia and Herzegovina,Arts and humanities,
2015,Number,Federation of Bosnia and Herzegovina,"social_sciences,_journalism_and_information",
2015,Number,Federation of Bosnia and Herzegovina,"business,_administration_and_law",
2015,Number,Federation of Bosnia and Herzegovina,"natural_sciences,_mathematics_and_statistics",
2015,Number,Federation of Bosnia and Herzegovina,Information and communication technologies,
2015,Number,Federation of Bosnia and Herzegovina,"engineering,_production_and_construction",
2015,Number,Federation of Bosnia and Herzegovina,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2015,Number,Federation of Bosnia and Herzegovina,Health and social protection,
2015,Number,Federation of Bosnia and Herzegovina,Services,
2015,Number,Una-Sana Canton,Education,
2015,Number,Una-Sana Canton,Arts and humanities,
2015,Number,Una-Sana Canton,"social_sciences,_journalism_and_information",
2015,Number,Una-Sana Canton,"business,_administration_and_law",
2015,Number,Una-Sana Canton,"natural_sciences,_mathematics_and_statistics",
2015,Number,Una-Sana Canton,Information and communication technologies,
2015,Number,Una-Sana Canton,"engineering,_production_and_construction",
2015,Number,Una-Sana Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2015,Number,Una-Sana Canton,Health and social protection,
2015,Number,Una-Sana Canton,Services,
2015,Number,Tuzla Canton,Education,
2015,Number,Tuzla Canton,Arts and humanities,
2015,Number,Tuzla Canton,"social_sciences,_journalism_and_information",
2015,Number,Tuzla Canton,"business,_administration_and_law",
2015,Number,Tuzla Canton,"natural_sciences,_mathematics_and_statistics",
2015,Number,Tuzla Canton,Information and communication technologies,
2015,Number,Tuzla Canton,"engineering,_production_and_construction",
2015,Number,Tuzla Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2015,Number,Tuzla Canton,Health and social protection,
2015,Number,Tuzla Canton,Services,
2015,Number,Zenica-Doboj Canton,Education,
2015,Number,Zenica-Doboj Canton,Arts and humanities,
2015,Number,Zenica-Doboj Canton,"social_sciences,_journalism_and_information",
2015,Number,Zenica-Doboj Canton,"business,_administration_and_law",
2015,Number,Zenica-Doboj Canton,"natural_sciences,_mathematics_and_statistics",
2015,Number,Zenica-Doboj Canton,Information and communication technologies,
2015,Number,Zenica-Doboj Canton,"engineering,_production_and_construction",
2015,Number,Zenica-Doboj Canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2015,Number,Zenica-Doboj Canton,Health and social protection,
2015,Number,Zenica-Doboj Canton,Services,
2015,Number,Bosnian-Podrinje Canton,Education,
2015,Number,Bosnian-Podrinje Canton,Arts and humanities,
2015,Number,Bosnian-Podrinje Canton,"social_sciences,_journalism_and_information",
2015,Number,Bosnian-Podrinje Canton,"business,_administration_and_law",
2015,Number,Bosnian-Podrinje Canton,"natural_sciences,_mathematics_and_statistics",
