Year,UNIT_MEASURE,Administrative Area,Sex,Value
2019,Number,Herzegovina-Neretva Canton,F,1029
2020,Number,Herzegovina-Neretva Canton,F,947
2021,Number,Herzegovina-Neretva Canton,F,872
2022,Number,Herzegovina-Neretva Canton,F,804
2023,Number,Herzegovina-Neretva Canton,F,874
2010,Number,West Herzegovina Canton,Both sexes,1280
2011,Number,West Herzegovina Canton,Both sexes,1226
2012,Number,West Herzegovina Canton,Both sexes,1346
2013,Number,West Herzegovina Canton,Both sexes,1291
2014,Number,West Herzegovina Canton,Both sexes,1154
2015,Number,West Herzegovina Canton,Both sexes,1080
2016,Number,West Herzegovina Canton,Both sexes,1285
2017,Number,West Herzegovina Canton,Both sexes,1490
2018,Number,West Herzegovina Canton,Both sexes,681
2019,Number,West Herzegovina Canton,Both sexes,827
2020,Number,West Herzegovina Canton,Both sexes,916
2021,Number,West Herzegovina Canton,Both sexes,957
2022,Number,West Herzegovina Canton,Both sexes,831
2023,Number,West Herzegovina Canton,Both sexes,878
2010,Number,West Herzegovina Canton,M,670
2011,Number,West Herzegovina Canton,M,632
2012,Number,West Herzegovina Canton,M,676
2013,Number,West Herzegovina Canton,M,630
2014,Number,West Herzegovina Canton,M,562
2015,Number,West Herzegovina Canton,M,566
2016,Number,West Herzegovina Canton,M,633
2017,Number,West Herzegovina Canton,M,766
2018,Number,West Herzegovina Canton,M,372
2019,Number,West Herzegovina Canton,M,417
2020,Number,West Herzegovina Canton,M,475
2021,Number,West Herzegovina Canton,M,469
2022,Number,West Herzegovina Canton,M,471
2023,Number,West Herzegovina Canton,M,467
2010,Number,West Herzegovina Canton,F,610
2011,Number,West Herzegovina Canton,F,594
2012,Number,West Herzegovina Canton,F,670
2013,Number,West Herzegovina Canton,F,661
2014,Number,West Herzegovina Canton,F,592
2015,Number,West Herzegovina Canton,F,514
2016,Number,West Herzegovina Canton,F,652
2017,Number,West Herzegovina Canton,F,724
2018,Number,West Herzegovina Canton,F,309
2019,Number,West Herzegovina Canton,F,410
2020,Number,West Herzegovina Canton,F,441
2021,Number,West Herzegovina Canton,F,488
2022,Number,West Herzegovina Canton,F,360
2023,Number,West Herzegovina Canton,F,411
2010,Number,Sarajevo Canton,Both sexes,5433
2011,Number,Sarajevo Canton,Both sexes,5900
2012,Number,Sarajevo Canton,Both sexes,4730
2013,Number,Sarajevo Canton,Both sexes,2612
2014,Number,Sarajevo Canton,Both sexes,4486
2015,Number,Sarajevo Canton,Both sexes,4183
2016,Number,Sarajevo Canton,Both sexes,3897
2017,Number,Sarajevo Canton,Both sexes,3900
2018,Number,Sarajevo Canton,Both sexes,3926
2019,Number,Sarajevo Canton,Both sexes,3838
2020,Number,Sarajevo Canton,Both sexes,3704
2021,Number,Sarajevo Canton,Both sexes,3890
2022,Number,Sarajevo Canton,Both sexes,3957
2023,Number,Sarajevo Canton,Both sexes,4064
2010,Number,Sarajevo Canton,M,2777
2011,Number,Sarajevo Canton,M,2990
2012,Number,Sarajevo Canton,M,2453
2013,Number,Sarajevo Canton,M,1335
2014,Number,Sarajevo Canton,M,2299
2015,Number,Sarajevo Canton,M,2108
2016,Number,Sarajevo Canton,M,2002
2017,Number,Sarajevo Canton,M,1996
2018,Number,Sarajevo Canton,M,2042
2019,Number,Sarajevo Canton,M,2024
2020,Number,Sarajevo Canton,M,1917
2021,Number,Sarajevo Canton,M,1993
2022,Number,Sarajevo Canton,M,1990
2023,Number,Sarajevo Canton,M,2105
2010,Number,Sarajevo Canton,F,2656
2011,Number,Sarajevo Canton,F,2910
2012,Number,Sarajevo Canton,F,2277
2013,Number,Sarajevo Canton,F,1277
2014,Number,Sarajevo Canton,F,2187
2015,Number,Sarajevo Canton,F,2075
2016,Number,Sarajevo Canton,F,1895
2017,Number,Sarajevo Canton,F,1904
2018,Number,Sarajevo Canton,F,1884
2019,Number,Sarajevo Canton,F,1814
2020,Number,Sarajevo Canton,F,1787
2021,Number,Sarajevo Canton,F,1897
2022,Number,Sarajevo Canton,F,1967
2023,Number,Sarajevo Canton,F,1959
2010,Number,Canton 10,Both sexes,736
2011,Number,Canton 10,Both sexes,859
2012,Number,Canton 10,Both sexes,853
2013,Number,Canton 10,Both sexes,723
2014,Number,Canton 10,Both sexes,727
2015,Number,Canton 10,Both sexes,412
2016,Number,Canton 10,Both sexes,585
2017,Number,Canton 10,Both sexes,609
2018,Number,Canton 10,Both sexes,611
2019,Number,Canton 10,Both sexes,559
2020,Number,Canton 10,Both sexes,505
2021,Number,Canton 10,Both sexes,507
2022,Number,Canton 10,Both sexes,439
2023,Number,Canton 10,Both sexes,468
2010,Number,Canton 10,M,387
2011,Number,Canton 10,M,419
2012,Number,Canton 10,M,393
2013,Number,Canton 10,M,398
2014,Number,Canton 10,M,372
2015,Number,Canton 10,M,209
2016,Number,Canton 10,M,293
2017,Number,Canton 10,M,323
2018,Number,Canton 10,M,312
2019,Number,Canton 10,M,276
2020,Number,Canton 10,M,281
2021,Number,Canton 10,M,253
2022,Number,Canton 10,M,221
2023,Number,Canton 10,M,246
2010,Number,Canton 10,F,349
2011,Number,Canton 10,F,440
2012,Number,Canton 10,F,460
2013,Number,Canton 10,F,325
2014,Number,Canton 10,F,355
2015,Number,Canton 10,F,203
2016,Number,Canton 10,F,292
2017,Number,Canton 10,F,286
2018,Number,Canton 10,F,299
2019,Number,Canton 10,F,283
2020,Number,Canton 10,F,224
2021,Number,Canton 10,F,254
2022,Number,Canton 10,F,218
2023,Number,Canton 10,F,222
