Year,UNIT_MEASURE,Administrative Area,Sex,Type of disability,Value
2013,Number,Federation of Bosnia and Herzegovina,F ,"Hearing, even with the use of hearing aids",21978
2013,Number,Federation of Bosnia and Herzegovina,F ,Walking or climbing the stairs,66911
2013,Number,Federation of Bosnia and Herzegovina,F ,Remembering or concentrating,19581
2013,Number,Federation of Bosnia and Herzegovina,F ,Dressing and personal hygiene,14028
2013,Number,Federation of Bosnia and Herzegovina,F ,Communication,10334
2013,Number,Federation of Bosnia and Herzegovina,F ,With multiple disabilities,39683
2013,Number,Una-Sana Canton,F ,Total,10651
2013,Number,Una-Sana Canton,F ,"Seeing, even with the use of seeing aids",5006
2013,Number,Una-Sana Canton,F ,"Hearing, even with the use of hearing aids",2529
2013,Number,Una-Sana Canton,F ,Walking or climbing the stairs,6619
2013,Number,Una-Sana Canton,F ,Remembering or concentrating,2161
2013,Number,Una-Sana Canton,F ,Dressing and personal hygiene,1449
2013,Number,Una-Sana Canton,F ,Communication,1178
2013,Number,Una-Sana Canton,F ,With multiple disabilities,4114
2013,Number,Posavina Canton,F ,Total,1802
2013,Number,Posavina Canton,F ,"Seeing, even with the use of seeing aids",794
2013,Number,Posavina Canton,F ,"Hearing, even with the use of hearing aids",394
2013,Number,Posavina Canton,F ,Walking or climbing the stairs,1155
2013,Number,Posavina Canton,F ,Remembering or concentrating,322
2013,Number,Posavina Canton,F ,Dressing and personal hygiene,216
2013,Number,Posavina Canton,F ,Communication,172
2013,Number,Posavina Canton,F ,With multiple disabilities,645
2013,Number,Tuzla Canton,F ,Total,24724
2013,Number,Tuzla Canton,F ,"Seeing, even with the use of seeing aids",11284
2013,Number,Tuzla Canton,F ,"Hearing, even with the use of hearing aids",5295
2013,Number,Tuzla Canton,F ,Walking or climbing the stairs,16720
2013,Number,Tuzla Canton,F ,Remembering or concentrating,5347
2013,Number,Tuzla Canton,F ,Dressing and personal hygiene,3277
2013,Number,Tuzla Canton,F ,Communication,2361
2013,Number,Tuzla Canton,F ,With multiple disabilities,10252
2013,Number,Zenica-Doboj Canton,F ,Total,16513
2013,Number,Zenica-Doboj Canton,F ,"Seeing, even with the use of seeing aids",7154
2013,Number,Zenica-Doboj Canton,F ,"Hearing, even with the use of hearing aids",3334
2013,Number,Zenica-Doboj Canton,F ,Walking or climbing the stairs,11058
2013,Number,Zenica-Doboj Canton,F ,Remembering or concentrating,2990
2013,Number,Zenica-Doboj Canton,F ,Dressing and personal hygiene,2264
2013,Number,Zenica-Doboj Canton,F ,Communication,1643
2013,Number,Zenica-Doboj Canton,F ,With multiple disabilities,6376
2013,Number,Bosnian-Podrinje Canton,F ,Total,1469
2013,Number,Bosnian-Podrinje Canton,F ,"Seeing, even with the use of seeing aids",611
2013,Number,Bosnian-Podrinje Canton,F ,"Hearing, even with the use of hearing aids",359
2013,Number,Bosnian-Podrinje Canton,F ,Walking or climbing the stairs,1050
2013,Number,Bosnian-Podrinje Canton,F ,Remembering or concentrating,316
2013,Number,Bosnian-Podrinje Canton,F ,Dressing and personal hygiene,195
2013,Number,Bosnian-Podrinje Canton,F ,Communication,148
2013,Number,Bosnian-Podrinje Canton,F ,With multiple disabilities,607
2013,Number,Central Bosnia Canton,F ,Total,10848
2013,Number,Central Bosnia Canton,F ,"Seeing, even with the use of seeing aids",4714
2013,Number,Central Bosnia Canton,F ,"Hearing, even with the use of hearing aids",2345
2013,Number,Central Bosnia Canton,F ,Walking or climbing the stairs,6787
2013,Number,Central Bosnia Canton,F ,Remembering or concentrating,2147
2013,Number,Central Bosnia Canton,F ,Dressing and personal hygiene,1508
2013,Number,Central Bosnia Canton,F ,Communication,1286
2013,Number,Central Bosnia Canton,F ,With multiple disabilities,4246
2013,Number,Herzegovina-Neretva Canton,F ,Total,8071
2013,Number,Herzegovina-Neretva Canton,F ,"Seeing, even with the use of seeing aids",3307
2013,Number,Herzegovina-Neretva Canton,F ,"Hearing, even with the use of hearing aids",1940
2013,Number,Herzegovina-Neretva Canton,F ,Walking or climbing the stairs,5462
2013,Number,Herzegovina-Neretva Canton,F ,Remembering or concentrating,1490
2013,Number,Herzegovina-Neretva Canton,F ,Dressing and personal hygiene,1219
2013,Number,Herzegovina-Neretva Canton,F ,Communication,911
2013,Number,Herzegovina-Neretva Canton,F ,With multiple disabilities,3138
2013,Number,West Herzegovina Canton,F ,Total,2721
2013,Number,West Herzegovina Canton,F ,"Seeing, even with the use of seeing aids",1073
2013,Number,West Herzegovina Canton,F ,"Hearing, even with the use of hearing aids",682
2013,Number,West Herzegovina Canton,F ,Walking or climbing the stairs,1860
2013,Number,West Herzegovina Canton,F ,Remembering or concentrating,524
2013,Number,West Herzegovina Canton,F ,Dressing and personal hygiene,467
2013,Number,West Herzegovina Canton,F ,Communication,374
2013,Number,West Herzegovina Canton,F ,With multiple disabilities,1062
2013,Number,Sarajevo Canton,F ,Total,20688
2013,Number,Sarajevo Canton,F ,"Seeing, even with the use of seeing aids",8538
2013,Number,Sarajevo Canton,F ,"Hearing, even with the use of hearing aids",4411
2013,Number,Sarajevo Canton,F ,Walking or climbing the stairs,14396
2013,Number,Sarajevo Canton,F ,Remembering or concentrating,3820
2013,Number,Sarajevo Canton,F ,Dressing and personal hygiene,3000
2013,Number,Sarajevo Canton,F ,Communication,1925
2013,Number,Sarajevo Canton,F ,With multiple disabilities,8164
2013,Number,Canton 10,F ,Total,2745
2013,Number,Canton 10,F ,"Seeing, even with the use of seeing aids",1186
2013,Number,Canton 10,F ,"Hearing, even with the use of hearing aids",689
2013,Number,Canton 10,F ,Walking or climbing the stairs,1804
2013,Number,Canton 10,F ,Remembering or concentrating,464
2013,Number,Canton 10,F ,Dressing and personal hygiene,433
2013,Number,Canton 10,F ,Communication,336
2013,Number,Canton 10,F ,With multiple disabilities,1079
