Year,UNIT_MEASURE,Administrative Area,Sex,Value
2016,Number,Tuzla Canton,Both sexes,38927
2017,Number,Tuzla Canton,Both sexes,38111
2018,Number,Tuzla Canton,Both sexes,37612
2019,Number,Tuzla Canton,Both sexes,36655
2020,Number,Tuzla Canton,Both sexes,35839
2021,Number,Tuzla Canton,Both sexes,35907
2022,Number,Tuzla Canton,Both sexes,35212
2023,Number,Tuzla Canton,Both sexes,34675
2010,Number,Tuzla Canton,M,23384
2011,Number,Tuzla Canton,M,21677
2012,Number,Tuzla Canton,M,20541
2013,Number,Tuzla Canton,M,20406
2014,Number,Tuzla Canton,M,20369
2015,Number,Tuzla Canton,M,20239
2016,Number,Tuzla Canton,M,20055
2017,Number,Tuzla Canton,M,19688
2018,Number,Tuzla Canton,M,19487
2019,Number,Tuzla Canton,M,18904
2020,Number,Tuzla Canton,M,18474
2021,Number,Tuzla Canton,M,18448
2022,Number,Tuzla Canton,M,18006
2023,Number,Tuzla Canton,M,17727
2010,Number,Tuzla Canton,F,22137
2011,Number,Tuzla Canton,F,20413
2012,Number,Tuzla Canton,F,19449
2013,Number,Tuzla Canton,F,19530
2014,Number,Tuzla Canton,F,19384
2015,Number,Tuzla Canton,F,19177
2016,Number,Tuzla Canton,F,18872
2017,Number,Tuzla Canton,F,18423
2018,Number,Tuzla Canton,F,18125
2019,Number,Tuzla Canton,F,17751
2020,Number,Tuzla Canton,F,17365
2021,Number,Tuzla Canton,F,17459
2022,Number,Tuzla Canton,F,17206
2023,Number,Tuzla Canton,F,16948
2010,Number,Zenica-Doboj Canton,Both sexes,39171
2011,Number,Zenica-Doboj Canton,Both sexes,36257
2012,Number,Zenica-Doboj Canton,Both sexes,35320
2013,Number,Zenica-Doboj Canton,Both sexes,35210
2014,Number,Zenica-Doboj Canton,Both sexes,34585
2015,Number,Zenica-Doboj Canton,Both sexes,34089
2016,Number,Zenica-Doboj Canton,Both sexes,34371
2017,Number,Zenica-Doboj Canton,Both sexes,33529
2018,Number,Zenica-Doboj Canton,Both sexes,32952
2019,Number,Zenica-Doboj Canton,Both sexes,32698
2020,Number,Zenica-Doboj Canton,Both sexes,31774
2021,Number,Zenica-Doboj Canton,Both sexes,31747
2022,Number,Zenica-Doboj Canton,Both sexes,30901
2023,Number,Zenica-Doboj Canton,Both sexes,30540
2010,Number,Zenica-Doboj Canton,M,20129
2011,Number,Zenica-Doboj Canton,M,18500
2012,Number,Zenica-Doboj Canton,M,18047
2013,Number,Zenica-Doboj Canton,M,17958
2014,Number,Zenica-Doboj Canton,M,17638
2015,Number,Zenica-Doboj Canton,M,17622
2016,Number,Zenica-Doboj Canton,M,17808
2017,Number,Zenica-Doboj Canton,M,17162
2018,Number,Zenica-Doboj Canton,M,16897
2019,Number,Zenica-Doboj Canton,M,16727
2020,Number,Zenica-Doboj Canton,M,16391
2021,Number,Zenica-Doboj Canton,M,16585
2022,Number,Zenica-Doboj Canton,M,15983
2023,Number,Zenica-Doboj Canton,M,15724
2010,Number,Zenica-Doboj Canton,F,19042
2011,Number,Zenica-Doboj Canton,F,17757
2012,Number,Zenica-Doboj Canton,F,17273
2013,Number,Zenica-Doboj Canton,F,17252
2014,Number,Zenica-Doboj Canton,F,16947
2015,Number,Zenica-Doboj Canton,F,16467
2016,Number,Zenica-Doboj Canton,F,16563
2017,Number,Zenica-Doboj Canton,F,16367
2018,Number,Zenica-Doboj Canton,F,16055
2019,Number,Zenica-Doboj Canton,F,15971
2020,Number,Zenica-Doboj Canton,F,15383
2021,Number,Zenica-Doboj Canton,F,15162
2022,Number,Zenica-Doboj Canton,F,14918
2023,Number,Zenica-Doboj Canton,F,14816
2010,Number,Bosnian-Podrinje Canton,Both sexes,2506
2011,Number,Bosnian-Podrinje Canton,Both sexes,2245
2012,Number,Bosnian-Podrinje Canton,Both sexes,2062
2013,Number,Bosnian-Podrinje Canton,Both sexes,2061
2014,Number,Bosnian-Podrinje Canton,Both sexes,1950
2015,Number,Bosnian-Podrinje Canton,Both sexes,1908
2016,Number,Bosnian-Podrinje Canton,Both sexes,1929
2017,Number,Bosnian-Podrinje Canton,Both sexes,1889
2018,Number,Bosnian-Podrinje Canton,Both sexes,1871
2019,Number,Bosnian-Podrinje Canton,Both sexes,1891
2020,Number,Bosnian-Podrinje Canton,Both sexes,1947
2021,Number,Bosnian-Podrinje Canton,Both sexes,1995
2022,Number,Bosnian-Podrinje Canton,Both sexes,2006
2023,Number,Bosnian-Podrinje Canton,Both sexes,2008
2010,Number,Bosnian-Podrinje Canton,M,1303
2011,Number,Bosnian-Podrinje Canton,M,1179
2012,Number,Bosnian-Podrinje Canton,M,1082
2013,Number,Bosnian-Podrinje Canton,M,1077
2014,Number,Bosnian-Podrinje Canton,M,1018
2015,Number,Bosnian-Podrinje Canton,M,1002
2016,Number,Bosnian-Podrinje Canton,M,1015
2017,Number,Bosnian-Podrinje Canton,M,979
2018,Number,Bosnian-Podrinje Canton,M,982
2019,Number,Bosnian-Podrinje Canton,M,981
2020,Number,Bosnian-Podrinje Canton,M,1008
2021,Number,Bosnian-Podrinje Canton,M,1037
2022,Number,Bosnian-Podrinje Canton,M,1062
2023,Number,Bosnian-Podrinje Canton,M,1074
2010,Number,Bosnian-Podrinje Canton,F,1203
2011,Number,Bosnian-Podrinje Canton,F,1066
2012,Number,Bosnian-Podrinje Canton,F,980
2013,Number,Bosnian-Podrinje Canton,F,984
2014,Number,Bosnian-Podrinje Canton,F,932
2015,Number,Bosnian-Podrinje Canton,F,906
2016,Number,Bosnian-Podrinje Canton,F,914
2017,Number,Bosnian-Podrinje Canton,F,910
2018,Number,Bosnian-Podrinje Canton,F,889
2019,Number,Bosnian-Podrinje Canton,F,910
2020,Number,Bosnian-Podrinje Canton,F,939
2021,Number,Bosnian-Podrinje Canton,F,958
2022,Number,Bosnian-Podrinje Canton,F,944
2023,Number,Bosnian-Podrinje Canton,F,934
2010,Number,Central Bosnia Canton,Both sexes,27337
2011,Number,Central Bosnia Canton,Both sexes,25704
2012,Number,Central Bosnia Canton,Both sexes,24541
2013,Number,Central Bosnia Canton,Both sexes,23658
2014,Number,Central Bosnia Canton,Both sexes,22930
2015,Number,Central Bosnia Canton,Both sexes,22155
2016,Number,Central Bosnia Canton,Both sexes,21547
2017,Number,Central Bosnia Canton,Both sexes,20974
2018,Number,Central Bosnia Canton,Both sexes,21729
2019,Number,Central Bosnia Canton,Both sexes,20826
2020,Number,Central Bosnia Canton,Both sexes,20009
2021,Number,Central Bosnia Canton,Both sexes,19185
2022,Number,Central Bosnia Canton,Both sexes,18572
2023,Number,Central Bosnia Canton,Both sexes,17903
2010,Number,Central Bosnia Canton,M,14099
2011,Number,Central Bosnia Canton,M,13219
2012,Number,Central Bosnia Canton,M,12573
2013,Number,Central Bosnia Canton,M,12162
2014,Number,Central Bosnia Canton,M,11847
2015,Number,Central Bosnia Canton,M,11488
2016,Number,Central Bosnia Canton,M,11149
2017,Number,Central Bosnia Canton,M,10828
2018,Number,Central Bosnia Canton,M,11253
2019,Number,Central Bosnia Canton,M,10781
2020,Number,Central Bosnia Canton,M,10334
2021,Number,Central Bosnia Canton,M,9903
2022,Number,Central Bosnia Canton,M,9573
2023,Number,Central Bosnia Canton,M,9250
2010,Number,Central Bosnia Canton,F,13238
2011,Number,Central Bosnia Canton,F,12485
2012,Number,Central Bosnia Canton,F,11968
2013,Number,Central Bosnia Canton,F,11496
2014,Number,Central Bosnia Canton,F,11083
2015,Number,Central Bosnia Canton,F,10667
2016,Number,Central Bosnia Canton,F,10398
2017,Number,Central Bosnia Canton,F,10146
2018,Number,Central Bosnia Canton,F,10476
2019,Number,Central Bosnia Canton,F,10045
2020,Number,Central Bosnia Canton,F,9675
2021,Number,Central Bosnia Canton,F,9282
2022,Number,Central Bosnia Canton,F,8999
2023,Number,Central Bosnia Canton,F,8653
2010,Number,Herzegovina-Neretva Canton,Both sexes,21162
2011,Number,Herzegovina-Neretva Canton,Both sexes,19909
2012,Number,Herzegovina-Neretva Canton,Both sexes,18844
2013,Number,Herzegovina-Neretva Canton,Both sexes,18195
2014,Number,Herzegovina-Neretva Canton,Both sexes,18121
2015,Number,Herzegovina-Neretva Canton,Both sexes,17785
2016,Number,Herzegovina-Neretva Canton,Both sexes,17365
2017,Number,Herzegovina-Neretva Canton,Both sexes,17337
2018,Number,Herzegovina-Neretva Canton,Both sexes,17262
2019,Number,Herzegovina-Neretva Canton,Both sexes,16852
2020,Number,Herzegovina-Neretva Canton,Both sexes,16555
2021,Number,Herzegovina-Neretva Canton,Both sexes,16531
2022,Number,Herzegovina-Neretva Canton,Both sexes,16318
2023,Number,Herzegovina-Neretva Canton,Both sexes,15841
2010,Number,Herzegovina-Neretva Canton,M,10858
2011,Number,Herzegovina-Neretva Canton,M,10183
2012,Number,Herzegovina-Neretva Canton,M,9548
2013,Number,Herzegovina-Neretva Canton,M,9285
2014,Number,Herzegovina-Neretva Canton,M,9311
2015,Number,Herzegovina-Neretva Canton,M,9087
2016,Number,Herzegovina-Neretva Canton,M,8924
2017,Number,Herzegovina-Neretva Canton,M,8952
2018,Number,Herzegovina-Neretva Canton,M,8835
2019,Number,Herzegovina-Neretva Canton,M,8614
2020,Number,Herzegovina-Neretva Canton,M,8506
2021,Number,Herzegovina-Neretva Canton,M,8468
2022,Number,Herzegovina-Neretva Canton,M,8185
2023,Number,Herzegovina-Neretva Canton,M,8072
2010,Number,Herzegovina-Neretva Canton,F,10304
2011,Number,Herzegovina-Neretva Canton,F,9726
2012,Number,Herzegovina-Neretva Canton,F,9296
2013,Number,Herzegovina-Neretva Canton,F,8910
2014,Number,Herzegovina-Neretva Canton,F,8810
2015,Number,Herzegovina-Neretva Canton,F,8698
2016,Number,Herzegovina-Neretva Canton,F,8441
2017,Number,Herzegovina-Neretva Canton,F,8385
2018,Number,Herzegovina-Neretva Canton,F,8427
2019,Number,Herzegovina-Neretva Canton,F,8238
2020,Number,Herzegovina-Neretva Canton,F,8049
2021,Number,Herzegovina-Neretva Canton,F,8063
2022,Number,Herzegovina-Neretva Canton,F,8133
2023,Number,Herzegovina-Neretva Canton,F,7769
2010,Number,West Herzegovina Canton,Both sexes,9769
2011,Number,West Herzegovina Canton,Both sexes,9565
2012,Number,West Herzegovina Canton,Both sexes,9061
2013,Number,West Herzegovina Canton,Both sexes,8736
2014,Number,West Herzegovina Canton,Both sexes,8519
2015,Number,West Herzegovina Canton,Both sexes,8244
2016,Number,West Herzegovina Canton,Both sexes,7961
2017,Number,West Herzegovina Canton,Both sexes,7666
2018,Number,West Herzegovina Canton,Both sexes,7871
2019,Number,West Herzegovina Canton,Both sexes,7830
2020,Number,West Herzegovina Canton,Both sexes,7598
2021,Number,West Herzegovina Canton,Both sexes,7365
2022,Number,West Herzegovina Canton,Both sexes,7252
2023,Number,West Herzegovina Canton,Both sexes,7173
2010,Number,West Herzegovina Canton,M,4956
2011,Number,West Herzegovina Canton,M,4842
2012,Number,West Herzegovina Canton,M,4585
2013,Number,West Herzegovina Canton,M,4465
2014,Number,West Herzegovina Canton,M,4358
2015,Number,West Herzegovina Canton,M,4213
2016,Number,West Herzegovina Canton,M,4102
2017,Number,West Herzegovina Canton,M,3951
2018,Number,West Herzegovina Canton,M,3992
2019,Number,West Herzegovina Canton,M,4017
2020,Number,West Herzegovina Canton,M,3860
2021,Number,West Herzegovina Canton,M,3790
2022,Number,West Herzegovina Canton,M,3766
2023,Number,West Herzegovina Canton,M,3693
2010,Number,West Herzegovina Canton,F,4813
2011,Number,West Herzegovina Canton,F,4723
2012,Number,West Herzegovina Canton,F,4476
2013,Number,West Herzegovina Canton,F,4271
2014,Number,West Herzegovina Canton,F,4161
2015,Number,West Herzegovina Canton,F,4031
2016,Number,West Herzegovina Canton,F,3859
2017,Number,West Herzegovina Canton,F,3715
2018,Number,West Herzegovina Canton,F,3879
2019,Number,West Herzegovina Canton,F,3813
2020,Number,West Herzegovina Canton,F,3738
2021,Number,West Herzegovina Canton,F,3575
2022,Number,West Herzegovina Canton,F,3486
2023,Number,West Herzegovina Canton,F,3483
2010,Number,Sarajevo Canton,Both sexes,37865
2011,Number,Sarajevo Canton,Both sexes,35539
2012,Number,Sarajevo Canton,Both sexes,34709
2013,Number,Sarajevo Canton,Both sexes,36233
2014,Number,Sarajevo Canton,Both sexes,35889
2015,Number,Sarajevo Canton,Both sexes,36233
2016,Number,Sarajevo Canton,Both sexes,36789
2017,Number,Sarajevo Canton,Both sexes,37372
2018,Number,Sarajevo Canton,Both sexes,37669
2019,Number,Sarajevo Canton,Both sexes,37917
2020,Number,Sarajevo Canton,Both sexes,38043
2021,Number,Sarajevo Canton,Both sexes,38014
2022,Number,Sarajevo Canton,Both sexes,38048
2023,Number,Sarajevo Canton,Both sexes,38393
2010,Number,Sarajevo Canton,M,19433
2011,Number,Sarajevo Canton,M,18320
2012,Number,Sarajevo Canton,M,17830
2013,Number,Sarajevo Canton,M,18635
2014,Number,Sarajevo Canton,M,18427
2015,Number,Sarajevo Canton,M,18833
2016,Number,Sarajevo Canton,M,19085
2017,Number,Sarajevo Canton,M,19147
2018,Number,Sarajevo Canton,M,19321
2019,Number,Sarajevo Canton,M,19413
2020,Number,Sarajevo Canton,M,19364
2021,Number,Sarajevo Canton,M,19311
2022,Number,Sarajevo Canton,M,19419
2023,Number,Sarajevo Canton,M,19603
2010,Number,Sarajevo Canton,F,18432
2011,Number,Sarajevo Canton,F,17219
2012,Number,Sarajevo Canton,F,16879
2013,Number,Sarajevo Canton,F,17598
2014,Number,Sarajevo Canton,F,17462
2015,Number,Sarajevo Canton,F,17400
2016,Number,Sarajevo Canton,F,17704
2017,Number,Sarajevo Canton,F,18225
2018,Number,Sarajevo Canton,F,18348
2019,Number,Sarajevo Canton,F,18504
2020,Number,Sarajevo Canton,F,18679
2021,Number,Sarajevo Canton,F,18703
2022,Number,Sarajevo Canton,F,18629
2023,Number,Sarajevo Canton,F,18790
2010,Number,Canton 10,Both sexes,6268
2011,Number,Canton 10,Both sexes,5972
2012,Number,Canton 10,Both sexes,5713
2013,Number,Canton 10,Both sexes,5504
2014,Number,Canton 10,Both sexes,5229
2015,Number,Canton 10,Both sexes,5141
2016,Number,Canton 10,Both sexes,4935
2017,Number,Canton 10,Both sexes,4606
2018,Number,Canton 10,Both sexes,4300
2019,Number,Canton 10,Both sexes,4059
2020,Number,Canton 10,Both sexes,3755
2021,Number,Canton 10,Both sexes,3610
2022,Number,Canton 10,Both sexes,3411
2023,Number,Canton 10,Both sexes,3295
2010,Number,Canton 10,M,3170
2011,Number,Canton 10,M,3059
2012,Number,Canton 10,M,2992
2013,Number,Canton 10,M,2853
2014,Number,Canton 10,M,2724
2015,Number,Canton 10,M,2688
2016,Number,Canton 10,M,2597
2017,Number,Canton 10,M,2403
2018,Number,Canton 10,M,2227
2019,Number,Canton 10,M,2101
2020,Number,Canton 10,M,1912
2021,Number,Canton 10,M,1813
2022,Number,Canton 10,M,1725
2023,Number,Canton 10,M,1680
2010,Number,Canton 10,F,3098
2011,Number,Canton 10,F,2913
2012,Number,Canton 10,F,2721
2013,Number,Canton 10,F,2651
2014,Number,Canton 10,F,2505
2015,Number,Canton 10,F,2453
2016,Number,Canton 10,F,2338
2017,Number,Canton 10,F,2203
2018,Number,Canton 10,F,2073
2019,Number,Canton 10,F,1958
2020,Number,Canton 10,F,1843
2021,Number,Canton 10,F,1797
2022,Number,Canton 10,F,1686
2023,Number,Canton 10,F,1615
