Year,UNIT_MEASURE,Administrative Area,Household size,Value
2013,Number,Central Bosnia Canton,3,15345
2013,Number,Central Bosnia Canton,4,17704
2013,Number,Central Bosnia Canton,5,9194
2013,Number,Central Bosnia Canton,6,4056
2013,Number,Central Bosnia Canton,7,1496
2013,Number,Central Bosnia Canton,8+,1074
2013,Number,Herzegovina-Neretva Canton,Total,68117
2013,Number,Herzegovina-Neretva Canton,1,11555
2013,Number,Herzegovina-Neretva Canton,2,14958
2013,Number,Herzegovina-Neretva Canton,3,13109
2013,Number,Herzegovina-Neretva Canton,4,14116
2013,Number,Herzegovina-Neretva Canton,5,7861
2013,Number,Herzegovina-Neretva Canton,6,3792
2013,Number,Herzegovina-Neretva Canton,7,1576
2013,Number,Herzegovina-Neretva Canton,8+,1150
2013,Number,West Herzegovina Canton,Total,25078
2013,Number,West Herzegovina Canton,1,3477
2013,Number,West Herzegovina Canton,2,4584
2013,Number,West Herzegovina Canton,3,3831
2013,Number,West Herzegovina Canton,4,4716
2013,Number,West Herzegovina Canton,5,3764
2013,Number,West Herzegovina Canton,6,2375
2013,Number,West Herzegovina Canton,7,1193
2013,Number,West Herzegovina Canton,8+,1138
2013,Number,Sarajevo Canton,Total,148860
2013,Number,Sarajevo Canton,1,32661
2013,Number,Sarajevo Canton,2,38480
2013,Number,Sarajevo Canton,3,32297
2013,Number,Sarajevo Canton,4,30523
2013,Number,Sarajevo Canton,5,9905
2013,Number,Sarajevo Canton,6,3254
2013,Number,Sarajevo Canton,7,988
2013,Number,Sarajevo Canton,8+,752
2013,Number,Canton 10,Total,23755
2013,Number,Canton 10,1,4046
2013,Number,Canton 10,2,4933
2013,Number,Canton 10,3,3748
2013,Number,Canton 10,4,4138
2013,Number,Canton 10,5,3249
2013,Number,Canton 10,6,1797
2013,Number,Canton 10,7,884
2013,Number,Canton 10,8+,960
2023,Number,Federation of Bosnia and Herzegovina,Total,715665
2023,Number,Una-Sana Canton,Total,78255
2023,Number,Bihac,Total,18293
2023,Number,Bosanska Krupa,Total,7672
2023,Number,Bosanski Petrovac,Total,2797
2023,Number,Buzim,Total,4326
2023,Number,Cazin,Total,16682
2023,Number,Kljuc,Total,4990
2023,Number,Sanski Most,Total,11845
2023,Number,Velika Kladusa,Total,11650
2023,Number,Posavina Canton,Total,13312
2023,Number,Domaljevac-Samac,Total,1312
2023,Number,Odzak,Total,5808
2023,Number,Orasje,Total,6192
2023,Number,Tuzla Canton,Total,150598
2023,Number,Banovici,Total,7636
2023,Number,Celic,Total,3203
2023,Number,Doboj-Istok,Total,3167
2023,Number,Gracanica,Total,15082
2023,Number,Gradacac,Total,11881
2023,Number,Kalesija,Total,9780
2023,Number,Kladanj,Total,3847
2023,Number,Lukavac,Total,16654
2023,Number,Sapna,Total,3085
2023,Number,Srebrenik,Total,13187
2023,Number,Teocak,Total,2020
2023,Number,Tuzla,Total,42625
2023,Number,Zivinice,Total,18431
2023,Number,Zenica-Doboj Canton,Total,121139
2023,Number,Breza,Total,5058
2023,Number,Doboj-Jug,Total,1307
2023,Number,Kakanj,Total,12237
2023,Number,Maglaj,Total,7687
2023,Number,Olovo,Total,3492
2023,Number,Tesanj,Total,13425
2023,Number,Usora,Total,1936
2023,Number,Vares,Total,3580
2023,Number,Visoko,Total,12900
2023,Number,Zavidovici,Total,12088
2023,Number,Zenica,Total,38601
2023,Number,Zepce,Total,8828
2023,Number,Bosnian-Podrinje Canton,Total,8670
2023,Number,foca-fbih,Total,747
2023,Number,Gorazde,Total,7573
2023,Number,Pale-FBiH,Total,350
2023,Number,Central Bosnia Canton,Total,77881
2023,Number,Bugojno,Total,9429
2023,Number,Busovaca,Total,5620
2023,Number,Dobretici,Total,473
2023,Number,Donji Vakuf,Total,4182
2023,Number,Fojnica,Total,3908
2023,Number,Gornji Vakuf-Uskoplje,Total,5685
2023,Number,Jajce,Total,8040
2023,Number,Kiseljak,Total,6800
2023,Number,Kresevo,Total,1845
2023,Number,Novi Travnik,Total,7265
2023,Number,Travnik,Total,16444
2023,Number,Vitez,Total,8190
2023,Number,Herzegovina-Neretva Canton,Total,68117
2023,Number,Capljina,Total,7916
2023,Number,Citluk,Total,4666
2023,Number,Grad Mostar,Total,34128
2023,Number,Jablanica,Total,3167
2023,Number,Konjic,Total,8380
2023,Number,Neum,Total,1394
2023,Number,Prozor,Total,3653
2023,Number,Ravno,Total,929
2023,Number,Stolac,Total,3884
2023,Number,West Herzegovina Canton,Total,25078
2023,Number,Grude,Total,4502
2023,Number,Ljubuski,Total,7444
2023,Number,Posusje,Total,5153
2023,Number,Siroki Brijeg,Total,7979
2023,Number,Sarajevo Canton,Total,148860
2023,Number,Sarajevo-Centar,Total,21482
2023,Number,Sarajevo-Hadzici,Total,7530
2023,Number,Sarajevo-Ilidza,Total,22295
2023,Number,Sarajevo-Ilijas,Total,6383
2023,Number,Sarajevo-Novi Grad,Total,42274
2023,Number,Sarajevo-Novo Sarajevo,Total,25688
2023,Number,Sarajevo-Stari Grad,Total,13750
2023,Number,Trnovo-FBiH,Total,647
2023,Number,Sarajevo-Vogosca,Total,8811
2023,Number,Canton 10,Total,23755
2023,Number,Bosansko Grahovo,Total,1038
2023,Number,Drvar,Total,3033
2023,Number,Glamoc,Total,1437
2023,Number,kupres,Total,1488
2023,Number,Livno,Total,9028
2023,Number,Tomislavgrad,Total,7731
2023,Number,Federation of Bosnia and Herzegovina,1,125942
2023,Number,Una-Sana Canton,1,11192
2023,Number,Bihac,1,3136
2023,Number,Bosanska Krupa,1,1176
2023,Number,Bosanski Petrovac,1,759
2023,Number,Buzim,1,290
2023,Number,Cazin,1,1558
2023,Number,Kljuc,1,788
2023,Number,Sanski Most,1,1809
2023,Number,Velika Kladusa,1,1676
2023,Number,Posavina Canton,1,2537
2023,Number,Domaljevac-Samac,1,207
2023,Number,Odzak,1,1124
2023,Number,Orasje,1,1206
2023,Number,Tuzla Canton,1,25880
2023,Number,Banovici,1,1063
2023,Number,Celic,1,517
2023,Number,Doboj-Istok,1,410
2023,Number,Gracanica,1,2276
2023,Number,Gradacac,1,1672
2023,Number,Kalesija,1,1146
2023,Number,Kladanj,1,528
2023,Number,Lukavac,1,3319
2023,Number,Sapna,1,366
2023,Number,Srebrenik,1,2075
2023,Number,Teocak,1,251
2023,Number,Tuzla,1,9810
2023,Number,Zivinice,1,2447
2023,Number,Zenica-Doboj Canton,1,20383
2023,Number,Breza,1,937
2023,Number,Doboj-Jug,1,166
2023,Number,Kakanj,1,1922
2023,Number,Maglaj,1,1351
2023,Number,Olovo,1,584
2023,Number,Tesanj,1,1819
2023,Number,Usora,1,298
2023,Number,Vares,1,1016
2023,Number,Visoko,1,1952
2023,Number,Zavidovici,1,1917
2023,Number,Zenica,1,7253
2023,Number,Zepce,1,1168
2023,Number,Bosnian-Podrinje Canton,1,1937
2023,Number,foca-fbih,1,225
2023,Number,Gorazde,1,1599
2023,Number,Pale-FBiH,1,113
2023,Number,Central Bosnia Canton,1,12274
2023,Number,Bugojno,1,1438
2023,Number,Busovaca,1,885
2023,Number,Dobretici,1,73
2023,Number,Donji Vakuf,1,569
2023,Number,Fojnica,1,721
2023,Number,Gornji Vakuf-Uskoplje,1,675
2023,Number,Jajce,1,1281
2023,Number,Kiseljak,1,1199
2023,Number,Kresevo,1,439
2023,Number,Novi Travnik,1,1080
2023,Number,Travnik,1,2579
2023,Number,Vitez,1,1335
2023,Number,Herzegovina-Neretva Canton,1,11555
2023,Number,Capljina,1,1420
2023,Number,Citluk,1,591
2023,Number,Grad Mostar,1,6277
2023,Number,Jablanica,1,448
2023,Number,Konjic,1,1518
2023,Number,Neum,1,242
2023,Number,Prozor,1,434
2023,Number,Ravno,1,137
2023,Number,Stolac,1,488
2023,Number,West Herzegovina Canton,1,3477
2023,Number,Grude,1,668
2023,Number,Ljubuski,1,1127
2023,Number,Posusje,1,581
2023,Number,Siroki Brijeg,1,1101
2023,Number,Sarajevo Canton,1,32661
2023,Number,Sarajevo-Centar,1,5731
2023,Number,Sarajevo-Hadzici,1,1198
2023,Number,Sarajevo-Ilidza,1,4040
2023,Number,Sarajevo-Ilijas,1,1017
2023,Number,Sarajevo-Novi Grad,1,8666
2023,Number,Sarajevo-Novo Sarajevo,1,6987
2023,Number,Sarajevo-Stari Grad,1,3401
2023,Number,Trnovo-FBiH,1,196
2023,Number,Sarajevo-Vogosca,1,1425
2023,Number,Canton 10,1,4046
2023,Number,Bosansko Grahovo,1,352
2023,Number,Drvar,1,1018
2023,Number,Glamoc,1,404
2023,Number,kupres,1,223
2023,Number,Livno,1,1215
2023,Number,Tomislavgrad,1,834
2023,Number,Federation of Bosnia and Herzegovina,2,167372
2023,Number,Una-Sana Canton,2,15317
2023,Number,Bihac,2,4422
2023,Number,Bosanska Krupa,2,1645
2023,Number,Bosanski Petrovac,2,794
2023,Number,Buzim,2,469
2023,Number,Cazin,2,2366
2023,Number,Kljuc,2,1032
2023,Number,Sanski Most,2,2315
2023,Number,Velika Kladusa,2,2274
2023,Number,Posavina Canton,2,2808
2023,Number,Domaljevac-Samac,2,230
2023,Number,Odzak,2,1281
2023,Number,Orasje,2,1297
2023,Number,Tuzla Canton,2,37907
2023,Number,Banovici,2,1878
2023,Number,Celic,2,718
2023,Number,Doboj-Istok,2,746
2023,Number,Gracanica,2,3828
2023,Number,Gradacac,2,2571
2023,Number,Kalesija,2,1939
2023,Number,Kladanj,2,816
2023,Number,Lukavac,2,4793
2023,Number,Sapna,2,559
2023,Number,Srebrenik,2,3340
2023,Number,Teocak,2,325
2023,Number,Tuzla,2,12230
2023,Number,Zivinice,2,4164
2023,Number,Zenica-Doboj Canton,2,29234
2023,Number,Breza,2,1337
2023,Number,Doboj-Jug,2,281
2023,Number,Kakanj,2,2844
2023,Number,Maglaj,2,1858
2023,Number,Olovo,2,919
2023,Number,Tesanj,2,2857
2023,Number,Usora,2,397
2023,Number,Vares,2,996
2023,Number,Visoko,2,2945
2023,Number,Zavidovici,2,3024
2023,Number,Zenica,2,9980
2023,Number,Zepce,2,1796
2023,Number,Bosnian-Podrinje Canton,2,2413
2023,Number,foca-fbih,2,211
2023,Number,Gorazde,2,2101
2023,Number,Pale-FBiH,2,101
2023,Number,Central Bosnia Canton,2,16738
2023,Number,Bugojno,2,1991
2023,Number,Busovaca,2,1156
2023,Number,Dobretici,2,112
2023,Number,Donji Vakuf,2,843
2023,Number,Fojnica,2,954
2023,Number,Gornji Vakuf-Uskoplje,2,1030
2023,Number,Jajce,2,1683
2023,Number,Kiseljak,2,1636
2023,Number,Kresevo,2,426
2023,Number,Novi Travnik,2,1518
2023,Number,Travnik,2,3618
2023,Number,Vitez,2,1771
2023,Number,Herzegovina-Neretva Canton,2,14958
2023,Number,Capljina,2,1653
2023,Number,Citluk,2,846
2023,Number,Grad Mostar,2,7817
2023,Number,Jablanica,2,718
2023,Number,Konjic,2,2047
2023,Number,Neum,2,312
2023,Number,Prozor,2,640
2023,Number,Ravno,2,197
2023,Number,Stolac,2,728
2023,Number,West Herzegovina Canton,2,4584
2023,Number,Grude,2,843
2023,Number,Ljubuski,2,1323
2023,Number,Posusje,2,832
2023,Number,Siroki Brijeg,2,1586
2023,Number,Sarajevo Canton,2,38480
2023,Number,Sarajevo-Centar,2,5977
2023,Number,Sarajevo-Hadzici,2,1673
2023,Number,Sarajevo-Ilidza,2,5455
2023,Number,Sarajevo-Ilijas,2,1516
2023,Number,Sarajevo-Novi Grad,2,10926
2023,Number,Sarajevo-Novo Sarajevo,2,7065
2023,Number,Sarajevo-Stari Grad,2,3523
2023,Number,Trnovo-FBiH,2,246
2023,Number,Sarajevo-Vogosca,2,2099
2023,Number,Canton 10,2,4933
2023,Number,Bosansko Grahovo,2,335
2023,Number,Drvar,2,940
2023,Number,Glamoc,2,439
2023,Number,kupres,2,311
2023,Number,Livno,2,1728
2023,Number,Tomislavgrad,2,1180
2023,Number,Federation of Bosnia and Herzegovina,3,148905
2023,Number,Una-Sana Canton,3,14714
2023,Number,Bihac,3,3833
2023,Number,Bosanska Krupa,3,1460
2023,Number,Bosanski Petrovac,3,485
2023,Number,Buzim,3,615
2023,Number,Cazin,3,3075
2023,Number,Kljuc,3,929
2023,Number,Sanski Most,3,2089
2023,Number,Velika Kladusa,3,2228
2023,Number,Posavina Canton,3,2366
2023,Number,Domaljevac-Samac,3,202
2023,Number,Odzak,3,1016
2023,Number,Orasje,3,1148
2023,Number,Tuzla Canton,3,34556
2023,Number,Banovici,3,1978
2023,Number,Celic,3,573
2023,Number,Doboj-Istok,3,750
2023,Number,Gracanica,3,3624
2023,Number,Gradacac,3,2382
2023,Number,Kalesija,3,2034
2023,Number,Kladanj,3,822
2023,Number,Lukavac,3,4194
2023,Number,Sapna,3,497
2023,Number,Srebrenik,3,2980
2023,Number,Teocak,3,348
2023,Number,Tuzla,3,9991
2023,Number,Zivinice,3,4383
2023,Number,Zenica-Doboj Canton,3,27207
2023,Number,Breza,3,1221
2023,Number,Doboj-Jug,3,322
2023,Number,Kakanj,3,2667
2023,Number,Maglaj,3,1671
2023,Number,Olovo,3,789
2023,Number,Tesanj,3,2991
2023,Number,Usora,3,318
2023,Number,Vares,3,739
2023,Number,Visoko,3,2933
2023,Number,Zavidovici,3,2792
2023,Number,Zenica,3,9052
2023,Number,Zepce,3,1712
2023,Number,Bosnian-Podrinje Canton,3,1732
2023,Number,foca-fbih,3,108
2023,Number,Gorazde,3,1590
2023,Number,Pale-FBiH,3,34
2023,Number,Central Bosnia Canton,3,15345
2023,Number,Bugojno,3,1770
2023,Number,Busovaca,3,1209
2023,Number,Dobretici,3,73
2023,Number,Donji Vakuf,3,829
2023,Number,Fojnica,3,814
2023,Number,Gornji Vakuf-Uskoplje,3,994
2023,Number,Jajce,3,1438
2023,Number,Kiseljak,3,1355
2023,Number,Kresevo,3,330
2023,Number,Novi Travnik,3,1526
2023,Number,Travnik,3,3355
2023,Number,Vitez,3,1652
2023,Number,Herzegovina-Neretva Canton,3,13109
2023,Number,Capljina,3,1426
2023,Number,Citluk,3,760
2023,Number,Grad Mostar,3,6904
2023,Number,Jablanica,3,679
2023,Number,Konjic,3,1676
2023,Number,Neum,3,230
2023,Number,Prozor,3,569
2023,Number,Ravno,3,165
2023,Number,Stolac,3,700
2023,Number,West Herzegovina Canton,3,3831
2023,Number,Grude,3,630
2023,Number,Ljubuski,3,1126
2023,Number,Posusje,3,810
2023,Number,Siroki Brijeg,3,1265
2023,Number,Sarajevo Canton,3,32297
2023,Number,Sarajevo-Centar,3,4414
2023,Number,Sarajevo-Hadzici,3,1608
2023,Number,Sarajevo-Ilidza,3,4784
2023,Number,Sarajevo-Ilijas,3,1399
2023,Number,Sarajevo-Novi Grad,3,9682
2023,Number,Sarajevo-Novo Sarajevo,3,5402
2023,Number,Sarajevo-Stari Grad,3,2857
2023,Number,Trnovo-FBiH,3,90
2023,Number,Sarajevo-Vogosca,3,2061
2023,Number,Canton 10,3,3748
2023,Number,Bosansko Grahovo,3,162
2023,Number,Drvar,3,470
2023,Number,Glamoc,3,198
2023,Number,kupres,3,281
2023,Number,Livno,3,1463
2023,Number,Tomislavgrad,3,1174
2023,Number,Federation of Bosnia and Herzegovina,4,154944
2023,Number,Una-Sana Canton,4,17510
2023,Number,Bihac,4,3933
2023,Number,Bosanska Krupa,4,1672
2023,Number,Bosanski Petrovac,4,453
2023,Number,Buzim,4,1044
2023,Number,Cazin,4,4036
2023,Number,Kljuc,4,1144
2023,Number,Sanski Most,4,2706
2023,Number,Velika Kladusa,4,2522
2023,Number,Posavina Canton,4,2606
2023,Number,Domaljevac-Samac,4,253
2023,Number,Odzak,4,1134
2023,Number,Orasje,4,1219
2023,Number,Tuzla Canton,4,33863
2023,Number,Banovici,4,1948
2023,Number,Celic,4,719
2023,Number,Doboj-Istok,4,807
2023,Number,Gracanica,4,3457
2023,Number,Gradacac,4,2695
2023,Number,Kalesija,4,2687
2023,Number,Kladanj,4,1023
2023,Number,Lukavac,4,3309
2023,Number,Sapna,4,839
2023,Number,Srebrenik,4,3052
2023,Number,Teocak,4,485
2023,Number,Tuzla,4,7999
2023,Number,Zivinice,4,4843
2023,Number,Zenica-Doboj Canton,4,28049
2023,Number,Breza,4,1102
2023,Number,Doboj-Jug,4,337
2023,Number,Kakanj,4,3099
2023,Number,Maglaj,4,1746
2023,Number,Olovo,4,787
2023,Number,Tesanj,4,3473
2023,Number,Usora,4,461
2023,Number,Vares,4,588
2023,Number,Visoko,4,3164
2023,Number,Zavidovici,4,2920
2023,Number,Zenica,4,8336
2023,Number,Zepce,4,2036
2023,Number,Bosnian-Podrinje Canton,4,1719
2023,Number,foca-fbih,4,132
2023,Number,Gorazde,4,1529
2023,Number,Pale-FBiH,4,58
2023,Number,Central Bosnia Canton,4,17704
2023,Number,Bugojno,4,2159
2023,Number,Busovaca,4,1372
2023,Number,Dobretici,4,93
2023,Number,Donji Vakuf,4,1043
2023,Number,Fojnica,4,867
2023,Number,Gornji Vakuf-Uskoplje,4,1283
2023,Number,Jajce,4,1738
2023,Number,Kiseljak,4,1547
2023,Number,Kresevo,4,382
2023,Number,Novi Travnik,4,1661
2023,Number,Travnik,4,3594
2023,Number,Vitez,4,1965
2023,Number,Herzegovina-Neretva Canton,4,14116
2023,Number,Capljina,4,1540
2023,Number,Citluk,4,807
2023,Number,Grad Mostar,4,7152
2023,Number,Jablanica,4,781
2023,Number,Konjic,4,1888
2023,Number,Neum,4,263
2023,Number,Prozor,4,728
2023,Number,Ravno,4,181
2023,Number,Stolac,4,776
2023,Number,West Herzegovina Canton,4,4716
2023,Number,Grude,4,768
2023,Number,Ljubuski,4,1365
2023,Number,Posusje,4,986
2023,Number,Siroki Brijeg,4,1597
2023,Number,Sarajevo Canton,4,30523
2023,Number,Sarajevo-Centar,4,3832
2023,Number,Sarajevo-Hadzici,4,1873
2023,Number,Sarajevo-Ilidza,4,5079
2023,Number,Sarajevo-Ilijas,4,1476
2023,Number,Sarajevo-Novi Grad,4,8817
2023,Number,Sarajevo-Novo Sarajevo,4,4557
2023,Number,Sarajevo-Stari Grad,4,2674
2023,Number,Trnovo-FBiH,4,63
2023,Number,Sarajevo-Vogosca,4,2152
2023,Number,Canton 10,4,4138
2023,Number,Bosansko Grahovo,4,100
2023,Number,Drvar,4,390
2023,Number,Glamoc,4,172
2023,Number,kupres,4,275
2023,Number,Livno,4,1740
2023,Number,Tomislavgrad,4,1461
2023,Number,Federation of Bosnia and Herzegovina,5,67486
2023,Number,Una-Sana Canton,5,9711
2023,Number,Bihac,5,1737
2023,Number,Bosanska Krupa,5,911
2023,Number,Bosanski Petrovac,5,185
2023,Number,Buzim,5,800
2023,Number,Cazin,5,2592
2023,Number,Kljuc,5,586
2023,Number,Sanski Most,5,1405
2023,Number,Velika Kladusa,5,1495
2023,Number,Posavina Canton,5,1588
2023,Number,Domaljevac-Samac,5,216
2023,Number,Odzak,5,644
2023,Number,Orasje,5,728
2023,Number,Tuzla Canton,5,11199
2023,Number,Banovici,5,510
2023,Number,Celic,5,376
2023,Number,Doboj-Istok,5,278
2023,Number,Gracanica,5,1143
2023,Number,Gradacac,5,1367
2023,Number,Kalesija,5,1166
2023,Number,Kladanj,5,434
2023,Number,Lukavac,5,753
2023,Number,Sapna,5,413
2023,Number,Srebrenik,5,1047
2023,Number,Teocak,5,327
2023,Number,Tuzla,5,1782
2023,Number,Zivinice,5,1603
2023,Number,Zenica-Doboj Canton,5,10450
2023,Number,Breza,5,329
2023,Number,Doboj-Jug,5,145
2023,Number,Kakanj,5,1112
2023,Number,Maglaj,5,601
2023,Number,Olovo,5,294
2023,Number,Tesanj,5,1440
2023,Number,Usora,5,258
2023,Number,Vares,5,173
2023,Number,Visoko,5,1238
2023,Number,Zavidovici,5,955
2023,Number,Zenica,5,2672
2023,Number,Zepce,5,1233
2023,Number,Bosnian-Podrinje Canton,5,565
2023,Number,foca-fbih,5,43
2023,Number,Gorazde,5,499
2023,Number,Pale-FBiH,5,23
2023,Number,Central Bosnia Canton,5,9194
2023,Number,Bugojno,5,1132
2023,Number,Busovaca,5,651
2023,Number,Dobretici,5,57
2023,Number,Donji Vakuf,5,527
2023,Number,Fojnica,5,380
2023,Number,Gornji Vakuf-Uskoplje,5,863
2023,Number,Jajce,5,1004
2023,Number,Kiseljak,5,669
2023,Number,Kresevo,5,182
2023,Number,Novi Travnik,5,878
2023,Number,Travnik,5,1869
2023,Number,Vitez,5,982
2023,Number,Herzegovina-Neretva Canton,5,7861
2023,Number,Capljina,5,978
2023,Number,Citluk,5,747
2023,Number,Grad Mostar,5,3595
2023,Number,Jablanica,5,340
2023,Number,Konjic,5,803
2023,Number,Neum,5,185
2023,Number,Prozor,5,546
2023,Number,Ravno,5,123
2023,Number,Stolac,5,544
2023,Number,West Herzegovina Canton,5,3764
2023,Number,Grude,5,663
2023,Number,Ljubuski,5,1081
2023,Number,Posusje,5,860
2023,Number,Siroki Brijeg,5,1160
2023,Number,Sarajevo Canton,5,9905
2023,Number,Sarajevo-Centar,5,1042
2023,Number,Sarajevo-Hadzici,5,735
2023,Number,Sarajevo-Ilidza,5,1845
2023,Number,Sarajevo-Ilijas,5,616
2023,Number,Sarajevo-Novi Grad,5,2831
2023,Number,Sarajevo-Novo Sarajevo,5,1204
2023,Number,Sarajevo-Stari Grad,5,875
2023,Number,Trnovo-FBiH,5,33
2023,Number,Sarajevo-Vogosca,5,724
2023,Number,Canton 10,5,3249
2023,Number,Bosansko Grahovo,5,44
2023,Number,Drvar,5,143
2023,Number,Glamoc,5,123
2023,Number,kupres,5,227
2023,Number,Livno,5,1297
2023,Number,Tomislavgrad,5,1415
2023,Number,Federation of Bosnia and Herzegovina,6,30205
2023,Number,Una-Sana Canton,6,5226
2023,Number,Bihac,6,785
2023,Number,Bosanska Krupa,6,468
2023,Number,Bosanski Petrovac,6,86
2023,Number,Buzim,6,523
2023,Number,Cazin,6,1509
2023,Number,Kljuc,6,268
2023,Number,Sanski Most,6,767
2023,Number,Velika Kladusa,6,820
2023,Number,Posavina Canton,6,803
2023,Number,Domaljevac-Samac,6,120
2023,Number,Odzak,6,332
2023,Number,Orasje,6,351
2023,Number,Tuzla Canton,6,4894
2023,Number,Banovici,6,188
2023,Number,Celic,6,180
2023,Number,Doboj-Istok,6,126
2023,Number,Gracanica,6,563
2023,Number,Gradacac,6,815
2023,Number,Kalesija,6,537
2023,Number,Kladanj,6,157
2023,Number,Lukavac,6,185
2023,Number,Sapna,6,244
2023,Number,Srebrenik,6,455
2023,Number,Teocak,6,178
2023,Number,Tuzla,6,574
2023,Number,Zivinice,6,692
2023,Number,Zenica-Doboj Canton,6,3802
2023,Number,Breza,6,99
2023,Number,Doboj-Jug,6,36
2023,Number,Kakanj,6,413
2023,Number,Maglaj,6,304
2023,Number,Olovo,6,84
2023,Number,Tesanj,6,576
2023,Number,Usora,6,105
2023,Number,Vares,6,54
2023,Number,Visoko,6,449
2023,Number,Zavidovici,6,318
2023,Number,Zenica,6,868
2023,Number,Zepce,6,496
2023,Number,Bosnian-Podrinje Canton,6,206
2023,Number,foca-fbih,6,16
2023,Number,Gorazde,6,177
2023,Number,Pale-FBiH,6,13
2023,Number,Central Bosnia Canton,6,4056
2023,Number,Bugojno,6,519
2023,Number,Busovaca,6,231
2023,Number,Dobretici,6,30
2023,Number,Donji Vakuf,6,251
2023,Number,Fojnica,6,117
2023,Number,Gornji Vakuf-Uskoplje,6,484
2023,Number,Jajce,6,471
2023,Number,Kiseljak,6,281
2023,Number,Kresevo,6,64
2023,Number,Novi Travnik,6,382
2023,Number,Travnik,6,890
2023,Number,Vitez,6,336
2023,Number,Herzegovina-Neretva Canton,6,3792
2023,Number,Capljina,6,542
2023,Number,Citluk,6,456
2023,Number,Grad Mostar,6,1494
2023,Number,Jablanica,6,129
2023,Number,Konjic,6,302
2023,Number,Neum,6,96
2023,Number,Prozor,6,366
2023,Number,Ravno,6,75
2023,Number,Stolac,6,332
2023,Number,West Herzegovina Canton,6,2375
2023,Number,Grude,6,431
2023,Number,Ljubuski,6,682
2023,Number,Posusje,6,570
2023,Number,Siroki Brijeg,6,692
2023,Number,Sarajevo Canton,6,3254
2023,Number,Sarajevo-Centar,6,318
2023,Number,Sarajevo-Hadzici,6,311
2023,Number,Sarajevo-Ilidza,6,684
2023,Number,Sarajevo-Ilijas,6,240
2023,Number,Sarajevo-Novi Grad,6,856
2023,Number,Sarajevo-Novo Sarajevo,6,322
2023,Number,Sarajevo-Stari Grad,6,277
2023,Number,Trnovo-FBiH,6,13
2023,Number,Sarajevo-Vogosca,6,233
2023,Number,Canton 10,6,1797
2023,Number,Bosansko Grahovo,6,27
2023,Number,Drvar,6,55
2023,Number,Glamoc,6,61
2023,Number,kupres,6,103
2023,Number,Livno,6,749
2023,Number,Tomislavgrad,6,802
2023,Number,Federation of Bosnia and Herzegovina,7,11533
2023,Number,Una-Sana Canton,7,2332
2023,Number,Bihac,7,266
2023,Number,Bosanska Krupa,7,204
2023,Number,Bosanski Petrovac,7,20
2023,Number,Buzim,7,268
2023,Number,Cazin,7,766
2023,Number,Kljuc,7,123
