Year,UNIT_MEASURE,Administrativna oblast,Poljoprivredna aktivnost,Value
2013,Broj,Sarajevo-Vogošća,Oba spola,8811
2013,Broj,Zavidovići,Oba spola,12088
2013,Broj,Zenica,Oba spola,38609
2013,Broj,Žepče,Oba spola,8830
2013,Broj,Živinice,Oba spola,18431
2013,Broj,Banovići,Obavljanje poljoprivredne aktivnosti,3952
2013,Broj,Bihać,Obavljanje poljoprivredne aktivnosti,4598
2013,Broj,Bosanska Krupa,Obavljanje poljoprivredne aktivnosti,2488
2013,Broj,Bosanski Petrovac,Obavljanje poljoprivredne aktivnosti,1171
2013,Broj,Bosansko Grahovo,Obavljanje poljoprivredne aktivnosti,422
2013,Broj,Breza,Obavljanje poljoprivredne aktivnosti,2335
2013,Broj,Bugojno,Obavljanje poljoprivredne aktivnosti,3258
2013,Broj,Busovača,Obavljanje poljoprivredne aktivnosti,2668
2013,Broj,Bužim,Obavljanje poljoprivredne aktivnosti,2553
2013,Broj,Cazin,Obavljanje poljoprivredne aktivnosti,5345
2013,Broj,Sarajevo-Centar,Obavljanje poljoprivredne aktivnosti,932
2013,Broj,Čapljina,Obavljanje poljoprivredne aktivnosti,2326
2013,Broj,Čelić,Obavljanje poljoprivredne aktivnosti,1537
2013,Broj,Čitluk,Obavljanje poljoprivredne aktivnosti,1465
2013,Broj,Doboj-Istok,Obavljanje poljoprivredne aktivnosti,1846
2013,Broj,Doboj-Jug,Obavljanje poljoprivredne aktivnosti,717
2013,Broj,Dobretići,Obavljanje poljoprivredne aktivnosti,173
2013,Broj,Domaljevac-Šamac,Obavljanje poljoprivredne aktivnosti,413
2013,Broj,Donji Vakuf,Obavljanje poljoprivredne aktivnosti,2104
2013,Broj,Drvar,Obavljanje poljoprivredne aktivnosti,643
2013,Broj,Foča-FBiH,Obavljanje poljoprivredne aktivnosti,296
2013,Broj,Fojnica,Obavljanje poljoprivredne aktivnosti,1500
2013,Broj,Glamoč,Obavljanje poljoprivredne aktivnosti,550
2013,Broj,Goražde,Obavljanje poljoprivredne aktivnosti,2903
2013,Broj,Gornji Vakuf-Uskoplje,Obavljanje poljoprivredne aktivnosti,2438
2013,Broj,Gračanica,Obavljanje poljoprivredne aktivnosti,7084
2013,Broj,Gradačac,Obavljanje poljoprivredne aktivnosti,4784
2013,Broj,Grude,Obavljanje poljoprivredne aktivnosti,1982
2013,Broj,Sarajevo-Hadžići,Obavljanje poljoprivredne aktivnosti,3254
2013,Broj,Sarajevo-Ilidža,Obavljanje poljoprivredne aktivnosti,2931
2013,Broj,Sarajevo-Ilijaš,Obavljanje poljoprivredne aktivnosti,2273
2013,Broj,Jablanica,Obavljanje poljoprivredne aktivnosti,1680
2013,Broj,Jajce,Obavljanje poljoprivredne aktivnosti,3317
2013,Broj,Kakanj,Obavljanje poljoprivredne aktivnosti,5490
2013,Broj,Kalesija,Obavljanje poljoprivredne aktivnosti,5217
2013,Broj,Kiseljak,Obavljanje poljoprivredne aktivnosti,3256
2013,Broj,Kladanj,Obavljanje poljoprivredne aktivnosti,2244
2013,Broj,Ključ,Obavljanje poljoprivredne aktivnosti,1343
2013,Broj,Konjic,Obavljanje poljoprivredne aktivnosti,2426
2013,Broj,Kreševo,Obavljanje poljoprivredne aktivnosti,667
2013,Broj,Kupres-FBiH,Obavljanje poljoprivredne aktivnosti,406
2013,Broj,Livno,Obavljanje poljoprivredne aktivnosti,3065
2013,Broj,Lukavac,Obavljanje poljoprivredne aktivnosti,6475
2013,Broj,Ljubuški,Obavljanje poljoprivredne aktivnosti,2302
2013,Broj,Maglaj,Obavljanje poljoprivredne aktivnosti,3243
2013,Broj,Mostar,Obavljanje poljoprivredne aktivnosti,6039
2013,Broj,Neum,Obavljanje poljoprivredne aktivnosti,350
2013,Broj,Sarajevo-Novi Grad,Obavljanje poljoprivredne aktivnosti,3007
2013,Broj,Novi Travnik,Obavljanje poljoprivredne aktivnosti,3077
2013,Broj,Sarajevo-Novo Sarajevo,Obavljanje poljoprivredne aktivnosti,855
2013,Broj,Odžak,Obavljanje poljoprivredne aktivnosti,1342
2013,Broj,Olovo,Obavljanje poljoprivredne aktivnosti,1929
2013,Broj,Orašje,Obavljanje poljoprivredne aktivnosti,2205
2013,Broj,Pale-FBiH,Obavljanje poljoprivredne aktivnosti,174
2013,Broj,Posušje,Obavljanje poljoprivredne aktivnosti,1783
2013,Broj,Prozor,Obavljanje poljoprivredne aktivnosti,1588
2013,Broj,Ravno,Obavljanje poljoprivredne aktivnosti,261
2013,Broj,Sanski Most,Obavljanje poljoprivredne aktivnosti,1912
2013,Broj,Sapna,Obavljanje poljoprivredne aktivnosti,1524
2013,Broj,Srebrenik,Obavljanje poljoprivredne aktivnosti,5602
2013,Broj,Sarajevo-Stari Grad,Obavljanje poljoprivredne aktivnosti,917
2013,Broj,Stolac,Obavljanje poljoprivredne aktivnosti,1561
2013,Broj,Široki Brijeg,Obavljanje poljoprivredne aktivnosti,3525
2013,Broj,Teočak,Obavljanje poljoprivredne aktivnosti,1036
2013,Broj,Tešanj,Obavljanje poljoprivredne aktivnosti,6098
2013,Broj,Tomislavgrad,Obavljanje poljoprivredne aktivnosti,2153
2013,Broj,Travnik,Obavljanje poljoprivredne aktivnosti,5648
2013,Broj,Trnovo-FBiH,Obavljanje poljoprivredne aktivnosti,435
2013,Broj,Tuzla,Obavljanje poljoprivredne aktivnosti,6752
2013,Broj,Usora,Obavljanje poljoprivredne aktivnosti,927
2013,Broj,Vareš,Obavljanje poljoprivredne aktivnosti,1167
2013,Broj,Velika Kladuša,Obavljanje poljoprivredne aktivnosti,4535
2013,Broj,Visoko,Obavljanje poljoprivredne aktivnosti,5810
2013,Broj,Vitez,Obavljanje poljoprivredne aktivnosti,3383
2013,Broj,Sarajevo-Vogošća,Obavljanje poljoprivredne aktivnosti,1508
2013,Broj,Zavidovići,Obavljanje poljoprivredne aktivnosti,6224
2013,Broj,Zenica,Obavljanje poljoprivredne aktivnosti,8853
2013,Broj,Žepče,Obavljanje poljoprivredne aktivnosti,4829
2013,Broj,Živinice,Obavljanje poljoprivredne aktivnosti,7980
2013,Broj,Banovići,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,246
2013,Broj,Bihać,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,444
2013,Broj,Bosanska Krupa,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,484
2013,Broj,Bosanski Petrovac,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,229
2013,Broj,Bosansko Grahovo,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,61
2013,Broj,Breza,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,247
2013,Broj,Bugojno,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,649
2013,Broj,Busovača,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,253
2013,Broj,Bužim,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,582
2013,Broj,Cazin,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,1105
2013,Broj,Sarajevo-Centar,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,73
2013,Broj,Čapljina,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,1457
2013,Broj,Čelić,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,557
2013,Broj,Čitluk,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,144
2013,Broj,Doboj-Istok,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,261
2013,Broj,Doboj-Jug,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,30
2013,Broj,Dobretići,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,10
2013,Broj,Domaljevac-Šamac,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,94
2013,Broj,Donji Vakuf,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,381
2013,Broj,Drvar,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,75
2013,Broj,Foča-FBiH,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,82
2013,Broj,Fojnica,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,268
2013,Broj,Glamoč,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,339
2013,Broj,Goražde,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,357
2013,Broj,Gornji Vakuf-Uskoplje,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,534
2013,Broj,Gračanica,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,829
2013,Broj,Gradačac,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,1404
2013,Broj,Grude,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,143
2013,Broj,Sarajevo-Hadžići,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,253
2013,Broj,Sarajevo-Ilidža,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,202
2013,Broj,Sarajevo-Ilijaš,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,204
2013,Broj,Jablanica,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,117
2013,Broj,Jajce,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,351
2013,Broj,Kakanj,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,486
2013,Broj,Kalesija,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,584
2013,Broj,Kiseljak,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,314
2013,Broj,Kladanj,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,143
2013,Broj,Ključ,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,281
2013,Broj,Konjic,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,572
2013,Broj,Kreševo,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,65
2013,Broj,Kupres-FBiH,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,123
2013,Broj,Livno,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,466
2013,Broj,Lukavac,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,331
2013,Broj,Ljubuški,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,766
2013,Broj,Maglaj,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,216
2013,Broj,Mostar,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,635
2013,Broj,Neum,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,15
2013,Broj,Sarajevo-Novi Grad,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,164
2013,Broj,Novi Travnik,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,679
2013,Broj,Sarajevo-Novo Sarajevo,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,58
2013,Broj,Odžak,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,238
2013,Broj,Olovo,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,98
2013,Broj,Orašje,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,502
2013,Broj,Pale-FBiH,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,23
2013,Broj,Posušje,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,106
2013,Broj,Prozor,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,208
2013,Broj,Ravno,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,74
2013,Broj,Sanski Most,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,481
2013,Broj,Sapna,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,177
2013,Broj,Srebrenik,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,496
2013,Broj,Sarajevo-Stari Grad,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,51
2013,Broj,Stolac,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,586
2013,Broj,Široki Brijeg,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,146
2013,Broj,Teočak,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,54
2013,Broj,Tešanj,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,874
2013,Broj,Tomislavgrad,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,356
2013,Broj,Travnik,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,1204
2013,Broj,Trnovo-FBiH,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,80
2013,Broj,Tuzla,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,393
2013,Broj,Usora,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,46
2013,Broj,Vareš,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,146
2013,Broj,Velika Kladuša,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,941
2013,Broj,Visoko,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,928
2013,Broj,Vitez,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,281
2013,Broj,Sarajevo-Vogošća,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,156
2013,Broj,Zavidovići,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,296
2013,Broj,Zenica,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,1231
2013,Broj,Žepče,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,787
2013,Broj,Živinice,Obavljanje poljoprivredne aktivnosti i prodaja poljoprivrednih proizvoda na tržištu,767
