Year,UNIT_MEASURE,Administrative area,scientific_field,Value
2010,Number,zenica-doboj_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Number,zenica-doboj_canton,Health and social protection,
2010,Number,zenica-doboj_canton,Services,
2010,Number,bosnian-podrinje_canton,Education,
2010,Number,bosnian-podrinje_canton,Arts and humanities,
2010,Number,bosnian-podrinje_canton,"social_sciences,_journalism_and_information",
2010,Number,bosnian-podrinje_canton,"business,_administration_and_law",
2010,Number,bosnian-podrinje_canton,"natural_sciences,_mathematics_and_statistics",
2010,Number,bosnian-podrinje_canton,Information and communication technologies,
2010,Number,bosnian-podrinje_canton,"engineering,_production_and_construction",
2010,Number,bosnian-podrinje_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Number,bosnian-podrinje_canton,Health and social protection,
2010,Number,bosnian-podrinje_canton,Services,
2010,Number,central_bosnia_canton,Education,
2010,Number,central_bosnia_canton,Arts and humanities,
2010,Number,central_bosnia_canton,"social_sciences,_journalism_and_information",
2010,Number,central_bosnia_canton,"business,_administration_and_law",
2010,Number,central_bosnia_canton,"natural_sciences,_mathematics_and_statistics",
2010,Number,central_bosnia_canton,Information and communication technologies,
2010,Number,central_bosnia_canton,"engineering,_production_and_construction",
2010,Number,central_bosnia_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Number,central_bosnia_canton,Health and social protection,
2010,Number,central_bosnia_canton,Services,
2010,Number,herzegovina-neretva_canton,Education,
2010,Number,herzegovina-neretva_canton,Arts and humanities,
2010,Number,herzegovina-neretva_canton,"social_sciences,_journalism_and_information",
2010,Number,herzegovina-neretva_canton,"business,_administration_and_law",
2010,Number,herzegovina-neretva_canton,"natural_sciences,_mathematics_and_statistics",
2010,Number,herzegovina-neretva_canton,Information and communication technologies,
2010,Number,herzegovina-neretva_canton,"engineering,_production_and_construction",
2010,Number,herzegovina-neretva_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Number,herzegovina-neretva_canton,Health and social protection,
2010,Number,herzegovina-neretva_canton,Services,
2010,Number,sarajevo_canton,Education,
2010,Number,sarajevo_canton,Arts and humanities,
2010,Number,sarajevo_canton,"social_sciences,_journalism_and_information",
2010,Number,sarajevo_canton,"business,_administration_and_law",
2010,Number,sarajevo_canton,"natural_sciences,_mathematics_and_statistics",
2010,Number,sarajevo_canton,Information and communication technologies,
2010,Number,sarajevo_canton,"engineering,_production_and_construction",
2010,Number,sarajevo_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Number,sarajevo_canton,Health and social protection,
2010,Number,sarajevo_canton,Services,
2011,Number,federation_of_bih,Education,
2011,Number,federation_of_bih,Arts and humanities,
2011,Number,federation_of_bih,"social_sciences,_journalism_and_information",
2011,Number,federation_of_bih,"business,_administration_and_law",
2011,Number,federation_of_bih,"natural_sciences,_mathematics_and_statistics",
2011,Number,federation_of_bih,Information and communication technologies,
2011,Number,federation_of_bih,"engineering,_production_and_construction",
2011,Number,federation_of_bih,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Number,federation_of_bih,Health and social protection,
2011,Number,federation_of_bih,Services,
2011,Number,una-sana_canton,Education,
2011,Number,una-sana_canton,Arts and humanities,
2011,Number,una-sana_canton,"social_sciences,_journalism_and_information",
2011,Number,una-sana_canton,"business,_administration_and_law",
2011,Number,una-sana_canton,"natural_sciences,_mathematics_and_statistics",
2011,Number,una-sana_canton,Information and communication technologies,
2011,Number,una-sana_canton,"engineering,_production_and_construction",
2011,Number,una-sana_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Number,una-sana_canton,Health and social protection,
2011,Number,una-sana_canton,Services,
2011,Number,tuzla_canton,Education,
2011,Number,tuzla_canton,Arts and humanities,
2011,Number,tuzla_canton,"social_sciences,_journalism_and_information",
2011,Number,tuzla_canton,"business,_administration_and_law",
2011,Number,tuzla_canton,"natural_sciences,_mathematics_and_statistics",
2011,Number,tuzla_canton,Information and communication technologies,
2011,Number,tuzla_canton,"engineering,_production_and_construction",
2011,Number,tuzla_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Number,tuzla_canton,Health and social protection,
2011,Number,tuzla_canton,Services,
2011,Number,zenica-doboj_canton,Education,
2011,Number,zenica-doboj_canton,Arts and humanities,
2011,Number,zenica-doboj_canton,"social_sciences,_journalism_and_information",
2011,Number,zenica-doboj_canton,"business,_administration_and_law",
2011,Number,zenica-doboj_canton,"natural_sciences,_mathematics_and_statistics",
2011,Number,zenica-doboj_canton,Information and communication technologies,
2011,Number,zenica-doboj_canton,"engineering,_production_and_construction",
2011,Number,zenica-doboj_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Number,zenica-doboj_canton,Health and social protection,
2011,Number,zenica-doboj_canton,Services,
2011,Number,bosnian-podrinje_canton,Education,
2011,Number,bosnian-podrinje_canton,Arts and humanities,
2011,Number,bosnian-podrinje_canton,"social_sciences,_journalism_and_information",
2011,Number,bosnian-podrinje_canton,"business,_administration_and_law",
2011,Number,bosnian-podrinje_canton,"natural_sciences,_mathematics_and_statistics",
2011,Number,bosnian-podrinje_canton,Information and communication technologies,
2011,Number,bosnian-podrinje_canton,"engineering,_production_and_construction",
2011,Number,bosnian-podrinje_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Number,bosnian-podrinje_canton,Health and social protection,
2011,Number,bosnian-podrinje_canton,Services,
2011,Number,central_bosnia_canton,Education,
2011,Number,central_bosnia_canton,Arts and humanities,
2011,Number,central_bosnia_canton,"social_sciences,_journalism_and_information",
2011,Number,central_bosnia_canton,"business,_administration_and_law",
2011,Number,central_bosnia_canton,"natural_sciences,_mathematics_and_statistics",
2011,Number,central_bosnia_canton,Information and communication technologies,
2011,Number,central_bosnia_canton,"engineering,_production_and_construction",
2011,Number,central_bosnia_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Number,central_bosnia_canton,Health and social protection,
2011,Number,central_bosnia_canton,Services,
2011,Number,herzegovina-neretva_canton,Education,
2011,Number,herzegovina-neretva_canton,Arts and humanities,
2011,Number,herzegovina-neretva_canton,"social_sciences,_journalism_and_information",
2011,Number,herzegovina-neretva_canton,"business,_administration_and_law",
2011,Number,herzegovina-neretva_canton,"natural_sciences,_mathematics_and_statistics",
2011,Number,herzegovina-neretva_canton,Information and communication technologies,
2011,Number,herzegovina-neretva_canton,"engineering,_production_and_construction",
2011,Number,herzegovina-neretva_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Number,herzegovina-neretva_canton,Health and social protection,
2011,Number,herzegovina-neretva_canton,Services,
2011,Number,sarajevo_canton,Education,
2011,Number,sarajevo_canton,Arts and humanities,
2011,Number,sarajevo_canton,"social_sciences,_journalism_and_information",
2011,Number,sarajevo_canton,"business,_administration_and_law",
2011,Number,sarajevo_canton,"natural_sciences,_mathematics_and_statistics",
2011,Number,sarajevo_canton,Information and communication technologies,
2011,Number,sarajevo_canton,"engineering,_production_and_construction",
2011,Number,sarajevo_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Number,sarajevo_canton,Health and social protection,
2011,Number,sarajevo_canton,Services,
2012,Number,federation_of_bih,Education,
2012,Number,federation_of_bih,Arts and humanities,
2012,Number,federation_of_bih,"social_sciences,_journalism_and_information",
2012,Number,federation_of_bih,"business,_administration_and_law",
2012,Number,federation_of_bih,"natural_sciences,_mathematics_and_statistics",
2012,Number,federation_of_bih,Information and communication technologies,
2012,Number,federation_of_bih,"engineering,_production_and_construction",
2012,Number,federation_of_bih,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Number,federation_of_bih,Health and social protection,
2012,Number,federation_of_bih,Services,
2012,Number,una-sana_canton,Education,
2012,Number,una-sana_canton,Arts and humanities,
2012,Number,una-sana_canton,"social_sciences,_journalism_and_information",
2012,Number,una-sana_canton,"business,_administration_and_law",
2012,Number,una-sana_canton,"natural_sciences,_mathematics_and_statistics",
2012,Number,una-sana_canton,Information and communication technologies,
2012,Number,una-sana_canton,"engineering,_production_and_construction",
2012,Number,una-sana_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Number,una-sana_canton,Health and social protection,
2012,Number,una-sana_canton,Services,
2012,Number,tuzla_canton,Education,
2012,Number,tuzla_canton,Arts and humanities,
2012,Number,tuzla_canton,"social_sciences,_journalism_and_information",
2012,Number,tuzla_canton,"business,_administration_and_law",
2012,Number,tuzla_canton,"natural_sciences,_mathematics_and_statistics",
2012,Number,tuzla_canton,Information and communication technologies,
2012,Number,tuzla_canton,"engineering,_production_and_construction",
2012,Number,tuzla_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Number,tuzla_canton,Health and social protection,
2012,Number,tuzla_canton,Services,
2012,Number,zenica-doboj_canton,Education,
2012,Number,zenica-doboj_canton,Arts and humanities,
2012,Number,zenica-doboj_canton,"social_sciences,_journalism_and_information",
2012,Number,zenica-doboj_canton,"business,_administration_and_law",
2012,Number,zenica-doboj_canton,"natural_sciences,_mathematics_and_statistics",
2012,Number,zenica-doboj_canton,Information and communication technologies,
2012,Number,zenica-doboj_canton,"engineering,_production_and_construction",
2012,Number,zenica-doboj_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Number,zenica-doboj_canton,Health and social protection,
2012,Number,zenica-doboj_canton,Services,
2012,Number,bosnian-podrinje_canton,Education,
2012,Number,bosnian-podrinje_canton,Arts and humanities,
2012,Number,bosnian-podrinje_canton,"social_sciences,_journalism_and_information",
2012,Number,bosnian-podrinje_canton,"business,_administration_and_law",
2012,Number,bosnian-podrinje_canton,"natural_sciences,_mathematics_and_statistics",
2012,Number,bosnian-podrinje_canton,Information and communication technologies,
2012,Number,bosnian-podrinje_canton,"engineering,_production_and_construction",
2012,Number,bosnian-podrinje_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Number,bosnian-podrinje_canton,Health and social protection,
2012,Number,bosnian-podrinje_canton,Services,
2012,Number,central_bosnia_canton,Education,
2012,Number,central_bosnia_canton,Arts and humanities,
2012,Number,central_bosnia_canton,"social_sciences,_journalism_and_information",
2012,Number,central_bosnia_canton,"business,_administration_and_law",
2012,Number,central_bosnia_canton,"natural_sciences,_mathematics_and_statistics",
2012,Number,central_bosnia_canton,Information and communication technologies,
2012,Number,central_bosnia_canton,"engineering,_production_and_construction",
2012,Number,central_bosnia_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Number,central_bosnia_canton,Health and social protection,
2012,Number,central_bosnia_canton,Services,
2012,Number,herzegovina-neretva_canton,Education,
2012,Number,herzegovina-neretva_canton,Arts and humanities,
2012,Number,herzegovina-neretva_canton,"social_sciences,_journalism_and_information",
2012,Number,herzegovina-neretva_canton,"business,_administration_and_law",
2012,Number,herzegovina-neretva_canton,"natural_sciences,_mathematics_and_statistics",
2012,Number,herzegovina-neretva_canton,Information and communication technologies,
2012,Number,herzegovina-neretva_canton,"engineering,_production_and_construction",
2012,Number,herzegovina-neretva_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Number,herzegovina-neretva_canton,Health and social protection,
2012,Number,herzegovina-neretva_canton,Services,
2012,Number,sarajevo_canton,Education,
2012,Number,sarajevo_canton,Arts and humanities,
2012,Number,sarajevo_canton,"social_sciences,_journalism_and_information",
2012,Number,sarajevo_canton,"business,_administration_and_law",
2012,Number,sarajevo_canton,"natural_sciences,_mathematics_and_statistics",
2012,Number,sarajevo_canton,Information and communication technologies,
2012,Number,sarajevo_canton,"engineering,_production_and_construction",
2012,Number,sarajevo_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Number,sarajevo_canton,Health and social protection,
2012,Number,sarajevo_canton,Services,
2013,Number,federation_of_bih,Education,
2013,Number,federation_of_bih,Arts and humanities,
2013,Number,federation_of_bih,"social_sciences,_journalism_and_information",
2013,Number,federation_of_bih,"business,_administration_and_law",
2013,Number,federation_of_bih,"natural_sciences,_mathematics_and_statistics",
2013,Number,federation_of_bih,Information and communication technologies,
2013,Number,federation_of_bih,"engineering,_production_and_construction",
2013,Number,federation_of_bih,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Number,federation_of_bih,Health and social protection,
2013,Number,federation_of_bih,Services,
2013,Number,una-sana_canton,Education,
2013,Number,una-sana_canton,Arts and humanities,
2013,Number,una-sana_canton,"social_sciences,_journalism_and_information",
2013,Number,una-sana_canton,"business,_administration_and_law",
2013,Number,una-sana_canton,"natural_sciences,_mathematics_and_statistics",
2013,Number,una-sana_canton,Information and communication technologies,
2013,Number,una-sana_canton,"engineering,_production_and_construction",
2013,Number,una-sana_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Number,una-sana_canton,Health and social protection,
2013,Number,una-sana_canton,Services,
2013,Number,tuzla_canton,Education,
2013,Number,tuzla_canton,Arts and humanities,
2013,Number,tuzla_canton,"social_sciences,_journalism_and_information",
2013,Number,tuzla_canton,"business,_administration_and_law",
2013,Number,tuzla_canton,"natural_sciences,_mathematics_and_statistics",
2013,Number,tuzla_canton,Information and communication technologies,
2013,Number,tuzla_canton,"engineering,_production_and_construction",
2013,Number,tuzla_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Number,tuzla_canton,Health and social protection,
2013,Number,tuzla_canton,Services,
2013,Number,zenica-doboj_canton,Education,
2013,Number,zenica-doboj_canton,Arts and humanities,
2013,Number,zenica-doboj_canton,"social_sciences,_journalism_and_information",
2013,Number,zenica-doboj_canton,"business,_administration_and_law",
2013,Number,zenica-doboj_canton,"natural_sciences,_mathematics_and_statistics",
2013,Number,zenica-doboj_canton,Information and communication technologies,
2013,Number,zenica-doboj_canton,"engineering,_production_and_construction",
2013,Number,zenica-doboj_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Number,zenica-doboj_canton,Health and social protection,
2013,Number,zenica-doboj_canton,Services,
2013,Number,bosnian-podrinje_canton,Education,
2013,Number,bosnian-podrinje_canton,Arts and humanities,
2013,Number,bosnian-podrinje_canton,"social_sciences,_journalism_and_information",
2013,Number,bosnian-podrinje_canton,"business,_administration_and_law",
2013,Number,bosnian-podrinje_canton,"natural_sciences,_mathematics_and_statistics",
2013,Number,bosnian-podrinje_canton,Information and communication technologies,
2013,Number,bosnian-podrinje_canton,"engineering,_production_and_construction",
2013,Number,bosnian-podrinje_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Number,bosnian-podrinje_canton,Health and social protection,
2013,Number,bosnian-podrinje_canton,Services,
2013,Number,central_bosnia_canton,Education,
2013,Number,central_bosnia_canton,Arts and humanities,
2013,Number,central_bosnia_canton,"social_sciences,_journalism_and_information",
2013,Number,central_bosnia_canton,"business,_administration_and_law",
2013,Number,central_bosnia_canton,"natural_sciences,_mathematics_and_statistics",
2013,Number,central_bosnia_canton,Information and communication technologies,
2013,Number,central_bosnia_canton,"engineering,_production_and_construction",
2013,Number,central_bosnia_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Number,central_bosnia_canton,Health and social protection,
2013,Number,central_bosnia_canton,Services,
2013,Number,herzegovina-neretva_canton,Education,
2013,Number,herzegovina-neretva_canton,Arts and humanities,
2013,Number,herzegovina-neretva_canton,"social_sciences,_journalism_and_information",
2013,Number,herzegovina-neretva_canton,"business,_administration_and_law",
2013,Number,herzegovina-neretva_canton,"natural_sciences,_mathematics_and_statistics",
2013,Number,herzegovina-neretva_canton,Information and communication technologies,
2013,Number,herzegovina-neretva_canton,"engineering,_production_and_construction",
2013,Number,herzegovina-neretva_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Number,herzegovina-neretva_canton,Health and social protection,
2013,Number,herzegovina-neretva_canton,Services,
2013,Number,sarajevo_canton,Education,
2013,Number,sarajevo_canton,Arts and humanities,
2013,Number,sarajevo_canton,"social_sciences,_journalism_and_information",
2013,Number,sarajevo_canton,"business,_administration_and_law",
2013,Number,sarajevo_canton,"natural_sciences,_mathematics_and_statistics",
2013,Number,sarajevo_canton,Information and communication technologies,
2013,Number,sarajevo_canton,"engineering,_production_and_construction",
2013,Number,sarajevo_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Number,sarajevo_canton,Health and social protection,
2013,Number,sarajevo_canton,Services,
2014,Number,federation_of_bih,Education,
2014,Number,federation_of_bih,Arts and humanities,
2014,Number,federation_of_bih,"social_sciences,_journalism_and_information",
2014,Number,federation_of_bih,"business,_administration_and_law",
2014,Number,federation_of_bih,"natural_sciences,_mathematics_and_statistics",
2014,Number,federation_of_bih,Information and communication technologies,
2014,Number,federation_of_bih,"engineering,_production_and_construction",
2014,Number,federation_of_bih,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Number,federation_of_bih,Health and social protection,
2014,Number,federation_of_bih,Services,
2014,Number,una-sana_canton,Education,
2014,Number,una-sana_canton,Arts and humanities,
2014,Number,una-sana_canton,"social_sciences,_journalism_and_information",
2014,Number,una-sana_canton,"business,_administration_and_law",
2014,Number,una-sana_canton,"natural_sciences,_mathematics_and_statistics",
2014,Number,una-sana_canton,Information and communication technologies,
2014,Number,una-sana_canton,"engineering,_production_and_construction",
2014,Number,una-sana_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Number,una-sana_canton,Health and social protection,
2014,Number,una-sana_canton,Services,
2014,Number,tuzla_canton,Education,
2014,Number,tuzla_canton,Arts and humanities,
2014,Number,tuzla_canton,"social_sciences,_journalism_and_information",
2014,Number,tuzla_canton,"business,_administration_and_law",
2014,Number,tuzla_canton,"natural_sciences,_mathematics_and_statistics",
2014,Number,tuzla_canton,Information and communication technologies,
2014,Number,tuzla_canton,"engineering,_production_and_construction",
2014,Number,tuzla_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Number,tuzla_canton,Health and social protection,
2014,Number,tuzla_canton,Services,
2014,Number,zenica-doboj_canton,Education,
2014,Number,zenica-doboj_canton,Arts and humanities,
2014,Number,zenica-doboj_canton,"social_sciences,_journalism_and_information",
2014,Number,zenica-doboj_canton,"business,_administration_and_law",
2014,Number,zenica-doboj_canton,"natural_sciences,_mathematics_and_statistics",
2014,Number,zenica-doboj_canton,Information and communication technologies,
2014,Number,zenica-doboj_canton,"engineering,_production_and_construction",
2014,Number,zenica-doboj_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Number,zenica-doboj_canton,Health and social protection,
2014,Number,zenica-doboj_canton,Services,
2014,Number,bosnian-podrinje_canton,Education,
2014,Number,bosnian-podrinje_canton,Arts and humanities,
2014,Number,bosnian-podrinje_canton,"social_sciences,_journalism_and_information",
2014,Number,bosnian-podrinje_canton,"business,_administration_and_law",
2014,Number,bosnian-podrinje_canton,"natural_sciences,_mathematics_and_statistics",
2014,Number,bosnian-podrinje_canton,Information and communication technologies,
2014,Number,bosnian-podrinje_canton,"engineering,_production_and_construction",
2014,Number,bosnian-podrinje_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Number,bosnian-podrinje_canton,Health and social protection,
2014,Number,bosnian-podrinje_canton,Services,
2014,Number,central_bosnia_canton,Education,
2014,Number,central_bosnia_canton,Arts and humanities,
2014,Number,central_bosnia_canton,"social_sciences,_journalism_and_information",
2014,Number,central_bosnia_canton,"business,_administration_and_law",
2014,Number,central_bosnia_canton,"natural_sciences,_mathematics_and_statistics",
2014,Number,central_bosnia_canton,Information and communication technologies,
2014,Number,central_bosnia_canton,"engineering,_production_and_construction",
2014,Number,central_bosnia_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Number,central_bosnia_canton,Health and social protection,
2014,Number,central_bosnia_canton,Services,
2014,Number,herzegovina-neretva_canton,Education,
2014,Number,herzegovina-neretva_canton,Arts and humanities,
2014,Number,herzegovina-neretva_canton,"social_sciences,_journalism_and_information",
2014,Number,herzegovina-neretva_canton,"business,_administration_and_law",
2014,Number,herzegovina-neretva_canton,"natural_sciences,_mathematics_and_statistics",
2014,Number,herzegovina-neretva_canton,Information and communication technologies,
2014,Number,herzegovina-neretva_canton,"engineering,_production_and_construction",
2014,Number,herzegovina-neretva_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Number,herzegovina-neretva_canton,Health and social protection,
2014,Number,herzegovina-neretva_canton,Services,
2014,Number,sarajevo_canton,Education,
2014,Number,sarajevo_canton,Arts and humanities,
2014,Number,sarajevo_canton,"social_sciences,_journalism_and_information",
2014,Number,sarajevo_canton,"business,_administration_and_law",
2014,Number,sarajevo_canton,"natural_sciences,_mathematics_and_statistics",
2014,Number,sarajevo_canton,Information and communication technologies,
2014,Number,sarajevo_canton,"engineering,_production_and_construction",
2014,Number,sarajevo_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Number,sarajevo_canton,Health and social protection,
2014,Number,sarajevo_canton,Services,
2015,Number,federation_of_bih,Education,
2015,Number,federation_of_bih,Arts and humanities,
2015,Number,federation_of_bih,"social_sciences,_journalism_and_information",
2015,Number,federation_of_bih,"business,_administration_and_law",
2015,Number,federation_of_bih,"natural_sciences,_mathematics_and_statistics",
2015,Number,federation_of_bih,Information and communication technologies,
2015,Number,federation_of_bih,"engineering,_production_and_construction",
2015,Number,federation_of_bih,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2015,Number,federation_of_bih,Health and social protection,
2015,Number,federation_of_bih,Services,
2015,Number,una-sana_canton,Education,
2015,Number,una-sana_canton,Arts and humanities,
2015,Number,una-sana_canton,"social_sciences,_journalism_and_information",
2015,Number,una-sana_canton,"business,_administration_and_law",
2015,Number,una-sana_canton,"natural_sciences,_mathematics_and_statistics",
2015,Number,una-sana_canton,Information and communication technologies,
2015,Number,una-sana_canton,"engineering,_production_and_construction",
2015,Number,una-sana_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2015,Number,una-sana_canton,Health and social protection,
2015,Number,una-sana_canton,Services,
2015,Number,tuzla_canton,Education,
2015,Number,tuzla_canton,Arts and humanities,
2015,Number,tuzla_canton,"social_sciences,_journalism_and_information",
2015,Number,tuzla_canton,"business,_administration_and_law",
2015,Number,tuzla_canton,"natural_sciences,_mathematics_and_statistics",
2015,Number,tuzla_canton,Information and communication technologies,
2015,Number,tuzla_canton,"engineering,_production_and_construction",
2015,Number,tuzla_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2015,Number,tuzla_canton,Health and social protection,
2015,Number,tuzla_canton,Services,
2015,Number,zenica-doboj_canton,Education,
2015,Number,zenica-doboj_canton,Arts and humanities,
2015,Number,zenica-doboj_canton,"social_sciences,_journalism_and_information",
2015,Number,zenica-doboj_canton,"business,_administration_and_law",
2015,Number,zenica-doboj_canton,"natural_sciences,_mathematics_and_statistics",
2015,Number,zenica-doboj_canton,Information and communication technologies,
2015,Number,zenica-doboj_canton,"engineering,_production_and_construction",
2015,Number,zenica-doboj_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2015,Number,zenica-doboj_canton,Health and social protection,
2015,Number,zenica-doboj_canton,Services,
2015,Number,bosnian-podrinje_canton,Education,
2015,Number,bosnian-podrinje_canton,Arts and humanities,
2015,Number,bosnian-podrinje_canton,"social_sciences,_journalism_and_information",
2015,Number,bosnian-podrinje_canton,"business,_administration_and_law",
2015,Number,bosnian-podrinje_canton,"natural_sciences,_mathematics_and_statistics",
2015,Number,bosnian-podrinje_canton,Information and communication technologies,
2015,Number,bosnian-podrinje_canton,"engineering,_production_and_construction",
2015,Number,bosnian-podrinje_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2015,Number,bosnian-podrinje_canton,Health and social protection,
2015,Number,bosnian-podrinje_canton,Services,
2015,Number,central_bosnia_canton,Education,
2015,Number,central_bosnia_canton,Arts and humanities,
2015,Number,central_bosnia_canton,"social_sciences,_journalism_and_information",
2015,Number,central_bosnia_canton,"business,_administration_and_law",
2015,Number,central_bosnia_canton,"natural_sciences,_mathematics_and_statistics",
2015,Number,central_bosnia_canton,Information and communication technologies,
2015,Number,central_bosnia_canton,"engineering,_production_and_construction",
2015,Number,central_bosnia_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2015,Number,central_bosnia_canton,Health and social protection,
2015,Number,central_bosnia_canton,Services,
2015,Number,herzegovina-neretva_canton,Education,
2015,Number,herzegovina-neretva_canton,Arts and humanities,
2015,Number,herzegovina-neretva_canton,"social_sciences,_journalism_and_information",
2015,Number,herzegovina-neretva_canton,"business,_administration_and_law",
2015,Number,herzegovina-neretva_canton,"natural_sciences,_mathematics_and_statistics",
2015,Number,herzegovina-neretva_canton,Information and communication technologies,
2015,Number,herzegovina-neretva_canton,"engineering,_production_and_construction",
2015,Number,herzegovina-neretva_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2015,Number,herzegovina-neretva_canton,Health and social protection,
2015,Number,herzegovina-neretva_canton,Services,
2015,Number,sarajevo_canton,Education,
2015,Number,sarajevo_canton,Arts and humanities,
2015,Number,sarajevo_canton,"social_sciences,_journalism_and_information",
2015,Number,sarajevo_canton,"business,_administration_and_law",
2015,Number,sarajevo_canton,"natural_sciences,_mathematics_and_statistics",
2015,Number,sarajevo_canton,Information and communication technologies,
2015,Number,sarajevo_canton,"engineering,_production_and_construction",
2015,Number,sarajevo_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2015,Number,sarajevo_canton,Health and social protection,
2015,Number,sarajevo_canton,Services,
2016,Number,federation_of_bih,Education,
2016,Number,federation_of_bih,Arts and humanities,
2016,Number,federation_of_bih,"social_sciences,_journalism_and_information",
2016,Number,federation_of_bih,"business,_administration_and_law",
