Year,UNIT_MEASURE,Administrativna oblast,scientific_field,Value
2010,Broj,Županija Srednjobosanska,"social_sciences,_journalism_and_information",
2010,Broj,Županija Srednjobosanska,"business,_administration_and_law",
2010,Broj,Županija Srednjobosanska,"natural_sciences,_mathematics_and_statistics",
2010,Broj,Županija Srednjobosanska,Informacijske i komunikacijske tehnologije,
2010,Broj,Županija Srednjobosanska,"engineering,_production_and_construction",
2010,Broj,Županija Srednjobosanska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Broj,Županija Srednjobosanska,Zdravstvo i socijalna skrb,
2010,Broj,Županija Srednjobosanska,Usluge,
2010,Broj,Županija Hercegovačko-neretvanska,Obrazovanje,
2010,Broj,Županija Hercegovačko-neretvanska,Umjetnost i humanističke znanosti,
2010,Broj,Županija Hercegovačko-neretvanska,"social_sciences,_journalism_and_information",
2010,Broj,Županija Hercegovačko-neretvanska,"business,_administration_and_law",
2010,Broj,Županija Hercegovačko-neretvanska,"natural_sciences,_mathematics_and_statistics",
2010,Broj,Županija Hercegovačko-neretvanska,Informacijske i komunikacijske tehnologije,
2010,Broj,Županija Hercegovačko-neretvanska,"engineering,_production_and_construction",
2010,Broj,Županija Hercegovačko-neretvanska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Broj,Županija Hercegovačko-neretvanska,Zdravstvo i socijalna skrb,
2010,Broj,Županija Hercegovačko-neretvanska,Usluge,
2010,Broj,Sarajevska županija,Obrazovanje,
2010,Broj,Sarajevska županija,Umjetnost i humanističke znanosti,
2010,Broj,Sarajevska županija,"social_sciences,_journalism_and_information",
2010,Broj,Sarajevska županija,"business,_administration_and_law",
2010,Broj,Sarajevska županija,"natural_sciences,_mathematics_and_statistics",
2010,Broj,Sarajevska županija,Informacijske i komunikacijske tehnologije,
2010,Broj,Sarajevska županija,"engineering,_production_and_construction",
2010,Broj,Sarajevska županija,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Broj,Sarajevska županija,Zdravstvo i socijalna skrb,
2010,Broj,Sarajevska županija,Usluge,
2011,Broj,Federacija Bosne i Hercegovine,Obrazovanje,
2011,Broj,Federacija Bosne i Hercegovine,Umjetnost i humanističke znanosti,
2011,Broj,Federacija Bosne i Hercegovine,"social_sciences,_journalism_and_information",
2011,Broj,Federacija Bosne i Hercegovine,"business,_administration_and_law",
2011,Broj,Federacija Bosne i Hercegovine,"natural_sciences,_mathematics_and_statistics",
2011,Broj,Federacija Bosne i Hercegovine,Informacijske i komunikacijske tehnologije,
2011,Broj,Federacija Bosne i Hercegovine,"engineering,_production_and_construction",
2011,Broj,Federacija Bosne i Hercegovine,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Broj,Federacija Bosne i Hercegovine,Zdravstvo i socijalna skrb,
2011,Broj,Federacija Bosne i Hercegovine,Usluge,
2011,Broj,Županija Unsko-sanska,Obrazovanje,
2011,Broj,Županija Unsko-sanska,Umjetnost i humanističke znanosti,
2011,Broj,Županija Unsko-sanska,"social_sciences,_journalism_and_information",
2011,Broj,Županija Unsko-sanska,"business,_administration_and_law",
2011,Broj,Županija Unsko-sanska,"natural_sciences,_mathematics_and_statistics",
2011,Broj,Županija Unsko-sanska,Informacijske i komunikacijske tehnologije,
2011,Broj,Županija Unsko-sanska,"engineering,_production_and_construction",
2011,Broj,Županija Unsko-sanska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Broj,Županija Unsko-sanska,Zdravstvo i socijalna skrb,
2011,Broj,Županija Unsko-sanska,Usluge,
2011,Broj,Županija Tuzlanska,Obrazovanje,
2011,Broj,Županija Tuzlanska,Umjetnost i humanističke znanosti,
2011,Broj,Županija Tuzlanska,"social_sciences,_journalism_and_information",
2011,Broj,Županija Tuzlanska,"business,_administration_and_law",
2011,Broj,Županija Tuzlanska,"natural_sciences,_mathematics_and_statistics",
2011,Broj,Županija Tuzlanska,Informacijske i komunikacijske tehnologije,
2011,Broj,Županija Tuzlanska,"engineering,_production_and_construction",
2011,Broj,Županija Tuzlanska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Broj,Županija Tuzlanska,Zdravstvo i socijalna skrb,
2011,Broj,Županija Tuzlanska,Usluge,
2011,Broj,Županija Zeničko-dobojska,Obrazovanje,
2011,Broj,Županija Zeničko-dobojska,Umjetnost i humanističke znanosti,
2011,Broj,Županija Zeničko-dobojska,"social_sciences,_journalism_and_information",
2011,Broj,Županija Zeničko-dobojska,"business,_administration_and_law",
2011,Broj,Županija Zeničko-dobojska,"natural_sciences,_mathematics_and_statistics",
2011,Broj,Županija Zeničko-dobojska,Informacijske i komunikacijske tehnologije,
2011,Broj,Županija Zeničko-dobojska,"engineering,_production_and_construction",
2011,Broj,Županija Zeničko-dobojska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Broj,Županija Zeničko-dobojska,Zdravstvo i socijalna skrb,
2011,Broj,Županija Zeničko-dobojska,Usluge,
2011,Broj,Županija Bosansko-podrinjska,Obrazovanje,
2011,Broj,Županija Bosansko-podrinjska,Umjetnost i humanističke znanosti,
2011,Broj,Županija Bosansko-podrinjska,"social_sciences,_journalism_and_information",
2011,Broj,Županija Bosansko-podrinjska,"business,_administration_and_law",
2011,Broj,Županija Bosansko-podrinjska,"natural_sciences,_mathematics_and_statistics",
2011,Broj,Županija Bosansko-podrinjska,Informacijske i komunikacijske tehnologije,
2011,Broj,Županija Bosansko-podrinjska,"engineering,_production_and_construction",
2011,Broj,Županija Bosansko-podrinjska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Broj,Županija Bosansko-podrinjska,Zdravstvo i socijalna skrb,
2011,Broj,Županija Bosansko-podrinjska,Usluge,
2011,Broj,Županija Srednjobosanska,Obrazovanje,
2011,Broj,Županija Srednjobosanska,Umjetnost i humanističke znanosti,
2011,Broj,Županija Srednjobosanska,"social_sciences,_journalism_and_information",
2011,Broj,Županija Srednjobosanska,"business,_administration_and_law",
2011,Broj,Županija Srednjobosanska,"natural_sciences,_mathematics_and_statistics",
2011,Broj,Županija Srednjobosanska,Informacijske i komunikacijske tehnologije,
2011,Broj,Županija Srednjobosanska,"engineering,_production_and_construction",
2011,Broj,Županija Srednjobosanska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Broj,Županija Srednjobosanska,Zdravstvo i socijalna skrb,
2011,Broj,Županija Srednjobosanska,Usluge,
2011,Broj,Županija Hercegovačko-neretvanska,Obrazovanje,
2011,Broj,Županija Hercegovačko-neretvanska,Umjetnost i humanističke znanosti,
2011,Broj,Županija Hercegovačko-neretvanska,"social_sciences,_journalism_and_information",
2011,Broj,Županija Hercegovačko-neretvanska,"business,_administration_and_law",
2011,Broj,Županija Hercegovačko-neretvanska,"natural_sciences,_mathematics_and_statistics",
2011,Broj,Županija Hercegovačko-neretvanska,Informacijske i komunikacijske tehnologije,
2011,Broj,Županija Hercegovačko-neretvanska,"engineering,_production_and_construction",
2011,Broj,Županija Hercegovačko-neretvanska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Broj,Županija Hercegovačko-neretvanska,Zdravstvo i socijalna skrb,
2011,Broj,Županija Hercegovačko-neretvanska,Usluge,
2011,Broj,Sarajevska županija,Obrazovanje,
2011,Broj,Sarajevska županija,Umjetnost i humanističke znanosti,
2011,Broj,Sarajevska županija,"social_sciences,_journalism_and_information",
2011,Broj,Sarajevska županija,"business,_administration_and_law",
2011,Broj,Sarajevska županija,"natural_sciences,_mathematics_and_statistics",
2011,Broj,Sarajevska županija,Informacijske i komunikacijske tehnologije,
2011,Broj,Sarajevska županija,"engineering,_production_and_construction",
2011,Broj,Sarajevska županija,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Broj,Sarajevska županija,Zdravstvo i socijalna skrb,
2011,Broj,Sarajevska županija,Usluge,
2012,Broj,Federacija Bosne i Hercegovine,Obrazovanje,
2012,Broj,Federacija Bosne i Hercegovine,Umjetnost i humanističke znanosti,
2012,Broj,Federacija Bosne i Hercegovine,"social_sciences,_journalism_and_information",
2012,Broj,Federacija Bosne i Hercegovine,"business,_administration_and_law",
2012,Broj,Federacija Bosne i Hercegovine,"natural_sciences,_mathematics_and_statistics",
2012,Broj,Federacija Bosne i Hercegovine,Informacijske i komunikacijske tehnologije,
2012,Broj,Federacija Bosne i Hercegovine,"engineering,_production_and_construction",
2012,Broj,Federacija Bosne i Hercegovine,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Broj,Federacija Bosne i Hercegovine,Zdravstvo i socijalna skrb,
2012,Broj,Federacija Bosne i Hercegovine,Usluge,
2012,Broj,Županija Unsko-sanska,Obrazovanje,
2012,Broj,Županija Unsko-sanska,Umjetnost i humanističke znanosti,
2012,Broj,Županija Unsko-sanska,"social_sciences,_journalism_and_information",
2012,Broj,Županija Unsko-sanska,"business,_administration_and_law",
2012,Broj,Županija Unsko-sanska,"natural_sciences,_mathematics_and_statistics",
2012,Broj,Županija Unsko-sanska,Informacijske i komunikacijske tehnologije,
2012,Broj,Županija Unsko-sanska,"engineering,_production_and_construction",
2012,Broj,Županija Unsko-sanska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Broj,Županija Unsko-sanska,Zdravstvo i socijalna skrb,
2012,Broj,Županija Unsko-sanska,Usluge,
2012,Broj,Županija Tuzlanska,Obrazovanje,
2012,Broj,Županija Tuzlanska,Umjetnost i humanističke znanosti,
2012,Broj,Županija Tuzlanska,"social_sciences,_journalism_and_information",
2012,Broj,Županija Tuzlanska,"business,_administration_and_law",
2012,Broj,Županija Tuzlanska,"natural_sciences,_mathematics_and_statistics",
2012,Broj,Županija Tuzlanska,Informacijske i komunikacijske tehnologije,
2012,Broj,Županija Tuzlanska,"engineering,_production_and_construction",
2012,Broj,Županija Tuzlanska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Broj,Županija Tuzlanska,Zdravstvo i socijalna skrb,
2012,Broj,Županija Tuzlanska,Usluge,
2012,Broj,Županija Zeničko-dobojska,Obrazovanje,
2012,Broj,Županija Zeničko-dobojska,Umjetnost i humanističke znanosti,
2012,Broj,Županija Zeničko-dobojska,"social_sciences,_journalism_and_information",
2012,Broj,Županija Zeničko-dobojska,"business,_administration_and_law",
2012,Broj,Županija Zeničko-dobojska,"natural_sciences,_mathematics_and_statistics",
2012,Broj,Županija Zeničko-dobojska,Informacijske i komunikacijske tehnologije,
2012,Broj,Županija Zeničko-dobojska,"engineering,_production_and_construction",
2012,Broj,Županija Zeničko-dobojska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Broj,Županija Zeničko-dobojska,Zdravstvo i socijalna skrb,
2012,Broj,Županija Zeničko-dobojska,Usluge,
2012,Broj,Županija Bosansko-podrinjska,Obrazovanje,
2012,Broj,Županija Bosansko-podrinjska,Umjetnost i humanističke znanosti,
2012,Broj,Županija Bosansko-podrinjska,"social_sciences,_journalism_and_information",
2012,Broj,Županija Bosansko-podrinjska,"business,_administration_and_law",
2012,Broj,Županija Bosansko-podrinjska,"natural_sciences,_mathematics_and_statistics",
2012,Broj,Županija Bosansko-podrinjska,Informacijske i komunikacijske tehnologije,
2012,Broj,Županija Bosansko-podrinjska,"engineering,_production_and_construction",
2012,Broj,Županija Bosansko-podrinjska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Broj,Županija Bosansko-podrinjska,Zdravstvo i socijalna skrb,
2012,Broj,Županija Bosansko-podrinjska,Usluge,
2012,Broj,Županija Srednjobosanska,Obrazovanje,
2012,Broj,Županija Srednjobosanska,Umjetnost i humanističke znanosti,
2012,Broj,Županija Srednjobosanska,"social_sciences,_journalism_and_information",
2012,Broj,Županija Srednjobosanska,"business,_administration_and_law",
2012,Broj,Županija Srednjobosanska,"natural_sciences,_mathematics_and_statistics",
2012,Broj,Županija Srednjobosanska,Informacijske i komunikacijske tehnologije,
2012,Broj,Županija Srednjobosanska,"engineering,_production_and_construction",
2012,Broj,Županija Srednjobosanska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Broj,Županija Srednjobosanska,Zdravstvo i socijalna skrb,
2012,Broj,Županija Srednjobosanska,Usluge,
2012,Broj,Županija Hercegovačko-neretvanska,Obrazovanje,
2012,Broj,Županija Hercegovačko-neretvanska,Umjetnost i humanističke znanosti,
2012,Broj,Županija Hercegovačko-neretvanska,"social_sciences,_journalism_and_information",
2012,Broj,Županija Hercegovačko-neretvanska,"business,_administration_and_law",
2012,Broj,Županija Hercegovačko-neretvanska,"natural_sciences,_mathematics_and_statistics",
2012,Broj,Županija Hercegovačko-neretvanska,Informacijske i komunikacijske tehnologije,
2012,Broj,Županija Hercegovačko-neretvanska,"engineering,_production_and_construction",
2012,Broj,Županija Hercegovačko-neretvanska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Broj,Županija Hercegovačko-neretvanska,Zdravstvo i socijalna skrb,
2012,Broj,Županija Hercegovačko-neretvanska,Usluge,
2012,Broj,Sarajevska županija,Obrazovanje,
2012,Broj,Sarajevska županija,Umjetnost i humanističke znanosti,
2012,Broj,Sarajevska županija,"social_sciences,_journalism_and_information",
2012,Broj,Sarajevska županija,"business,_administration_and_law",
2012,Broj,Sarajevska županija,"natural_sciences,_mathematics_and_statistics",
2012,Broj,Sarajevska županija,Informacijske i komunikacijske tehnologije,
2012,Broj,Sarajevska županija,"engineering,_production_and_construction",
2012,Broj,Sarajevska županija,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Broj,Sarajevska županija,Zdravstvo i socijalna skrb,
2012,Broj,Sarajevska županija,Usluge,
2013,Broj,Federacija Bosne i Hercegovine,Obrazovanje,
2013,Broj,Federacija Bosne i Hercegovine,Umjetnost i humanističke znanosti,
2013,Broj,Federacija Bosne i Hercegovine,"social_sciences,_journalism_and_information",
2013,Broj,Federacija Bosne i Hercegovine,"business,_administration_and_law",
2013,Broj,Federacija Bosne i Hercegovine,"natural_sciences,_mathematics_and_statistics",
2013,Broj,Federacija Bosne i Hercegovine,Informacijske i komunikacijske tehnologije,
2013,Broj,Federacija Bosne i Hercegovine,"engineering,_production_and_construction",
2013,Broj,Federacija Bosne i Hercegovine,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Broj,Federacija Bosne i Hercegovine,Zdravstvo i socijalna skrb,
2013,Broj,Federacija Bosne i Hercegovine,Usluge,
2013,Broj,Županija Unsko-sanska,Obrazovanje,
2013,Broj,Županija Unsko-sanska,Umjetnost i humanističke znanosti,
2013,Broj,Županija Unsko-sanska,"social_sciences,_journalism_and_information",
2013,Broj,Županija Unsko-sanska,"business,_administration_and_law",
2013,Broj,Županija Unsko-sanska,"natural_sciences,_mathematics_and_statistics",
2013,Broj,Županija Unsko-sanska,Informacijske i komunikacijske tehnologije,
2013,Broj,Županija Unsko-sanska,"engineering,_production_and_construction",
2013,Broj,Županija Unsko-sanska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Broj,Županija Unsko-sanska,Zdravstvo i socijalna skrb,
2013,Broj,Županija Unsko-sanska,Usluge,
2013,Broj,Županija Tuzlanska,Obrazovanje,
2013,Broj,Županija Tuzlanska,Umjetnost i humanističke znanosti,
2013,Broj,Županija Tuzlanska,"social_sciences,_journalism_and_information",
2013,Broj,Županija Tuzlanska,"business,_administration_and_law",
2013,Broj,Županija Tuzlanska,"natural_sciences,_mathematics_and_statistics",
2013,Broj,Županija Tuzlanska,Informacijske i komunikacijske tehnologije,
2013,Broj,Županija Tuzlanska,"engineering,_production_and_construction",
2013,Broj,Županija Tuzlanska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Broj,Županija Tuzlanska,Zdravstvo i socijalna skrb,
2013,Broj,Županija Tuzlanska,Usluge,
2013,Broj,Županija Zeničko-dobojska,Obrazovanje,
2013,Broj,Županija Zeničko-dobojska,Umjetnost i humanističke znanosti,
2013,Broj,Županija Zeničko-dobojska,"social_sciences,_journalism_and_information",
2013,Broj,Županija Zeničko-dobojska,"business,_administration_and_law",
2013,Broj,Županija Zeničko-dobojska,"natural_sciences,_mathematics_and_statistics",
2013,Broj,Županija Zeničko-dobojska,Informacijske i komunikacijske tehnologije,
2013,Broj,Županija Zeničko-dobojska,"engineering,_production_and_construction",
2013,Broj,Županija Zeničko-dobojska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Broj,Županija Zeničko-dobojska,Zdravstvo i socijalna skrb,
2013,Broj,Županija Zeničko-dobojska,Usluge,
2013,Broj,Županija Bosansko-podrinjska,Obrazovanje,
2013,Broj,Županija Bosansko-podrinjska,Umjetnost i humanističke znanosti,
2013,Broj,Županija Bosansko-podrinjska,"social_sciences,_journalism_and_information",
2013,Broj,Županija Bosansko-podrinjska,"business,_administration_and_law",
2013,Broj,Županija Bosansko-podrinjska,"natural_sciences,_mathematics_and_statistics",
2013,Broj,Županija Bosansko-podrinjska,Informacijske i komunikacijske tehnologije,
2013,Broj,Županija Bosansko-podrinjska,"engineering,_production_and_construction",
2013,Broj,Županija Bosansko-podrinjska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Broj,Županija Bosansko-podrinjska,Zdravstvo i socijalna skrb,
2013,Broj,Županija Bosansko-podrinjska,Usluge,
2013,Broj,Županija Srednjobosanska,Obrazovanje,
2013,Broj,Županija Srednjobosanska,Umjetnost i humanističke znanosti,
2013,Broj,Županija Srednjobosanska,"social_sciences,_journalism_and_information",
2013,Broj,Županija Srednjobosanska,"business,_administration_and_law",
2013,Broj,Županija Srednjobosanska,"natural_sciences,_mathematics_and_statistics",
2013,Broj,Županija Srednjobosanska,Informacijske i komunikacijske tehnologije,
2013,Broj,Županija Srednjobosanska,"engineering,_production_and_construction",
2013,Broj,Županija Srednjobosanska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Broj,Županija Srednjobosanska,Zdravstvo i socijalna skrb,
2013,Broj,Županija Srednjobosanska,Usluge,
2013,Broj,Županija Hercegovačko-neretvanska,Obrazovanje,
2013,Broj,Županija Hercegovačko-neretvanska,Umjetnost i humanističke znanosti,
2013,Broj,Županija Hercegovačko-neretvanska,"social_sciences,_journalism_and_information",
2013,Broj,Županija Hercegovačko-neretvanska,"business,_administration_and_law",
2013,Broj,Županija Hercegovačko-neretvanska,"natural_sciences,_mathematics_and_statistics",
2013,Broj,Županija Hercegovačko-neretvanska,Informacijske i komunikacijske tehnologije,
2013,Broj,Županija Hercegovačko-neretvanska,"engineering,_production_and_construction",
2013,Broj,Županija Hercegovačko-neretvanska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Broj,Županija Hercegovačko-neretvanska,Zdravstvo i socijalna skrb,
2013,Broj,Županija Hercegovačko-neretvanska,Usluge,
2013,Broj,Sarajevska županija,Obrazovanje,
2013,Broj,Sarajevska županija,Umjetnost i humanističke znanosti,
2013,Broj,Sarajevska županija,"social_sciences,_journalism_and_information",
2013,Broj,Sarajevska županija,"business,_administration_and_law",
2013,Broj,Sarajevska županija,"natural_sciences,_mathematics_and_statistics",
2013,Broj,Sarajevska županija,Informacijske i komunikacijske tehnologije,
2013,Broj,Sarajevska županija,"engineering,_production_and_construction",
2013,Broj,Sarajevska županija,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Broj,Sarajevska županija,Zdravstvo i socijalna skrb,
2013,Broj,Sarajevska županija,Usluge,
2014,Broj,Federacija Bosne i Hercegovine,Obrazovanje,
2014,Broj,Federacija Bosne i Hercegovine,Umjetnost i humanističke znanosti,
2014,Broj,Federacija Bosne i Hercegovine,"social_sciences,_journalism_and_information",
2014,Broj,Federacija Bosne i Hercegovine,"business,_administration_and_law",
2014,Broj,Federacija Bosne i Hercegovine,"natural_sciences,_mathematics_and_statistics",
2014,Broj,Federacija Bosne i Hercegovine,Informacijske i komunikacijske tehnologije,
2014,Broj,Federacija Bosne i Hercegovine,"engineering,_production_and_construction",
2014,Broj,Federacija Bosne i Hercegovine,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Broj,Federacija Bosne i Hercegovine,Zdravstvo i socijalna skrb,
2014,Broj,Federacija Bosne i Hercegovine,Usluge,
2014,Broj,Županija Unsko-sanska,Obrazovanje,
2014,Broj,Županija Unsko-sanska,Umjetnost i humanističke znanosti,
2014,Broj,Županija Unsko-sanska,"social_sciences,_journalism_and_information",
2014,Broj,Županija Unsko-sanska,"business,_administration_and_law",
2014,Broj,Županija Unsko-sanska,"natural_sciences,_mathematics_and_statistics",
2014,Broj,Županija Unsko-sanska,Informacijske i komunikacijske tehnologije,
2014,Broj,Županija Unsko-sanska,"engineering,_production_and_construction",
2014,Broj,Županija Unsko-sanska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Broj,Županija Unsko-sanska,Zdravstvo i socijalna skrb,
2014,Broj,Županija Unsko-sanska,Usluge,
2014,Broj,Županija Tuzlanska,Obrazovanje,
2014,Broj,Županija Tuzlanska,Umjetnost i humanističke znanosti,
2014,Broj,Županija Tuzlanska,"social_sciences,_journalism_and_information",
2014,Broj,Županija Tuzlanska,"business,_administration_and_law",
2014,Broj,Županija Tuzlanska,"natural_sciences,_mathematics_and_statistics",
2014,Broj,Županija Tuzlanska,Informacijske i komunikacijske tehnologije,
2014,Broj,Županija Tuzlanska,"engineering,_production_and_construction",
2014,Broj,Županija Tuzlanska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Broj,Županija Tuzlanska,Zdravstvo i socijalna skrb,
2014,Broj,Županija Tuzlanska,Usluge,
2014,Broj,Županija Zeničko-dobojska,Obrazovanje,
2014,Broj,Županija Zeničko-dobojska,Umjetnost i humanističke znanosti,
2014,Broj,Županija Zeničko-dobojska,"social_sciences,_journalism_and_information",
2014,Broj,Županija Zeničko-dobojska,"business,_administration_and_law",
2014,Broj,Županija Zeničko-dobojska,"natural_sciences,_mathematics_and_statistics",
2014,Broj,Županija Zeničko-dobojska,Informacijske i komunikacijske tehnologije,
2014,Broj,Županija Zeničko-dobojska,"engineering,_production_and_construction",
2014,Broj,Županija Zeničko-dobojska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Broj,Županija Zeničko-dobojska,Zdravstvo i socijalna skrb,
2014,Broj,Županija Zeničko-dobojska,Usluge,
2014,Broj,Županija Bosansko-podrinjska,Obrazovanje,
2014,Broj,Županija Bosansko-podrinjska,Umjetnost i humanističke znanosti,
2014,Broj,Županija Bosansko-podrinjska,"social_sciences,_journalism_and_information",
2014,Broj,Županija Bosansko-podrinjska,"business,_administration_and_law",
2014,Broj,Županija Bosansko-podrinjska,"natural_sciences,_mathematics_and_statistics",
2014,Broj,Županija Bosansko-podrinjska,Informacijske i komunikacijske tehnologije,
2014,Broj,Županija Bosansko-podrinjska,"engineering,_production_and_construction",
2014,Broj,Županija Bosansko-podrinjska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Broj,Županija Bosansko-podrinjska,Zdravstvo i socijalna skrb,
2014,Broj,Županija Bosansko-podrinjska,Usluge,
2014,Broj,Županija Srednjobosanska,Obrazovanje,
2014,Broj,Županija Srednjobosanska,Umjetnost i humanističke znanosti,
2014,Broj,Županija Srednjobosanska,"social_sciences,_journalism_and_information",
2014,Broj,Županija Srednjobosanska,"business,_administration_and_law",
2014,Broj,Županija Srednjobosanska,"natural_sciences,_mathematics_and_statistics",
2014,Broj,Županija Srednjobosanska,Informacijske i komunikacijske tehnologije,
2014,Broj,Županija Srednjobosanska,"engineering,_production_and_construction",
2014,Broj,Županija Srednjobosanska,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Broj,Županija Srednjobosanska,Zdravstvo i socijalna skrb,
2014,Broj,Županija Srednjobosanska,Usluge,
2014,Broj,Županija Hercegovačko-neretvanska,Obrazovanje,
2014,Broj,Županija Hercegovačko-neretvanska,Umjetnost i humanističke znanosti,
2014,Broj,Županija Hercegovačko-neretvanska,"social_sciences,_journalism_and_information",
