Year,UNIT_MEASURE,AGE,Sex,Cause_of_death,Value
2008,NUMBER,T,F,injuries_poisoning_and_consequences,122
2008,NUMBER,T,F,unknown,370
2008,NUMBER,0,_T,diseases_of_the_skin,0
2008,NUMBER,0,_T,diseases_of_the_eye,0
2008,NUMBER,0,_T,pregnancy_childbirth_and_the,0
2008,NUMBER,0,_T,diseases_of_the_blood,0
2008,NUMBER,0,_T,diseases_of_the_musculoskeletal,0
2008,NUMBER,0,_T,mental_and_behavioural_disorders,0
2008,NUMBER,0,_T,neoplasms,0
2008,NUMBER,0,_T,endocrine_metabolic_and_nutritional,0
2008,NUMBER,0,_T,diseases_of_the_nervous,0
2008,NUMBER,0,_T,diseases_of_the_genitourinary,0
2008,NUMBER,0,_T,injuries_poisoning_and_consequences,2
2008,NUMBER,0,_T,diseases_of_the_respiratory,3
2008,NUMBER,0,_T,diseases_of_the_digestive,3
2008,NUMBER,0,_T,symptoms_signs_and_abnormal,10
2008,NUMBER,0,_T,certain_conditions_originating,116
2008,NUMBER,0,_T,congenital_malformations_deformations,35
2008,NUMBER,0,_T,unknown,9
2008,NUMBER,0,_T,diseases_of_the_circulatory,11
2008,NUMBER,0,_T,infectious_and_parasitic,5
2008,NUMBER,0,M,neoplasms,0
2008,NUMBER,0,M,endocrine_metabolic_and_nutritional,0
2008,NUMBER,0,M,diseases_of_the_nervous,0
2008,NUMBER,0,M,diseases_of_the_genitourinary,0
2008,NUMBER,0,M,mental_and_behavioural_disorders,0
2008,NUMBER,0,M,pregnancy_childbirth_and_the,0
2008,NUMBER,0,M,diseases_of_the_eye,0
2008,NUMBER,0,M,diseases_of_the_blood,0
2008,NUMBER,0,M,diseases_of_the_musculoskeletal,0
2008,NUMBER,0,M,diseases_of_the_skin,0
2008,NUMBER,0,M,injuries_poisoning_and_consequences,1
2008,NUMBER,0,M,infectious_and_parasitic,2
2008,NUMBER,0,M,diseases_of_the_respiratory,2
2008,NUMBER,0,M,diseases_of_the_digestive,3
2008,NUMBER,0,M,unknown,4
2008,NUMBER,0,M,certain_conditions_originating,63
2008,NUMBER,0,M,congenital_malformations_deformations,22
2008,NUMBER,0,M,symptoms_signs_and_abnormal,7
2008,NUMBER,0,M,diseases_of_the_circulatory,6
2008,NUMBER,0,F,diseases_of_the_skin,0
2008,NUMBER,0,F,neoplasms,0
2008,NUMBER,0,F,diseases_of_the_blood,0
2008,NUMBER,0,F,endocrine_metabolic_and_nutritional,0
2008,NUMBER,0,F,mental_and_behavioural_disorders,0
2008,NUMBER,0,F,diseases_of_the_nervous,0
2008,NUMBER,0,F,diseases_of_the_eye,0
2008,NUMBER,0,F,diseases_of_the_digestive,0
2008,NUMBER,0,F,diseases_of_the_musculoskeletal,0
2008,NUMBER,0,F,diseases_of_the_genitourinary,0
2008,NUMBER,0,F,pregnancy_childbirth_and_the,0
2008,NUMBER,0,F,diseases_of_the_respiratory,1
2008,NUMBER,0,F,injuries_poisoning_and_consequences,1
2008,NUMBER,0,F,infectious_and_parasitic,3
2008,NUMBER,0,F,symptoms_signs_and_abnormal,3
2008,NUMBER,0,F,diseases_of_the_circulatory,5
2008,NUMBER,0,F,unknown,5
2008,NUMBER,0,F,certain_conditions_originating,53
2008,NUMBER,0,F,congenital_malformations_deformations,13
2008,NUMBER, 1-4,_T,certain_conditions_originating,0
2008,NUMBER, 1-4,_T,diseases_of_the_skin,0
2008,NUMBER, 1-4,_T,diseases_of_the_eye,0
2008,NUMBER, 1-4,_T,pregnancy_childbirth_and_the,0
2008,NUMBER, 1-4,_T,diseases_of_the_musculoskeletal,0
2008,NUMBER, 1-4,_T,mental_and_behavioural_disorders,0
2008,NUMBER, 1-4,_T,endocrine_metabolic_and_nutritional,0
2008,NUMBER, 1-4,_T,diseases_of_the_digestive,0
2008,NUMBER, 1-4,_T,symptoms_signs_and_abnormal,0
2008,NUMBER, 1-4,_T,diseases_of_the_blood,1
2008,NUMBER, 1-4,_T,diseases_of_the_nervous,1
2008,NUMBER, 1-4,_T,diseases_of_the_respiratory,1
2008,NUMBER, 1-4,_T,diseases_of_the_genitourinary,1
2008,NUMBER, 1-4,_T,infectious_and_parasitic,2
2008,NUMBER, 1-4,_T,unknown,2
2008,NUMBER, 1-4,_T,neoplasms,3
2008,NUMBER, 1-4,_T,congenital_malformations_deformations,4
2008,NUMBER, 1-4,_T,diseases_of_the_circulatory,6
2008,NUMBER, 1-4,_T,injuries_poisoning_and_consequences,6
2008,NUMBER, 1-4,M,endocrine_metabolic_and_nutritional,0
2008,NUMBER, 1-4,M,diseases_of_the_nervous,0
2008,NUMBER, 1-4,M,diseases_of_the_digestive,0
2008,NUMBER, 1-4,M,symptoms_signs_and_abnormal,0
2008,NUMBER, 1-4,M,unknown,0
2008,NUMBER, 1-4,M,mental_and_behavioural_disorders,0
2008,NUMBER, 1-4,M,pregnancy_childbirth_and_the,0
2008,NUMBER, 1-4,M,diseases_of_the_eye,0
2008,NUMBER, 1-4,M,diseases_of_the_musculoskeletal,0
2008,NUMBER, 1-4,M,diseases_of_the_skin,0
2008,NUMBER, 1-4,M,certain_conditions_originating,0
2008,NUMBER, 1-4,M,diseases_of_the_blood,1
2008,NUMBER, 1-4,M,diseases_of_the_respiratory,1
2008,NUMBER, 1-4,M,diseases_of_the_genitourinary,1
2008,NUMBER, 1-4,M,infectious_and_parasitic,2
2008,NUMBER, 1-4,M,neoplasms,2
2008,NUMBER, 1-4,M,diseases_of_the_circulatory,2
2008,NUMBER, 1-4,M,congenital_malformations_deformations,3
2008,NUMBER, 1-4,M,injuries_poisoning_and_consequences,5
2008,NUMBER, 1-4,F,certain_conditions_originating,0
2008,NUMBER, 1-4,F,diseases_of_the_skin,0
2008,NUMBER, 1-4,F,infectious_and_parasitic,0
2008,NUMBER, 1-4,F,diseases_of_the_blood,0
2008,NUMBER, 1-4,F,endocrine_metabolic_and_nutritional,0
2008,NUMBER, 1-4,F,mental_and_behavioural_disorders,0
2008,NUMBER, 1-4,F,diseases_of_the_eye,0
2008,NUMBER, 1-4,F,diseases_of_the_respiratory,0
2008,NUMBER, 1-4,F,diseases_of_the_digestive,0
2008,NUMBER, 1-4,F,diseases_of_the_musculoskeletal,0
2008,NUMBER, 1-4,F,diseases_of_the_genitourinary,0
2008,NUMBER, 1-4,F,pregnancy_childbirth_and_the,0
2008,NUMBER, 1-4,F,symptoms_signs_and_abnormal,0
2008,NUMBER, 1-4,F,neoplasms,1
2008,NUMBER, 1-4,F,diseases_of_the_nervous,1
2008,NUMBER, 1-4,F,congenital_malformations_deformations,1
2008,NUMBER, 1-4,F,injuries_poisoning_and_consequences,1
2008,NUMBER, 1-4,F,unknown,2
2008,NUMBER, 1-4,F,diseases_of_the_circulatory,4
2008,NUMBER, 5-9,_T,certain_conditions_originating,0
2008,NUMBER, 5-9,_T,diseases_of_the_skin,0
2008,NUMBER, 5-9,_T,diseases_of_the_eye,0
2008,NUMBER, 5-9,_T,infectious_and_parasitic,0
2008,NUMBER, 5-9,_T,diseases_of_the_blood,0
2008,NUMBER, 5-9,_T,endocrine_metabolic_and_nutritional,0
2008,NUMBER, 5-9,_T,mental_and_behavioural_disorders,0
2008,NUMBER, 5-9,_T,diseases_of_the_respiratory,0
2008,NUMBER, 5-9,_T,diseases_of_the_digestive,0
2008,NUMBER, 5-9,_T,diseases_of_the_musculoskeletal,0
2008,NUMBER, 5-9,_T,diseases_of_the_genitourinary,0
2008,NUMBER, 5-9,_T,pregnancy_childbirth_and_the,0
2008,NUMBER, 5-9,_T,diseases_of_the_nervous,1
2008,NUMBER, 5-9,_T,unknown,1
2008,NUMBER, 5-9,_T,diseases_of_the_circulatory,2
2008,NUMBER, 5-9,_T,congenital_malformations_deformations,2
2008,NUMBER, 5-9,_T,neoplasms,3
2008,NUMBER, 5-9,_T,symptoms_signs_and_abnormal,3
2008,NUMBER, 5-9,_T,injuries_poisoning_and_consequences,8
2008,NUMBER, 5-9,M,infectious_and_parasitic,0
2008,NUMBER, 5-9,M,endocrine_metabolic_and_nutritional,0
2008,NUMBER, 5-9,M,diseases_of_the_nervous,0
2008,NUMBER, 5-9,M,diseases_of_the_respiratory,0
2008,NUMBER, 5-9,M,diseases_of_the_digestive,0
2008,NUMBER, 5-9,M,diseases_of_the_genitourinary,0
2008,NUMBER, 5-9,M,unknown,0
2008,NUMBER, 5-9,M,mental_and_behavioural_disorders,0
2008,NUMBER, 5-9,M,pregnancy_childbirth_and_the,0
2008,NUMBER, 5-9,M,diseases_of_the_eye,0
2008,NUMBER, 5-9,M,diseases_of_the_blood,0
2008,NUMBER, 5-9,M,diseases_of_the_musculoskeletal,0
2008,NUMBER, 5-9,M,congenital_malformations_deformations,0
2008,NUMBER, 5-9,M,diseases_of_the_skin,0
2008,NUMBER, 5-9,M,certain_conditions_originating,0
2008,NUMBER, 5-9,M,neoplasms,2
2008,NUMBER, 5-9,M,diseases_of_the_circulatory,2
2008,NUMBER, 5-9,M,symptoms_signs_and_abnormal,2
2008,NUMBER, 5-9,M,injuries_poisoning_and_consequences,7
2008,NUMBER, 5-9,F,certain_conditions_originating,0
2008,NUMBER, 5-9,F,diseases_of_the_skin,0
2008,NUMBER, 5-9,F,infectious_and_parasitic,0
2008,NUMBER, 5-9,F,diseases_of_the_blood,0
2008,NUMBER, 5-9,F,endocrine_metabolic_and_nutritional,0
2008,NUMBER, 5-9,F,mental_and_behavioural_disorders,0
2008,NUMBER, 5-9,F,diseases_of_the_eye,0
2008,NUMBER, 5-9,F,diseases_of_the_circulatory,0
2008,NUMBER, 5-9,F,diseases_of_the_respiratory,0
2008,NUMBER, 5-9,F,diseases_of_the_digestive,0
2008,NUMBER, 5-9,F,diseases_of_the_musculoskeletal,0
2008,NUMBER, 5-9,F,diseases_of_the_genitourinary,0
2008,NUMBER, 5-9,F,pregnancy_childbirth_and_the,0
2008,NUMBER, 5-9,F,neoplasms,1
2008,NUMBER, 5-9,F,diseases_of_the_nervous,1
2008,NUMBER, 5-9,F,symptoms_signs_and_abnormal,1
2008,NUMBER, 5-9,F,injuries_poisoning_and_consequences,1
2008,NUMBER, 5-9,F,unknown,1
2008,NUMBER, 5-9,F,congenital_malformations_deformations,2
2008,NUMBER, 10-14,_T,certain_conditions_originating,0
2008,NUMBER, 10-14,_T,diseases_of_the_skin,0
2008,NUMBER, 10-14,_T,congenital_malformations_deformations,0
2008,NUMBER, 10-14,_T,diseases_of_the_eye,0
2008,NUMBER, 10-14,_T,diseases_of_the_blood,0
2008,NUMBER, 10-14,_T,mental_and_behavioural_disorders,0
2008,NUMBER, 10-14,_T,diseases_of_the_digestive,0
2008,NUMBER, 10-14,_T,diseases_of_the_musculoskeletal,0
2008,NUMBER, 10-14,_T,diseases_of_the_genitourinary,0
2008,NUMBER, 10-14,_T,pregnancy_childbirth_and_the,0
2008,NUMBER, 10-14,_T,endocrine_metabolic_and_nutritional,1
2008,NUMBER, 10-14,_T,diseases_of_the_respiratory,1
2008,NUMBER, 10-14,_T,infectious_and_parasitic,2
2008,NUMBER, 10-14,_T,diseases_of_the_circulatory,2
2008,NUMBER, 10-14,_T,diseases_of_the_nervous,3
2008,NUMBER, 10-14,_T,unknown,3
2008,NUMBER, 10-14,_T,symptoms_signs_and_abnormal,4
2008,NUMBER, 10-14,_T,injuries_poisoning_and_consequences,9
2008,NUMBER, 10-14,_T,neoplasms,5
2008,NUMBER, 10-14,M,infectious_and_parasitic,0
2008,NUMBER, 10-14,M,endocrine_metabolic_and_nutritional,0
2008,NUMBER, 10-14,M,diseases_of_the_circulatory,0
2008,NUMBER, 10-14,M,diseases_of_the_respiratory,0
2008,NUMBER, 10-14,M,diseases_of_the_digestive,0
2008,NUMBER, 10-14,M,diseases_of_the_genitourinary,0
2008,NUMBER, 10-14,M,mental_and_behavioural_disorders,0
2008,NUMBER, 10-14,M,pregnancy_childbirth_and_the,0
2008,NUMBER, 10-14,M,diseases_of_the_eye,0
2008,NUMBER, 10-14,M,diseases_of_the_blood,0
2008,NUMBER, 10-14,M,diseases_of_the_musculoskeletal,0
2008,NUMBER, 10-14,M,congenital_malformations_deformations,0
2008,NUMBER, 10-14,M,diseases_of_the_skin,0
2008,NUMBER, 10-14,M,certain_conditions_originating,0
2008,NUMBER, 10-14,M,diseases_of_the_nervous,1
2008,NUMBER, 10-14,M,unknown,2
2008,NUMBER, 10-14,M,symptoms_signs_and_abnormal,3
2008,NUMBER, 10-14,M,neoplasms,4
2008,NUMBER, 10-14,M,injuries_poisoning_and_consequences,6
2008,NUMBER, 10-14,F,certain_conditions_originating,0
2008,NUMBER, 10-14,F,diseases_of_the_skin,0
2008,NUMBER, 10-14,F,congenital_malformations_deformations,0
2008,NUMBER, 10-14,F,diseases_of_the_blood,0
2008,NUMBER, 10-14,F,mental_and_behavioural_disorders,0
2008,NUMBER, 10-14,F,diseases_of_the_eye,0
2008,NUMBER, 10-14,F,diseases_of_the_digestive,0
2008,NUMBER, 10-14,F,diseases_of_the_musculoskeletal,0
2008,NUMBER, 10-14,F,diseases_of_the_genitourinary,0
2008,NUMBER, 10-14,F,pregnancy_childbirth_and_the,0
2008,NUMBER, 10-14,F,neoplasms,1
2008,NUMBER, 10-14,F,endocrine_metabolic_and_nutritional,1
2008,NUMBER, 10-14,F,diseases_of_the_respiratory,1
2008,NUMBER, 10-14,F,symptoms_signs_and_abnormal,1
2008,NUMBER, 10-14,F,unknown,1
2008,NUMBER, 10-14,F,infectious_and_parasitic,2
2008,NUMBER, 10-14,F,diseases_of_the_nervous,2
2008,NUMBER, 10-14,F,diseases_of_the_circulatory,2
2008,NUMBER, 10-14,F,injuries_poisoning_and_consequences,3
2008,NUMBER,15-19,_T,certain_conditions_originating,0
2008,NUMBER,15-19,_T,diseases_of_the_skin,0
2008,NUMBER,15-19,_T,diseases_of_the_eye,0
2008,NUMBER,15-19,_T,diseases_of_the_blood,0
2008,NUMBER,15-19,_T,diseases_of_the_musculoskeletal,0
2008,NUMBER,15-19,_T,mental_and_behavioural_disorders,0
2008,NUMBER,15-19,_T,endocrine_metabolic_and_nutritional,0
2008,NUMBER,15-19,_T,diseases_of_the_respiratory,0
2008,NUMBER,15-19,_T,diseases_of_the_genitourinary,0
2008,NUMBER,15-19,_T,infectious_and_parasitic,1
2008,NUMBER,15-19,_T,diseases_of_the_nervous,1
2008,NUMBER,15-19,_T,congenital_malformations_deformations,1
2008,NUMBER,15-19,_T,diseases_of_the_digestive,2
2008,NUMBER,15-19,_T,pregnancy_childbirth_and_the,2
2008,NUMBER,15-19,_T,neoplasms,3
2008,NUMBER,15-19,_T,unknown,3
2008,NUMBER,15-19,_T,diseases_of_the_circulatory,8
2008,NUMBER,15-19,_T,injuries_poisoning_and_consequences,30
2008,NUMBER,15-19,_T,symptoms_signs_and_abnormal,5
2008,NUMBER,15-19,M,endocrine_metabolic_and_nutritional,0
2008,NUMBER,15-19,M,diseases_of_the_respiratory,0
2008,NUMBER,15-19,M,diseases_of_the_genitourinary,0
2008,NUMBER,15-19,M,mental_and_behavioural_disorders,0
2008,NUMBER,15-19,M,pregnancy_childbirth_and_the,0
2008,NUMBER,15-19,M,diseases_of_the_eye,0
2008,NUMBER,15-19,M,diseases_of_the_blood,0
2008,NUMBER,15-19,M,diseases_of_the_musculoskeletal,0
2008,NUMBER,15-19,M,congenital_malformations_deformations,0
2008,NUMBER,15-19,M,diseases_of_the_skin,0
2008,NUMBER,15-19,M,certain_conditions_originating,0
2008,NUMBER,15-19,M,infectious_and_parasitic,1
2008,NUMBER,15-19,M,diseases_of_the_nervous,1
2008,NUMBER,15-19,M,unknown,1
2008,NUMBER,15-19,M,diseases_of_the_digestive,2
2008,NUMBER,15-19,M,neoplasms,3
2008,NUMBER,15-19,M,symptoms_signs_and_abnormal,3
2008,NUMBER,15-19,M,injuries_poisoning_and_consequences,23
2008,NUMBER,15-19,M,diseases_of_the_circulatory,5
2008,NUMBER,15-19,F,certain_conditions_originating,0
2008,NUMBER,15-19,F,diseases_of_the_skin,0
2008,NUMBER,15-19,F,infectious_and_parasitic,0
2008,NUMBER,15-19,F,neoplasms,0
2008,NUMBER,15-19,F,diseases_of_the_blood,0
2008,NUMBER,15-19,F,endocrine_metabolic_and_nutritional,0
2008,NUMBER,15-19,F,mental_and_behavioural_disorders,0
2008,NUMBER,15-19,F,diseases_of_the_nervous,0
2008,NUMBER,15-19,F,diseases_of_the_eye,0
2008,NUMBER,15-19,F,diseases_of_the_respiratory,0
2008,NUMBER,15-19,F,diseases_of_the_digestive,0
2008,NUMBER,15-19,F,diseases_of_the_musculoskeletal,0
2008,NUMBER,15-19,F,diseases_of_the_genitourinary,0
2008,NUMBER,15-19,F,congenital_malformations_deformations,1
2008,NUMBER,15-19,F,pregnancy_childbirth_and_the,2
2008,NUMBER,15-19,F,symptoms_signs_and_abnormal,2
2008,NUMBER,15-19,F,unknown,2
2008,NUMBER,15-19,F,diseases_of_the_circulatory,3
2008,NUMBER,15-19,F,injuries_poisoning_and_consequences,7
2008,NUMBER,20-24,_T,certain_conditions_originating,0
2008,NUMBER,20-24,_T,diseases_of_the_skin,0
2008,NUMBER,20-24,_T,diseases_of_the_eye,0
2008,NUMBER,20-24,_T,pregnancy_childbirth_and_the,0
2008,NUMBER,20-24,_T,diseases_of_the_blood,0
2008,NUMBER,20-24,_T,diseases_of_the_musculoskeletal,0
2008,NUMBER,20-24,_T,mental_and_behavioural_disorders,0
2008,NUMBER,20-24,_T,infectious_and_parasitic,1
2008,NUMBER,20-24,_T,endocrine_metabolic_and_nutritional,1
2008,NUMBER,20-24,_T,diseases_of_the_digestive,1
2008,NUMBER,20-24,_T,diseases_of_the_genitourinary,1
2008,NUMBER,20-24,_T,congenital_malformations_deformations,2
2008,NUMBER,20-24,_T,diseases_of_the_nervous,3
2008,NUMBER,20-24,_T,unknown,3
2008,NUMBER,20-24,_T,diseases_of_the_circulatory,10
2008,NUMBER,20-24,_T,symptoms_signs_and_abnormal,8
2008,NUMBER,20-24,_T,neoplasms,13
2008,NUMBER,20-24,_T,injuries_poisoning_and_consequences,51
2008,NUMBER,20-24,_T,diseases_of_the_respiratory,5
2008,NUMBER,20-24,M,diseases_of_the_genitourinary,0
2008,NUMBER,20-24,M,mental_and_behavioural_disorders,0
2008,NUMBER,20-24,M,pregnancy_childbirth_and_the,0
2008,NUMBER,20-24,M,diseases_of_the_eye,0
2008,NUMBER,20-24,M,diseases_of_the_blood,0
2008,NUMBER,20-24,M,diseases_of_the_musculoskeletal,0
2008,NUMBER,20-24,M,diseases_of_the_skin,0
2008,NUMBER,20-24,M,certain_conditions_originating,0
2008,NUMBER,20-24,M,infectious_and_parasitic,1
2008,NUMBER,20-24,M,endocrine_metabolic_and_nutritional,1
2008,NUMBER,20-24,M,diseases_of_the_digestive,1
2008,NUMBER,20-24,M,congenital_malformations_deformations,1
2008,NUMBER,20-24,M,unknown,1
2008,NUMBER,20-24,M,diseases_of_the_nervous,2
2008,NUMBER,20-24,M,diseases_of_the_respiratory,3
2008,NUMBER,20-24,M,injuries_poisoning_and_consequences,46
2008,NUMBER,20-24,M,diseases_of_the_circulatory,7
2008,NUMBER,20-24,M,symptoms_signs_and_abnormal,7
2008,NUMBER,20-24,M,neoplasms,6
2008,NUMBER,20-24,F,certain_conditions_originating,0
2008,NUMBER,20-24,F,diseases_of_the_skin,0
2008,NUMBER,20-24,F,infectious_and_parasitic,0
2008,NUMBER,20-24,F,diseases_of_the_blood,0
2008,NUMBER,20-24,F,endocrine_metabolic_and_nutritional,0
2008,NUMBER,20-24,F,mental_and_behavioural_disorders,0
2008,NUMBER,20-24,F,diseases_of_the_eye,0
2008,NUMBER,20-24,F,diseases_of_the_digestive,0
2008,NUMBER,20-24,F,diseases_of_the_musculoskeletal,0
2008,NUMBER,20-24,F,pregnancy_childbirth_and_the,0
2008,NUMBER,20-24,F,diseases_of_the_nervous,1
2008,NUMBER,20-24,F,diseases_of_the_genitourinary,1
2008,NUMBER,20-24,F,congenital_malformations_deformations,1
2008,NUMBER,20-24,F,symptoms_signs_and_abnormal,1
2008,NUMBER,20-24,F,diseases_of_the_respiratory,2
2008,NUMBER,20-24,F,unknown,2
2008,NUMBER,20-24,F,diseases_of_the_circulatory,3
2008,NUMBER,20-24,F,injuries_poisoning_and_consequences,5
2008,NUMBER,20-24,F,neoplasms,7
2008,NUMBER,25-29,_T,certain_conditions_originating,0
2008,NUMBER,25-29,_T,diseases_of_the_skin,0
2008,NUMBER,25-29,_T,congenital_malformations_deformations,0
2008,NUMBER,25-29,_T,diseases_of_the_eye,0
2008,NUMBER,25-29,_T,diseases_of_the_musculoskeletal,0
2008,NUMBER,25-29,_T,mental_and_behavioural_disorders,0
2008,NUMBER,25-29,_T,diseases_of_the_nervous,0
2008,NUMBER,25-29,_T,diseases_of_the_respiratory,0
2008,NUMBER,25-29,_T,diseases_of_the_digestive,0
2008,NUMBER,25-29,_T,diseases_of_the_genitourinary,0
2008,NUMBER,25-29,_T,diseases_of_the_blood,1
2008,NUMBER,25-29,_T,endocrine_metabolic_and_nutritional,1
2008,NUMBER,25-29,_T,pregnancy_childbirth_and_the,1
2008,NUMBER,25-29,_T,infectious_and_parasitic,3
2008,NUMBER,25-29,_T,neoplasms,10
2008,NUMBER,25-29,_T,symptoms_signs_and_abnormal,10
2008,NUMBER,25-29,_T,diseases_of_the_circulatory,18
2008,NUMBER,25-29,_T,injuries_poisoning_and_consequences,47
2008,NUMBER,25-29,_T,unknown,7
2008,NUMBER,25-29,M,diseases_of_the_nervous,0
2008,NUMBER,25-29,M,diseases_of_the_respiratory,0
2008,NUMBER,25-29,M,diseases_of_the_digestive,0
2008,NUMBER,25-29,M,diseases_of_the_genitourinary,0
2008,NUMBER,25-29,M,mental_and_behavioural_disorders,0
2008,NUMBER,25-29,M,pregnancy_childbirth_and_the,0
2008,NUMBER,25-29,M,diseases_of_the_eye,0
2008,NUMBER,25-29,M,diseases_of_the_musculoskeletal,0
2008,NUMBER,25-29,M,congenital_malformations_deformations,0
2008,NUMBER,25-29,M,diseases_of_the_skin,0
2008,NUMBER,25-29,M,certain_conditions_originating,0
2008,NUMBER,25-29,M,diseases_of_the_blood,1
2008,NUMBER,25-29,M,endocrine_metabolic_and_nutritional,1
2008,NUMBER,25-29,M,infectious_and_parasitic,3
2008,NUMBER,25-29,M,injuries_poisoning_and_consequences,44
2008,NUMBER,25-29,M,diseases_of_the_circulatory,11
2008,NUMBER,25-29,M,neoplasms,10
2008,NUMBER,25-29,M,symptoms_signs_and_abnormal,8
2008,NUMBER,25-29,M,unknown,6
2008,NUMBER,25-29,F,certain_conditions_originating,0
2008,NUMBER,25-29,F,diseases_of_the_skin,0
2008,NUMBER,25-29,F,congenital_malformations_deformations,0
2008,NUMBER,25-29,F,infectious_and_parasitic,0
2008,NUMBER,25-29,F,neoplasms,0
2008,NUMBER,25-29,F,diseases_of_the_blood,0
2008,NUMBER,25-29,F,endocrine_metabolic_and_nutritional,0
2008,NUMBER,25-29,F,mental_and_behavioural_disorders,0
2008,NUMBER,25-29,F,diseases_of_the_nervous,0
2008,NUMBER,25-29,F,diseases_of_the_eye,0
2008,NUMBER,25-29,F,diseases_of_the_respiratory,0
2008,NUMBER,25-29,F,diseases_of_the_digestive,0
2008,NUMBER,25-29,F,diseases_of_the_musculoskeletal,0
2008,NUMBER,25-29,F,diseases_of_the_genitourinary,0
2008,NUMBER,25-29,F,pregnancy_childbirth_and_the,1
2008,NUMBER,25-29,F,unknown,1
2008,NUMBER,25-29,F,symptoms_signs_and_abnormal,2
2008,NUMBER,25-29,F,injuries_poisoning_and_consequences,3
2008,NUMBER,25-29,F,diseases_of_the_circulatory,7
2008,NUMBER,30-34,_T,certain_conditions_originating,0
2008,NUMBER,30-34,_T,diseases_of_the_skin,0
2008,NUMBER,30-34,_T,congenital_malformations_deformations,0
2008,NUMBER,30-34,_T,diseases_of_the_eye,0
2008,NUMBER,30-34,_T,pregnancy_childbirth_and_the,0
2008,NUMBER,30-34,_T,diseases_of_the_blood,0
2008,NUMBER,30-34,_T,diseases_of_the_musculoskeletal,0
2008,NUMBER,30-34,_T,mental_and_behavioural_disorders,0
2008,NUMBER,30-34,_T,endocrine_metabolic_and_nutritional,1
2008,NUMBER,30-34,_T,diseases_of_the_genitourinary,1
2008,NUMBER,30-34,_T,infectious_and_parasitic,2
2008,NUMBER,30-34,_T,diseases_of_the_digestive,2
2008,NUMBER,30-34,_T,diseases_of_the_respiratory,3
2008,NUMBER,30-34,_T,diseases_of_the_nervous,4
2008,NUMBER,30-34,_T,symptoms_signs_and_abnormal,10
2008,NUMBER,30-34,_T,unknown,10
2008,NUMBER,30-34,_T,neoplasms,24
