Year,UNIT_MEASURE,ADMIN_AREA,type_of_education,SEX,Value
2018,NUMBER,tuzla_canton,masters,F,
2019,NUMBER,tuzla_canton,masters,_T,
2019,NUMBER,tuzla_canton,masters,M,
2019,NUMBER,tuzla_canton,masters,F,
2020,NUMBER,tuzla_canton,masters,_T,
2020,NUMBER,tuzla_canton,masters,M,
2020,NUMBER,tuzla_canton,masters,F,
2016,NUMBER,tuzla_canton,specialists,_T,
2016,NUMBER,tuzla_canton,specialists,M,
2016,NUMBER,tuzla_canton,specialists,F,
2017,NUMBER,tuzla_canton,specialists,_T,
2017,NUMBER,tuzla_canton,specialists,M,
2017,NUMBER,tuzla_canton,specialists,F,
2018,NUMBER,tuzla_canton,specialists,_T,
2018,NUMBER,tuzla_canton,specialists,M,
2018,NUMBER,tuzla_canton,specialists,F,
2019,NUMBER,tuzla_canton,specialists,_T,
2019,NUMBER,tuzla_canton,specialists,M,
2019,NUMBER,tuzla_canton,specialists,F,
2020,NUMBER,tuzla_canton,specialists,_T,
2020,NUMBER,tuzla_canton,specialists,M,
2020,NUMBER,tuzla_canton,specialists,F,
2016,NUMBER,una-sana_canton,masters_of_science,_T,
2016,NUMBER,una-sana_canton,masters_of_science,M,
2016,NUMBER,una-sana_canton,masters_of_science,F,
2017,NUMBER,una-sana_canton,masters_of_science,_T,
2017,NUMBER,una-sana_canton,masters_of_science,M,
2017,NUMBER,una-sana_canton,masters_of_science,F,
2018,NUMBER,una-sana_canton,masters_of_science,_T,
2018,NUMBER,una-sana_canton,masters_of_science,M,
2018,NUMBER,una-sana_canton,masters_of_science,F,
2019,NUMBER,una-sana_canton,masters_of_science,_T,
2019,NUMBER,una-sana_canton,masters_of_science,M,
2019,NUMBER,una-sana_canton,masters_of_science,F,
2020,NUMBER,una-sana_canton,masters_of_science,_T,
2020,NUMBER,una-sana_canton,masters_of_science,M,
2020,NUMBER,una-sana_canton,masters_of_science,F,
2016,NUMBER,una-sana_canton,masters,_T,
2016,NUMBER,una-sana_canton,masters,M,
2016,NUMBER,una-sana_canton,masters,F,
2017,NUMBER,una-sana_canton,masters,_T,
2017,NUMBER,una-sana_canton,masters,M,
2017,NUMBER,una-sana_canton,masters,F,
2018,NUMBER,una-sana_canton,masters,_T,
2018,NUMBER,una-sana_canton,masters,M,
2018,NUMBER,una-sana_canton,masters,F,
2019,NUMBER,una-sana_canton,masters,_T,
2019,NUMBER,una-sana_canton,masters,M,
2019,NUMBER,una-sana_canton,masters,F,
2020,NUMBER,una-sana_canton,masters,_T,
2020,NUMBER,una-sana_canton,masters,M,
2020,NUMBER,una-sana_canton,masters,F,
2016,NUMBER,una-sana_canton,specialists,_T,
2016,NUMBER,una-sana_canton,specialists,M,
2016,NUMBER,una-sana_canton,specialists,F,
2017,NUMBER,una-sana_canton,specialists,_T,
2017,NUMBER,una-sana_canton,specialists,M,
2017,NUMBER,una-sana_canton,specialists,F,
2018,NUMBER,una-sana_canton,specialists,_T,
2018,NUMBER,una-sana_canton,specialists,M,
2018,NUMBER,una-sana_canton,specialists,F,
2019,NUMBER,una-sana_canton,specialists,_T,
2019,NUMBER,una-sana_canton,specialists,M,
2019,NUMBER,una-sana_canton,specialists,F,
2020,NUMBER,una-sana_canton,specialists,_T,
2020,NUMBER,una-sana_canton,specialists,M,
2020,NUMBER,una-sana_canton,specialists,F,
2016,NUMBER,zenica-doboj_canton,masters_of_science,_T,
2016,NUMBER,zenica-doboj_canton,masters_of_science,M,
2016,NUMBER,zenica-doboj_canton,masters_of_science,F,
2017,NUMBER,zenica-doboj_canton,masters_of_science,_T,
2017,NUMBER,zenica-doboj_canton,masters_of_science,M,
2017,NUMBER,zenica-doboj_canton,masters_of_science,F,
2018,NUMBER,zenica-doboj_canton,masters_of_science,_T,
2018,NUMBER,zenica-doboj_canton,masters_of_science,M,
2018,NUMBER,zenica-doboj_canton,masters_of_science,F,
2019,NUMBER,zenica-doboj_canton,masters_of_science,_T,
2019,NUMBER,zenica-doboj_canton,masters_of_science,M,
2019,NUMBER,zenica-doboj_canton,masters_of_science,F,
2020,NUMBER,zenica-doboj_canton,masters_of_science,_T,
2020,NUMBER,zenica-doboj_canton,masters_of_science,M,
2020,NUMBER,zenica-doboj_canton,masters_of_science,F,
2016,NUMBER,zenica-doboj_canton,masters,_T,
2016,NUMBER,zenica-doboj_canton,masters,M,
2016,NUMBER,zenica-doboj_canton,masters,F,
2017,NUMBER,zenica-doboj_canton,masters,_T,
2017,NUMBER,zenica-doboj_canton,masters,M,
2017,NUMBER,zenica-doboj_canton,masters,F,
2018,NUMBER,zenica-doboj_canton,masters,_T,
2018,NUMBER,zenica-doboj_canton,masters,M,
2018,NUMBER,zenica-doboj_canton,masters,F,
2019,NUMBER,zenica-doboj_canton,masters,_T,
2019,NUMBER,zenica-doboj_canton,masters,M,
2019,NUMBER,zenica-doboj_canton,masters,F,
2020,NUMBER,zenica-doboj_canton,masters,_T,
2020,NUMBER,zenica-doboj_canton,masters,M,
2020,NUMBER,zenica-doboj_canton,masters,F,
2016,NUMBER,zenica-doboj_canton,specialists,_T,
2016,NUMBER,zenica-doboj_canton,specialists,M,
2016,NUMBER,zenica-doboj_canton,specialists,F,
2017,NUMBER,zenica-doboj_canton,specialists,_T,
2017,NUMBER,zenica-doboj_canton,specialists,M,
2017,NUMBER,zenica-doboj_canton,specialists,F,
2018,NUMBER,zenica-doboj_canton,specialists,_T,
2018,NUMBER,zenica-doboj_canton,specialists,M,
2018,NUMBER,zenica-doboj_canton,specialists,F,
2019,NUMBER,zenica-doboj_canton,specialists,_T,
2019,NUMBER,zenica-doboj_canton,specialists,M,
2019,NUMBER,zenica-doboj_canton,specialists,F,
2020,NUMBER,zenica-doboj_canton,specialists,_T,
2020,NUMBER,zenica-doboj_canton,specialists,M,
2020,NUMBER,zenica-doboj_canton,specialists,F,
2016,NUMBER,bosnian-podrinje_canton,masters_of_science,_T,
2016,NUMBER,bosnian-podrinje_canton,masters_of_science,M,
2016,NUMBER,bosnian-podrinje_canton,masters_of_science,F,
2017,NUMBER,bosnian-podrinje_canton,masters_of_science,_T,
2017,NUMBER,bosnian-podrinje_canton,masters_of_science,M,
2017,NUMBER,bosnian-podrinje_canton,masters_of_science,F,
2018,NUMBER,bosnian-podrinje_canton,masters_of_science,_T,
2018,NUMBER,bosnian-podrinje_canton,masters_of_science,M,
2018,NUMBER,bosnian-podrinje_canton,masters_of_science,F,
2019,NUMBER,bosnian-podrinje_canton,masters_of_science,_T,
2019,NUMBER,bosnian-podrinje_canton,masters_of_science,M,
2019,NUMBER,bosnian-podrinje_canton,masters_of_science,F,
2020,NUMBER,bosnian-podrinje_canton,masters_of_science,_T,
2020,NUMBER,bosnian-podrinje_canton,masters_of_science,M,
2020,NUMBER,bosnian-podrinje_canton,masters_of_science,F,
2016,NUMBER,bosnian-podrinje_canton,masters,_T,
2016,NUMBER,bosnian-podrinje_canton,masters,M,
2016,NUMBER,bosnian-podrinje_canton,masters,F,
2017,NUMBER,bosnian-podrinje_canton,masters,_T,
2017,NUMBER,bosnian-podrinje_canton,masters,M,
2017,NUMBER,bosnian-podrinje_canton,masters,F,
2018,NUMBER,bosnian-podrinje_canton,masters,_T,
2018,NUMBER,bosnian-podrinje_canton,masters,M,
2018,NUMBER,bosnian-podrinje_canton,masters,F,
2019,NUMBER,bosnian-podrinje_canton,masters,_T,
2019,NUMBER,bosnian-podrinje_canton,masters,M,
2019,NUMBER,bosnian-podrinje_canton,masters,F,
2020,NUMBER,bosnian-podrinje_canton,masters,_T,
2020,NUMBER,bosnian-podrinje_canton,masters,M,
2020,NUMBER,bosnian-podrinje_canton,masters,F,
2016,NUMBER,bosnian-podrinje_canton,specialists,_T,
2016,NUMBER,bosnian-podrinje_canton,specialists,M,
2016,NUMBER,bosnian-podrinje_canton,specialists,F,
2017,NUMBER,bosnian-podrinje_canton,specialists,_T,
2017,NUMBER,bosnian-podrinje_canton,specialists,M,
2017,NUMBER,bosnian-podrinje_canton,specialists,F,
2018,NUMBER,bosnian-podrinje_canton,specialists,_T,
2018,NUMBER,bosnian-podrinje_canton,specialists,M,
2018,NUMBER,bosnian-podrinje_canton,specialists,F,
2019,NUMBER,bosnian-podrinje_canton,specialists,_T,
2019,NUMBER,bosnian-podrinje_canton,specialists,M,
2019,NUMBER,bosnian-podrinje_canton,specialists,F,
2020,NUMBER,bosnian-podrinje_canton,specialists,_T,
2020,NUMBER,bosnian-podrinje_canton,specialists,M,
2020,NUMBER,bosnian-podrinje_canton,specialists,F,
2016,NUMBER,central_bosnia_canton,masters_of_science,_T,
2016,NUMBER,central_bosnia_canton,masters_of_science,M,
2016,NUMBER,central_bosnia_canton,masters_of_science,F,
2017,NUMBER,central_bosnia_canton,masters_of_science,_T,
2017,NUMBER,central_bosnia_canton,masters_of_science,M,
2017,NUMBER,central_bosnia_canton,masters_of_science,F,
2018,NUMBER,central_bosnia_canton,masters_of_science,_T,
2018,NUMBER,central_bosnia_canton,masters_of_science,M,
2018,NUMBER,central_bosnia_canton,masters_of_science,F,
2019,NUMBER,central_bosnia_canton,masters_of_science,_T,
2019,NUMBER,central_bosnia_canton,masters_of_science,M,
2019,NUMBER,central_bosnia_canton,masters_of_science,F,
2020,NUMBER,central_bosnia_canton,masters_of_science,_T,
2020,NUMBER,central_bosnia_canton,masters_of_science,M,
2020,NUMBER,central_bosnia_canton,masters_of_science,F,
2016,NUMBER,central_bosnia_canton,masters,_T,
2016,NUMBER,central_bosnia_canton,masters,M,
2016,NUMBER,central_bosnia_canton,masters,F,
2017,NUMBER,central_bosnia_canton,masters,_T,
2017,NUMBER,central_bosnia_canton,masters,M,
2017,NUMBER,central_bosnia_canton,masters,F,
2018,NUMBER,central_bosnia_canton,masters,_T,
2018,NUMBER,central_bosnia_canton,masters,M,
2018,NUMBER,central_bosnia_canton,masters,F,
2019,NUMBER,central_bosnia_canton,masters,_T,
2019,NUMBER,central_bosnia_canton,masters,M,
2019,NUMBER,central_bosnia_canton,masters,F,
2020,NUMBER,central_bosnia_canton,masters,_T,
2020,NUMBER,central_bosnia_canton,masters,M,
2020,NUMBER,central_bosnia_canton,masters,F,
2016,NUMBER,central_bosnia_canton,specialists,_T,
2016,NUMBER,central_bosnia_canton,specialists,M,
2016,NUMBER,central_bosnia_canton,specialists,F,
2017,NUMBER,central_bosnia_canton,specialists,_T,
2017,NUMBER,central_bosnia_canton,specialists,M,
2017,NUMBER,central_bosnia_canton,specialists,F,
2018,NUMBER,central_bosnia_canton,specialists,_T,
2018,NUMBER,central_bosnia_canton,specialists,M,
2018,NUMBER,central_bosnia_canton,specialists,F,
2019,NUMBER,central_bosnia_canton,specialists,_T,
2019,NUMBER,central_bosnia_canton,specialists,M,
2019,NUMBER,central_bosnia_canton,specialists,F,
2020,NUMBER,central_bosnia_canton,specialists,_T,
2020,NUMBER,central_bosnia_canton,specialists,M,
2020,NUMBER,central_bosnia_canton,specialists,F,
2016,NUMBER,herzegovina-neretva_canton,masters_of_science,_T,
2016,NUMBER,herzegovina-neretva_canton,masters_of_science,M,
2016,NUMBER,herzegovina-neretva_canton,masters_of_science,F,
2017,NUMBER,herzegovina-neretva_canton,masters_of_science,_T,
2017,NUMBER,herzegovina-neretva_canton,masters_of_science,M,
2017,NUMBER,herzegovina-neretva_canton,masters_of_science,F,
2018,NUMBER,herzegovina-neretva_canton,masters_of_science,_T,
2018,NUMBER,herzegovina-neretva_canton,masters_of_science,M,
2018,NUMBER,herzegovina-neretva_canton,masters_of_science,F,
2019,NUMBER,herzegovina-neretva_canton,masters_of_science,_T,
2019,NUMBER,herzegovina-neretva_canton,masters_of_science,M,
2019,NUMBER,herzegovina-neretva_canton,masters_of_science,F,
2020,NUMBER,herzegovina-neretva_canton,masters_of_science,_T,
2020,NUMBER,herzegovina-neretva_canton,masters_of_science,M,
2020,NUMBER,herzegovina-neretva_canton,masters_of_science,F,
2016,NUMBER,herzegovina-neretva_canton,masters,_T,
2016,NUMBER,herzegovina-neretva_canton,masters,M,
2016,NUMBER,herzegovina-neretva_canton,masters,F,
2017,NUMBER,herzegovina-neretva_canton,masters,_T,
2017,NUMBER,herzegovina-neretva_canton,masters,M,
2017,NUMBER,herzegovina-neretva_canton,masters,F,
2018,NUMBER,herzegovina-neretva_canton,masters,_T,
2018,NUMBER,herzegovina-neretva_canton,masters,M,
2018,NUMBER,herzegovina-neretva_canton,masters,F,
2019,NUMBER,herzegovina-neretva_canton,masters,_T,
2019,NUMBER,herzegovina-neretva_canton,masters,M,
2019,NUMBER,herzegovina-neretva_canton,masters,F,
2020,NUMBER,herzegovina-neretva_canton,masters,_T,
2020,NUMBER,herzegovina-neretva_canton,masters,M,
2020,NUMBER,herzegovina-neretva_canton,masters,F,
2016,NUMBER,herzegovina-neretva_canton,specialists,_T,
2016,NUMBER,herzegovina-neretva_canton,specialists,M,
2016,NUMBER,herzegovina-neretva_canton,specialists,F,
2017,NUMBER,herzegovina-neretva_canton,specialists,_T,
2017,NUMBER,herzegovina-neretva_canton,specialists,M,
2017,NUMBER,herzegovina-neretva_canton,specialists,F,
2018,NUMBER,herzegovina-neretva_canton,specialists,_T,
2018,NUMBER,herzegovina-neretva_canton,specialists,M,
2018,NUMBER,herzegovina-neretva_canton,specialists,F,
2019,NUMBER,herzegovina-neretva_canton,specialists,_T,
2019,NUMBER,herzegovina-neretva_canton,specialists,M,
2019,NUMBER,herzegovina-neretva_canton,specialists,F,
2020,NUMBER,herzegovina-neretva_canton,specialists,_T,
2020,NUMBER,herzegovina-neretva_canton,specialists,M,
2020,NUMBER,herzegovina-neretva_canton,specialists,F,
2016,NUMBER,sarajevo_canton,masters_of_science,_T,
2016,NUMBER,sarajevo_canton,masters_of_science,M,
2016,NUMBER,sarajevo_canton,masters_of_science,F,
2017,NUMBER,sarajevo_canton,masters_of_science,_T,
2017,NUMBER,sarajevo_canton,masters_of_science,M,
2017,NUMBER,sarajevo_canton,masters_of_science,F,
2018,NUMBER,sarajevo_canton,masters_of_science,_T,
2018,NUMBER,sarajevo_canton,masters_of_science,M,
2018,NUMBER,sarajevo_canton,masters_of_science,F,
2019,NUMBER,sarajevo_canton,masters_of_science,_T,
2019,NUMBER,sarajevo_canton,masters_of_science,M,
2019,NUMBER,sarajevo_canton,masters_of_science,F,
2020,NUMBER,sarajevo_canton,masters_of_science,_T,
2020,NUMBER,sarajevo_canton,masters_of_science,M,
2020,NUMBER,sarajevo_canton,masters_of_science,F,
2016,NUMBER,sarajevo_canton,masters,_T,
2016,NUMBER,sarajevo_canton,masters,M,
2016,NUMBER,sarajevo_canton,masters,F,
2017,NUMBER,sarajevo_canton,masters,_T,
2017,NUMBER,sarajevo_canton,masters,M,
2017,NUMBER,sarajevo_canton,masters,F,
2018,NUMBER,sarajevo_canton,masters,_T,
2018,NUMBER,sarajevo_canton,masters,M,
2018,NUMBER,sarajevo_canton,masters,F,
2019,NUMBER,sarajevo_canton,masters,_T,
2019,NUMBER,sarajevo_canton,masters,M,
2019,NUMBER,sarajevo_canton,masters,F,
2020,NUMBER,sarajevo_canton,masters,_T,
2020,NUMBER,sarajevo_canton,masters,M,
2020,NUMBER,sarajevo_canton,masters,F,
2016,NUMBER,sarajevo_canton,specialists,_T,
2016,NUMBER,sarajevo_canton,specialists,M,
2016,NUMBER,sarajevo_canton,specialists,F,
2017,NUMBER,sarajevo_canton,specialists,_T,
2017,NUMBER,sarajevo_canton,specialists,M,
2017,NUMBER,sarajevo_canton,specialists,F,
2018,NUMBER,sarajevo_canton,specialists,_T,
2018,NUMBER,sarajevo_canton,specialists,M,
2018,NUMBER,sarajevo_canton,specialists,F,
2019,NUMBER,sarajevo_canton,specialists,_T,
2019,NUMBER,sarajevo_canton,specialists,M,
2019,NUMBER,sarajevo_canton,specialists,F,
2020,NUMBER,sarajevo_canton,specialists,_T,
2020,NUMBER,sarajevo_canton,specialists,M,
2020,NUMBER,sarajevo_canton,specialists,F,
