Year,UNIT_MEASURE,Квартал,Пол,Старосна доб,Value
2021,%,III квартал,Ж,15 - 24,12.0
2021,%,III квартал,Ж,25 - 49,44.4
2021,%,III квартал,Ж,50 - 64,23.3
2021,%,III квартал,Ж,15 - 64,32.0
2021,%,III квартал,Ж,20 - 64,34.5
2021,%,III квартал,Ж,25 - 34,44.6
2021,%,III квартал,Ж,15 - 74,27.7
2021,%,IV квартал,Оба пола,15 - 89,38.8
2021,%,IV квартал,Оба пола,15 - 24,19.4
2021,%,IV квартал,Оба пола,25 - 49,62.5
2021,%,IV квартал,Оба пола,50 - 64,38.0
2021,%,IV квартал,Оба пола,15 - 64,47.2
2021,%,IV квартал,Оба пола,20 - 64,50.9
2021,%,IV квартал,Оба пола,25 - 34,62.2
2021,%,IV квартал,Оба пола,15 - 74,41.5
2021,%,IV квартал,M,15 - 89,51.8
2021,%,IV квартал,M,15 - 24,24.7
2021,%,IV квартал,M,25 - 49,78.1
2021,%,IV квартал,M,50 - 64,54.9
2021,%,IV квартал,M,15 - 64,61.3
2021,%,IV квартал,M,20 - 64,66.3
2021,%,IV квартал,M,25 - 34,76.1
2021,%,IV квартал,M,15 - 74,54.7
2021,%,IV квартал,Ж,15 - 89,26.4
2021,%,IV квартал,Ж,15 - 24,13.8
2021,%,IV квартал,Ж,25 - 49,46.6
2021,%,IV квартал,Ж,50 - 64,22.0
2021,%,IV квартал,Ж,15 - 64,33.0
2021,%,IV квартал,Ж,20 - 64,35.5
2021,%,IV квартал,Ж,25 - 34,47.6
2021,%,IV квартал,Ж,15 - 74,28.6
2022,%,I квартал,Оба пола,15 - 89,39.1
2022,%,I квартал,Оба пола,15 - 24,18.6
2022,%,I квартал,Оба пола,25 - 49,63.7
2022,%,I квартал,Оба пола,50 - 64,37.2
2022,%,I квартал,Оба пола,15 - 64,47.7
2022,%,I квартал,Оба пола,20 - 64,51.4
2022,%,I квартал,Оба пола,25 - 34,61.3
2022,%,I квартал,Оба пола,15 - 74,41.8
2022,%,I квартал,M,15 - 89,51.4
2022,%,I квартал,M,15 - 24,23.7
2022,%,I квартал,M,25 - 49,77.8
2022,%,I квартал,M,50 - 64,53.6
2022,%,I квартал,M,15 - 64,61.0
2022,%,I квартал,M,20 - 64,65.9
2022,%,I квартал,M,25 - 34,74.6
2022,%,I квартал,M,15 - 74,54.2
2022,%,I квартал,Ж,15 - 89,27.4
2022,%,I квартал,Ж,15 - 24,13.3
2022,%,I квартал,Ж,25 - 49,49.2
2022,%,I квартал,Ж,50 - 64,21.7
2022,%,I квартал,Ж,15 - 64,34.3
2022,%,I квартал,Ж,20 - 64,37.0
2022,%,I квартал,Ж,25 - 34,47.3
2022,%,I квартал,Ж,15 - 74,29.7
2022,%,II квартал,Оба пола,15 - 89,39.7
2022,%,II квартал,Оба пола,15 - 24,20.0
2022,%,II квартал,Оба пола,25 - 49,64.2
2022,%,II квартал,Оба пола,50 - 64,37.8
2022,%,II квартал,Оба пола,15 - 64,48.4
2022,%,II квартал,Оба пола,20 - 64,52.2
2022,%,II квартал,Оба пола,25 - 34,62.5
2022,%,II квартал,Оба пола,15 - 74,42.5
2022,%,II квартал,M,15 - 89,52.2
2022,%,II квартал,M,15 - 24,25.1
2022,%,II квартал,M,25 - 49,79.9
2022,%,II квартал,M,50 - 64,52.6
2022,%,II квартал,M,15 - 64,62.0
2022,%,II квартал,M,20 - 64,67.0
2022,%,II квартал,M,25 - 34,78.7
2022,%,II квартал,M,15 - 74,55.1
2022,%,II квартал,Ж,15 - 89,27.8
2022,%,II квартал,Ж,15 - 24,14.6
2022,%,II квартал,Ж,25 - 49,48.1
2022,%,II квартал,Ж,50 - 64,23.9
2022,%,II квартал,Ж,15 - 64,34.7
2022,%,II квартал,Ж,20 - 64,37.4
2022,%,II квартал,Ж,25 - 34,45.6
2022,%,II квартал,Ж,15 - 74,30.1
2022,%,III квартал,Оба пола,15 - 89,39.8
2022,%,III квартал,Оба пола,15 - 24,18.4
2022,%,III квартал,Оба пола,25 - 49,64.3
2022,%,III квартал,Оба пола,50 - 64,39.0
2022,%,III квартал,Оба пола,15 - 64,48.5
2022,%,III квартал,Оба пола,20 - 64,52.4
2022,%,III квартал,Оба пола,25 - 34,62.1
2022,%,III квартал,Оба пола,15 - 74,42.6
2022,%,III квартал,M,15 - 89,53.2
2022,%,III квартал,M,15 - 24,24.8
2022,%,III квартал,M,25 - 49,80.1
2022,%,III квартал,M,50 - 64,56.0
2022,%,III квартал,M,15 - 64,63.1
2022,%,III квартал,M,20 - 64,68.3
2022,%,III квартал,M,25 - 34,77.1
2022,%,III квартал,M,15 - 74,56.1
2022,%,III квартал,Ж,15 - 89,27.1
2022,%,III квартал,Ж,15 - 24,11.6
2022,%,III квартал,Ж,25 - 49,48.2
2022,%,III квартал,Ж,50 - 64,23.0
2022,%,III квартал,Ж,15 - 64,33.9
2022,%,III квартал,Ж,20 - 64,36.6
2022,%,III квартал,Ж,25 - 34,46.3
2022,%,III квартал,Ж,15 - 74,29.4
2022,%,IV квартал,Оба пола,15 - 89,39.8
2022,%,IV квартал,Оба пола,15 - 24,18.3
2022,%,IV квартал,Оба пола,25 - 49,63.8
2022,%,IV квартал,Оба пола,50 - 64,39.8
2022,%,IV квартал,Оба пола,15 - 64,48.5
2022,%,IV квартал,Оба пола,20 - 64,52.4
2022,%,IV квартал,Оба пола,25 - 34,59.4
2022,%,IV квартал,Оба пола,15 - 74,42.6
2022,%,IV квартал,M,15 - 89,53.0
2022,%,IV квартал,M,15 - 24,25.1
2022,%,IV квартал,M,25 - 49,78.9
2022,%,IV квартал,M,50 - 64,57.1
2022,%,IV квартал,M,15 - 64,62.9
2022,%,IV квартал,M,20 - 64,68.1
2022,%,IV квартал,M,25 - 34,72.7
2022,%,IV квартал,M,15 - 74,55.9
2022,%,IV квартал,Ж,15 - 89,27.3
2022,%,IV квартал,Ж,15 - 24,11.2
2022,%,IV квартал,Ж,25 - 49,48.4
2022,%,IV квартал,Ж,50 - 64,23.6
2022,%,IV квартал,Ж,15 - 64,34.1
2022,%,IV квартал,Ж,20 - 64,36.8
2022,%,IV квартал,Ж,25 - 34,45.5
2022,%,IV квартал,Ж,15 - 74,29.5
