Year,UNIT_MEASURE,Administrativna oblast,Spol,Value
2018,Broj,Županija Srednjobosanska,Ž,
2019,Broj,Županija Srednjobosanska,Ž,
2010,Broj,Županija Hercegovačko-neretvanska,Oba spola,
2011,Broj,Županija Hercegovačko-neretvanska,Oba spola,
2012,Broj,Županija Hercegovačko-neretvanska,Oba spola,
2013,Broj,Županija Hercegovačko-neretvanska,Oba spola,
2014,Broj,Županija Hercegovačko-neretvanska,Oba spola,
2015,Broj,Županija Hercegovačko-neretvanska,Oba spola,
2016,Broj,Županija Hercegovačko-neretvanska,Oba spola,
2017,Broj,Županija Hercegovačko-neretvanska,Oba spola,
2018,Broj,Županija Hercegovačko-neretvanska,Oba spola,
2019,Broj,Županija Hercegovačko-neretvanska,Oba spola,
2010,Broj,Županija Hercegovačko-neretvanska,M,
2011,Broj,Županija Hercegovačko-neretvanska,M,
2012,Broj,Županija Hercegovačko-neretvanska,M,
2013,Broj,Županija Hercegovačko-neretvanska,M,
2014,Broj,Županija Hercegovačko-neretvanska,M,
2015,Broj,Županija Hercegovačko-neretvanska,M,
2016,Broj,Županija Hercegovačko-neretvanska,M,
2017,Broj,Županija Hercegovačko-neretvanska,M,
2018,Broj,Županija Hercegovačko-neretvanska,M,
2019,Broj,Županija Hercegovačko-neretvanska,M,
2010,Broj,Županija Hercegovačko-neretvanska,Ž,
2011,Broj,Županija Hercegovačko-neretvanska,Ž,
2012,Broj,Županija Hercegovačko-neretvanska,Ž,
2013,Broj,Županija Hercegovačko-neretvanska,Ž,
2014,Broj,Županija Hercegovačko-neretvanska,Ž,
2015,Broj,Županija Hercegovačko-neretvanska,Ž,
2016,Broj,Županija Hercegovačko-neretvanska,Ž,
2017,Broj,Županija Hercegovačko-neretvanska,Ž,
2018,Broj,Županija Hercegovačko-neretvanska,Ž,
2019,Broj,Županija Hercegovačko-neretvanska,Ž,
2010,Broj,Sarajevska županija,Oba spola,
2011,Broj,Sarajevska županija,Oba spola,
2012,Broj,Sarajevska županija,Oba spola,
2013,Broj,Sarajevska županija,Oba spola,
2014,Broj,Sarajevska županija,Oba spola,
2015,Broj,Sarajevska županija,Oba spola,
2016,Broj,Sarajevska županija,Oba spola,
2017,Broj,Sarajevska županija,Oba spola,
2018,Broj,Sarajevska županija,Oba spola,
2019,Broj,Sarajevska županija,Oba spola,
2010,Broj,Sarajevska županija,M,
2011,Broj,Sarajevska županija,M,
2012,Broj,Sarajevska županija,M,
2013,Broj,Sarajevska županija,M,
2014,Broj,Sarajevska županija,M,
2015,Broj,Sarajevska županija,M,
2016,Broj,Sarajevska županija,M,
2017,Broj,Sarajevska županija,M,
2018,Broj,Sarajevska županija,M,
2019,Broj,Sarajevska županija,M,
2010,Broj,Sarajevska županija,Ž,
2011,Broj,Sarajevska županija,Ž,
2012,Broj,Sarajevska županija,Ž,
2013,Broj,Sarajevska županija,Ž,
2014,Broj,Sarajevska županija,Ž,
2015,Broj,Sarajevska županija,Ž,
2016,Broj,Sarajevska županija,Ž,
2017,Broj,Sarajevska županija,Ž,
2018,Broj,Sarajevska županija,Ž,
2019,Broj,Sarajevska županija,Ž,
