Year,UNIT_MEASURE,Пол,Административна јединица,Витална статистика,Value
2012,Број,Оба пола,Херцеговачко-неретвански кантон,Живорођени,1901.0
2012,Број,Оба пола,Западнохерцеговчки кантон,Живорођени,798.0
2012,Број,Оба пола,Кантон Сарајево,Живорођени,4682.0
2012,Број,Оба пола,Кантон 10,Живорођени,466.0
2012,Број,M,Федерација Босне и Херцеговине,Живорођени,11110.0
2012,Број,M,Унско-сански кантон,Живорођени,1227.0
2012,Број,M,Посавски кантон,Живорођени,125.0
2012,Број,M,Тузлански кантон,Живорођени,2351.0
2012,Број,M,Зеничко-добојски кантон,Живорођени,1995.0
2012,Број,M,Босанско-подрињски кантон,Живорођени,121.0
2012,Број,M,Средњобосански кантон,Живорођени,1207.0
2012,Број,M,Херцеговачко-неретвански кантон,Живорођени,985.0
2012,Број,M,Западнохерцеговчки кантон,Живорођени,397.0
2012,Број,M,Кантон Сарајево,Живорођени,2465.0
2012,Број,M,Кантон 10,Живорођени,237.0
2012,Број,Ж,Федерација Босне и Херцеговине,Живорођени,10279.0
2012,Број,Ж,Унско-сански кантон,Живорођени,1124.0
2012,Број,Ж,Посавски кантон,Живорођени,95.0
2012,Број,Ж,Тузлански кантон,Живорођени,2236.0
2012,Број,Ж,Зеничко-добојски кантон,Живорођени,1812.0
2012,Број,Ж,Босанско-подрињски кантон,Живорођени,95.0
2012,Број,Ж,Средњобосански кантон,Живорођени,1154.0
2012,Број,Ж,Херцеговачко-неретвански кантон,Живорођени,916.0
2012,Број,Ж,Западнохерцеговчки кантон,Живорођени,401.0
2012,Број,Ж,Кантон Сарајево,Живорођени,2217.0
2012,Број,Ж,Кантон 10,Живорођени,229.0
2013,Број,Оба пола,Федерација Босне и Херцеговине,Живорођени,20083.0
2013,Број,Оба пола,Унско-сански кантон,Живорођени,2174.0
2013,Број,Оба пола,Посавски кантон,Живорођени,167.0
2013,Број,Оба пола,Тузлански кантон,Живорођени,4323.0
2013,Број,Оба пола,Зеничко-добојски кантон,Живорођени,3416.0
2013,Број,Оба пола,Босанско-подрињски кантон,Живорођени,236.0
2013,Број,Оба пола,Средњобосански кантон,Живорођени,2184.0
2013,Број,Оба пола,Херцеговачко-неретвански кантон,Живорођени,1831.0
2013,Број,Оба пола,Западнохерцеговчки кантон,Живорођени,773.0
2013,Број,Оба пола,Кантон Сарајево,Живорођени,4550.0
2013,Број,Оба пола,Кантон 10,Живорођени,429.0
2013,Број,M,Федерација Босне и Херцеговине,Живорођени,10358.0
2013,Број,M,Унско-сански кантон,Живорођени,1108.0
2013,Број,M,Посавски кантон,Живорођени,85.0
2013,Број,M,Тузлански кантон,Живорођени,2243.0
2013,Број,M,Зеничко-добојски кантон,Живорођени,1799.0
2013,Број,M,Босанско-подрињски кантон,Живорођени,132.0
2013,Број,M,Средњобосански кантон,Живорођени,1126.0
2013,Број,M,Херцеговачко-неретвански кантон,Живорођени,939.0
2013,Број,M,Западнохерцеговчки кантон,Живорођени,399.0
2013,Број,M,Кантон Сарајево,Живорођени,2305.0
2013,Број,M,Кантон 10,Живорођени,222.0
2013,Број,Ж,Федерација Босне и Херцеговине,Живорођени,9725.0
2013,Број,Ж,Унско-сански кантон,Живорођени,1066.0
2013,Број,Ж,Посавски кантон,Живорођени,82.0
2013,Број,Ж,Тузлански кантон,Живорођени,2080.0
2013,Број,Ж,Зеничко-добојски кантон,Живорођени,1617.0
2013,Број,Ж,Босанско-подрињски кантон,Живорођени,104.0
2013,Број,Ж,Средњобосански кантон,Живорођени,1058.0
2013,Број,Ж,Херцеговачко-неретвански кантон,Живорођени,892.0
2013,Број,Ж,Западнохерцеговчки кантон,Живорођени,374.0
2013,Број,Ж,Кантон Сарајево,Живорођени,2245.0
2013,Број,Ж,Кантон 10,Живорођени,207.0
2014,Број,Оба пола,Федерација Босне и Херцеговине,Живорођени,19823.0
2014,Број,Оба пола,Унско-сански кантон,Живорођени,2154.0
2014,Број,Оба пола,Посавски кантон,Живорођени,212.0
2014,Број,Оба пола,Тузлански кантон,Живорођени,4069.0
2014,Број,Оба пола,Зеничко-добојски кантон,Живорођени,3391.0
2014,Број,Оба пола,Босанско-подрињски кантон,Живорођени,268.0
2014,Број,Оба пола,Средњобосански кантон,Живорођени,2090.0
2014,Број,Оба пола,Херцеговачко-неретвански кантон,Живорођени,1824.0
2014,Број,Оба пола,Западнохерцеговчки кантон,Живорођени,816.0
2014,Број,Оба пола,Кантон Сарајево,Живорођени,4566.0
2014,Број,Оба пола,Кантон 10,Живорођени,433.0
2014,Број,M,Федерација Босне и Херцеговине,Живорођени,10156.0
2014,Број,M,Унско-сански кантон,Живорођени,1112.0
2014,Број,M,Посавски кантон,Живорођени,107.0
2014,Број,M,Тузлански кантон,Живорођени,2091.0
2014,Број,M,Зеничко-добојски кантон,Живорођени,1724.0
2014,Број,M,Босанско-подрињски кантон,Живорођени,134.0
2014,Број,M,Средњобосански кантон,Живорођени,1088.0
2014,Број,M,Херцеговачко-неретвански кантон,Живорођени,921.0
2014,Број,M,Западнохерцеговчки кантон,Живорођени,403.0
2014,Број,M,Кантон Сарајево,Живорођени,2355.0
2014,Број,M,Кантон 10,Живорођени,221.0
2014,Број,Ж,Федерација Босне и Херцеговине,Живорођени,9667.0
2014,Број,Ж,Унско-сански кантон,Живорођени,1042.0
2014,Број,Ж,Посавски кантон,Живорођени,105.0
2014,Број,Ж,Тузлански кантон,Живорођени,1978.0
2014,Број,Ж,Зеничко-добојски кантон,Живорођени,1667.0
2014,Број,Ж,Босанско-подрињски кантон,Живорођени,134.0
2014,Број,Ж,Средњобосански кантон,Живорођени,1002.0
2014,Број,Ж,Херцеговачко-неретвански кантон,Живорођени,903.0
2014,Број,Ж,Западнохерцеговчки кантон,Живорођени,413.0
2014,Број,Ж,Кантон Сарајево,Живорођени,2211.0
2014,Број,Ж,Кантон 10,Живорођени,212.0
2015,Број,Оба пола,Федерација Босне и Херцеговине,Живорођени,19317.0
2015,Број,Оба пола,Унско-сански кантон,Живорођени,2096.0
2015,Број,Оба пола,Посавски кантон,Живорођени,193.0
2015,Број,Оба пола,Тузлански кантон,Живорођени,3888.0
2015,Број,Оба пола,Зеничко-добојски кантон,Живорођени,3438.0
2015,Број,Оба пола,Босанско-подрињски кантон,Живорођени,214.0
2015,Број,Оба пола,Средњобосански кантон,Живорођени,1965.0
2015,Број,Оба пола,Херцеговачко-неретвански кантон,Живорођени,1762.0
2015,Број,Оба пола,Западнохерцеговчки кантон,Живорођени,734.0
2015,Број,Оба пола,Кантон Сарајево,Живорођени,4619.0
2015,Број,Оба пола,Кантон 10,Живорођени,408.0
2015,Број,M,Федерација Босне и Херцеговине,Живорођени,9868.0
2015,Број,M,Унско-сански кантон,Живорођени,1098.0
2015,Број,M,Посавски кантон,Живорођени,108.0
2015,Број,M,Тузлански кантон,Живорођени,1919.0
2015,Број,M,Зеничко-добојски кантон,Живорођени,1782.0
2015,Број,M,Босанско-подрињски кантон,Живорођени,114.0
2015,Број,M,Средњобосански кантон,Живорођени,1047.0
2015,Број,M,Херцеговачко-неретвански кантон,Живорођени,913.0
2015,Број,M,Западнохерцеговчки кантон,Живорођени,390.0
2015,Број,M,Кантон Сарајево,Живорођени,2304.0
2015,Број,M,Кантон 10,Живорођени,193.0
2015,Број,Ж,Федерација Босне и Херцеговине,Живорођени,9449.0
2015,Број,Ж,Унско-сански кантон,Живорођени,998.0
2015,Број,Ж,Посавски кантон,Живорођени,85.0
2015,Број,Ж,Тузлански кантон,Живорођени,1969.0
2015,Број,Ж,Зеничко-добојски кантон,Живорођени,1656.0
2015,Број,Ж,Босанско-подрињски кантон,Живорођени,100.0
2015,Број,Ж,Средњобосански кантон,Живорођени,918.0
2015,Број,Ж,Херцеговачко-неретвански кантон,Живорођени,849.0
2015,Број,Ж,Западнохерцеговчки кантон,Живорођени,344.0
2015,Број,Ж,Кантон Сарајево,Живорођени,2315.0
2015,Број,Ж,Кантон 10,Живорођени,215.0
2016,Број,Оба пола,Федерација Босне и Херцеговине,Живорођени,19655.0
2016,Број,Оба пола,Унско-сански кантон,Живорођени,2105.0
2016,Број,Оба пола,Посавски кантон,Живорођени,144.0
2016,Број,Оба пола,Тузлански кантон,Живорођени,3903.0
2016,Број,Оба пола,Зеничко-добојски кантон,Живорођени,3452.0
2016,Број,Оба пола,Босанско-подрињски кантон,Живорођени,234.0
2016,Број,Оба пола,Средњобосански кантон,Живорођени,2135.0
2016,Број,Оба пола,Херцеговачко-неретвански кантон,Живорођени,1833.0
2016,Број,Оба пола,Западнохерцеговчки кантон,Живорођени,709.0
2016,Број,Оба пола,Кантон Сарајево,Живорођени,4774.0
2016,Број,Оба пола,Кантон 10,Живорођени,366.0
2016,Број,M,Федерација Босне и Херцеговине,Живорођени,10214.0
2016,Број,M,Унско-сански кантон,Живорођени,1090.0
2016,Број,M,Посавски кантон,Живорођени,75.0
2016,Број,M,Тузлански кантон,Живорођени,1995.0
2016,Број,M,Зеничко-добојски кантон,Живорођени,1816.0
2016,Број,M,Босанско-подрињски кантон,Живорођени,131.0
2016,Број,M,Средњобосански кантон,Живорођени,1106.0
2016,Број,M,Херцеговачко-неретвански кантон,Живорођени,915.0
2016,Број,M,Западнохерцеговчки кантон,Живорођени,371.0
2016,Број,M,Кантон Сарајево,Живорођени,2516.0
2016,Број,M,Кантон 10,Живорођени,199.0
2016,Број,Ж,Федерација Босне и Херцеговине,Живорођени,9441.0
2016,Број,Ж,Унско-сански кантон,Живорођени,1015.0
2016,Број,Ж,Посавски кантон,Живорођени,69.0
2016,Број,Ж,Тузлански кантон,Живорођени,1908.0
2016,Број,Ж,Зеничко-добојски кантон,Живорођени,1636.0
2016,Број,Ж,Босанско-подрињски кантон,Живорођени,103.0
2016,Број,Ж,Средњобосански кантон,Живорођени,1029.0
2016,Број,Ж,Херцеговачко-неретвански кантон,Живорођени,918.0
2016,Број,Ж,Западнохерцеговчки кантон,Живорођени,338.0
2016,Број,Ж,Кантон Сарајево,Живорођени,2258.0
2016,Број,Ж,Кантон 10,Живорођени,167.0
2017,Број,Оба пола,Федерација Босне и Херцеговине,Живорођени,19824.0
2017,Број,Оба пола,Унско-сански кантон,Живорођени,2057.0
2017,Број,Оба пола,Посавски кантон,Живорођени,154.0
2017,Број,Оба пола,Тузлански кантон,Живорођени,3966.0
2017,Број,Оба пола,Зеничко-добојски кантон,Живорођени,3585.0
2017,Број,Оба пола,Босанско-подрињски кантон,Живорођени,241.0
2017,Број,Оба пола,Средњобосански кантон,Живорођени,2167.0
2017,Број,Оба пола,Херцеговачко-неретвански кантон,Живорођени,1712.0
2017,Број,Оба пола,Западнохерцеговчки кантон,Живорођени,709.0
2017,Број,Оба пола,Кантон Сарајево,Живорођени,4856.0
2017,Број,Оба пола,Кантон 10,Живорођени,377.0
2017,Број,M,Федерација Босне и Херцеговине,Живорођени,10247.0
2017,Број,M,Унско-сански кантон,Живорођени,1051.0
2017,Број,M,Посавски кантон,Живорођени,75.0
2017,Број,M,Тузлански кантон,Живорођени,2036.0
2017,Број,M,Зеничко-добојски кантон,Живорођени,1827.0
2017,Број,M,Босанско-подрињски кантон,Живорођени,133.0
2017,Број,M,Средњобосански кантон,Живорођени,1189.0
2017,Број,M,Херцеговачко-неретвански кантон,Живорођени,919.0
2017,Број,M,Западнохерцеговчки кантон,Живорођени,364.0
2017,Број,M,Кантон Сарајево,Живорођени,2459.0
2017,Број,M,Кантон 10,Живорођени,194.0
2017,Број,Ж,Федерација Босне и Херцеговине,Живорођени,9577.0
2017,Број,Ж,Унско-сански кантон,Живорођени,1006.0
2017,Број,Ж,Посавски кантон,Живорођени,79.0
2017,Број,Ж,Тузлански кантон,Живорођени,1930.0
2017,Број,Ж,Зеничко-добојски кантон,Живорођени,1758.0
2017,Број,Ж,Босанско-подрињски кантон,Живорођени,108.0
2017,Број,Ж,Средњобосански кантон,Живорођени,978.0
2017,Број,Ж,Херцеговачко-неретвански кантон,Живорођени,793.0
2017,Број,Ж,Западнохерцеговчки кантон,Живорођени,345.0
2017,Број,Ж,Кантон Сарајево,Живорођени,2397.0
2017,Број,Ж,Кантон 10,Живорођени,183.0
2018,Број,Оба пола,Федерација Босне и Херцеговине,Живорођени,18899.0
2018,Број,Оба пола,Унско-сански кантон,Живорођени,1804.0
2018,Број,Оба пола,Посавски кантон,Живорођени,151.0
2018,Број,Оба пола,Тузлански кантон,Живорођени,3723.0
2018,Број,Оба пола,Зеничко-добојски кантон,Живорођени,3488.0
2018,Број,Оба пола,Босанско-подрињски кантон,Живорођени,240.0
2018,Број,Оба пола,Средњобосански кантон,Живорођени,2040.0
2018,Број,Оба пола,Херцеговачко-неретвански кантон,Живорођени,1790.0
2018,Број,Оба пола,Западнохерцеговчки кантон,Живорођени,760.0
2018,Број,Оба пола,Кантон Сарајево,Живорођени,4530.0
2018,Број,Оба пола,Кантон 10,Живорођени,373.0
2018,Број,M,Федерација Босне и Херцеговине,Живорођени,9742.0
2018,Број,M,Унско-сански кантон,Живорођени,975.0
2018,Број,M,Посавски кантон,Живорођени,68.0
2018,Број,M,Тузлански кантон,Живорођени,1895.0
2018,Број,M,Зеничко-добојски кантон,Живорођени,1760.0
2018,Број,M,Босанско-подрињски кантон,Живорођени,125.0
2018,Број,M,Средњобосански кантон,Живорођени,1059.0
2018,Број,M,Херцеговачко-неретвански кантон,Живорођени,914.0
2018,Број,M,Западнохерцеговчки кантон,Живорођени,397.0
2018,Број,M,Кантон Сарајево,Живорођени,2340.0
2018,Број,M,Кантон 10,Живорођени,209.0
2018,Број,Ж,Федерација Босне и Херцеговине,Живорођени,9157.0
2018,Број,Ж,Унско-сански кантон,Живорођени,829.0
2018,Број,Ж,Посавски кантон,Живорођени,83.0
2018,Број,Ж,Тузлански кантон,Живорођени,1828.0
2018,Број,Ж,Зеничко-добојски кантон,Живорођени,1728.0
2018,Број,Ж,Босанско-подрињски кантон,Живорођени,115.0
2018,Број,Ж,Средњобосански кантон,Живорођени,981.0
2018,Број,Ж,Херцеговачко-неретвански кантон,Живорођени,876.0
2018,Број,Ж,Западнохерцеговчки кантон,Живорођени,363.0
2018,Број,Ж,Кантон Сарајево,Живорођени,2190.0
2018,Број,Ж,Кантон 10,Живорођени,164.0
2019,Број,Оба пола,Федерација Босне и Херцеговине,Живорођени,18019.0
2019,Број,Оба пола,Унско-сански кантон,Живорођени,1735.0
2019,Број,Оба пола,Посавски кантон,Живорођени,124.0
2019,Број,Оба пола,Тузлански кантон,Живорођени,3636.0
2019,Број,Оба пола,Зеничко-добојски кантон,Живорођени,3337.0
2019,Број,Оба пола,Босанско-подрињски кантон,Живорођени,200.0
2019,Број,Оба пола,Средњобосански кантон,Живорођени,1929.0
2019,Број,Оба пола,Херцеговачко-неретвански кантон,Живорођени,1632.0
2019,Број,Оба пола,Западнохерцеговчки кантон,Живорођени,729.0
2019,Број,Оба пола,Кантон Сарајево,Живорођени,4339.0
2019,Број,Оба пола,Кантон 10,Живорођени,358.0
2019,Број,M,Федерација Босне и Херцеговине,Живорођени,9342.0
2019,Број,M,Унско-сански кантон,Живорођени,876.0
2019,Број,M,Посавски кантон,Живорођени,68.0
2019,Број,M,Тузлански кантон,Живорођени,1887.0
2019,Број,M,Зеничко-добојски кантон,Живорођени,1733.0
2019,Број,M,Босанско-подрињски кантон,Живорођени,100.0
2019,Број,M,Средњобосански кантон,Живорођени,1041.0
2019,Број,M,Херцеговачко-неретвански кантон,Живорођени,823.0
2019,Број,M,Западнохерцеговчки кантон,Живорођени,381.0
2019,Број,M,Кантон Сарајево,Живорођени,2249.0
2019,Број,M,Кантон 10,Живорођени,184.0
2019,Број,Ж,Федерација Босне и Херцеговине,Живорођени,8677.0
2019,Број,Ж,Унско-сански кантон,Живорођени,859.0
2019,Број,Ж,Посавски кантон,Живорођени,56.0
2019,Број,Ж,Тузлански кантон,Живорођени,1749.0
2019,Број,Ж,Зеничко-добојски кантон,Живорођени,1604.0
2019,Број,Ж,Босанско-подрињски кантон,Живорођени,100.0
2019,Број,Ж,Средњобосански кантон,Живорођени,888.0
2019,Број,Ж,Херцеговачко-неретвански кантон,Живорођени,809.0
2019,Број,Ж,Западнохерцеговчки кантон,Живорођени,348.0
2019,Број,Ж,Кантон Сарајево,Живорођени,2090.0
2019,Број,Ж,Кантон 10,Живорођени,174.0
2020,Број,Оба пола,Федерација Босне и Херцеговине,Живорођени,17211.0
2020,Број,Оба пола,Унско-сански кантон,Живорођени,1552.0
2020,Број,Оба пола,Посавски кантон,Живорођени,128.0
2020,Број,Оба пола,Тузлански кантон,Живорођени,3425.0
2020,Број,Оба пола,Зеничко-добојски кантон,Живорођени,3259.0
2020,Број,Оба пола,Босанско-подрињски кантон,Живорођени,173.0
2020,Број,Оба пола,Средњобосански кантон,Живорођени,1854.0
2020,Број,Оба пола,Херцеговачко-неретвански кантон,Живорођени,1532.0
2020,Број,Оба пола,Западнохерцеговчки кантон,Живорођени,756.0
2020,Број,Оба пола,Кантон Сарајево,Живорођени,4206.0
2020,Број,Оба пола,Кантон 10,Живорођени,326.0
2020,Број,M,Федерација Босне и Херцеговине,Живорођени,8901.0
2020,Број,M,Унско-сански кантон,Живорођени,808.0
2020,Број,M,Посавски кантон,Живорођени,69.0
2020,Број,M,Тузлански кантон,Живорођени,1775.0
2020,Број,M,Зеничко-добојски кантон,Живорођени,1683.0
2020,Број,M,Босанско-подрињски кантон,Живорођени,88.0
2020,Број,M,Средњобосански кантон,Живорођени,978.0
2020,Број,M,Херцеговачко-неретвански кантон,Живорођени,805.0
2020,Број,M,Западнохерцеговчки кантон,Живорођени,373.0
2020,Број,M,Кантон Сарајево,Живорођени,2164.0
2020,Број,M,Кантон 10,Живорођени,158.0
2020,Број,Ж,Федерација Босне и Херцеговине,Живорођени,8310.0
2020,Број,Ж,Унско-сански кантон,Живорођени,744.0
2020,Број,Ж,Посавски кантон,Живорођени,59.0
2020,Број,Ж,Тузлански кантон,Живорођени,1650.0
2020,Број,Ж,Зеничко-добојски кантон,Живорођени,1576.0
2020,Број,Ж,Босанско-подрињски кантон,Живорођени,85.0
2020,Број,Ж,Средњобосански кантон,Живорођени,876.0
2020,Број,Ж,Херцеговачко-неретвански кантон,Живорођени,727.0
2020,Број,Ж,Западнохерцеговчки кантон,Живорођени,383.0
2020,Број,Ж,Кантон Сарајево,Живорођени,2042.0
2020,Број,Ж,Кантон 10,Живорођени,168.0
2011,Број,Оба пола,Федерација Босне и Херцеговине,Умрли,19979.0
2011,Број,Оба пола,Унско-сански кантон,Умрли,
2011,Број,Оба пола,Посавски кантон,Умрли,
2011,Број,Оба пола,Тузлански кантон,Умрли,
2011,Број,Оба пола,Зеничко-добојски кантон,Умрли,
2011,Број,Оба пола,Босанско-подрињски кантон,Умрли,
2011,Број,Оба пола,Средњобосански кантон,Умрли,
2011,Број,Оба пола,Херцеговачко-неретвански кантон,Умрли,
2011,Број,Оба пола,Западнохерцеговчки кантон,Умрли,
2011,Број,Оба пола,Кантон Сарајево,Умрли,
2011,Број,Оба пола,Кантон 10,Умрли,
2011,Број,M,Федерација Босне и Херцеговине,Умрли,10234.0
2011,Број,M,Унско-сански кантон,Умрли,
2011,Број,M,Посавски кантон,Умрли,
2011,Број,M,Тузлански кантон,Умрли,
2011,Број,M,Зеничко-добојски кантон,Умрли,
2011,Број,M,Босанско-подрињски кантон,Умрли,
2011,Број,M,Средњобосански кантон,Умрли,
2011,Број,M,Херцеговачко-неретвански кантон,Умрли,
2011,Број,M,Западнохерцеговчки кантон,Умрли,
2011,Број,M,Кантон Сарајево,Умрли,
2011,Број,M,Кантон 10,Умрли,
2011,Број,Ж,Федерација Босне и Херцеговине,Умрли,9745.0
2011,Број,Ж,Унско-сански кантон,Умрли,
2011,Број,Ж,Посавски кантон,Умрли,
2011,Број,Ж,Тузлански кантон,Умрли,
2011,Број,Ж,Зеничко-добојски кантон,Умрли,
2011,Број,Ж,Босанско-подрињски кантон,Умрли,
2011,Број,Ж,Средњобосански кантон,Умрли,
2011,Број,Ж,Херцеговачко-неретвански кантон,Умрли,
2011,Број,Ж,Западнохерцеговчки кантон,Умрли,
2011,Број,Ж,Кантон Сарајево,Умрли,
2011,Број,Ж,Кантон 10,Умрли,
2012,Број,Оба пола,Федерација Босне и Херцеговине,Умрли,20621.0
2012,Број,Оба пола,Унско-сански кантон,Умрли,
2012,Број,Оба пола,Посавски кантон,Умрли,
2012,Број,Оба пола,Тузлански кантон,Умрли,
2012,Број,Оба пола,Зеничко-добојски кантон,Умрли,
2012,Број,Оба пола,Босанско-подрињски кантон,Умрли,
2012,Број,Оба пола,Средњобосански кантон,Умрли,
2012,Број,Оба пола,Херцеговачко-неретвански кантон,Умрли,
2012,Број,Оба пола,Западнохерцеговчки кантон,Умрли,
2012,Број,Оба пола,Кантон Сарајево,Умрли,
2012,Број,Оба пола,Кантон 10,Умрли,
2012,Број,M,Федерација Босне и Херцеговине,Умрли,10599.0
2012,Број,M,Унско-сански кантон,Умрли,
2012,Број,M,Посавски кантон,Умрли,
2012,Број,M,Тузлански кантон,Умрли,
2012,Број,M,Зеничко-добојски кантон,Умрли,
2012,Број,M,Босанско-подрињски кантон,Умрли,
2012,Број,M,Средњобосански кантон,Умрли,
2012,Број,M,Херцеговачко-неретвански кантон,Умрли,
2012,Број,M,Западнохерцеговчки кантон,Умрли,
2012,Број,M,Кантон Сарајево,Умрли,
2012,Број,M,Кантон 10,Умрли,
2012,Број,Ж,Федерација Босне и Херцеговине,Умрли,10022.0
2012,Број,Ж,Унско-сански кантон,Умрли,
2012,Број,Ж,Посавски кантон,Умрли,
2012,Број,Ж,Тузлански кантон,Умрли,
2012,Број,Ж,Зеничко-добојски кантон,Умрли,
2012,Број,Ж,Босанско-подрињски кантон,Умрли,
2012,Број,Ж,Средњобосански кантон,Умрли,
2012,Број,Ж,Херцеговачко-неретвански кантон,Умрли,
2012,Број,Ж,Западнохерцеговчки кантон,Умрли,
2012,Број,Ж,Кантон Сарајево,Умрли,
2012,Број,Ж,Кантон 10,Умрли,
2013,Број,Оба пола,Федерација Босне и Херцеговине,Умрли,20269.0
2013,Број,Оба пола,Унско-сански кантон,Умрли,
2013,Број,Оба пола,Посавски кантон,Умрли,
2013,Број,Оба пола,Тузлански кантон,Умрли,
2013,Број,Оба пола,Зеничко-добојски кантон,Умрли,
2013,Број,Оба пола,Босанско-подрињски кантон,Умрли,
2013,Број,Оба пола,Средњобосански кантон,Умрли,
2013,Број,Оба пола,Херцеговачко-неретвански кантон,Умрли,
2013,Број,Оба пола,Западнохерцеговчки кантон,Умрли,
2013,Број,Оба пола,Кантон Сарајево,Умрли,
2013,Број,Оба пола,Кантон 10,Умрли,
2013,Број,M,Федерација Босне и Херцеговине,Умрли,10250.0
2013,Број,M,Унско-сански кантон,Умрли,
2013,Број,M,Посавски кантон,Умрли,
2013,Број,M,Тузлански кантон,Умрли,
2013,Број,M,Зеничко-добојски кантон,Умрли,
2013,Број,M,Босанско-подрињски кантон,Умрли,
2013,Број,M,Средњобосански кантон,Умрли,
2013,Број,M,Херцеговачко-неретвански кантон,Умрли,
2013,Број,M,Западнохерцеговчки кантон,Умрли,
2013,Број,M,Кантон Сарајево,Умрли,
2013,Број,M,Кантон 10,Умрли,
2013,Број,Ж,Федерација Босне и Херцеговине,Умрли,10019.0
2013,Број,Ж,Унско-сански кантон,Умрли,
2013,Број,Ж,Посавски кантон,Умрли,
2013,Број,Ж,Тузлански кантон,Умрли,
2013,Број,Ж,Зеничко-добојски кантон,Умрли,
2013,Број,Ж,Босанско-подрињски кантон,Умрли,
2013,Број,Ж,Средњобосански кантон,Умрли,
2013,Број,Ж,Херцеговачко-неретвански кантон,Умрли,
2013,Број,Ж,Западнохерцеговчки кантон,Умрли,
2013,Број,Ж,Кантон Сарајево,Умрли,
2013,Број,Ж,Кантон 10,Умрли,
2014,Број,Оба пола,Федерација Босне и Херцеговине,Умрли,20030.0
2014,Број,Оба пола,Унско-сански кантон,Умрли,
2014,Број,Оба пола,Посавски кантон,Умрли,
2014,Број,Оба пола,Тузлански кантон,Умрли,
2014,Број,Оба пола,Зеничко-добојски кантон,Умрли,
2014,Број,Оба пола,Босанско-подрињски кантон,Умрли,
2014,Број,Оба пола,Средњобосански кантон,Умрли,
2014,Број,Оба пола,Херцеговачко-неретвански кантон,Умрли,
2014,Број,Оба пола,Западнохерцеговчки кантон,Умрли,
2014,Број,Оба пола,Кантон Сарајево,Умрли,
2014,Број,Оба пола,Кантон 10,Умрли,
2014,Број,M,Федерација Босне и Херцеговине,Умрли,10184.0
2014,Број,M,Унско-сански кантон,Умрли,
2014,Број,M,Посавски кантон,Умрли,
2014,Број,M,Тузлански кантон,Умрли,
2014,Број,M,Зеничко-добојски кантон,Умрли,
2014,Број,M,Босанско-подрињски кантон,Умрли,
2014,Број,M,Средњобосански кантон,Умрли,
2014,Број,M,Херцеговачко-неретвански кантон,Умрли,
2014,Број,M,Западнохерцеговчки кантон,Умрли,
2014,Број,M,Кантон Сарајево,Умрли,
2014,Број,M,Кантон 10,Умрли,
2014,Број,Ж,Федерација Босне и Херцеговине,Умрли,9846.0
