Year,UNIT_MEASURE,Administrativna jedinica,Znanstvena oblast,Value
2010,Broj,Bosansko-podrinjska županija,Zdravstvo i socijalna skrb,
2010,Broj,Bosansko-podrinjska županija,Usluge,
2010,Broj,Srednjobosanska županija,Obrazovanje,
2010,Broj,Srednjobosanska županija,Umjetnost i humanističke znanosti,
2010,Broj,Srednjobosanska županija,"Društvene znanosti, novinarstvo i informiranje",
2010,Broj,Srednjobosanska županija,"Poslovanje, administracija i pravo",
2010,Broj,Srednjobosanska županija,"Prirodne znanosti, matematika i statistika",
2010,Broj,Srednjobosanska županija,Informacijske i komunikacijske tehnologije,
2010,Broj,Srednjobosanska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2010,Broj,Srednjobosanska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2010,Broj,Srednjobosanska županija,Zdravstvo i socijalna skrb,
2010,Broj,Srednjobosanska županija,Usluge,
2010,Broj,Hercegovačko-neretvanska županija,Obrazovanje,
2010,Broj,Hercegovačko-neretvanska županija,Umjetnost i humanističke znanosti,
2010,Broj,Hercegovačko-neretvanska županija,"Društvene znanosti, novinarstvo i informiranje",
2010,Broj,Hercegovačko-neretvanska županija,"Poslovanje, administracija i pravo",
2010,Broj,Hercegovačko-neretvanska županija,"Prirodne znanosti, matematika i statistika",
2010,Broj,Hercegovačko-neretvanska županija,Informacijske i komunikacijske tehnologije,
2010,Broj,Hercegovačko-neretvanska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2010,Broj,Hercegovačko-neretvanska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2010,Broj,Hercegovačko-neretvanska županija,Zdravstvo i socijalna skrb,
2010,Broj,Hercegovačko-neretvanska županija,Usluge,
2010,Broj,Sarajevska županija,Obrazovanje,
2010,Broj,Sarajevska županija,Umjetnost i humanističke znanosti,
2010,Broj,Sarajevska županija,"Društvene znanosti, novinarstvo i informiranje",
2010,Broj,Sarajevska županija,"Poslovanje, administracija i pravo",
2010,Broj,Sarajevska županija,"Prirodne znanosti, matematika i statistika",
2010,Broj,Sarajevska županija,Informacijske i komunikacijske tehnologije,
2010,Broj,Sarajevska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2010,Broj,Sarajevska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2010,Broj,Sarajevska županija,Zdravstvo i socijalna skrb,
2010,Broj,Sarajevska županija,Usluge,
2011,Broj,Federacija Bosne i Hercegovine,Obrazovanje,
2011,Broj,Federacija Bosne i Hercegovine,Umjetnost i humanističke znanosti,
2011,Broj,Federacija Bosne i Hercegovine,"Društvene znanosti, novinarstvo i informiranje",
2011,Broj,Federacija Bosne i Hercegovine,"Poslovanje, administracija i pravo",
2011,Broj,Federacija Bosne i Hercegovine,"Prirodne znanosti, matematika i statistika",
2011,Broj,Federacija Bosne i Hercegovine,Informacijske i komunikacijske tehnologije,
2011,Broj,Federacija Bosne i Hercegovine,"Inženjerstvo, proizvodnja i građevinarstvo",
2011,Broj,Federacija Bosne i Hercegovine,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2011,Broj,Federacija Bosne i Hercegovine,Zdravstvo i socijalna skrb,
2011,Broj,Federacija Bosne i Hercegovine,Usluge,
2011,Broj,Unsko-sanska županija,Obrazovanje,
2011,Broj,Unsko-sanska županija,Umjetnost i humanističke znanosti,
2011,Broj,Unsko-sanska županija,"Društvene znanosti, novinarstvo i informiranje",
2011,Broj,Unsko-sanska županija,"Poslovanje, administracija i pravo",
2011,Broj,Unsko-sanska županija,"Prirodne znanosti, matematika i statistika",
2011,Broj,Unsko-sanska županija,Informacijske i komunikacijske tehnologije,
2011,Broj,Unsko-sanska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2011,Broj,Unsko-sanska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2011,Broj,Unsko-sanska županija,Zdravstvo i socijalna skrb,
2011,Broj,Unsko-sanska županija,Usluge,
2011,Broj,Tuzlanska županija,Obrazovanje,
2011,Broj,Tuzlanska županija,Umjetnost i humanističke znanosti,
2011,Broj,Tuzlanska županija,"Društvene znanosti, novinarstvo i informiranje",
2011,Broj,Tuzlanska županija,"Poslovanje, administracija i pravo",
2011,Broj,Tuzlanska županija,"Prirodne znanosti, matematika i statistika",
2011,Broj,Tuzlanska županija,Informacijske i komunikacijske tehnologije,
2011,Broj,Tuzlanska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2011,Broj,Tuzlanska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2011,Broj,Tuzlanska županija,Zdravstvo i socijalna skrb,
2011,Broj,Tuzlanska županija,Usluge,
2011,Broj,Zeničko-dobojska županija,Obrazovanje,
2011,Broj,Zeničko-dobojska županija,Umjetnost i humanističke znanosti,
2011,Broj,Zeničko-dobojska županija,"Društvene znanosti, novinarstvo i informiranje",
2011,Broj,Zeničko-dobojska županija,"Poslovanje, administracija i pravo",
2011,Broj,Zeničko-dobojska županija,"Prirodne znanosti, matematika i statistika",
2011,Broj,Zeničko-dobojska županija,Informacijske i komunikacijske tehnologije,
2011,Broj,Zeničko-dobojska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2011,Broj,Zeničko-dobojska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2011,Broj,Zeničko-dobojska županija,Zdravstvo i socijalna skrb,
2011,Broj,Zeničko-dobojska županija,Usluge,
2011,Broj,Bosansko-podrinjska županija,Obrazovanje,
2011,Broj,Bosansko-podrinjska županija,Umjetnost i humanističke znanosti,
2011,Broj,Bosansko-podrinjska županija,"Društvene znanosti, novinarstvo i informiranje",
2011,Broj,Bosansko-podrinjska županija,"Poslovanje, administracija i pravo",
2011,Broj,Bosansko-podrinjska županija,"Prirodne znanosti, matematika i statistika",
2011,Broj,Bosansko-podrinjska županija,Informacijske i komunikacijske tehnologije,
2011,Broj,Bosansko-podrinjska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2011,Broj,Bosansko-podrinjska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2011,Broj,Bosansko-podrinjska županija,Zdravstvo i socijalna skrb,
2011,Broj,Bosansko-podrinjska županija,Usluge,
2011,Broj,Srednjobosanska županija,Obrazovanje,
2011,Broj,Srednjobosanska županija,Umjetnost i humanističke znanosti,
2011,Broj,Srednjobosanska županija,"Društvene znanosti, novinarstvo i informiranje",
2011,Broj,Srednjobosanska županija,"Poslovanje, administracija i pravo",
2011,Broj,Srednjobosanska županija,"Prirodne znanosti, matematika i statistika",
2011,Broj,Srednjobosanska županija,Informacijske i komunikacijske tehnologije,
2011,Broj,Srednjobosanska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2011,Broj,Srednjobosanska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2011,Broj,Srednjobosanska županija,Zdravstvo i socijalna skrb,
2011,Broj,Srednjobosanska županija,Usluge,
2011,Broj,Hercegovačko-neretvanska županija,Obrazovanje,
2011,Broj,Hercegovačko-neretvanska županija,Umjetnost i humanističke znanosti,
2011,Broj,Hercegovačko-neretvanska županija,"Društvene znanosti, novinarstvo i informiranje",
2011,Broj,Hercegovačko-neretvanska županija,"Poslovanje, administracija i pravo",
2011,Broj,Hercegovačko-neretvanska županija,"Prirodne znanosti, matematika i statistika",
2011,Broj,Hercegovačko-neretvanska županija,Informacijske i komunikacijske tehnologije,
2011,Broj,Hercegovačko-neretvanska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2011,Broj,Hercegovačko-neretvanska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2011,Broj,Hercegovačko-neretvanska županija,Zdravstvo i socijalna skrb,
2011,Broj,Hercegovačko-neretvanska županija,Usluge,
2011,Broj,Sarajevska županija,Obrazovanje,
2011,Broj,Sarajevska županija,Umjetnost i humanističke znanosti,
2011,Broj,Sarajevska županija,"Društvene znanosti, novinarstvo i informiranje",
2011,Broj,Sarajevska županija,"Poslovanje, administracija i pravo",
2011,Broj,Sarajevska županija,"Prirodne znanosti, matematika i statistika",
2011,Broj,Sarajevska županija,Informacijske i komunikacijske tehnologije,
2011,Broj,Sarajevska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2011,Broj,Sarajevska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2011,Broj,Sarajevska županija,Zdravstvo i socijalna skrb,
2011,Broj,Sarajevska županija,Usluge,
2012,Broj,Federacija Bosne i Hercegovine,Obrazovanje,
2012,Broj,Federacija Bosne i Hercegovine,Umjetnost i humanističke znanosti,
2012,Broj,Federacija Bosne i Hercegovine,"Društvene znanosti, novinarstvo i informiranje",
2012,Broj,Federacija Bosne i Hercegovine,"Poslovanje, administracija i pravo",
2012,Broj,Federacija Bosne i Hercegovine,"Prirodne znanosti, matematika i statistika",
2012,Broj,Federacija Bosne i Hercegovine,Informacijske i komunikacijske tehnologije,
2012,Broj,Federacija Bosne i Hercegovine,"Inženjerstvo, proizvodnja i građevinarstvo",
2012,Broj,Federacija Bosne i Hercegovine,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2012,Broj,Federacija Bosne i Hercegovine,Zdravstvo i socijalna skrb,
2012,Broj,Federacija Bosne i Hercegovine,Usluge,
2012,Broj,Unsko-sanska županija,Obrazovanje,
2012,Broj,Unsko-sanska županija,Umjetnost i humanističke znanosti,
2012,Broj,Unsko-sanska županija,"Društvene znanosti, novinarstvo i informiranje",
2012,Broj,Unsko-sanska županija,"Poslovanje, administracija i pravo",
2012,Broj,Unsko-sanska županija,"Prirodne znanosti, matematika i statistika",
2012,Broj,Unsko-sanska županija,Informacijske i komunikacijske tehnologije,
2012,Broj,Unsko-sanska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2012,Broj,Unsko-sanska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2012,Broj,Unsko-sanska županija,Zdravstvo i socijalna skrb,
2012,Broj,Unsko-sanska županija,Usluge,
2012,Broj,Tuzlanska županija,Obrazovanje,
2012,Broj,Tuzlanska županija,Umjetnost i humanističke znanosti,
2012,Broj,Tuzlanska županija,"Društvene znanosti, novinarstvo i informiranje",
2012,Broj,Tuzlanska županija,"Poslovanje, administracija i pravo",
2012,Broj,Tuzlanska županija,"Prirodne znanosti, matematika i statistika",
2012,Broj,Tuzlanska županija,Informacijske i komunikacijske tehnologije,
2012,Broj,Tuzlanska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2012,Broj,Tuzlanska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2012,Broj,Tuzlanska županija,Zdravstvo i socijalna skrb,
2012,Broj,Tuzlanska županija,Usluge,
2012,Broj,Zeničko-dobojska županija,Obrazovanje,
2012,Broj,Zeničko-dobojska županija,Umjetnost i humanističke znanosti,
2012,Broj,Zeničko-dobojska županija,"Društvene znanosti, novinarstvo i informiranje",
2012,Broj,Zeničko-dobojska županija,"Poslovanje, administracija i pravo",
2012,Broj,Zeničko-dobojska županija,"Prirodne znanosti, matematika i statistika",
2012,Broj,Zeničko-dobojska županija,Informacijske i komunikacijske tehnologije,
2012,Broj,Zeničko-dobojska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2012,Broj,Zeničko-dobojska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2012,Broj,Zeničko-dobojska županija,Zdravstvo i socijalna skrb,
2012,Broj,Zeničko-dobojska županija,Usluge,
2012,Broj,Bosansko-podrinjska županija,Obrazovanje,
2012,Broj,Bosansko-podrinjska županija,Umjetnost i humanističke znanosti,
2012,Broj,Bosansko-podrinjska županija,"Društvene znanosti, novinarstvo i informiranje",
2012,Broj,Bosansko-podrinjska županija,"Poslovanje, administracija i pravo",
2012,Broj,Bosansko-podrinjska županija,"Prirodne znanosti, matematika i statistika",
2012,Broj,Bosansko-podrinjska županija,Informacijske i komunikacijske tehnologije,
2012,Broj,Bosansko-podrinjska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2012,Broj,Bosansko-podrinjska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2012,Broj,Bosansko-podrinjska županija,Zdravstvo i socijalna skrb,
2012,Broj,Bosansko-podrinjska županija,Usluge,
2012,Broj,Srednjobosanska županija,Obrazovanje,
2012,Broj,Srednjobosanska županija,Umjetnost i humanističke znanosti,
2012,Broj,Srednjobosanska županija,"Društvene znanosti, novinarstvo i informiranje",
2012,Broj,Srednjobosanska županija,"Poslovanje, administracija i pravo",
2012,Broj,Srednjobosanska županija,"Prirodne znanosti, matematika i statistika",
2012,Broj,Srednjobosanska županija,Informacijske i komunikacijske tehnologije,
2012,Broj,Srednjobosanska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2012,Broj,Srednjobosanska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2012,Broj,Srednjobosanska županija,Zdravstvo i socijalna skrb,
2012,Broj,Srednjobosanska županija,Usluge,
2012,Broj,Hercegovačko-neretvanska županija,Obrazovanje,
2012,Broj,Hercegovačko-neretvanska županija,Umjetnost i humanističke znanosti,
2012,Broj,Hercegovačko-neretvanska županija,"Društvene znanosti, novinarstvo i informiranje",
2012,Broj,Hercegovačko-neretvanska županija,"Poslovanje, administracija i pravo",
2012,Broj,Hercegovačko-neretvanska županija,"Prirodne znanosti, matematika i statistika",
2012,Broj,Hercegovačko-neretvanska županija,Informacijske i komunikacijske tehnologije,
2012,Broj,Hercegovačko-neretvanska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2012,Broj,Hercegovačko-neretvanska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2012,Broj,Hercegovačko-neretvanska županija,Zdravstvo i socijalna skrb,
2012,Broj,Hercegovačko-neretvanska županija,Usluge,
2012,Broj,Sarajevska županija,Obrazovanje,
2012,Broj,Sarajevska županija,Umjetnost i humanističke znanosti,
2012,Broj,Sarajevska županija,"Društvene znanosti, novinarstvo i informiranje",
2012,Broj,Sarajevska županija,"Poslovanje, administracija i pravo",
2012,Broj,Sarajevska županija,"Prirodne znanosti, matematika i statistika",
2012,Broj,Sarajevska županija,Informacijske i komunikacijske tehnologije,
2012,Broj,Sarajevska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2012,Broj,Sarajevska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2012,Broj,Sarajevska županija,Zdravstvo i socijalna skrb,
2012,Broj,Sarajevska županija,Usluge,
2013,Broj,Federacija Bosne i Hercegovine,Obrazovanje,
2013,Broj,Federacija Bosne i Hercegovine,Umjetnost i humanističke znanosti,
2013,Broj,Federacija Bosne i Hercegovine,"Društvene znanosti, novinarstvo i informiranje",
2013,Broj,Federacija Bosne i Hercegovine,"Poslovanje, administracija i pravo",
2013,Broj,Federacija Bosne i Hercegovine,"Prirodne znanosti, matematika i statistika",
2013,Broj,Federacija Bosne i Hercegovine,Informacijske i komunikacijske tehnologije,
2013,Broj,Federacija Bosne i Hercegovine,"Inženjerstvo, proizvodnja i građevinarstvo",
2013,Broj,Federacija Bosne i Hercegovine,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2013,Broj,Federacija Bosne i Hercegovine,Zdravstvo i socijalna skrb,
2013,Broj,Federacija Bosne i Hercegovine,Usluge,
2013,Broj,Unsko-sanska županija,Obrazovanje,
2013,Broj,Unsko-sanska županija,Umjetnost i humanističke znanosti,
2013,Broj,Unsko-sanska županija,"Društvene znanosti, novinarstvo i informiranje",
2013,Broj,Unsko-sanska županija,"Poslovanje, administracija i pravo",
2013,Broj,Unsko-sanska županija,"Prirodne znanosti, matematika i statistika",
2013,Broj,Unsko-sanska županija,Informacijske i komunikacijske tehnologije,
2013,Broj,Unsko-sanska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2013,Broj,Unsko-sanska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2013,Broj,Unsko-sanska županija,Zdravstvo i socijalna skrb,
2013,Broj,Unsko-sanska županija,Usluge,
2013,Broj,Tuzlanska županija,Obrazovanje,
2013,Broj,Tuzlanska županija,Umjetnost i humanističke znanosti,
2013,Broj,Tuzlanska županija,"Društvene znanosti, novinarstvo i informiranje",
2013,Broj,Tuzlanska županija,"Poslovanje, administracija i pravo",
2013,Broj,Tuzlanska županija,"Prirodne znanosti, matematika i statistika",
2013,Broj,Tuzlanska županija,Informacijske i komunikacijske tehnologije,
2013,Broj,Tuzlanska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2013,Broj,Tuzlanska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2013,Broj,Tuzlanska županija,Zdravstvo i socijalna skrb,
2013,Broj,Tuzlanska županija,Usluge,
2013,Broj,Zeničko-dobojska županija,Obrazovanje,
2013,Broj,Zeničko-dobojska županija,Umjetnost i humanističke znanosti,
2013,Broj,Zeničko-dobojska županija,"Društvene znanosti, novinarstvo i informiranje",
2013,Broj,Zeničko-dobojska županija,"Poslovanje, administracija i pravo",
2013,Broj,Zeničko-dobojska županija,"Prirodne znanosti, matematika i statistika",
2013,Broj,Zeničko-dobojska županija,Informacijske i komunikacijske tehnologije,
2013,Broj,Zeničko-dobojska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2013,Broj,Zeničko-dobojska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2013,Broj,Zeničko-dobojska županija,Zdravstvo i socijalna skrb,
2013,Broj,Zeničko-dobojska županija,Usluge,
2013,Broj,Bosansko-podrinjska županija,Obrazovanje,
2013,Broj,Bosansko-podrinjska županija,Umjetnost i humanističke znanosti,
2013,Broj,Bosansko-podrinjska županija,"Društvene znanosti, novinarstvo i informiranje",
2013,Broj,Bosansko-podrinjska županija,"Poslovanje, administracija i pravo",
2013,Broj,Bosansko-podrinjska županija,"Prirodne znanosti, matematika i statistika",
2013,Broj,Bosansko-podrinjska županija,Informacijske i komunikacijske tehnologije,
2013,Broj,Bosansko-podrinjska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2013,Broj,Bosansko-podrinjska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2013,Broj,Bosansko-podrinjska županija,Zdravstvo i socijalna skrb,
2013,Broj,Bosansko-podrinjska županija,Usluge,
2013,Broj,Srednjobosanska županija,Obrazovanje,
2013,Broj,Srednjobosanska županija,Umjetnost i humanističke znanosti,
2013,Broj,Srednjobosanska županija,"Društvene znanosti, novinarstvo i informiranje",
2013,Broj,Srednjobosanska županija,"Poslovanje, administracija i pravo",
2013,Broj,Srednjobosanska županija,"Prirodne znanosti, matematika i statistika",
2013,Broj,Srednjobosanska županija,Informacijske i komunikacijske tehnologije,
2013,Broj,Srednjobosanska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2013,Broj,Srednjobosanska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2013,Broj,Srednjobosanska županija,Zdravstvo i socijalna skrb,
2013,Broj,Srednjobosanska županija,Usluge,
2013,Broj,Hercegovačko-neretvanska županija,Obrazovanje,
2013,Broj,Hercegovačko-neretvanska županija,Umjetnost i humanističke znanosti,
2013,Broj,Hercegovačko-neretvanska županija,"Društvene znanosti, novinarstvo i informiranje",
2013,Broj,Hercegovačko-neretvanska županija,"Poslovanje, administracija i pravo",
2013,Broj,Hercegovačko-neretvanska županija,"Prirodne znanosti, matematika i statistika",
2013,Broj,Hercegovačko-neretvanska županija,Informacijske i komunikacijske tehnologije,
2013,Broj,Hercegovačko-neretvanska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2013,Broj,Hercegovačko-neretvanska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2013,Broj,Hercegovačko-neretvanska županija,Zdravstvo i socijalna skrb,
2013,Broj,Hercegovačko-neretvanska županija,Usluge,
2013,Broj,Sarajevska županija,Obrazovanje,
2013,Broj,Sarajevska županija,Umjetnost i humanističke znanosti,
2013,Broj,Sarajevska županija,"Društvene znanosti, novinarstvo i informiranje",
2013,Broj,Sarajevska županija,"Poslovanje, administracija i pravo",
2013,Broj,Sarajevska županija,"Prirodne znanosti, matematika i statistika",
2013,Broj,Sarajevska županija,Informacijske i komunikacijske tehnologije,
2013,Broj,Sarajevska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2013,Broj,Sarajevska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2013,Broj,Sarajevska županija,Zdravstvo i socijalna skrb,
2013,Broj,Sarajevska županija,Usluge,
2014,Broj,Federacija Bosne i Hercegovine,Obrazovanje,
2014,Broj,Federacija Bosne i Hercegovine,Umjetnost i humanističke znanosti,
2014,Broj,Federacija Bosne i Hercegovine,"Društvene znanosti, novinarstvo i informiranje",
2014,Broj,Federacija Bosne i Hercegovine,"Poslovanje, administracija i pravo",
2014,Broj,Federacija Bosne i Hercegovine,"Prirodne znanosti, matematika i statistika",
2014,Broj,Federacija Bosne i Hercegovine,Informacijske i komunikacijske tehnologije,
2014,Broj,Federacija Bosne i Hercegovine,"Inženjerstvo, proizvodnja i građevinarstvo",
2014,Broj,Federacija Bosne i Hercegovine,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2014,Broj,Federacija Bosne i Hercegovine,Zdravstvo i socijalna skrb,
2014,Broj,Federacija Bosne i Hercegovine,Usluge,
2014,Broj,Unsko-sanska županija,Obrazovanje,
2014,Broj,Unsko-sanska županija,Umjetnost i humanističke znanosti,
2014,Broj,Unsko-sanska županija,"Društvene znanosti, novinarstvo i informiranje",
2014,Broj,Unsko-sanska županija,"Poslovanje, administracija i pravo",
2014,Broj,Unsko-sanska županija,"Prirodne znanosti, matematika i statistika",
2014,Broj,Unsko-sanska županija,Informacijske i komunikacijske tehnologije,
2014,Broj,Unsko-sanska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2014,Broj,Unsko-sanska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2014,Broj,Unsko-sanska županija,Zdravstvo i socijalna skrb,
2014,Broj,Unsko-sanska županija,Usluge,
2014,Broj,Tuzlanska županija,Obrazovanje,
2014,Broj,Tuzlanska županija,Umjetnost i humanističke znanosti,
2014,Broj,Tuzlanska županija,"Društvene znanosti, novinarstvo i informiranje",
2014,Broj,Tuzlanska županija,"Poslovanje, administracija i pravo",
2014,Broj,Tuzlanska županija,"Prirodne znanosti, matematika i statistika",
2014,Broj,Tuzlanska županija,Informacijske i komunikacijske tehnologije,
2014,Broj,Tuzlanska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2014,Broj,Tuzlanska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2014,Broj,Tuzlanska županija,Zdravstvo i socijalna skrb,
2014,Broj,Tuzlanska županija,Usluge,
2014,Broj,Zeničko-dobojska županija,Obrazovanje,
2014,Broj,Zeničko-dobojska županija,Umjetnost i humanističke znanosti,
2014,Broj,Zeničko-dobojska županija,"Društvene znanosti, novinarstvo i informiranje",
2014,Broj,Zeničko-dobojska županija,"Poslovanje, administracija i pravo",
2014,Broj,Zeničko-dobojska županija,"Prirodne znanosti, matematika i statistika",
2014,Broj,Zeničko-dobojska županija,Informacijske i komunikacijske tehnologije,
2014,Broj,Zeničko-dobojska županija,"Inženjerstvo, proizvodnja i građevinarstvo",
2014,Broj,Zeničko-dobojska županija,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2014,Broj,Zeničko-dobojska županija,Zdravstvo i socijalna skrb,
2014,Broj,Zeničko-dobojska županija,Usluge,
2014,Broj,Bosansko-podrinjska županija,Obrazovanje,
2014,Broj,Bosansko-podrinjska županija,Umjetnost i humanističke znanosti,
2014,Broj,Bosansko-podrinjska županija,"Društvene znanosti, novinarstvo i informiranje",
2014,Broj,Bosansko-podrinjska županija,"Poslovanje, administracija i pravo",
