Year,UNIT_MEASURE,Spol,Administrativna jedinica,Vitalna statistika,Value
1998,Broj,Ukupno,Zeničko-dobojska županija,Živorođeni,6068
1998,Broj,Ukupno,Bosansko-podrinjska županija,Živorođeni,406
1998,Broj,Ukupno,Srednjobosanska županija,Živorođeni,3765
1998,Broj,Ukupno,Hercegovačko-neretvanska županija,Živorođeni,2526
1998,Broj,Ukupno,Zapadno-hercegovačka županija,Živorođeni,913
1998,Broj,Ukupno,Sarajevska županija,Živorođeni,4890
1998,Broj,Ukupno,Županija 10,Živorođeni,813
1998,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,15811
1998,Broj,M,Unsko-sanska županija,Živorođeni,442
1998,Broj,M,Posavska županija,Živorođeni,14
1998,Broj,M,Tuzlanska županija,Živorođeni,3032
1998,Broj,M,Zeničko-dobojska županija,Živorođeni,3169
1998,Broj,M,Bosansko-podrinjska županija,Živorođeni,216
1998,Broj,M,Srednjobosanska županija,Živorođeni,1904
1998,Broj,M,Hercegovačko-neretvanska županija,Živorođeni,1272
1998,Broj,M,Zapadno-hercegovačka županija,Živorođeni,470
1998,Broj,M,Sarajevska županija,Živorođeni,2558
1998,Broj,M,Županija 10,Živorođeni,442
1998,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,14616
1998,Broj,Ž,Unsko-sanska županija,Živorođeni,371
1998,Broj,Ž,Posavska županija,Živorođeni,16
1998,Broj,Ž,Tuzlanska županija,Živorođeni,2826
1998,Broj,Ž,Zeničko-dobojska županija,Živorođeni,2899
1998,Broj,Ž,Bosansko-podrinjska županija,Živorođeni,190
1998,Broj,Ž,Srednjobosanska županija,Živorođeni,1861
1998,Broj,Ž,Hercegovačko-neretvanska županija,Živorođeni,1254
1998,Broj,Ž,Zapadno-hercegovačka županija,Živorođeni,443
1998,Broj,Ž,Sarajevska županija,Živorođeni,2332
1998,Broj,Ž,Županija 10,Živorođeni,371
1999,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,27614
1999,Broj,Ukupno,Unsko-sanska županija,Živorođeni,4675
1999,Broj,Ukupno,Posavska županija,Živorođeni,302
1999,Broj,Ukupno,Tuzlanska županija,Živorođeni,5627
1999,Broj,Ukupno,Zeničko-dobojska županija,Živorođeni,5124
1999,Broj,Ukupno,Bosansko-podrinjska županija,Živorođeni,360
1999,Broj,Ukupno,Srednjobosanska županija,Živorođeni,3439
1999,Broj,Ukupno,Hercegovačko-neretvanska županija,Živorođeni,2012
1999,Broj,Ukupno,Zapadno-hercegovačka županija,Živorođeni,654
1999,Broj,Ukupno,Sarajevska županija,Živorođeni,4621
1999,Broj,Ukupno,Županija 10,Živorođeni,800
1999,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,14046
1999,Broj,M,Unsko-sanska županija,Živorođeni,2366
1999,Broj,M,Posavska županija,Živorođeni,159
1999,Broj,M,Tuzlanska županija,Živorođeni,2885
1999,Broj,M,Zeničko-dobojska županija,Živorođeni,2648
1999,Broj,M,Bosansko-podrinjska županija,Živorođeni,183
1999,Broj,M,Srednjobosanska županija,Živorođeni,1747
1999,Broj,M,Hercegovačko-neretvanska županija,Živorođeni,1013
1999,Broj,M,Zapadno-hercegovačka županija,Živorođeni,1013
1999,Broj,M,Sarajevska županija,Živorođeni,2338
1999,Broj,M,Županija 10,Živorođeni,394
1999,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,13568
1999,Broj,Ž,Unsko-sanska županija,Živorođeni,2309
1999,Broj,Ž,Posavska županija,Živorođeni,143
1999,Broj,Ž,Tuzlanska županija,Živorođeni,2742
1999,Broj,Ž,Zeničko-dobojska županija,Živorođeni,2476
1999,Broj,Ž,Bosansko-podrinjska županija,Živorođeni,177
1999,Broj,Ž,Srednjobosanska županija,Živorođeni,1692
1999,Broj,Ž,Hercegovačko-neretvanska županija,Živorođeni,999
1999,Broj,Ž,Zapadno-hercegovačka županija,Živorođeni,999
1999,Broj,Ž,Sarajevska županija,Živorođeni,2283
1999,Broj,Ž,Županija 10,Živorođeni,406
2000,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,25255
2000,Broj,Ukupno,Unsko-sanska županija,Živorođeni,3722
2000,Broj,Ukupno,Posavska županija,Živorođeni,344
2000,Broj,Ukupno,Tuzlanska županija,Živorođeni,5373
2000,Broj,Ukupno,Zeničko-dobojska županija,Živorođeni,4708
2000,Broj,Ukupno,Bosansko-podrinjska županija,Živorođeni,306
2000,Broj,Ukupno,Srednjobosanska županija,Živorođeni,3119
2000,Broj,Ukupno,Hercegovačko-neretvanska županija,Živorođeni,2118
2000,Broj,Ukupno,Zapadno-hercegovačka županija,Živorođeni,572
2000,Broj,Ukupno,Sarajevska županija,Živorođeni,4268
2000,Broj,Ukupno,Županija 10,Živorođeni,725
2000,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,13026
2000,Broj,M,Unsko-sanska županija,Živorođeni,1901
2000,Broj,M,Posavska županija,Živorođeni,195
2000,Broj,M,Tuzlanska županija,Živorođeni,2739
2000,Broj,M,Zeničko-dobojska županija,Živorođeni,2408
2000,Broj,M,Bosansko-podrinjska županija,Živorođeni,152
2000,Broj,M,Srednjobosanska županija,Živorođeni,1628
2000,Broj,M,Hercegovačko-neretvanska županija,Živorođeni,1130
2000,Broj,M,Zapadno-hercegovačka županija,Živorođeni,287
2000,Broj,M,Sarajevska županija,Živorođeni,2206
2000,Broj,M,Županija 10,Živorođeni,380
2000,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,12229
2000,Broj,Ž,Unsko-sanska županija,Živorođeni,1821
2000,Broj,Ž,Posavska županija,Živorođeni,149
2000,Broj,Ž,Tuzlanska županija,Živorođeni,2634
2000,Broj,Ž,Zeničko-dobojska županija,Živorođeni,2300
2000,Broj,Ž,Bosansko-podrinjska županija,Živorođeni,154
2000,Broj,Ž,Srednjobosanska županija,Živorođeni,1491
2000,Broj,Ž,Hercegovačko-neretvanska županija,Živorođeni,988
2000,Broj,Ž,Zapadno-hercegovačka županija,Živorođeni,285
2000,Broj,Ž,Sarajevska županija,Živorođeni,2062
2000,Broj,Ž,Županija 10,Živorođeni,345
2001,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,23881
2001,Broj,Ukupno,Unsko-sanska županija,Živorođeni,3497
2001,Broj,Ukupno,Posavska županija,Živorođeni,338
2001,Broj,Ukupno,Tuzlanska županija,Živorođeni,5162
2001,Broj,Ukupno,Zeničko-dobojska županija,Živorođeni,4481
2001,Broj,Ukupno,Bosansko-podrinjska županija,Živorođeni,296
2001,Broj,Ukupno,Srednjobosanska županija,Živorođeni,2979
2001,Broj,Ukupno,Hercegovačko-neretvanska županija,Živorođeni,2043
2001,Broj,Ukupno,Zapadno-hercegovačka županija,Živorođeni,569
2001,Broj,Ukupno,Sarajevska županija,Živorođeni,3878
2001,Broj,Ukupno,Županija 10,Živorođeni,638
2001,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,12278
2001,Broj,M,Unsko-sanska županija,Živorođeni,1802
2001,Broj,M,Posavska županija,Živorođeni,181
2001,Broj,M,Tuzlanska županija,Živorođeni,2678
2001,Broj,M,Zeničko-dobojska županija,Živorođeni,2292
2001,Broj,M,Bosansko-podrinjska županija,Živorođeni,140
2001,Broj,M,Srednjobosanska županija,Živorođeni,1561
2001,Broj,M,Hercegovačko-neretvanska županija,Živorođeni,1008
2001,Broj,M,Zapadno-hercegovačka županija,Živorođeni,300
2001,Broj,M,Sarajevska županija,Živorođeni,1999
2001,Broj,M,Županija 10,Živorođeni,317
2001,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,11603
2001,Broj,Ž,Unsko-sanska županija,Živorođeni,1695
2001,Broj,Ž,Posavska županija,Živorođeni,157
2001,Broj,Ž,Tuzlanska županija,Živorođeni,2484
2001,Broj,Ž,Zeničko-dobojska županija,Živorođeni,2189
2001,Broj,Ž,Bosansko-podrinjska županija,Živorođeni,156
2001,Broj,Ž,Srednjobosanska županija,Živorođeni,1418
2001,Broj,Ž,Hercegovačko-neretvanska županija,Živorođeni,1035
2001,Broj,Ž,Zapadno-hercegovačka županija,Živorođeni,269
2001,Broj,Ž,Sarajevska županija,Živorođeni,1879
2001,Broj,Ž,Županija 10,Živorođeni,321
2002,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,23058
2002,Broj,Ukupno,Unsko-sanska županija,Živorođeni,3208
2002,Broj,Ukupno,Posavska županija,Živorođeni,363
2002,Broj,Ukupno,Tuzlanska županija,Živorođeni,5079
2002,Broj,Ukupno,Zeničko-dobojska županija,Živorođeni,4195
2002,Broj,Ukupno,Bosansko-podrinjska županija,Živorođeni,230
2002,Broj,Ukupno,Srednjobosanska županija,Živorođeni,2873
2002,Broj,Ukupno,Hercegovačko-neretvanska županija,Živorođeni,2130
2002,Broj,Ukupno,Zapadno-hercegovačka županija,Živorođeni,569
2002,Broj,Ukupno,Sarajevska županija,Živorođeni,3840
2002,Broj,Ukupno,Županija 10,Živorođeni,571
2002,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,11829
2002,Broj,M,Unsko-sanska županija,Živorođeni,1650
2002,Broj,M,Posavska županija,Živorođeni,184
2002,Broj,M,Tuzlanska županija,Živorođeni,2575
2002,Broj,M,Zeničko-dobojska županija,Živorođeni,2140
2002,Broj,M,Bosansko-podrinjska županija,Živorođeni,126
2002,Broj,M,Srednjobosanska županija,Živorođeni,1491
2002,Broj,M,Hercegovačko-neretvanska županija,Živorođeni,1092
2002,Broj,M,Zapadno-hercegovačka županija,Živorođeni,273
2002,Broj,M,Sarajevska županija,Živorođeni,2009
2002,Broj,M,Županija 10,Živorođeni,289
2002,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,11229
2002,Broj,Ž,Unsko-sanska županija,Živorođeni,1558
2002,Broj,Ž,Posavska županija,Živorođeni,179
2002,Broj,Ž,Tuzlanska županija,Živorođeni,2504
2002,Broj,Ž,Zeničko-dobojska županija,Živorođeni,2055
2002,Broj,Ž,Bosansko-podrinjska županija,Živorođeni,104
2002,Broj,Ž,Srednjobosanska županija,Živorođeni,1382
2002,Broj,Ž,Hercegovačko-neretvanska županija,Živorođeni,1038
2002,Broj,Ž,Zapadno-hercegovačka županija,Živorođeni,296
2002,Broj,Ž,Sarajevska županija,Živorođeni,1831
2002,Broj,Ž,Županija 10,Živorođeni,282
2003,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,22953
2003,Broj,Ukupno,Unsko-sanska županija,Živorođeni,3156
2003,Broj,Ukupno,Posavska županija,Živorođeni,313
2003,Broj,Ukupno,Tuzlanska županija,Živorođeni,4931
2003,Broj,Ukupno,Zeničko-dobojska županija,Živorođeni,4106
2003,Broj,Ukupno,Bosansko-podrinjska županija,Živorođeni,206
2003,Broj,Ukupno,Srednjobosanska županija,Živorođeni,2871
2003,Broj,Ukupno,Hercegovačko-neretvanska županija,Živorođeni,2131
2003,Broj,Ukupno,Zapadno-hercegovačka županija,Živorođeni,795
2003,Broj,Ukupno,Sarajevska županija,Živorođeni,3881
2003,Broj,Ukupno,Županija 10,Živorođeni,563
2003,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,11961
2003,Broj,M,Unsko-sanska županija,Živorođeni,1631
2003,Broj,M,Posavska županija,Živorođeni,157
2003,Broj,M,Tuzlanska županija,Živorođeni,2527
2003,Broj,M,Zeničko-dobojska županija,Živorođeni,2124
2003,Broj,M,Bosansko-podrinjska županija,Živorođeni,106
2003,Broj,M,Srednjobosanska županija,Živorođeni,1505
2003,Broj,M,Hercegovačko-neretvanska županija,Živorođeni,1122
2003,Broj,M,Zapadno-hercegovačka županija,Živorođeni,427
2003,Broj,M,Sarajevska županija,Živorođeni,2083
2003,Broj,M,Županija 10,Živorođeni,279
2003,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,10992
2003,Broj,Ž,Unsko-sanska županija,Živorođeni,1525
2003,Broj,Ž,Posavska županija,Živorođeni,156
2003,Broj,Ž,Tuzlanska županija,Živorođeni,2404
2003,Broj,Ž,Zeničko-dobojska županija,Živorođeni,1982
2003,Broj,Ž,Bosansko-podrinjska županija,Živorođeni,100
2003,Broj,Ž,Srednjobosanska županija,Živorođeni,1366
2003,Broj,Ž,Hercegovačko-neretvanska županija,Živorođeni,1009
2003,Broj,Ž,Zapadno-hercegovačka županija,Živorođeni,368
2003,Broj,Ž,Sarajevska županija,Živorođeni,1798
2003,Broj,Ž,Županija 10,Živorođeni,284
2004,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,22098
2004,Broj,Ukupno,Unsko-sanska županija,Živorođeni,2954
2004,Broj,Ukupno,Posavska županija,Živorođeni,308
2004,Broj,Ukupno,Tuzlanska županija,Živorođeni,4683
2004,Broj,Ukupno,Zeničko-dobojska županija,Živorođeni,3984
2004,Broj,Ukupno,Bosansko-podrinjska županija,Živorođeni,204
2004,Broj,Ukupno,Srednjobosanska županija,Živorođeni,2750
2004,Broj,Ukupno,Hercegovačko-neretvanska županija,Živorođeni,1983
2004,Broj,Ukupno,Zapadno-hercegovačka županija,Živorođeni,772
2004,Broj,Ukupno,Sarajevska županija,Živorođeni,3863
2004,Broj,Ukupno,Županija 10,Živorođeni,597
2004,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,11476
2004,Broj,M,Unsko-sanska županija,Živorođeni,1550
2004,Broj,M,Posavska županija,Živorođeni,142
2004,Broj,M,Tuzlanska županija,Živorođeni,2371
2004,Broj,M,Zeničko-dobojska županija,Živorođeni,2030
2004,Broj,M,Bosansko-podrinjska županija,Živorođeni,109
2004,Broj,M,Srednjobosanska županija,Živorođeni,1452
2004,Broj,M,Hercegovačko-neretvanska županija,Živorođeni,969
2004,Broj,M,Zapadno-hercegovačka županija,Živorođeni,416
2004,Broj,M,Sarajevska županija,Živorođeni,2035
2004,Broj,M,Županija 10,Živorođeni,318
2004,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,10774
2004,Broj,Ž,Unsko-sanska županija,Živorođeni,1404
2004,Broj,Ž,Posavska županija,Živorođeni,166
2004,Broj,Ž,Tuzlanska županija,Živorođeni,2312
2004,Broj,Ž,Zeničko-dobojska županija,Živorođeni,1954
2004,Broj,Ž,Bosansko-podrinjska županija,Živorođeni,95
2004,Broj,Ž,Srednjobosanska županija,Živorođeni,1298
2004,Broj,Ž,Hercegovačko-neretvanska županija,Živorođeni,1014
2004,Broj,Ž,Zapadno-hercegovačka županija,Živorođeni,356
2004,Broj,Ž,Sarajevska županija,Živorođeni,1828
2004,Broj,Ž,Županija 10,Živorođeni,279
2005,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,21795
2005,Broj,Ukupno,Unsko-sanska županija,Živorođeni,2891
2005,Broj,Ukupno,Posavska županija,Živorođeni,284
2005,Broj,Ukupno,Tuzlanska županija,Živorođeni,4674
2005,Broj,Ukupno,Zeničko-dobojska županija,Živorođeni,3912
2005,Broj,Ukupno,Bosansko-podrinjska županija,Živorođeni,205
2005,Broj,Ukupno,Srednjobosanska županija,Živorođeni,2668
2005,Broj,Ukupno,Hercegovačko-neretvanska županija,Živorođeni,1929
2005,Broj,Ukupno,Zapadno-hercegovačka županija,Živorođeni,667
2005,Broj,Ukupno,Sarajevska županija,Živorođeni,4004
2005,Broj,Ukupno,Županija 10,Živorođeni,561
2005,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,11213
2005,Broj,M,Unsko-sanska županija,Živorođeni,1447
2005,Broj,M,Posavska županija,Živorođeni,142
2005,Broj,M,Tuzlanska županija,Živorođeni,2462
2005,Broj,M,Zeničko-dobojska županija,Živorođeni,1984
2005,Broj,M,Bosansko-podrinjska županija,Živorođeni,105
2005,Broj,M,Srednjobosanska županija,Živorođeni,1357
2005,Broj,M,Hercegovačko-neretvanska županija,Živorođeni,993
2005,Broj,M,Zapadno-hercegovačka županija,Živorođeni,360
2005,Broj,M,Sarajevska županija,Živorođeni,2066
2005,Broj,M,Županija 10,Živorođeni,297
2005,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,10582
2005,Broj,Ž,Unsko-sanska županija,Živorođeni,1444
2005,Broj,Ž,Posavska županija,Živorođeni,142
2005,Broj,Ž,Tuzlanska županija,Živorođeni,2212
2005,Broj,Ž,Zeničko-dobojska županija,Živorođeni,1928
2005,Broj,Ž,Bosansko-podrinjska županija,Živorođeni,100
2005,Broj,Ž,Srednjobosanska županija,Živorođeni,1311
2005,Broj,Ž,Hercegovačko-neretvanska županija,Živorođeni,936
2005,Broj,Ž,Zapadno-hercegovačka županija,Živorođeni,307
2005,Broj,Ž,Sarajevska županija,Živorođeni,1938
2005,Broj,Ž,Županija 10,Živorođeni,264
2006,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,21503
2006,Broj,Ukupno,Unsko-sanska županija,Živorođeni,2790
2006,Broj,Ukupno,Posavska županija,Živorođeni,265
2006,Broj,Ukupno,Tuzlanska županija,Živorođeni,4652
2006,Broj,Ukupno,Zeničko-dobojska županija,Živorođeni,3842
2006,Broj,Ukupno,Bosansko-podrinjska županija,Živorođeni,175
2006,Broj,Ukupno,Srednjobosanska županija,Živorođeni,2616
2006,Broj,Ukupno,Hercegovačko-neretvanska županija,Živorođeni,1826
2006,Broj,Ukupno,Zapadno-hercegovačka županija,Živorođeni,656
2006,Broj,Ukupno,Sarajevska županija,Živorođeni,4131
2006,Broj,Ukupno,Županija 10,Živorođeni,550
2006,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,11150
2006,Broj,M,Unsko-sanska županija,Živorođeni,1469
2006,Broj,M,Posavska županija,Živorođeni,140
2006,Broj,M,Tuzlanska županija,Živorođeni,2414
2006,Broj,M,Zeničko-dobojska županija,Živorođeni,1976
2006,Broj,M,Bosansko-podrinjska županija,Živorođeni,97
2006,Broj,M,Srednjobosanska županija,Živorođeni,1351
2006,Broj,M,Hercegovačko-neretvanska županija,Živorođeni,951
2006,Broj,M,Zapadno-hercegovačka županija,Živorođeni,327
2006,Broj,M,Sarajevska županija,Živorođeni,2130
2006,Broj,M,Županija 10,Živorođeni,295
2006,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,10353
2006,Broj,Ž,Unsko-sanska županija,Živorođeni,1321
2006,Broj,Ž,Posavska županija,Živorođeni,125
2006,Broj,Ž,Tuzlanska županija,Živorođeni,2238
2006,Broj,Ž,Zeničko-dobojska županija,Živorođeni,1866
2006,Broj,Ž,Bosansko-podrinjska županija,Živorođeni,78
2006,Broj,Ž,Srednjobosanska županija,Živorođeni,1265
2006,Broj,Ž,Hercegovačko-neretvanska županija,Živorođeni,875
2006,Broj,Ž,Zapadno-hercegovačka županija,Živorođeni,329
2006,Broj,Ž,Sarajevska županija,Živorođeni,2001
2006,Broj,Ž,Županija 10,Živorođeni,255
2007,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,21628
2007,Broj,Ukupno,Unsko-sanska županija,Živorođeni,2841
2007,Broj,Ukupno,Posavska županija,Živorođeni,278
2007,Broj,Ukupno,Tuzlanska županija,Živorođeni,4616
2007,Broj,Ukupno,Zeničko-dobojska županija,Živorođeni,3881
2007,Broj,Ukupno,Bosansko-podrinjska županija,Živorođeni,173
2007,Broj,Ukupno,Srednjobosanska županija,Živorođeni,2605
2007,Broj,Ukupno,Hercegovačko-neretvanska županija,Živorođeni,1767
2007,Broj,Ukupno,Zapadno-hercegovačka županija,Živorođeni,691
2007,Broj,Ukupno,Sarajevska županija,Živorođeni,4283
2007,Broj,Ukupno,Županija 10,Živorođeni,493
2007,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,11249
2007,Broj,M,Unsko-sanska županija,Živorođeni,1519
2007,Broj,M,Posavska županija,Živorođeni,154
2007,Broj,M,Tuzlanska županija,Živorođeni,2360
2007,Broj,M,Zeničko-dobojska županija,Živorođeni,2023
2007,Broj,M,Bosansko-podrinjska županija,Živorođeni,77
2007,Broj,M,Srednjobosanska županija,Živorođeni,1369
2007,Broj,M,Hercegovačko-neretvanska županija,Živorođeni,925
2007,Broj,M,Zapadno-hercegovačka županija,Živorođeni,355
2007,Broj,M,Sarajevska županija,Živorođeni,2200
2007,Broj,M,Županija 10,Živorođeni,267
2007,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,10379
2007,Broj,Ž,Unsko-sanska županija,Živorođeni,1322
2007,Broj,Ž,Posavska županija,Živorođeni,124
2007,Broj,Ž,Tuzlanska županija,Živorođeni,2256
2007,Broj,Ž,Zeničko-dobojska županija,Živorođeni,1858
2007,Broj,Ž,Bosansko-podrinjska županija,Živorođeni,96
2007,Broj,Ž,Srednjobosanska županija,Živorođeni,1236
2007,Broj,Ž,Hercegovačko-neretvanska županija,Živorođeni,842
2007,Broj,Ž,Zapadno-hercegovačka županija,Živorođeni,336
2007,Broj,Ž,Sarajevska županija,Živorođeni,2083
2007,Broj,Ž,Županija 10,Živorođeni,226
2008,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,22819
2008,Broj,Ukupno,Unsko-sanska županija,Živorođeni,2990
2008,Broj,Ukupno,Posavska županija,Živorođeni,251
2008,Broj,Ukupno,Tuzlanska županija,Živorođeni,4801
2008,Broj,Ukupno,Zeničko-dobojska županija,Živorođeni,4253
2008,Broj,Ukupno,Bosansko-podrinjska županija,Živorođeni,210
2008,Broj,Ukupno,Srednjobosanska županija,Živorođeni,2564
2008,Broj,Ukupno,Hercegovačko-neretvanska županija,Živorođeni,1916
2008,Broj,Ukupno,Zapadno-hercegovačka županija,Živorođeni,751
2008,Broj,Ukupno,Sarajevska županija,Živorođeni,4621
2008,Broj,Ukupno,Županija 10,Živorođeni,462
2008,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,11682
2008,Broj,M,Unsko-sanska županija,Živorođeni,1481
2008,Broj,M,Posavska županija,Živorođeni,127
2008,Broj,M,Tuzlanska županija,Živorođeni,2440
2008,Broj,M,Zeničko-dobojska županija,Živorođeni,2187
2008,Broj,M,Bosansko-podrinjska županija,Živorođeni,119
2008,Broj,M,Srednjobosanska županija,Živorođeni,1322
2008,Broj,M,Hercegovačko-neretvanska županija,Živorođeni,1015
2008,Broj,M,Zapadno-hercegovačka županija,Živorođeni,381
2008,Broj,M,Sarajevska županija,Živorođeni,2373
2008,Broj,M,Županija 10,Živorođeni,237
2008,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,11137
2008,Broj,Ž,Unsko-sanska županija,Živorođeni,1509
2008,Broj,Ž,Posavska županija,Živorođeni,124
2008,Broj,Ž,Tuzlanska županija,Živorođeni,2361
2008,Broj,Ž,Zeničko-dobojska županija,Živorođeni,2066
2008,Broj,Ž,Bosansko-podrinjska županija,Živorođeni,91
2008,Broj,Ž,Srednjobosanska županija,Živorođeni,1242
2008,Broj,Ž,Hercegovačko-neretvanska županija,Živorođeni,901
2008,Broj,Ž,Zapadno-hercegovačka županija,Živorođeni,370
2008,Broj,Ž,Sarajevska županija,Živorođeni,2248
2008,Broj,Ž,Županija 10,Živorođeni,225
2009,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,22807
2009,Broj,Ukupno,Unsko-sanska županija,Živorođeni,2842
