Year,UNIT_MEASURE,Administrativna oblast,Spol,Value
2011,Broj,Županija Tuzlanska,Ž,
2012,Broj,Županija Tuzlanska,Ž,
2013,Broj,Županija Tuzlanska,Ž,
2014,Broj,Županija Tuzlanska,Ž,
2015,Broj,Županija Tuzlanska,Ž,
2016,Broj,Županija Tuzlanska,Ž,
2017,Broj,Županija Tuzlanska,Ž,
2018,Broj,Županija Tuzlanska,Ž,
2010,Broj,Županija Zeničko-dobojska,Oba spola,
2011,Broj,Županija Zeničko-dobojska,Oba spola,
2012,Broj,Županija Zeničko-dobojska,Oba spola,
2013,Broj,Županija Zeničko-dobojska,Oba spola,
2014,Broj,Županija Zeničko-dobojska,Oba spola,
2015,Broj,Županija Zeničko-dobojska,Oba spola,
2016,Broj,Županija Zeničko-dobojska,Oba spola,
2017,Broj,Županija Zeničko-dobojska,Oba spola,
2018,Broj,Županija Zeničko-dobojska,Oba spola,
2010,Broj,Županija Zeničko-dobojska,M,
2011,Broj,Županija Zeničko-dobojska,M,
2012,Broj,Županija Zeničko-dobojska,M,
2013,Broj,Županija Zeničko-dobojska,M,
2014,Broj,Županija Zeničko-dobojska,M,
2015,Broj,Županija Zeničko-dobojska,M,
2016,Broj,Županija Zeničko-dobojska,M,
2017,Broj,Županija Zeničko-dobojska,M,
2018,Broj,Županija Zeničko-dobojska,M,
2010,Broj,Županija Zeničko-dobojska,Ž,
2011,Broj,Županija Zeničko-dobojska,Ž,
2012,Broj,Županija Zeničko-dobojska,Ž,
2013,Broj,Županija Zeničko-dobojska,Ž,
2014,Broj,Županija Zeničko-dobojska,Ž,
2015,Broj,Županija Zeničko-dobojska,Ž,
2016,Broj,Županija Zeničko-dobojska,Ž,
2017,Broj,Županija Zeničko-dobojska,Ž,
2018,Broj,Županija Zeničko-dobojska,Ž,
2010,Broj,Županija Bosansko-podrinjska,Oba spola,
2011,Broj,Županija Bosansko-podrinjska,Oba spola,
2012,Broj,Županija Bosansko-podrinjska,Oba spola,
2013,Broj,Županija Bosansko-podrinjska,Oba spola,
2014,Broj,Županija Bosansko-podrinjska,Oba spola,
2015,Broj,Županija Bosansko-podrinjska,Oba spola,
2016,Broj,Županija Bosansko-podrinjska,Oba spola,
2017,Broj,Županija Bosansko-podrinjska,Oba spola,
2018,Broj,Županija Bosansko-podrinjska,Oba spola,
2010,Broj,Županija Bosansko-podrinjska,M,
2011,Broj,Županija Bosansko-podrinjska,M,
2012,Broj,Županija Bosansko-podrinjska,M,
2013,Broj,Županija Bosansko-podrinjska,M,
2014,Broj,Županija Bosansko-podrinjska,M,
2015,Broj,Županija Bosansko-podrinjska,M,
2016,Broj,Županija Bosansko-podrinjska,M,
2017,Broj,Županija Bosansko-podrinjska,M,
2018,Broj,Županija Bosansko-podrinjska,M,
2010,Broj,Županija Bosansko-podrinjska,Ž,
2011,Broj,Županija Bosansko-podrinjska,Ž,
2012,Broj,Županija Bosansko-podrinjska,Ž,
2013,Broj,Županija Bosansko-podrinjska,Ž,
2014,Broj,Županija Bosansko-podrinjska,Ž,
2015,Broj,Županija Bosansko-podrinjska,Ž,
2016,Broj,Županija Bosansko-podrinjska,Ž,
2017,Broj,Županija Bosansko-podrinjska,Ž,
2018,Broj,Županija Bosansko-podrinjska,Ž,
2010,Broj,Županija Srednjobosanska,Oba spola,
2011,Broj,Županija Srednjobosanska,Oba spola,
2012,Broj,Županija Srednjobosanska,Oba spola,
2013,Broj,Županija Srednjobosanska,Oba spola,
2014,Broj,Županija Srednjobosanska,Oba spola,
2015,Broj,Županija Srednjobosanska,Oba spola,
2016,Broj,Županija Srednjobosanska,Oba spola,
2017,Broj,Županija Srednjobosanska,Oba spola,
2018,Broj,Županija Srednjobosanska,Oba spola,
2010,Broj,Županija Srednjobosanska,M,
2011,Broj,Županija Srednjobosanska,M,
2012,Broj,Županija Srednjobosanska,M,
2013,Broj,Županija Srednjobosanska,M,
2014,Broj,Županija Srednjobosanska,M,
2015,Broj,Županija Srednjobosanska,M,
2016,Broj,Županija Srednjobosanska,M,
2017,Broj,Županija Srednjobosanska,M,
2018,Broj,Županija Srednjobosanska,M,
2010,Broj,Županija Srednjobosanska,Ž,
2011,Broj,Županija Srednjobosanska,Ž,
2012,Broj,Županija Srednjobosanska,Ž,
2013,Broj,Županija Srednjobosanska,Ž,
2014,Broj,Županija Srednjobosanska,Ž,
2015,Broj,Županija Srednjobosanska,Ž,
2016,Broj,Županija Srednjobosanska,Ž,
2017,Broj,Županija Srednjobosanska,Ž,
2018,Broj,Županija Srednjobosanska,Ž,
2010,Broj,Županija Hercegovačko-neretvanska,Oba spola,
2011,Broj,Županija Hercegovačko-neretvanska,Oba spola,
2012,Broj,Županija Hercegovačko-neretvanska,Oba spola,
2013,Broj,Županija Hercegovačko-neretvanska,Oba spola,
2014,Broj,Županija Hercegovačko-neretvanska,Oba spola,
2015,Broj,Županija Hercegovačko-neretvanska,Oba spola,
2016,Broj,Županija Hercegovačko-neretvanska,Oba spola,
2017,Broj,Županija Hercegovačko-neretvanska,Oba spola,
2018,Broj,Županija Hercegovačko-neretvanska,Oba spola,
2010,Broj,Županija Hercegovačko-neretvanska,M,
2011,Broj,Županija Hercegovačko-neretvanska,M,
2012,Broj,Županija Hercegovačko-neretvanska,M,
2013,Broj,Županija Hercegovačko-neretvanska,M,
2014,Broj,Županija Hercegovačko-neretvanska,M,
2015,Broj,Županija Hercegovačko-neretvanska,M,
2016,Broj,Županija Hercegovačko-neretvanska,M,
2017,Broj,Županija Hercegovačko-neretvanska,M,
2018,Broj,Županija Hercegovačko-neretvanska,M,
2010,Broj,Županija Hercegovačko-neretvanska,Ž,
2011,Broj,Županija Hercegovačko-neretvanska,Ž,
2012,Broj,Županija Hercegovačko-neretvanska,Ž,
2013,Broj,Županija Hercegovačko-neretvanska,Ž,
2014,Broj,Županija Hercegovačko-neretvanska,Ž,
2015,Broj,Županija Hercegovačko-neretvanska,Ž,
2016,Broj,Županija Hercegovačko-neretvanska,Ž,
2017,Broj,Županija Hercegovačko-neretvanska,Ž,
2018,Broj,Županija Hercegovačko-neretvanska,Ž,
2010,Broj,Županija Zapadno-hercegovačka,Oba spola,
2011,Broj,Županija Zapadno-hercegovačka,Oba spola,
2012,Broj,Županija Zapadno-hercegovačka,Oba spola,
2013,Broj,Županija Zapadno-hercegovačka,Oba spola,
2014,Broj,Županija Zapadno-hercegovačka,Oba spola,
2015,Broj,Županija Zapadno-hercegovačka,Oba spola,
2016,Broj,Županija Zapadno-hercegovačka,Oba spola,
2017,Broj,Županija Zapadno-hercegovačka,Oba spola,
2018,Broj,Županija Zapadno-hercegovačka,Oba spola,
2010,Broj,Županija Zapadno-hercegovačka,M,
2011,Broj,Županija Zapadno-hercegovačka,M,
2012,Broj,Županija Zapadno-hercegovačka,M,
2013,Broj,Županija Zapadno-hercegovačka,M,
2014,Broj,Županija Zapadno-hercegovačka,M,
2015,Broj,Županija Zapadno-hercegovačka,M,
2016,Broj,Županija Zapadno-hercegovačka,M,
2017,Broj,Županija Zapadno-hercegovačka,M,
2018,Broj,Županija Zapadno-hercegovačka,M,
2010,Broj,Županija Zapadno-hercegovačka,Ž,
2011,Broj,Županija Zapadno-hercegovačka,Ž,
2012,Broj,Županija Zapadno-hercegovačka,Ž,
2013,Broj,Županija Zapadno-hercegovačka,Ž,
2014,Broj,Županija Zapadno-hercegovačka,Ž,
2015,Broj,Županija Zapadno-hercegovačka,Ž,
2016,Broj,Županija Zapadno-hercegovačka,Ž,
2017,Broj,Županija Zapadno-hercegovačka,Ž,
2018,Broj,Županija Zapadno-hercegovačka,Ž,
2010,Broj,Sarajevska županija,Oba spola,
2011,Broj,Sarajevska županija,Oba spola,
2012,Broj,Sarajevska županija,Oba spola,
2013,Broj,Sarajevska županija,Oba spola,
2014,Broj,Sarajevska županija,Oba spola,
2015,Broj,Sarajevska županija,Oba spola,
2016,Broj,Sarajevska županija,Oba spola,
2017,Broj,Sarajevska županija,Oba spola,
2018,Broj,Sarajevska županija,Oba spola,
2010,Broj,Sarajevska županija,M,
2011,Broj,Sarajevska županija,M,
2012,Broj,Sarajevska županija,M,
2013,Broj,Sarajevska županija,M,
2014,Broj,Sarajevska županija,M,
2015,Broj,Sarajevska županija,M,
2016,Broj,Sarajevska županija,M,
2017,Broj,Sarajevska županija,M,
2018,Broj,Sarajevska županija,M,
2010,Broj,Sarajevska županija,Ž,
2011,Broj,Sarajevska županija,Ž,
2012,Broj,Sarajevska županija,Ž,
2013,Broj,Sarajevska županija,Ž,
2014,Broj,Sarajevska županija,Ž,
2015,Broj,Sarajevska županija,Ž,
2016,Broj,Sarajevska županija,Ž,
2017,Broj,Sarajevska županija,Ž,
2018,Broj,Sarajevska županija,Ž,
2010,Broj,Županija 10,Oba spola,
2011,Broj,Županija 10,Oba spola,
2012,Broj,Županija 10,Oba spola,
2013,Broj,Županija 10,Oba spola,
2014,Broj,Županija 10,Oba spola,
2015,Broj,Županija 10,Oba spola,
2016,Broj,Županija 10,Oba spola,
2017,Broj,Županija 10,Oba spola,
2018,Broj,Županija 10,Oba spola,
2010,Broj,Županija 10,M,
2011,Broj,Županija 10,M,
2012,Broj,Županija 10,M,
2013,Broj,Županija 10,M,
2014,Broj,Županija 10,M,
2015,Broj,Županija 10,M,
2016,Broj,Županija 10,M,
2017,Broj,Županija 10,M,
2018,Broj,Županija 10,M,
2010,Broj,Županija 10,Ž,
2011,Broj,Županija 10,Ž,
2012,Broj,Županija 10,Ž,
2013,Broj,Županija 10,Ž,
2014,Broj,Županija 10,Ž,
2015,Broj,Županija 10,Ž,
2016,Broj,Županija 10,Ž,
2017,Broj,Županija 10,Ž,
2018,Broj,Županija 10,Ž,
