Year,UNIT_MEASURE,Administrativna jedinica,Vrsta obrazovanja,Spol,Value
2016,Broj,Tuzlanska županija,masters,Ž,
2017,Broj,Tuzlanska županija,masters,Oba spola,
2017,Broj,Tuzlanska županija,masters,M,
2017,Broj,Tuzlanska županija,masters,Ž,
2018,Broj,Tuzlanska županija,masters,Oba spola,
2018,Broj,Tuzlanska županija,masters,M,
2018,Broj,Tuzlanska županija,masters,Ž,
2019,Broj,Tuzlanska županija,masters,Oba spola,
2019,Broj,Tuzlanska županija,masters,M,
2019,Broj,Tuzlanska županija,masters,Ž,
2020,Broj,Tuzlanska županija,masters,Oba spola,
2020,Broj,Tuzlanska županija,masters,M,
2020,Broj,Tuzlanska županija,masters,Ž,
2016,Broj,Tuzlanska županija,specialists,Oba spola,
2016,Broj,Tuzlanska županija,specialists,M,
2016,Broj,Tuzlanska županija,specialists,Ž,
2017,Broj,Tuzlanska županija,specialists,Oba spola,
2017,Broj,Tuzlanska županija,specialists,M,
2017,Broj,Tuzlanska županija,specialists,Ž,
2018,Broj,Tuzlanska županija,specialists,Oba spola,
2018,Broj,Tuzlanska županija,specialists,M,
2018,Broj,Tuzlanska županija,specialists,Ž,
2019,Broj,Tuzlanska županija,specialists,Oba spola,
2019,Broj,Tuzlanska županija,specialists,M,
2019,Broj,Tuzlanska županija,specialists,Ž,
2020,Broj,Tuzlanska županija,specialists,Oba spola,
2020,Broj,Tuzlanska županija,specialists,M,
2020,Broj,Tuzlanska županija,specialists,Ž,
2016,Broj,Unsko-sanska županija,masters_of_science,Oba spola,
2016,Broj,Unsko-sanska županija,masters_of_science,M,
2016,Broj,Unsko-sanska županija,masters_of_science,Ž,
2017,Broj,Unsko-sanska županija,masters_of_science,Oba spola,
2017,Broj,Unsko-sanska županija,masters_of_science,M,
2017,Broj,Unsko-sanska županija,masters_of_science,Ž,
2018,Broj,Unsko-sanska županija,masters_of_science,Oba spola,
2018,Broj,Unsko-sanska županija,masters_of_science,M,
2018,Broj,Unsko-sanska županija,masters_of_science,Ž,
2019,Broj,Unsko-sanska županija,masters_of_science,Oba spola,
2019,Broj,Unsko-sanska županija,masters_of_science,M,
2019,Broj,Unsko-sanska županija,masters_of_science,Ž,
2020,Broj,Unsko-sanska županija,masters_of_science,Oba spola,
2020,Broj,Unsko-sanska županija,masters_of_science,M,
2020,Broj,Unsko-sanska županija,masters_of_science,Ž,
2016,Broj,Unsko-sanska županija,masters,Oba spola,
2016,Broj,Unsko-sanska županija,masters,M,
2016,Broj,Unsko-sanska županija,masters,Ž,
2017,Broj,Unsko-sanska županija,masters,Oba spola,
2017,Broj,Unsko-sanska županija,masters,M,
2017,Broj,Unsko-sanska županija,masters,Ž,
2018,Broj,Unsko-sanska županija,masters,Oba spola,
2018,Broj,Unsko-sanska županija,masters,M,
2018,Broj,Unsko-sanska županija,masters,Ž,
2019,Broj,Unsko-sanska županija,masters,Oba spola,
2019,Broj,Unsko-sanska županija,masters,M,
2019,Broj,Unsko-sanska županija,masters,Ž,
2020,Broj,Unsko-sanska županija,masters,Oba spola,
2020,Broj,Unsko-sanska županija,masters,M,
2020,Broj,Unsko-sanska županija,masters,Ž,
2016,Broj,Unsko-sanska županija,specialists,Oba spola,
2016,Broj,Unsko-sanska županija,specialists,M,
2016,Broj,Unsko-sanska županija,specialists,Ž,
2017,Broj,Unsko-sanska županija,specialists,Oba spola,
2017,Broj,Unsko-sanska županija,specialists,M,
2017,Broj,Unsko-sanska županija,specialists,Ž,
2018,Broj,Unsko-sanska županija,specialists,Oba spola,
2018,Broj,Unsko-sanska županija,specialists,M,
2018,Broj,Unsko-sanska županija,specialists,Ž,
2019,Broj,Unsko-sanska županija,specialists,Oba spola,
2019,Broj,Unsko-sanska županija,specialists,M,
2019,Broj,Unsko-sanska županija,specialists,Ž,
2020,Broj,Unsko-sanska županija,specialists,Oba spola,
2020,Broj,Unsko-sanska županija,specialists,M,
2020,Broj,Unsko-sanska županija,specialists,Ž,
2016,Broj,Zeničko-dobojska županija,masters_of_science,Oba spola,
2016,Broj,Zeničko-dobojska županija,masters_of_science,M,
2016,Broj,Zeničko-dobojska županija,masters_of_science,Ž,
2017,Broj,Zeničko-dobojska županija,masters_of_science,Oba spola,
2017,Broj,Zeničko-dobojska županija,masters_of_science,M,
2017,Broj,Zeničko-dobojska županija,masters_of_science,Ž,
2018,Broj,Zeničko-dobojska županija,masters_of_science,Oba spola,
2018,Broj,Zeničko-dobojska županija,masters_of_science,M,
2018,Broj,Zeničko-dobojska županija,masters_of_science,Ž,
2019,Broj,Zeničko-dobojska županija,masters_of_science,Oba spola,
2019,Broj,Zeničko-dobojska županija,masters_of_science,M,
2019,Broj,Zeničko-dobojska županija,masters_of_science,Ž,
2020,Broj,Zeničko-dobojska županija,masters_of_science,Oba spola,
2020,Broj,Zeničko-dobojska županija,masters_of_science,M,
2020,Broj,Zeničko-dobojska županija,masters_of_science,Ž,
2016,Broj,Zeničko-dobojska županija,masters,Oba spola,
2016,Broj,Zeničko-dobojska županija,masters,M,
2016,Broj,Zeničko-dobojska županija,masters,Ž,
2017,Broj,Zeničko-dobojska županija,masters,Oba spola,
2017,Broj,Zeničko-dobojska županija,masters,M,
2017,Broj,Zeničko-dobojska županija,masters,Ž,
2018,Broj,Zeničko-dobojska županija,masters,Oba spola,
2018,Broj,Zeničko-dobojska županija,masters,M,
2018,Broj,Zeničko-dobojska županija,masters,Ž,
2019,Broj,Zeničko-dobojska županija,masters,Oba spola,
2019,Broj,Zeničko-dobojska županija,masters,M,
2019,Broj,Zeničko-dobojska županija,masters,Ž,
2020,Broj,Zeničko-dobojska županija,masters,Oba spola,
2020,Broj,Zeničko-dobojska županija,masters,M,
2020,Broj,Zeničko-dobojska županija,masters,Ž,
2016,Broj,Zeničko-dobojska županija,specialists,Oba spola,
2016,Broj,Zeničko-dobojska županija,specialists,M,
2016,Broj,Zeničko-dobojska županija,specialists,Ž,
2017,Broj,Zeničko-dobojska županija,specialists,Oba spola,
2017,Broj,Zeničko-dobojska županija,specialists,M,
2017,Broj,Zeničko-dobojska županija,specialists,Ž,
2018,Broj,Zeničko-dobojska županija,specialists,Oba spola,
2018,Broj,Zeničko-dobojska županija,specialists,M,
2018,Broj,Zeničko-dobojska županija,specialists,Ž,
2019,Broj,Zeničko-dobojska županija,specialists,Oba spola,
2019,Broj,Zeničko-dobojska županija,specialists,M,
2019,Broj,Zeničko-dobojska županija,specialists,Ž,
2020,Broj,Zeničko-dobojska županija,specialists,Oba spola,
2020,Broj,Zeničko-dobojska županija,specialists,M,
2020,Broj,Zeničko-dobojska županija,specialists,Ž,
2016,Broj,Bosansko-podrinjska županija,masters_of_science,Oba spola,
2016,Broj,Bosansko-podrinjska županija,masters_of_science,M,
2016,Broj,Bosansko-podrinjska županija,masters_of_science,Ž,
2017,Broj,Bosansko-podrinjska županija,masters_of_science,Oba spola,
2017,Broj,Bosansko-podrinjska županija,masters_of_science,M,
2017,Broj,Bosansko-podrinjska županija,masters_of_science,Ž,
2018,Broj,Bosansko-podrinjska županija,masters_of_science,Oba spola,
2018,Broj,Bosansko-podrinjska županija,masters_of_science,M,
2018,Broj,Bosansko-podrinjska županija,masters_of_science,Ž,
2019,Broj,Bosansko-podrinjska županija,masters_of_science,Oba spola,
2019,Broj,Bosansko-podrinjska županija,masters_of_science,M,
2019,Broj,Bosansko-podrinjska županija,masters_of_science,Ž,
2020,Broj,Bosansko-podrinjska županija,masters_of_science,Oba spola,
2020,Broj,Bosansko-podrinjska županija,masters_of_science,M,
2020,Broj,Bosansko-podrinjska županija,masters_of_science,Ž,
2016,Broj,Bosansko-podrinjska županija,masters,Oba spola,
2016,Broj,Bosansko-podrinjska županija,masters,M,
2016,Broj,Bosansko-podrinjska županija,masters,Ž,
2017,Broj,Bosansko-podrinjska županija,masters,Oba spola,
2017,Broj,Bosansko-podrinjska županija,masters,M,
2017,Broj,Bosansko-podrinjska županija,masters,Ž,
2018,Broj,Bosansko-podrinjska županija,masters,Oba spola,
2018,Broj,Bosansko-podrinjska županija,masters,M,
2018,Broj,Bosansko-podrinjska županija,masters,Ž,
2019,Broj,Bosansko-podrinjska županija,masters,Oba spola,
2019,Broj,Bosansko-podrinjska županija,masters,M,
2019,Broj,Bosansko-podrinjska županija,masters,Ž,
2020,Broj,Bosansko-podrinjska županija,masters,Oba spola,
2020,Broj,Bosansko-podrinjska županija,masters,M,
2020,Broj,Bosansko-podrinjska županija,masters,Ž,
2016,Broj,Bosansko-podrinjska županija,specialists,Oba spola,
2016,Broj,Bosansko-podrinjska županija,specialists,M,
2016,Broj,Bosansko-podrinjska županija,specialists,Ž,
2017,Broj,Bosansko-podrinjska županija,specialists,Oba spola,
2017,Broj,Bosansko-podrinjska županija,specialists,M,
2017,Broj,Bosansko-podrinjska županija,specialists,Ž,
2018,Broj,Bosansko-podrinjska županija,specialists,Oba spola,
2018,Broj,Bosansko-podrinjska županija,specialists,M,
2018,Broj,Bosansko-podrinjska županija,specialists,Ž,
2019,Broj,Bosansko-podrinjska županija,specialists,Oba spola,
2019,Broj,Bosansko-podrinjska županija,specialists,M,
2019,Broj,Bosansko-podrinjska županija,specialists,Ž,
2020,Broj,Bosansko-podrinjska županija,specialists,Oba spola,
2020,Broj,Bosansko-podrinjska županija,specialists,M,
2020,Broj,Bosansko-podrinjska županija,specialists,Ž,
2016,Broj,Srednjobosanska županija,masters_of_science,Oba spola,
2016,Broj,Srednjobosanska županija,masters_of_science,M,
2016,Broj,Srednjobosanska županija,masters_of_science,Ž,
2017,Broj,Srednjobosanska županija,masters_of_science,Oba spola,
2017,Broj,Srednjobosanska županija,masters_of_science,M,
2017,Broj,Srednjobosanska županija,masters_of_science,Ž,
2018,Broj,Srednjobosanska županija,masters_of_science,Oba spola,
2018,Broj,Srednjobosanska županija,masters_of_science,M,
2018,Broj,Srednjobosanska županija,masters_of_science,Ž,
2019,Broj,Srednjobosanska županija,masters_of_science,Oba spola,
2019,Broj,Srednjobosanska županija,masters_of_science,M,
2019,Broj,Srednjobosanska županija,masters_of_science,Ž,
2020,Broj,Srednjobosanska županija,masters_of_science,Oba spola,
2020,Broj,Srednjobosanska županija,masters_of_science,M,
2020,Broj,Srednjobosanska županija,masters_of_science,Ž,
2016,Broj,Srednjobosanska županija,masters,Oba spola,
2016,Broj,Srednjobosanska županija,masters,M,
2016,Broj,Srednjobosanska županija,masters,Ž,
2017,Broj,Srednjobosanska županija,masters,Oba spola,
2017,Broj,Srednjobosanska županija,masters,M,
2017,Broj,Srednjobosanska županija,masters,Ž,
2018,Broj,Srednjobosanska županija,masters,Oba spola,
2018,Broj,Srednjobosanska županija,masters,M,
2018,Broj,Srednjobosanska županija,masters,Ž,
2019,Broj,Srednjobosanska županija,masters,Oba spola,
2019,Broj,Srednjobosanska županija,masters,M,
2019,Broj,Srednjobosanska županija,masters,Ž,
2020,Broj,Srednjobosanska županija,masters,Oba spola,
2020,Broj,Srednjobosanska županija,masters,M,
2020,Broj,Srednjobosanska županija,masters,Ž,
2016,Broj,Srednjobosanska županija,specialists,Oba spola,
2016,Broj,Srednjobosanska županija,specialists,M,
2016,Broj,Srednjobosanska županija,specialists,Ž,
2017,Broj,Srednjobosanska županija,specialists,Oba spola,
2017,Broj,Srednjobosanska županija,specialists,M,
2017,Broj,Srednjobosanska županija,specialists,Ž,
2018,Broj,Srednjobosanska županija,specialists,Oba spola,
2018,Broj,Srednjobosanska županija,specialists,M,
2018,Broj,Srednjobosanska županija,specialists,Ž,
2019,Broj,Srednjobosanska županija,specialists,Oba spola,
2019,Broj,Srednjobosanska županija,specialists,M,
2019,Broj,Srednjobosanska županija,specialists,Ž,
2020,Broj,Srednjobosanska županija,specialists,Oba spola,
2020,Broj,Srednjobosanska županija,specialists,M,
2020,Broj,Srednjobosanska županija,specialists,Ž,
2016,Broj,Hercegovačko-neretvanska županija,masters_of_science,Oba spola,
2016,Broj,Hercegovačko-neretvanska županija,masters_of_science,M,
2016,Broj,Hercegovačko-neretvanska županija,masters_of_science,Ž,
2017,Broj,Hercegovačko-neretvanska županija,masters_of_science,Oba spola,
2017,Broj,Hercegovačko-neretvanska županija,masters_of_science,M,
2017,Broj,Hercegovačko-neretvanska županija,masters_of_science,Ž,
2018,Broj,Hercegovačko-neretvanska županija,masters_of_science,Oba spola,
2018,Broj,Hercegovačko-neretvanska županija,masters_of_science,M,
2018,Broj,Hercegovačko-neretvanska županija,masters_of_science,Ž,
2019,Broj,Hercegovačko-neretvanska županija,masters_of_science,Oba spola,
2019,Broj,Hercegovačko-neretvanska županija,masters_of_science,M,
2019,Broj,Hercegovačko-neretvanska županija,masters_of_science,Ž,
2020,Broj,Hercegovačko-neretvanska županija,masters_of_science,Oba spola,
2020,Broj,Hercegovačko-neretvanska županija,masters_of_science,M,
2020,Broj,Hercegovačko-neretvanska županija,masters_of_science,Ž,
2016,Broj,Hercegovačko-neretvanska županija,masters,Oba spola,
2016,Broj,Hercegovačko-neretvanska županija,masters,M,
2016,Broj,Hercegovačko-neretvanska županija,masters,Ž,
2017,Broj,Hercegovačko-neretvanska županija,masters,Oba spola,
2017,Broj,Hercegovačko-neretvanska županija,masters,M,
2017,Broj,Hercegovačko-neretvanska županija,masters,Ž,
2018,Broj,Hercegovačko-neretvanska županija,masters,Oba spola,
2018,Broj,Hercegovačko-neretvanska županija,masters,M,
2018,Broj,Hercegovačko-neretvanska županija,masters,Ž,
2019,Broj,Hercegovačko-neretvanska županija,masters,Oba spola,
2019,Broj,Hercegovačko-neretvanska županija,masters,M,
2019,Broj,Hercegovačko-neretvanska županija,masters,Ž,
2020,Broj,Hercegovačko-neretvanska županija,masters,Oba spola,
2020,Broj,Hercegovačko-neretvanska županija,masters,M,
2020,Broj,Hercegovačko-neretvanska županija,masters,Ž,
2016,Broj,Hercegovačko-neretvanska županija,specialists,Oba spola,
2016,Broj,Hercegovačko-neretvanska županija,specialists,M,
2016,Broj,Hercegovačko-neretvanska županija,specialists,Ž,
2017,Broj,Hercegovačko-neretvanska županija,specialists,Oba spola,
2017,Broj,Hercegovačko-neretvanska županija,specialists,M,
2017,Broj,Hercegovačko-neretvanska županija,specialists,Ž,
2018,Broj,Hercegovačko-neretvanska županija,specialists,Oba spola,
2018,Broj,Hercegovačko-neretvanska županija,specialists,M,
2018,Broj,Hercegovačko-neretvanska županija,specialists,Ž,
2019,Broj,Hercegovačko-neretvanska županija,specialists,Oba spola,
2019,Broj,Hercegovačko-neretvanska županija,specialists,M,
2019,Broj,Hercegovačko-neretvanska županija,specialists,Ž,
2020,Broj,Hercegovačko-neretvanska županija,specialists,Oba spola,
2020,Broj,Hercegovačko-neretvanska županija,specialists,M,
2020,Broj,Hercegovačko-neretvanska županija,specialists,Ž,
2016,Broj,Sarajevska županija,masters_of_science,Oba spola,
2016,Broj,Sarajevska županija,masters_of_science,M,
2016,Broj,Sarajevska županija,masters_of_science,Ž,
2017,Broj,Sarajevska županija,masters_of_science,Oba spola,
2017,Broj,Sarajevska županija,masters_of_science,M,
2017,Broj,Sarajevska županija,masters_of_science,Ž,
2018,Broj,Sarajevska županija,masters_of_science,Oba spola,
2018,Broj,Sarajevska županija,masters_of_science,M,
2018,Broj,Sarajevska županija,masters_of_science,Ž,
2019,Broj,Sarajevska županija,masters_of_science,Oba spola,
2019,Broj,Sarajevska županija,masters_of_science,M,
2019,Broj,Sarajevska županija,masters_of_science,Ž,
2020,Broj,Sarajevska županija,masters_of_science,Oba spola,
2020,Broj,Sarajevska županija,masters_of_science,M,
2020,Broj,Sarajevska županija,masters_of_science,Ž,
2016,Broj,Sarajevska županija,masters,Oba spola,
2016,Broj,Sarajevska županija,masters,M,
2016,Broj,Sarajevska županija,masters,Ž,
2017,Broj,Sarajevska županija,masters,Oba spola,
2017,Broj,Sarajevska županija,masters,M,
2017,Broj,Sarajevska županija,masters,Ž,
2018,Broj,Sarajevska županija,masters,Oba spola,
2018,Broj,Sarajevska županija,masters,M,
2018,Broj,Sarajevska županija,masters,Ž,
2019,Broj,Sarajevska županija,masters,Oba spola,
2019,Broj,Sarajevska županija,masters,M,
2019,Broj,Sarajevska županija,masters,Ž,
2020,Broj,Sarajevska županija,masters,Oba spola,
2020,Broj,Sarajevska županija,masters,M,
2020,Broj,Sarajevska županija,masters,Ž,
2016,Broj,Sarajevska županija,specialists,Oba spola,
2016,Broj,Sarajevska županija,specialists,M,
2016,Broj,Sarajevska županija,specialists,Ž,
2017,Broj,Sarajevska županija,specialists,Oba spola,
2017,Broj,Sarajevska županija,specialists,M,
2017,Broj,Sarajevska županija,specialists,Ž,
2018,Broj,Sarajevska županija,specialists,Oba spola,
2018,Broj,Sarajevska županija,specialists,M,
2018,Broj,Sarajevska županija,specialists,Ž,
2019,Broj,Sarajevska županija,specialists,Oba spola,
2019,Broj,Sarajevska županija,specialists,M,
2019,Broj,Sarajevska županija,specialists,Ž,
2020,Broj,Sarajevska županija,specialists,Oba spola,
2020,Broj,Sarajevska županija,specialists,M,
2020,Broj,Sarajevska županija,specialists,Ž,
