Year,UNIT_MEASURE,Administrativna jedinica,Vrsta škole,Value
2016,Broj,Zeničko-dobojska županija,Srednje škole za djecu s poteškoćama u razvitku,
2017,Broj,Zeničko-dobojska županija,Gimnazija,
2017,Broj,Zeničko-dobojska županija,Tehničke škole,
2017,Broj,Zeničko-dobojska županija,Stručne škole,
2017,Broj,Zeničko-dobojska županija,Umjetničke škole,
2017,Broj,Zeničko-dobojska županija,Vjerske škole,
2017,Broj,Zeničko-dobojska županija,Srednje škole za djecu s poteškoćama u razvitku,
2018,Broj,Zeničko-dobojska županija,Gimnazija,
2018,Broj,Zeničko-dobojska županija,Tehničke škole,
2018,Broj,Zeničko-dobojska županija,Stručne škole,
2018,Broj,Zeničko-dobojska županija,Umjetničke škole,
2018,Broj,Zeničko-dobojska županija,Vjerske škole,
2018,Broj,Zeničko-dobojska županija,Srednje škole za djecu s poteškoćama u razvitku,
2019,Broj,Zeničko-dobojska županija,Gimnazija,
2019,Broj,Zeničko-dobojska županija,Tehničke škole,
2019,Broj,Zeničko-dobojska županija,Stručne škole,
2019,Broj,Zeničko-dobojska županija,Umjetničke škole,
2019,Broj,Zeničko-dobojska županija,Vjerske škole,
2019,Broj,Zeničko-dobojska županija,Srednje škole za djecu s poteškoćama u razvitku,
2020,Broj,Zeničko-dobojska županija,Gimnazija,
2020,Broj,Zeničko-dobojska županija,Tehničke škole,
2020,Broj,Zeničko-dobojska županija,Stručne škole,
2020,Broj,Zeničko-dobojska županija,Umjetničke škole,
2020,Broj,Zeničko-dobojska županija,Vjerske škole,
2020,Broj,Zeničko-dobojska županija,Srednje škole za djecu s poteškoćama u razvitku,
2016,Broj,Bosansko-podrinjska županija,Gimnazija,
2016,Broj,Bosansko-podrinjska županija,Tehničke škole,
2016,Broj,Bosansko-podrinjska županija,Stručne škole,
2016,Broj,Bosansko-podrinjska županija,Umjetničke škole,
2016,Broj,Bosansko-podrinjska županija,Vjerske škole,
2016,Broj,Bosansko-podrinjska županija,Srednje škole za djecu s poteškoćama u razvitku,
2017,Broj,Bosansko-podrinjska županija,Gimnazija,
2017,Broj,Bosansko-podrinjska županija,Tehničke škole,
2017,Broj,Bosansko-podrinjska županija,Stručne škole,
2017,Broj,Bosansko-podrinjska županija,Umjetničke škole,
2017,Broj,Bosansko-podrinjska županija,Vjerske škole,
2017,Broj,Bosansko-podrinjska županija,Srednje škole za djecu s poteškoćama u razvitku,
2018,Broj,Bosansko-podrinjska županija,Gimnazija,
2018,Broj,Bosansko-podrinjska županija,Tehničke škole,
2018,Broj,Bosansko-podrinjska županija,Stručne škole,
2018,Broj,Bosansko-podrinjska županija,Umjetničke škole,
2018,Broj,Bosansko-podrinjska županija,Vjerske škole,
2018,Broj,Bosansko-podrinjska županija,Srednje škole za djecu s poteškoćama u razvitku,
2019,Broj,Bosansko-podrinjska županija,Gimnazija,
2019,Broj,Bosansko-podrinjska županija,Tehničke škole,
2019,Broj,Bosansko-podrinjska županija,Stručne škole,
2019,Broj,Bosansko-podrinjska županija,Umjetničke škole,
2019,Broj,Bosansko-podrinjska županija,Vjerske škole,
2019,Broj,Bosansko-podrinjska županija,Srednje škole za djecu s poteškoćama u razvitku,
2020,Broj,Bosansko-podrinjska županija,Gimnazija,
2020,Broj,Bosansko-podrinjska županija,Tehničke škole,
2020,Broj,Bosansko-podrinjska županija,Stručne škole,
2020,Broj,Bosansko-podrinjska županija,Umjetničke škole,
2020,Broj,Bosansko-podrinjska županija,Vjerske škole,
2020,Broj,Bosansko-podrinjska županija,Srednje škole za djecu s poteškoćama u razvitku,
2016,Broj,Srednjobosanska županija,Gimnazija,
2016,Broj,Srednjobosanska županija,Tehničke škole,
2016,Broj,Srednjobosanska županija,Stručne škole,
2016,Broj,Srednjobosanska županija,Umjetničke škole,
2016,Broj,Srednjobosanska županija,Vjerske škole,
2016,Broj,Srednjobosanska županija,Srednje škole za djecu s poteškoćama u razvitku,
2017,Broj,Srednjobosanska županija,Gimnazija,
2017,Broj,Srednjobosanska županija,Tehničke škole,
2017,Broj,Srednjobosanska županija,Stručne škole,
2017,Broj,Srednjobosanska županija,Umjetničke škole,
2017,Broj,Srednjobosanska županija,Vjerske škole,
2017,Broj,Srednjobosanska županija,Srednje škole za djecu s poteškoćama u razvitku,
2018,Broj,Srednjobosanska županija,Gimnazija,
2018,Broj,Srednjobosanska županija,Tehničke škole,
2018,Broj,Srednjobosanska županija,Stručne škole,
2018,Broj,Srednjobosanska županija,Umjetničke škole,
2018,Broj,Srednjobosanska županija,Vjerske škole,
2018,Broj,Srednjobosanska županija,Srednje škole za djecu s poteškoćama u razvitku,
2019,Broj,Srednjobosanska županija,Gimnazija,
2019,Broj,Srednjobosanska županija,Tehničke škole,
2019,Broj,Srednjobosanska županija,Stručne škole,
2019,Broj,Srednjobosanska županija,Umjetničke škole,
2019,Broj,Srednjobosanska županija,Vjerske škole,
2019,Broj,Srednjobosanska županija,Srednje škole za djecu s poteškoćama u razvitku,
2020,Broj,Srednjobosanska županija,Gimnazija,
2020,Broj,Srednjobosanska županija,Tehničke škole,
2020,Broj,Srednjobosanska županija,Stručne škole,
2020,Broj,Srednjobosanska županija,Umjetničke škole,
2020,Broj,Srednjobosanska županija,Vjerske škole,
2020,Broj,Srednjobosanska županija,Srednje škole za djecu s poteškoćama u razvitku,
2016,Broj,Hercegovačko-neretvanska županija,Gimnazija,
2016,Broj,Hercegovačko-neretvanska županija,Tehničke škole,
2016,Broj,Hercegovačko-neretvanska županija,Stručne škole,
2016,Broj,Hercegovačko-neretvanska županija,Umjetničke škole,
2016,Broj,Hercegovačko-neretvanska županija,Vjerske škole,
2016,Broj,Hercegovačko-neretvanska županija,Srednje škole za djecu s poteškoćama u razvitku,
2017,Broj,Hercegovačko-neretvanska županija,Gimnazija,
2017,Broj,Hercegovačko-neretvanska županija,Tehničke škole,
2017,Broj,Hercegovačko-neretvanska županija,Stručne škole,
2017,Broj,Hercegovačko-neretvanska županija,Umjetničke škole,
2017,Broj,Hercegovačko-neretvanska županija,Vjerske škole,
2017,Broj,Hercegovačko-neretvanska županija,Srednje škole za djecu s poteškoćama u razvitku,
2018,Broj,Hercegovačko-neretvanska županija,Gimnazija,
2018,Broj,Hercegovačko-neretvanska županija,Tehničke škole,
2018,Broj,Hercegovačko-neretvanska županija,Stručne škole,
2018,Broj,Hercegovačko-neretvanska županija,Umjetničke škole,
2018,Broj,Hercegovačko-neretvanska županija,Vjerske škole,
2018,Broj,Hercegovačko-neretvanska županija,Srednje škole za djecu s poteškoćama u razvitku,
2019,Broj,Hercegovačko-neretvanska županija,Gimnazija,
2019,Broj,Hercegovačko-neretvanska županija,Tehničke škole,
2019,Broj,Hercegovačko-neretvanska županija,Stručne škole,
2019,Broj,Hercegovačko-neretvanska županija,Umjetničke škole,
2019,Broj,Hercegovačko-neretvanska županija,Vjerske škole,
2019,Broj,Hercegovačko-neretvanska županija,Srednje škole za djecu s poteškoćama u razvitku,
2020,Broj,Hercegovačko-neretvanska županija,Gimnazija,
2020,Broj,Hercegovačko-neretvanska županija,Tehničke škole,
2020,Broj,Hercegovačko-neretvanska županija,Stručne škole,
2020,Broj,Hercegovačko-neretvanska županija,Umjetničke škole,
2020,Broj,Hercegovačko-neretvanska županija,Vjerske škole,
2020,Broj,Hercegovačko-neretvanska županija,Srednje škole za djecu s poteškoćama u razvitku,
2016,Broj,Zapadno-hercegovačka županija,Gimnazija,
2016,Broj,Zapadno-hercegovačka županija,Tehničke škole,
2016,Broj,Zapadno-hercegovačka županija,Stručne škole,
2016,Broj,Zapadno-hercegovačka županija,Umjetničke škole,
2016,Broj,Zapadno-hercegovačka županija,Vjerske škole,
2016,Broj,Zapadno-hercegovačka županija,Srednje škole za djecu s poteškoćama u razvitku,
2017,Broj,Zapadno-hercegovačka županija,Gimnazija,
2017,Broj,Zapadno-hercegovačka županija,Tehničke škole,
2017,Broj,Zapadno-hercegovačka županija,Stručne škole,
2017,Broj,Zapadno-hercegovačka županija,Umjetničke škole,
2017,Broj,Zapadno-hercegovačka županija,Vjerske škole,
2017,Broj,Zapadno-hercegovačka županija,Srednje škole za djecu s poteškoćama u razvitku,
2018,Broj,Zapadno-hercegovačka županija,Gimnazija,
2018,Broj,Zapadno-hercegovačka županija,Tehničke škole,
2018,Broj,Zapadno-hercegovačka županija,Stručne škole,
2018,Broj,Zapadno-hercegovačka županija,Umjetničke škole,
2018,Broj,Zapadno-hercegovačka županija,Vjerske škole,
2018,Broj,Zapadno-hercegovačka županija,Srednje škole za djecu s poteškoćama u razvitku,
2019,Broj,Zapadno-hercegovačka županija,Gimnazija,
2019,Broj,Zapadno-hercegovačka županija,Tehničke škole,
2019,Broj,Zapadno-hercegovačka županija,Stručne škole,
2019,Broj,Zapadno-hercegovačka županija,Umjetničke škole,
2019,Broj,Zapadno-hercegovačka županija,Vjerske škole,
2019,Broj,Zapadno-hercegovačka županija,Srednje škole za djecu s poteškoćama u razvitku,
2020,Broj,Zapadno-hercegovačka županija,Gimnazija,
2020,Broj,Zapadno-hercegovačka županija,Tehničke škole,
2020,Broj,Zapadno-hercegovačka županija,Stručne škole,
2020,Broj,Zapadno-hercegovačka županija,Umjetničke škole,
2020,Broj,Zapadno-hercegovačka županija,Vjerske škole,
2020,Broj,Zapadno-hercegovačka županija,Srednje škole za djecu s poteškoćama u razvitku,
2016,Broj,Sarajevska županija,Gimnazija,
2016,Broj,Sarajevska županija,Tehničke škole,
2016,Broj,Sarajevska županija,Stručne škole,
2016,Broj,Sarajevska županija,Umjetničke škole,
2016,Broj,Sarajevska županija,Vjerske škole,
2016,Broj,Sarajevska županija,Srednje škole za djecu s poteškoćama u razvitku,
2017,Broj,Sarajevska županija,Gimnazija,
2017,Broj,Sarajevska županija,Tehničke škole,
2017,Broj,Sarajevska županija,Stručne škole,
2017,Broj,Sarajevska županija,Umjetničke škole,
2017,Broj,Sarajevska županija,Vjerske škole,
2017,Broj,Sarajevska županija,Srednje škole za djecu s poteškoćama u razvitku,
2018,Broj,Sarajevska županija,Gimnazija,
2018,Broj,Sarajevska županija,Tehničke škole,
2018,Broj,Sarajevska županija,Stručne škole,
2018,Broj,Sarajevska županija,Umjetničke škole,
2018,Broj,Sarajevska županija,Vjerske škole,
2018,Broj,Sarajevska županija,Srednje škole za djecu s poteškoćama u razvitku,
2019,Broj,Sarajevska županija,Gimnazija,
2019,Broj,Sarajevska županija,Tehničke škole,
2019,Broj,Sarajevska županija,Stručne škole,
2019,Broj,Sarajevska županija,Umjetničke škole,
2019,Broj,Sarajevska županija,Vjerske škole,
2019,Broj,Sarajevska županija,Srednje škole za djecu s poteškoćama u razvitku,
2020,Broj,Sarajevska županija,Gimnazija,
2020,Broj,Sarajevska županija,Tehničke škole,
2020,Broj,Sarajevska županija,Stručne škole,
2020,Broj,Sarajevska županija,Umjetničke škole,
2020,Broj,Sarajevska županija,Vjerske škole,
2020,Broj,Sarajevska županija,Srednje škole za djecu s poteškoćama u razvitku,
2016,Broj,Županija 10,Gimnazija,
2016,Broj,Županija 10,Tehničke škole,
2016,Broj,Županija 10,Stručne škole,
2016,Broj,Županija 10,Umjetničke škole,
2016,Broj,Županija 10,Vjerske škole,
2016,Broj,Županija 10,Srednje škole za djecu s poteškoćama u razvitku,
2017,Broj,Županija 10,Gimnazija,
2017,Broj,Županija 10,Tehničke škole,
2017,Broj,Županija 10,Stručne škole,
2017,Broj,Županija 10,Umjetničke škole,
2017,Broj,Županija 10,Vjerske škole,
2017,Broj,Županija 10,Srednje škole za djecu s poteškoćama u razvitku,
2018,Broj,Županija 10,Gimnazija,
2018,Broj,Županija 10,Tehničke škole,
2018,Broj,Županija 10,Stručne škole,
2018,Broj,Županija 10,Umjetničke škole,
2018,Broj,Županija 10,Vjerske škole,
2018,Broj,Županija 10,Srednje škole za djecu s poteškoćama u razvitku,
2019,Broj,Županija 10,Gimnazija,
2019,Broj,Županija 10,Tehničke škole,
2019,Broj,Županija 10,Stručne škole,
2019,Broj,Županija 10,Umjetničke škole,
2019,Broj,Županija 10,Vjerske škole,
2019,Broj,Županija 10,Srednje škole za djecu s poteškoćama u razvitku,
2020,Broj,Županija 10,Gimnazija,
2020,Broj,Županija 10,Tehničke škole,
2020,Broj,Županija 10,Stručne škole,
2020,Broj,Županija 10,Umjetničke škole,
2020,Broj,Županija 10,Vjerske škole,
2020,Broj,Županija 10,Srednje škole za djecu s poteškoćama u razvitku,
