Year,Type_of_disability,Spol,Starosna dob,UNIT_MEASURE,Value
2013.0,walking_or_climbing_up_the_stairs,Ž,15-19,Broj,210.0
2013.0,remembering_or_concentration,Ž,15-19,Broj,34.0
2013.0,self_care,Ž,15-19,Broj,13.0
2013.0,Communication,Ž,15-19,Broj,37.0
2013.0,multiple_disabilities,Ž,15-19,Broj,429.0
2013.0,Seeing,Ž,20-29,Broj,843.0
2013.0,Hearing,Ž,20-29,Broj,147.0
2013.0,walking_or_climbing_up_the_stairs,Ž,20-29,Broj,467.0
2013.0,remembering_or_concentration,Ž,20-29,Broj,124.0
2013.0,self_care,Ž,20-29,Broj,28.0
2013.0,Communication,Ž,20-29,Broj,75.0
2013.0,multiple_disabilities,Ž,20-29,Broj,893.0
2013.0,Seeing,Ž,30-49,Broj,3528.0
2013.0,Hearing,Ž,30-49,Broj,738.0
2013.0,walking_or_climbing_up_the_stairs,Ž,30-49,Broj,4950.0
2013.0,remembering_or_concentration,Ž,30-49,Broj,849.0
2013.0,self_care,Ž,30-49,Broj,103.0
2013.0,Communication,Ž,30-49,Broj,241.0
2013.0,multiple_disabilities,Ž,30-49,Broj,4025.0
2013.0,Seeing,Ž,50-59,Broj,6782.0
2013.0,Hearing,Ž,50-59,Broj,1216.0
2013.0,walking_or_climbing_up_the_stairs,Ž,50-59,Broj,9927.0
2013.0,remembering_or_concentration,Ž,50-59,Broj,865.0
2013.0,self_care,Ž,50-59,Broj,80.0
2013.0,Communication,Ž,50-59,Broj,150.0
2013.0,multiple_disabilities,Ž,50-59,Broj,7822.0
2013.0,Seeing,Ž,60-64,Broj,4034.0
2013.0,Hearing,Ž,60-64,Broj,857.0
2013.0,walking_or_climbing_up_the_stairs,Ž,60-64,Broj,7055.0
2013.0,remembering_or_concentration,Ž,60-64,Broj,430.0
2013.0,self_care,Ž,60-64,Broj,43.0
2013.0,Communication,Ž,60-64,Broj,61.0
2013.0,multiple_disabilities,Ž,60-64,Broj,5922.0
2013.0,Seeing,Ž,65+,Broj,12600.0
2013.0,Hearing,Ž,65+,Broj,5885.0
2013.0,walking_or_climbing_up_the_stairs,Ž,65+,Broj,30877.0
2013.0,remembering_or_concentration,Ž,65+,Broj,1744.0
2013.0,self_care,Ž,65+,Broj,321.0
2013.0,Communication,Ž,65+,Broj,226.0
2013.0,multiple_disabilities,Ž,65+,Broj,44011.0
,,,,,
