Year,UNIT_MEASURE,Административна јединица,Пол,Врста потешкоће,Value
2013,Број,Тузлански кантон,Оба пола,"Слух, иако користи слушни апарат",9948
2013,Број,Тузлански кантон,Оба пола,Ход или пењање уз степенице,27830
2013,Број,Тузлански кантон,Оба пола,Памћење или концентрација,9292
2013,Број,Тузлански кантон,Оба пола,Одијевање и одржавање хигијене,5630
2013,Број,Тузлански кантон,Оба пола,Комуникација,4548
2013,Број,Тузлански кантон,Оба пола,Са више потешкоћа,17193
2013,Број,Зеничко-добојски кантон,Оба пола,Укупно,30367
2013,Број,Зеничко-добојски кантон,Оба пола,"Вид, иако носи наочаре",12250
2013,Број,Зеничко-добојски кантон,Оба пола,"Слух, иако користи слушни апарат",6650
2013,Број,Зеничко-добојски кантон,Оба пола,Ход или пењање уз степенице,19061
2013,Број,Зеничко-добојски кантон,Оба пола,Памћење или концентрација,5373
2013,Број,Зеничко-добојски кантон,Оба пола,Одијевање и одржавање хигијене,3950
2013,Број,Зеничко-добојски кантон,Оба пола,Комуникација,3219
2013,Број,Зеничко-добојски кантон,Оба пола,Са више потешкоћа,10924
2013,Број,Босанско-подрињски кантон,Оба пола,Укупно,2619
2013,Број,Босанско-подрињски кантон,Оба пола,"Вид, иако носи наочаре",1096
2013,Број,Босанско-подрињски кантон,Оба пола,"Слух, иако користи слушни апарат",682
2013,Број,Босанско-подрињски кантон,Оба пола,Ход или пењање уз степенице,1746
2013,Број,Босанско-подрињски кантон,Оба пола,Памћење или концентрација,528
2013,Број,Босанско-подрињски кантон,Оба пола,Одијевање и одржавање хигијене,330
2013,Број,Босанско-подрињски кантон,Оба пола,Комуникација,251
2013,Број,Босанско-подрињски кантон,Оба пола,Са више потешкоћа,1030
2013,Број,Средњобосански кантон,Оба пола,Укупно,20634
2013,Број,Средњобосански кантон,Оба пола,"Вид, иако носи наочаре",8358
2013,Број,Средњобосански кантон,Оба пола,"Слух, иако користи слушни апарат",4619
2013,Број,Средњобосански кантон,Оба пола,Ход или пењање уз степенице,12193
2013,Број,Средњобосански кантон,Оба пола,Памћење или концентрација,4152
2013,Број,Средњобосански кантон,Оба пола,Одијевање и одржавање хигијене,2700
2013,Број,Средњобосански кантон,Оба пола,Комуникација,2616
2013,Број,Средњобосански кантон,Оба пола,Са више потешкоћа,7687
2013,Број,Херцеговачко-неретвански кантон,Оба пола,Укупно,14948
2013,Број,Херцеговачко-неретвански кантон,Оба пола,"Вид, иако носи наочаре",5764
2013,Број,Херцеговачко-неретвански кантон,Оба пола,"Слух, иако користи слушни апарат",3712
2013,Број,Херцеговачко-неретвански кантон,Оба пола,Ход или пењање уз степенице,9576
2013,Број,Херцеговачко-неретвански кантон,Оба пола,Памћење или концентрација,2807
2013,Број,Херцеговачко-неретвански кантон,Оба пола,Одијевање и одржавање хигијене,2087
2013,Број,Херцеговачко-неретвански кантон,Оба пола,Комуникација,1749
2013,Број,Херцеговачко-неретвански кантон,Оба пола,Са више потешкоћа,5448
2013,Број,Западнохерцеговчки кантон,Оба пола,Укупно,5094
2013,Број,Западнохерцеговчки кантон,Оба пола,"Вид, иако носи наочаре",1812
2013,Број,Западнохерцеговчки кантон,Оба пола,"Слух, иако користи слушни апарат",1309
2013,Број,Западнохерцеговчки кантон,Оба пола,Ход или пењање уз степенице,3363
2013,Број,Западнохерцеговчки кантон,Оба пола,Памћење или концентрација,1014
2013,Број,Западнохерцеговчки кантон,Оба пола,Одијевање и одржавање хигијене,776
2013,Број,Западнохерцеговчки кантон,Оба пола,Комуникација,730
2013,Број,Западнохерцеговчки кантон,Оба пола,Са више потешкоћа,1894
2013,Број,Кантон Сарајево,Оба пола,Укупно,35729
2013,Број,Кантон Сарајево,Оба пола,"Вид, иако носи наочаре",13979
2013,Број,Кантон Сарајево,Оба пола,"Слух, иако користи слушни апарат",8067
2013,Број,Кантон Сарајево,Оба пола,Ход или пењање уз степенице,23636
2013,Број,Кантон Сарајево,Оба пола,Памћење или концентрација,6712
2013,Број,Кантон Сарајево,Оба пола,Одијевање и одржавање хигијене,5009
2013,Број,Кантон Сарајево,Оба пола,Комуникација,3637
2013,Број,Кантон Сарајево,Оба пола,Са више потешкоћа,13442
2013,Број,Кантон 10,Оба пола,Укупно,5025
2013,Број,Кантон 10,Оба пола,"Вид, иако носи наочаре",2032
2013,Број,Кантон 10,Оба пола,"Слух, иако користи слушни апарат",1333
2013,Број,Кантон 10,Оба пола,Ход или пењање уз степенице,3097
2013,Број,Кантон 10,Оба пола,Памћење или концентрација,888
2013,Број,Кантон 10,Оба пола,Одијевање и одржавање хигијене,737
2013,Број,Кантон 10,Оба пола,Комуникација,626
2013,Број,Кантон 10,Оба пола,Са више потешкоћа,1853
2013,Број,Федерација Босне и Херцеговине,M,Укупно,81695
2013,Број,Федерација Босне и Херцеговине,M,"Вид, иако носи наочаре",30746
2013,Број,Федерација Босне и Херцеговине,M,"Слух, иако користи слушни апарат",20243
2013,Број,Федерација Босне и Херцеговине,M,Ход или пењање уз степенице,47911
2013,Број,Федерација Босне и Херцеговине,M,Памћење или концентрација,16020
2013,Број,Федерација Босне и Херцеговине,M,Одијевање и одржавање хигијене,10317
2013,Број,Федерација Босне и Херцеговине,M,Комуникација,9846
2013,Број,Федерација Босне и Херцеговине,M,Са више потешкоћа,28473
2013,Број,Унско-сански кантон,M,Укупно,10055
2013,Број,Унско-сански кантон,M,"Вид, иако носи наочаре",3905
2013,Број,Унско-сански кантон,M,"Слух, иако користи слушни апарат",2610
2013,Број,Унско-сански кантон,M,Ход или пењање уз степенице,5680
2013,Број,Унско-сански кантон,M,Памћење или концентрација,2059
2013,Број,Унско-сански кантон,M,Одијевање и одржавање хигијене,1302
2013,Број,Унско-сански кантон,M,Комуникација,1289
2013,Број,Унско-сански кантон,M,Са више потешкоћа,3444
2013,Број,Посавски кантон,M,Укупно,1585
2013,Број,Посавски кантон,M,"Вид, иако носи наочаре",592
2013,Број,Посавски кантон,M,"Слух, иако користи слушни апарат",368
2013,Број,Посавски кантон,M,Ход или пењање уз степенице,866
2013,Број,Посавски кантон,M,Памћење или концентрација,293
2013,Број,Посавски кантон,M,Одијевање и одржавање хигијене,159
2013,Број,Посавски кантон,M,Комуникација,165
2013,Број,Посавски кантон,M,Са више потешкоћа,482
2013,Број,Тузлански кантон,M,Укупно,18694
2013,Број,Тузлански кантон,M,"Вид, иако носи наочаре",7541
2013,Број,Тузлански кантон,M,"Слух, иако користи слушни апарат",4653
2013,Број,Тузлански кантон,M,Ход или пењање уз степенице,11110
2013,Број,Тузлански кантон,M,Памћење или концентрација,3945
2013,Број,Тузлански кантон,M,Одијевање и одржавање хигијене,2353
2013,Број,Тузлански кантон,M,Комуникација,2187
2013,Број,Тузлански кантон,M,Са више потешкоћа,6941
2013,Број,Зеничко-добојски кантон,M,Укупно,13854
2013,Број,Зеничко-добојски кантон,M,"Вид, иако носи наочаре",5096
2013,Број,Зеничко-добојски кантон,M,"Слух, иако користи слушни апарат",3316
2013,Број,Зеничко-добојски кантон,M,Ход или пењање уз степенице,8003
2013,Број,Зеничко-добојски кантон,M,Памћење или концентрација,2383
2013,Број,Зеничко-добојски кантон,M,Одијевање и одржавање хигијене,1686
2013,Број,Зеничко-добојски кантон,M,Комуникација,1576
2013,Број,Зеничко-добојски кантон,M,Са више потешкоћа,4548
2013,Број,Босанско-подрињски кантон,M,Укупно,1150
2013,Број,Босанско-подрињски кантон,M,"Вид, иако носи наочаре",485
2013,Број,Босанско-подрињски кантон,M,"Слух, иако користи слушни апарат",323
2013,Број,Босанско-подрињски кантон,M,Ход или пењање уз степенице,696
2013,Број,Босанско-подрињски кантон,M,Памћење или концентрација,212
2013,Број,Босанско-подрињски кантон,M,Одијевање и одржавање хигијене,135
2013,Број,Босанско-подрињски кантон,M,Комуникација,103
2013,Број,Босанско-подрињски кантон,M,Са више потешкоћа,423
2013,Број,Средњобосански кантон,M,Укупно,9786
2013,Број,Средњобосански кантон,M,"Вид, иако носи наочаре",3644
2013,Број,Средњобосански кантон,M,"Слух, иако користи слушни апарат",2274
2013,Број,Средњобосански кантон,M,Ход или пењање уз степенице,5406
2013,Број,Средњобосански кантон,M,Памћење или концентрација,2005
2013,Број,Средњобосански кантон,M,Одијевање и одржавање хигијене,1192
2013,Број,Средњобосански кантон,M,Комуникација,1330
2013,Број,Средњобосански кантон,M,Са више потешкоћа,3441
2013,Број,Херцеговачко-неретвански кантон,M,Укупно,6877
2013,Број,Херцеговачко-неретвански кантон,M,"Вид, иако носи наочаре",2457
2013,Број,Херцеговачко-неретвански кантон,M,"Слух, иако користи слушни апарат",1772
2013,Број,Херцеговачко-неретвански кантон,M,Ход или пењање уз степенице,4114
2013,Број,Херцеговачко-неретвански кантон,M,Памћење или концентрација,1317
2013,Број,Херцеговачко-неретвански кантон,M,Одијевање и одржавање хигијене,868
2013,Број,Херцеговачко-неретвански кантон,M,Комуникација,838
2013,Број,Херцеговачко-неретвански кантон,M,Са више потешкоћа,2310
2013,Број,Западнохерцеговчки кантон,M,Укупно,2373
2013,Број,Западнохерцеговчки кантон,M,"Вид, иако носи наочаре",739
2013,Број,Западнохерцеговчки кантон,M,"Слух, иако користи слушни апарат",627
2013,Број,Западнохерцеговчки кантон,M,Ход или пењање уз степенице,1503
2013,Број,Западнохерцеговчки кантон,M,Памћење или концентрација,490
2013,Број,Западнохерцеговчки кантон,M,Одијевање и одржавање хигијене,309
2013,Број,Западнохерцеговчки кантон,M,Комуникација,356
2013,Број,Западнохерцеговчки кантон,M,Са више потешкоћа,832
2013,Број,Кантон Сарајево,M,Укупно,15041
2013,Број,Кантон Сарајево,M,"Вид, иако носи наочаре",5441
2013,Број,Кантон Сарајево,M,"Слух, иако користи слушни апарат",3656
2013,Број,Кантон Сарајево,M,Ход или пењање уз степенице,9240
2013,Број,Кантон Сарајево,M,Памћење или концентрација,2892
2013,Број,Кантон Сарајево,M,Одијевање и одржавање хигијене,2009
2013,Број,Кантон Сарајево,M,Комуникација,1712
2013,Број,Кантон Сарајево,M,Са више потешкоћа,5278
2013,Број,Кантон 10,M,Укупно,2280
2013,Број,Кантон 10,M,"Вид, иако носи наочаре",846
2013,Број,Кантон 10,M,"Слух, иако користи слушни апарат",644
2013,Број,Кантон 10,M,Ход или пењање уз степенице,1293
2013,Број,Кантон 10,M,Памћење или концентрација,424
2013,Број,Кантон 10,M,Одијевање и одржавање хигијене,304
2013,Број,Кантон 10,M,Комуникација,290
2013,Број,Кантон 10,M,Са више потешкоћа,774
2013,Број,Федерација Босне и Херцеговине,F ,Укупно,100232
2013,Број,Федерација Босне и Херцеговине,F ,"Вид, иако носи наочаре",43667
2013,Број,Федерација Босне и Херцеговине,F ,"Слух, иако користи слушни апарат",21978
2013,Број,Федерација Босне и Херцеговине,F ,Ход или пењање уз степенице,66911
2013,Број,Федерација Босне и Херцеговине,F ,Памћење или концентрација,19581
2013,Број,Федерација Босне и Херцеговине,F ,Одијевање и одржавање хигијене,14028
2013,Број,Федерација Босне и Херцеговине,F ,Комуникација,10334
2013,Број,Федерација Босне и Херцеговине,F ,Са више потешкоћа,39683
2013,Број,Унско-сански кантон,F ,Укупно,10651
2013,Број,Унско-сански кантон,F ,"Вид, иако носи наочаре",5006
2013,Број,Унско-сански кантон,F ,"Слух, иако користи слушни апарат",2529
2013,Број,Унско-сански кантон,F ,Ход или пењање уз степенице,6619
2013,Број,Унско-сански кантон,F ,Памћење или концентрација,2161
2013,Број,Унско-сански кантон,F ,Одијевање и одржавање хигијене,1449
2013,Број,Унско-сански кантон,F ,Комуникација,1178
2013,Број,Унско-сански кантон,F ,Са више потешкоћа,4114
2013,Број,Посавски кантон,F ,Укупно,1802
2013,Број,Посавски кантон,F ,"Вид, иако носи наочаре",794
2013,Број,Посавски кантон,F ,"Слух, иако користи слушни апарат",394
2013,Број,Посавски кантон,F ,Ход или пењање уз степенице,1155
2013,Број,Посавски кантон,F ,Памћење или концентрација,322
2013,Број,Посавски кантон,F ,Одијевање и одржавање хигијене,216
2013,Број,Посавски кантон,F ,Комуникација,172
2013,Број,Посавски кантон,F ,Са више потешкоћа,645
2013,Број,Тузлански кантон,F ,Укупно,24724
2013,Број,Тузлански кантон,F ,"Вид, иако носи наочаре",11284
2013,Број,Тузлански кантон,F ,"Слух, иако користи слушни апарат",5295
2013,Број,Тузлански кантон,F ,Ход или пењање уз степенице,16720
2013,Број,Тузлански кантон,F ,Памћење или концентрација,5347
2013,Број,Тузлански кантон,F ,Одијевање и одржавање хигијене,3277
2013,Број,Тузлански кантон,F ,Комуникација,2361
2013,Број,Тузлански кантон,F ,Са више потешкоћа,10252
2013,Број,Зеничко-добојски кантон,F ,Укупно,16513
2013,Број,Зеничко-добојски кантон,F ,"Вид, иако носи наочаре",7154
2013,Број,Зеничко-добојски кантон,F ,"Слух, иако користи слушни апарат",3334
2013,Број,Зеничко-добојски кантон,F ,Ход или пењање уз степенице,11058
2013,Број,Зеничко-добојски кантон,F ,Памћење или концентрација,2990
2013,Број,Зеничко-добојски кантон,F ,Одијевање и одржавање хигијене,2264
2013,Број,Зеничко-добојски кантон,F ,Комуникација,1643
2013,Број,Зеничко-добојски кантон,F ,Са више потешкоћа,6376
2013,Број,Босанско-подрињски кантон,F ,Укупно,1469
2013,Број,Босанско-подрињски кантон,F ,"Вид, иако носи наочаре",611
2013,Број,Босанско-подрињски кантон,F ,"Слух, иако користи слушни апарат",359
2013,Број,Босанско-подрињски кантон,F ,Ход или пењање уз степенице,1050
2013,Број,Босанско-подрињски кантон,F ,Памћење или концентрација,316
2013,Број,Босанско-подрињски кантон,F ,Одијевање и одржавање хигијене,195
2013,Број,Босанско-подрињски кантон,F ,Комуникација,148
2013,Број,Босанско-подрињски кантон,F ,Са више потешкоћа,607
2013,Број,Средњобосански кантон,F ,Укупно,10848
2013,Број,Средњобосански кантон,F ,"Вид, иако носи наочаре",4714
2013,Број,Средњобосански кантон,F ,"Слух, иако користи слушни апарат",2345
2013,Број,Средњобосански кантон,F ,Ход или пењање уз степенице,6787
2013,Број,Средњобосански кантон,F ,Памћење или концентрација,2147
2013,Број,Средњобосански кантон,F ,Одијевање и одржавање хигијене,1508
2013,Број,Средњобосански кантон,F ,Комуникација,1286
2013,Број,Средњобосански кантон,F ,Са више потешкоћа,4246
2013,Број,Херцеговачко-неретвански кантон,F ,Укупно,8071
2013,Број,Херцеговачко-неретвански кантон,F ,"Вид, иако носи наочаре",3307
2013,Број,Херцеговачко-неретвански кантон,F ,"Слух, иако користи слушни апарат",1940
2013,Број,Херцеговачко-неретвански кантон,F ,Ход или пењање уз степенице,5462
2013,Број,Херцеговачко-неретвански кантон,F ,Памћење или концентрација,1490
2013,Број,Херцеговачко-неретвански кантон,F ,Одијевање и одржавање хигијене,1219
2013,Број,Херцеговачко-неретвански кантон,F ,Комуникација,911
2013,Број,Херцеговачко-неретвански кантон,F ,Са више потешкоћа,3138
2013,Број,Западнохерцеговчки кантон,F ,Укупно,2721
2013,Број,Западнохерцеговчки кантон,F ,"Вид, иако носи наочаре",1073
2013,Број,Западнохерцеговчки кантон,F ,"Слух, иако користи слушни апарат",682
2013,Број,Западнохерцеговчки кантон,F ,Ход или пењање уз степенице,1860
2013,Број,Западнохерцеговчки кантон,F ,Памћење или концентрација,524
2013,Број,Западнохерцеговчки кантон,F ,Одијевање и одржавање хигијене,467
2013,Број,Западнохерцеговчки кантон,F ,Комуникација,374
2013,Број,Западнохерцеговчки кантон,F ,Са више потешкоћа,1062
2013,Број,Кантон Сарајево,F ,Укупно,20688
2013,Број,Кантон Сарајево,F ,"Вид, иако носи наочаре",8538
2013,Број,Кантон Сарајево,F ,"Слух, иако користи слушни апарат",4411
2013,Број,Кантон Сарајево,F ,Ход или пењање уз степенице,14396
2013,Број,Кантон Сарајево,F ,Памћење или концентрација,3820
2013,Број,Кантон Сарајево,F ,Одијевање и одржавање хигијене,3000
2013,Број,Кантон Сарајево,F ,Комуникација,1925
2013,Број,Кантон Сарајево,F ,Са више потешкоћа,8164
2013,Број,Кантон 10,F ,Укупно,2745
2013,Број,Кантон 10,F ,"Вид, иако носи наочаре",1186
2013,Број,Кантон 10,F ,"Слух, иако користи слушни апарат",689
2013,Број,Кантон 10,F ,Ход или пењање уз степенице,1804
2013,Број,Кантон 10,F ,Памћење или концентрација,464
2013,Број,Кантон 10,F ,Одијевање и одржавање хигијене,433
2013,Број,Кантон 10,F ,Комуникација,336
2013,Број,Кантон 10,F ,Са више потешкоћа,1079
