Year,UNIT_MEASURE,Administrative Area,Scientific Field,Value
2010,Number,Central Bosnia Canton,Information and communication technologies,
2010,Number,Central Bosnia Canton,"Engineering, production and construction",
2010,Number,Central Bosnia Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2010,Number,Central Bosnia Canton,Health and social protection,
2010,Number,Central Bosnia Canton,Services,
2010,Number,Herzegovina-Neretva Canton,Education,
2010,Number,Herzegovina-Neretva Canton,Arts and humanities,
2010,Number,Herzegovina-Neretva Canton,"Social sciences, journalism and information",
2010,Number,Herzegovina-Neretva Canton,"Business, administration and law",
2010,Number,Herzegovina-Neretva Canton,"Natural sciences, mathematics and statistics",
2010,Number,Herzegovina-Neretva Canton,Information and communication technologies,
2010,Number,Herzegovina-Neretva Canton,"Engineering, production and construction",
2010,Number,Herzegovina-Neretva Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2010,Number,Herzegovina-Neretva Canton,Health and social protection,
2010,Number,Herzegovina-Neretva Canton,Services,
2010,Number,Sarajevo Canton,Education,
2010,Number,Sarajevo Canton,Arts and humanities,
2010,Number,Sarajevo Canton,"Social sciences, journalism and information",
2010,Number,Sarajevo Canton,"Business, administration and law",
2010,Number,Sarajevo Canton,"Natural sciences, mathematics and statistics",
2010,Number,Sarajevo Canton,Information and communication technologies,
2010,Number,Sarajevo Canton,"Engineering, production and construction",
2010,Number,Sarajevo Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2010,Number,Sarajevo Canton,Health and social protection,
2010,Number,Sarajevo Canton,Services,
2011,Number,Federation of Bosnia and Herzegovina,Education,
2011,Number,Federation of Bosnia and Herzegovina,Arts and humanities,
2011,Number,Federation of Bosnia and Herzegovina,"Social sciences, journalism and information",
2011,Number,Federation of Bosnia and Herzegovina,"Business, administration and law",
2011,Number,Federation of Bosnia and Herzegovina,"Natural sciences, mathematics and statistics",
2011,Number,Federation of Bosnia and Herzegovina,Information and communication technologies,
2011,Number,Federation of Bosnia and Herzegovina,"Engineering, production and construction",
2011,Number,Federation of Bosnia and Herzegovina,"Agriculture, forestry, fisheries and veterinary medicine",
2011,Number,Federation of Bosnia and Herzegovina,Health and social protection,
2011,Number,Federation of Bosnia and Herzegovina,Services,
2011,Number,Una-Sana Canton,Education,
2011,Number,Una-Sana Canton,Arts and humanities,
2011,Number,Una-Sana Canton,"Social sciences, journalism and information",
2011,Number,Una-Sana Canton,"Business, administration and law",
2011,Number,Una-Sana Canton,"Natural sciences, mathematics and statistics",
2011,Number,Una-Sana Canton,Information and communication technologies,
2011,Number,Una-Sana Canton,"Engineering, production and construction",
2011,Number,Una-Sana Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2011,Number,Una-Sana Canton,Health and social protection,
2011,Number,Una-Sana Canton,Services,
2011,Number,Tuzla Canton,Education,
2011,Number,Tuzla Canton,Arts and humanities,
2011,Number,Tuzla Canton,"Social sciences, journalism and information",
2011,Number,Tuzla Canton,"Business, administration and law",
2011,Number,Tuzla Canton,"Natural sciences, mathematics and statistics",
2011,Number,Tuzla Canton,Information and communication technologies,
2011,Number,Tuzla Canton,"Engineering, production and construction",
2011,Number,Tuzla Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2011,Number,Tuzla Canton,Health and social protection,
2011,Number,Tuzla Canton,Services,
2011,Number,Zenica-Doboj Canton,Education,
2011,Number,Zenica-Doboj Canton,Arts and humanities,
2011,Number,Zenica-Doboj Canton,"Social sciences, journalism and information",
2011,Number,Zenica-Doboj Canton,"Business, administration and law",
2011,Number,Zenica-Doboj Canton,"Natural sciences, mathematics and statistics",
2011,Number,Zenica-Doboj Canton,Information and communication technologies,
2011,Number,Zenica-Doboj Canton,"Engineering, production and construction",
2011,Number,Zenica-Doboj Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2011,Number,Zenica-Doboj Canton,Health and social protection,
2011,Number,Zenica-Doboj Canton,Services,
2011,Number,Bosnian-Podrinje Canton,Education,
2011,Number,Bosnian-Podrinje Canton,Arts and humanities,
2011,Number,Bosnian-Podrinje Canton,"Social sciences, journalism and information",
2011,Number,Bosnian-Podrinje Canton,"Business, administration and law",
2011,Number,Bosnian-Podrinje Canton,"Natural sciences, mathematics and statistics",
2011,Number,Bosnian-Podrinje Canton,Information and communication technologies,
2011,Number,Bosnian-Podrinje Canton,"Engineering, production and construction",
2011,Number,Bosnian-Podrinje Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2011,Number,Bosnian-Podrinje Canton,Health and social protection,
2011,Number,Bosnian-Podrinje Canton,Services,
2011,Number,Central Bosnia Canton,Education,
2011,Number,Central Bosnia Canton,Arts and humanities,
2011,Number,Central Bosnia Canton,"Social sciences, journalism and information",
2011,Number,Central Bosnia Canton,"Business, administration and law",
2011,Number,Central Bosnia Canton,"Natural sciences, mathematics and statistics",
2011,Number,Central Bosnia Canton,Information and communication technologies,
2011,Number,Central Bosnia Canton,"Engineering, production and construction",
2011,Number,Central Bosnia Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2011,Number,Central Bosnia Canton,Health and social protection,
2011,Number,Central Bosnia Canton,Services,
2011,Number,Herzegovina-Neretva Canton,Education,
2011,Number,Herzegovina-Neretva Canton,Arts and humanities,
2011,Number,Herzegovina-Neretva Canton,"Social sciences, journalism and information",
2011,Number,Herzegovina-Neretva Canton,"Business, administration and law",
2011,Number,Herzegovina-Neretva Canton,"Natural sciences, mathematics and statistics",
2011,Number,Herzegovina-Neretva Canton,Information and communication technologies,
2011,Number,Herzegovina-Neretva Canton,"Engineering, production and construction",
2011,Number,Herzegovina-Neretva Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2011,Number,Herzegovina-Neretva Canton,Health and social protection,
2011,Number,Herzegovina-Neretva Canton,Services,
2011,Number,Sarajevo Canton,Education,
2011,Number,Sarajevo Canton,Arts and humanities,
2011,Number,Sarajevo Canton,"Social sciences, journalism and information",
2011,Number,Sarajevo Canton,"Business, administration and law",
2011,Number,Sarajevo Canton,"Natural sciences, mathematics and statistics",
2011,Number,Sarajevo Canton,Information and communication technologies,
2011,Number,Sarajevo Canton,"Engineering, production and construction",
2011,Number,Sarajevo Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2011,Number,Sarajevo Canton,Health and social protection,
2011,Number,Sarajevo Canton,Services,
2012,Number,Federation of Bosnia and Herzegovina,Education,
2012,Number,Federation of Bosnia and Herzegovina,Arts and humanities,
2012,Number,Federation of Bosnia and Herzegovina,"Social sciences, journalism and information",
2012,Number,Federation of Bosnia and Herzegovina,"Business, administration and law",
2012,Number,Federation of Bosnia and Herzegovina,"Natural sciences, mathematics and statistics",
2012,Number,Federation of Bosnia and Herzegovina,Information and communication technologies,
2012,Number,Federation of Bosnia and Herzegovina,"Engineering, production and construction",
2012,Number,Federation of Bosnia and Herzegovina,"Agriculture, forestry, fisheries and veterinary medicine",
2012,Number,Federation of Bosnia and Herzegovina,Health and social protection,
2012,Number,Federation of Bosnia and Herzegovina,Services,
2012,Number,Una-Sana Canton,Education,
2012,Number,Una-Sana Canton,Arts and humanities,
2012,Number,Una-Sana Canton,"Social sciences, journalism and information",
2012,Number,Una-Sana Canton,"Business, administration and law",
2012,Number,Una-Sana Canton,"Natural sciences, mathematics and statistics",
2012,Number,Una-Sana Canton,Information and communication technologies,
2012,Number,Una-Sana Canton,"Engineering, production and construction",
2012,Number,Una-Sana Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2012,Number,Una-Sana Canton,Health and social protection,
2012,Number,Una-Sana Canton,Services,
2012,Number,Tuzla Canton,Education,
2012,Number,Tuzla Canton,Arts and humanities,
2012,Number,Tuzla Canton,"Social sciences, journalism and information",
2012,Number,Tuzla Canton,"Business, administration and law",
2012,Number,Tuzla Canton,"Natural sciences, mathematics and statistics",
2012,Number,Tuzla Canton,Information and communication technologies,
2012,Number,Tuzla Canton,"Engineering, production and construction",
2012,Number,Tuzla Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2012,Number,Tuzla Canton,Health and social protection,
2012,Number,Tuzla Canton,Services,
2012,Number,Zenica-Doboj Canton,Education,
2012,Number,Zenica-Doboj Canton,Arts and humanities,
2012,Number,Zenica-Doboj Canton,"Social sciences, journalism and information",
2012,Number,Zenica-Doboj Canton,"Business, administration and law",
2012,Number,Zenica-Doboj Canton,"Natural sciences, mathematics and statistics",
2012,Number,Zenica-Doboj Canton,Information and communication technologies,
2012,Number,Zenica-Doboj Canton,"Engineering, production and construction",
2012,Number,Zenica-Doboj Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2012,Number,Zenica-Doboj Canton,Health and social protection,
2012,Number,Zenica-Doboj Canton,Services,
2012,Number,Bosnian-Podrinje Canton,Education,
2012,Number,Bosnian-Podrinje Canton,Arts and humanities,
2012,Number,Bosnian-Podrinje Canton,"Social sciences, journalism and information",
2012,Number,Bosnian-Podrinje Canton,"Business, administration and law",
2012,Number,Bosnian-Podrinje Canton,"Natural sciences, mathematics and statistics",
2012,Number,Bosnian-Podrinje Canton,Information and communication technologies,
2012,Number,Bosnian-Podrinje Canton,"Engineering, production and construction",
2012,Number,Bosnian-Podrinje Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2012,Number,Bosnian-Podrinje Canton,Health and social protection,
2012,Number,Bosnian-Podrinje Canton,Services,
2012,Number,Central Bosnia Canton,Education,
2012,Number,Central Bosnia Canton,Arts and humanities,
2012,Number,Central Bosnia Canton,"Social sciences, journalism and information",
2012,Number,Central Bosnia Canton,"Business, administration and law",
2012,Number,Central Bosnia Canton,"Natural sciences, mathematics and statistics",
2012,Number,Central Bosnia Canton,Information and communication technologies,
2012,Number,Central Bosnia Canton,"Engineering, production and construction",
2012,Number,Central Bosnia Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2012,Number,Central Bosnia Canton,Health and social protection,
2012,Number,Central Bosnia Canton,Services,
2012,Number,Herzegovina-Neretva Canton,Education,
2012,Number,Herzegovina-Neretva Canton,Arts and humanities,
2012,Number,Herzegovina-Neretva Canton,"Social sciences, journalism and information",
2012,Number,Herzegovina-Neretva Canton,"Business, administration and law",
2012,Number,Herzegovina-Neretva Canton,"Natural sciences, mathematics and statistics",
2012,Number,Herzegovina-Neretva Canton,Information and communication technologies,
2012,Number,Herzegovina-Neretva Canton,"Engineering, production and construction",
2012,Number,Herzegovina-Neretva Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2012,Number,Herzegovina-Neretva Canton,Health and social protection,
2012,Number,Herzegovina-Neretva Canton,Services,
2012,Number,Sarajevo Canton,Education,
2012,Number,Sarajevo Canton,Arts and humanities,
2012,Number,Sarajevo Canton,"Social sciences, journalism and information",
2012,Number,Sarajevo Canton,"Business, administration and law",
2012,Number,Sarajevo Canton,"Natural sciences, mathematics and statistics",
2012,Number,Sarajevo Canton,Information and communication technologies,
2012,Number,Sarajevo Canton,"Engineering, production and construction",
2012,Number,Sarajevo Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2012,Number,Sarajevo Canton,Health and social protection,
2012,Number,Sarajevo Canton,Services,
2013,Number,Federation of Bosnia and Herzegovina,Education,
2013,Number,Federation of Bosnia and Herzegovina,Arts and humanities,
2013,Number,Federation of Bosnia and Herzegovina,"Social sciences, journalism and information",
2013,Number,Federation of Bosnia and Herzegovina,"Business, administration and law",
2013,Number,Federation of Bosnia and Herzegovina,"Natural sciences, mathematics and statistics",
2013,Number,Federation of Bosnia and Herzegovina,Information and communication technologies,
2013,Number,Federation of Bosnia and Herzegovina,"Engineering, production and construction",
2013,Number,Federation of Bosnia and Herzegovina,"Agriculture, forestry, fisheries and veterinary medicine",
2013,Number,Federation of Bosnia and Herzegovina,Health and social protection,
2013,Number,Federation of Bosnia and Herzegovina,Services,
2013,Number,Una-Sana Canton,Education,
2013,Number,Una-Sana Canton,Arts and humanities,
2013,Number,Una-Sana Canton,"Social sciences, journalism and information",
2013,Number,Una-Sana Canton,"Business, administration and law",
2013,Number,Una-Sana Canton,"Natural sciences, mathematics and statistics",
2013,Number,Una-Sana Canton,Information and communication technologies,
2013,Number,Una-Sana Canton,"Engineering, production and construction",
2013,Number,Una-Sana Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2013,Number,Una-Sana Canton,Health and social protection,
2013,Number,Una-Sana Canton,Services,
2013,Number,Tuzla Canton,Education,
2013,Number,Tuzla Canton,Arts and humanities,
2013,Number,Tuzla Canton,"Social sciences, journalism and information",
2013,Number,Tuzla Canton,"Business, administration and law",
2013,Number,Tuzla Canton,"Natural sciences, mathematics and statistics",
2013,Number,Tuzla Canton,Information and communication technologies,
2013,Number,Tuzla Canton,"Engineering, production and construction",
2013,Number,Tuzla Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2013,Number,Tuzla Canton,Health and social protection,
2013,Number,Tuzla Canton,Services,
2013,Number,Zenica-Doboj Canton,Education,
2013,Number,Zenica-Doboj Canton,Arts and humanities,
2013,Number,Zenica-Doboj Canton,"Social sciences, journalism and information",
2013,Number,Zenica-Doboj Canton,"Business, administration and law",
2013,Number,Zenica-Doboj Canton,"Natural sciences, mathematics and statistics",
2013,Number,Zenica-Doboj Canton,Information and communication technologies,
2013,Number,Zenica-Doboj Canton,"Engineering, production and construction",
2013,Number,Zenica-Doboj Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2013,Number,Zenica-Doboj Canton,Health and social protection,
2013,Number,Zenica-Doboj Canton,Services,
2013,Number,Bosnian-Podrinje Canton,Education,
2013,Number,Bosnian-Podrinje Canton,Arts and humanities,
2013,Number,Bosnian-Podrinje Canton,"Social sciences, journalism and information",
2013,Number,Bosnian-Podrinje Canton,"Business, administration and law",
2013,Number,Bosnian-Podrinje Canton,"Natural sciences, mathematics and statistics",
2013,Number,Bosnian-Podrinje Canton,Information and communication technologies,
2013,Number,Bosnian-Podrinje Canton,"Engineering, production and construction",
2013,Number,Bosnian-Podrinje Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2013,Number,Bosnian-Podrinje Canton,Health and social protection,
2013,Number,Bosnian-Podrinje Canton,Services,
2013,Number,Central Bosnia Canton,Education,
2013,Number,Central Bosnia Canton,Arts and humanities,
2013,Number,Central Bosnia Canton,"Social sciences, journalism and information",
2013,Number,Central Bosnia Canton,"Business, administration and law",
2013,Number,Central Bosnia Canton,"Natural sciences, mathematics and statistics",
2013,Number,Central Bosnia Canton,Information and communication technologies,
2013,Number,Central Bosnia Canton,"Engineering, production and construction",
2013,Number,Central Bosnia Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2013,Number,Central Bosnia Canton,Health and social protection,
2013,Number,Central Bosnia Canton,Services,
2013,Number,Herzegovina-Neretva Canton,Education,
2013,Number,Herzegovina-Neretva Canton,Arts and humanities,
2013,Number,Herzegovina-Neretva Canton,"Social sciences, journalism and information",
2013,Number,Herzegovina-Neretva Canton,"Business, administration and law",
2013,Number,Herzegovina-Neretva Canton,"Natural sciences, mathematics and statistics",
2013,Number,Herzegovina-Neretva Canton,Information and communication technologies,
2013,Number,Herzegovina-Neretva Canton,"Engineering, production and construction",
2013,Number,Herzegovina-Neretva Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2013,Number,Herzegovina-Neretva Canton,Health and social protection,
2013,Number,Herzegovina-Neretva Canton,Services,
2013,Number,Sarajevo Canton,Education,
2013,Number,Sarajevo Canton,Arts and humanities,
2013,Number,Sarajevo Canton,"Social sciences, journalism and information",
2013,Number,Sarajevo Canton,"Business, administration and law",
2013,Number,Sarajevo Canton,"Natural sciences, mathematics and statistics",
2013,Number,Sarajevo Canton,Information and communication technologies,
2013,Number,Sarajevo Canton,"Engineering, production and construction",
2013,Number,Sarajevo Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2013,Number,Sarajevo Canton,Health and social protection,
2013,Number,Sarajevo Canton,Services,
2014,Number,Federation of Bosnia and Herzegovina,Education,
2014,Number,Federation of Bosnia and Herzegovina,Arts and humanities,
2014,Number,Federation of Bosnia and Herzegovina,"Social sciences, journalism and information",
2014,Number,Federation of Bosnia and Herzegovina,"Business, administration and law",
2014,Number,Federation of Bosnia and Herzegovina,"Natural sciences, mathematics and statistics",
2014,Number,Federation of Bosnia and Herzegovina,Information and communication technologies,
2014,Number,Federation of Bosnia and Herzegovina,"Engineering, production and construction",
2014,Number,Federation of Bosnia and Herzegovina,"Agriculture, forestry, fisheries and veterinary medicine",
2014,Number,Federation of Bosnia and Herzegovina,Health and social protection,
2014,Number,Federation of Bosnia and Herzegovina,Services,
2014,Number,Una-Sana Canton,Education,
2014,Number,Una-Sana Canton,Arts and humanities,
2014,Number,Una-Sana Canton,"Social sciences, journalism and information",
2014,Number,Una-Sana Canton,"Business, administration and law",
2014,Number,Una-Sana Canton,"Natural sciences, mathematics and statistics",
2014,Number,Una-Sana Canton,Information and communication technologies,
2014,Number,Una-Sana Canton,"Engineering, production and construction",
2014,Number,Una-Sana Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2014,Number,Una-Sana Canton,Health and social protection,
2014,Number,Una-Sana Canton,Services,
2014,Number,Tuzla Canton,Education,
2014,Number,Tuzla Canton,Arts and humanities,
2014,Number,Tuzla Canton,"Social sciences, journalism and information",
2014,Number,Tuzla Canton,"Business, administration and law",
2014,Number,Tuzla Canton,"Natural sciences, mathematics and statistics",
2014,Number,Tuzla Canton,Information and communication technologies,
2014,Number,Tuzla Canton,"Engineering, production and construction",
2014,Number,Tuzla Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2014,Number,Tuzla Canton,Health and social protection,
2014,Number,Tuzla Canton,Services,
2014,Number,Zenica-Doboj Canton,Education,
2014,Number,Zenica-Doboj Canton,Arts and humanities,
2014,Number,Zenica-Doboj Canton,"Social sciences, journalism and information",
2014,Number,Zenica-Doboj Canton,"Business, administration and law",
2014,Number,Zenica-Doboj Canton,"Natural sciences, mathematics and statistics",
2014,Number,Zenica-Doboj Canton,Information and communication technologies,
2014,Number,Zenica-Doboj Canton,"Engineering, production and construction",
2014,Number,Zenica-Doboj Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2014,Number,Zenica-Doboj Canton,Health and social protection,
2014,Number,Zenica-Doboj Canton,Services,
2014,Number,Bosnian-Podrinje Canton,Education,
2014,Number,Bosnian-Podrinje Canton,Arts and humanities,
2014,Number,Bosnian-Podrinje Canton,"Social sciences, journalism and information",
2014,Number,Bosnian-Podrinje Canton,"Business, administration and law",
2014,Number,Bosnian-Podrinje Canton,"Natural sciences, mathematics and statistics",
2014,Number,Bosnian-Podrinje Canton,Information and communication technologies,
2014,Number,Bosnian-Podrinje Canton,"Engineering, production and construction",
2014,Number,Bosnian-Podrinje Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2014,Number,Bosnian-Podrinje Canton,Health and social protection,
2014,Number,Bosnian-Podrinje Canton,Services,
2014,Number,Central Bosnia Canton,Education,
2014,Number,Central Bosnia Canton,Arts and humanities,
2014,Number,Central Bosnia Canton,"Social sciences, journalism and information",
2014,Number,Central Bosnia Canton,"Business, administration and law",
2014,Number,Central Bosnia Canton,"Natural sciences, mathematics and statistics",
2014,Number,Central Bosnia Canton,Information and communication technologies,
2014,Number,Central Bosnia Canton,"Engineering, production and construction",
2014,Number,Central Bosnia Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2014,Number,Central Bosnia Canton,Health and social protection,
2014,Number,Central Bosnia Canton,Services,
2014,Number,Herzegovina-Neretva Canton,Education,
2014,Number,Herzegovina-Neretva Canton,Arts and humanities,
2014,Number,Herzegovina-Neretva Canton,"Social sciences, journalism and information",
2014,Number,Herzegovina-Neretva Canton,"Business, administration and law",
2014,Number,Herzegovina-Neretva Canton,"Natural sciences, mathematics and statistics",
2014,Number,Herzegovina-Neretva Canton,Information and communication technologies,
2014,Number,Herzegovina-Neretva Canton,"Engineering, production and construction",
2014,Number,Herzegovina-Neretva Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2014,Number,Herzegovina-Neretva Canton,Health and social protection,
2014,Number,Herzegovina-Neretva Canton,Services,
2014,Number,Sarajevo Canton,Education,
2014,Number,Sarajevo Canton,Arts and humanities,
2014,Number,Sarajevo Canton,"Social sciences, journalism and information",
2014,Number,Sarajevo Canton,"Business, administration and law",
2014,Number,Sarajevo Canton,"Natural sciences, mathematics and statistics",
2014,Number,Sarajevo Canton,Information and communication technologies,
2014,Number,Sarajevo Canton,"Engineering, production and construction",
2014,Number,Sarajevo Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2014,Number,Sarajevo Canton,Health and social protection,
2014,Number,Sarajevo Canton,Services,
2015,Number,Federation of Bosnia and Herzegovina,Education,
2015,Number,Federation of Bosnia and Herzegovina,Arts and humanities,
2015,Number,Federation of Bosnia and Herzegovina,"Social sciences, journalism and information",
2015,Number,Federation of Bosnia and Herzegovina,"Business, administration and law",
2015,Number,Federation of Bosnia and Herzegovina,"Natural sciences, mathematics and statistics",
2015,Number,Federation of Bosnia and Herzegovina,Information and communication technologies,
2015,Number,Federation of Bosnia and Herzegovina,"Engineering, production and construction",
2015,Number,Federation of Bosnia and Herzegovina,"Agriculture, forestry, fisheries and veterinary medicine",
2015,Number,Federation of Bosnia and Herzegovina,Health and social protection,
2015,Number,Federation of Bosnia and Herzegovina,Services,
2015,Number,Una-Sana Canton,Education,
2015,Number,Una-Sana Canton,Arts and humanities,
2015,Number,Una-Sana Canton,"Social sciences, journalism and information",
2015,Number,Una-Sana Canton,"Business, administration and law",
2015,Number,Una-Sana Canton,"Natural sciences, mathematics and statistics",
2015,Number,Una-Sana Canton,Information and communication technologies,
2015,Number,Una-Sana Canton,"Engineering, production and construction",
2015,Number,Una-Sana Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2015,Number,Una-Sana Canton,Health and social protection,
2015,Number,Una-Sana Canton,Services,
2015,Number,Tuzla Canton,Education,
2015,Number,Tuzla Canton,Arts and humanities,
2015,Number,Tuzla Canton,"Social sciences, journalism and information",
2015,Number,Tuzla Canton,"Business, administration and law",
2015,Number,Tuzla Canton,"Natural sciences, mathematics and statistics",
2015,Number,Tuzla Canton,Information and communication technologies,
2015,Number,Tuzla Canton,"Engineering, production and construction",
2015,Number,Tuzla Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2015,Number,Tuzla Canton,Health and social protection,
2015,Number,Tuzla Canton,Services,
2015,Number,Zenica-Doboj Canton,Education,
2015,Number,Zenica-Doboj Canton,Arts and humanities,
2015,Number,Zenica-Doboj Canton,"Social sciences, journalism and information",
2015,Number,Zenica-Doboj Canton,"Business, administration and law",
2015,Number,Zenica-Doboj Canton,"Natural sciences, mathematics and statistics",
2015,Number,Zenica-Doboj Canton,Information and communication technologies,
2015,Number,Zenica-Doboj Canton,"Engineering, production and construction",
2015,Number,Zenica-Doboj Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2015,Number,Zenica-Doboj Canton,Health and social protection,
2015,Number,Zenica-Doboj Canton,Services,
2015,Number,Bosnian-Podrinje Canton,Education,
2015,Number,Bosnian-Podrinje Canton,Arts and humanities,
2015,Number,Bosnian-Podrinje Canton,"Social sciences, journalism and information",
2015,Number,Bosnian-Podrinje Canton,"Business, administration and law",
2015,Number,Bosnian-Podrinje Canton,"Natural sciences, mathematics and statistics",
2015,Number,Bosnian-Podrinje Canton,Information and communication technologies,
2015,Number,Bosnian-Podrinje Canton,"Engineering, production and construction",
2015,Number,Bosnian-Podrinje Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2015,Number,Bosnian-Podrinje Canton,Health and social protection,
2015,Number,Bosnian-Podrinje Canton,Services,
2015,Number,Central Bosnia Canton,Education,
2015,Number,Central Bosnia Canton,Arts and humanities,
2015,Number,Central Bosnia Canton,"Social sciences, journalism and information",
2015,Number,Central Bosnia Canton,"Business, administration and law",
2015,Number,Central Bosnia Canton,"Natural sciences, mathematics and statistics",
2015,Number,Central Bosnia Canton,Information and communication technologies,
2015,Number,Central Bosnia Canton,"Engineering, production and construction",
2015,Number,Central Bosnia Canton,"Agriculture, forestry, fisheries and veterinary medicine",
2015,Number,Central Bosnia Canton,Health and social protection,
2015,Number,Central Bosnia Canton,Services,
2015,Number,Herzegovina-Neretva Canton,Education,
2015,Number,Herzegovina-Neretva Canton,Arts and humanities,
2015,Number,Herzegovina-Neretva Canton,"Social sciences, journalism and information",
2015,Number,Herzegovina-Neretva Canton,"Business, administration and law",
2015,Number,Herzegovina-Neretva Canton,"Natural sciences, mathematics and statistics",
