Year,UNIT_MEASURE,Admin_Area,Пол,Value
2011,Број,central_bosnia_canton,Ж,
2012,Број,central_bosnia_canton,Ж,
2013,Број,central_bosnia_canton,Ж,
2014,Број,central_bosnia_canton,Ж,
2015,Број,central_bosnia_canton,Ж,
2016,Број,central_bosnia_canton,Ж,
2017,Број,central_bosnia_canton,Ж,
2018,Број,central_bosnia_canton,Ж,
2019,Број,central_bosnia_canton,Ж,
2010,Број,herzegovina-neretva_canton,Оба пола,2059.0
2011,Број,herzegovina-neretva_canton,Оба пола,2273.0
2012,Број,herzegovina-neretva_canton,Оба пола,2435.0
2013,Број,herzegovina-neretva_canton,Оба пола,2441.0
2014,Број,herzegovina-neretva_canton,Оба пола,2969.0
2015,Број,herzegovina-neretva_canton,Оба пола,3097.0
2016,Број,herzegovina-neretva_canton,Оба пола,2783.0
2017,Број,herzegovina-neretva_canton,Оба пола,2789.0
2018,Број,herzegovina-neretva_canton,Оба пола,2943.0
2019,Број,herzegovina-neretva_canton,Оба пола,2638.0
2010,Број,herzegovina-neretva_canton,M,
2011,Број,herzegovina-neretva_canton,M,
2012,Број,herzegovina-neretva_canton,M,
2013,Број,herzegovina-neretva_canton,M,
2014,Број,herzegovina-neretva_canton,M,
2015,Број,herzegovina-neretva_canton,M,
2016,Број,herzegovina-neretva_canton,M,
2017,Број,herzegovina-neretva_canton,M,
2018,Број,herzegovina-neretva_canton,M,
2019,Број,herzegovina-neretva_canton,M,
2010,Број,herzegovina-neretva_canton,Ж,
2011,Број,herzegovina-neretva_canton,Ж,
2012,Број,herzegovina-neretva_canton,Ж,
2013,Број,herzegovina-neretva_canton,Ж,
2014,Број,herzegovina-neretva_canton,Ж,
2015,Број,herzegovina-neretva_canton,Ж,
2016,Број,herzegovina-neretva_canton,Ж,
2017,Број,herzegovina-neretva_canton,Ж,
2018,Број,herzegovina-neretva_canton,Ж,
2019,Број,herzegovina-neretva_canton,Ж,
2010,Број,sarajevo_canton,Оба пола,5667.0
2011,Број,sarajevo_canton,Оба пола,5583.0
2012,Број,sarajevo_canton,Оба пола,5515.0
2013,Број,sarajevo_canton,Оба пола,5684.0
2014,Број,sarajevo_canton,Оба пола,6109.0
2015,Број,sarajevo_canton,Оба пола,5333.0
2016,Број,sarajevo_canton,Оба пола,5207.0
2017,Број,sarajevo_canton,Оба пола,5649.0
2018,Број,sarajevo_canton,Оба пола,5116.0
2019,Број,sarajevo_canton,Оба пола,5285.0
2010,Број,sarajevo_canton,M,
2011,Број,sarajevo_canton,M,
2012,Број,sarajevo_canton,M,
2013,Број,sarajevo_canton,M,
2014,Број,sarajevo_canton,M,
2015,Број,sarajevo_canton,M,
2016,Број,sarajevo_canton,M,
2017,Број,sarajevo_canton,M,
2018,Број,sarajevo_canton,M,
2019,Број,sarajevo_canton,M,
2010,Број,sarajevo_canton,Ж,
2011,Број,sarajevo_canton,Ж,
2012,Број,sarajevo_canton,Ж,
2013,Број,sarajevo_canton,Ж,
2014,Број,sarajevo_canton,Ж,
2015,Број,sarajevo_canton,Ж,
2016,Број,sarajevo_canton,Ж,
2017,Број,sarajevo_canton,Ж,
2018,Број,sarajevo_canton,Ж,
2019,Број,sarajevo_canton,Ж,
