Year,Пол,Врста инвалидитета,Старосна доб,UNIT_MEASURE,Value
2013,M,self_care,0-14,Број,104
2013,M,Communication,0-14,Број,215
2013,M,multiple_disabilities,0-14,Број,1077
2013,M,Seeing,15-19,Број,430
2013,M,Hearing,15-19,Број,101
2013,M,walking_or_climbing_up_the_stairs,15-19,Број,268
2013,M,remembering_or_concentration,15-19,Број,95
2013,M,self_care,15-19,Број,19
2013,M,Communication,15-19,Број,75
2013,M,multiple_disabilities,15-19,Број,653
2013,M,Seeing,20-29,Број,976
2013,M,Hearing,20-29,Број,223
2013,M,walking_or_climbing_up_the_stairs,20-29,Број,883
2013,M,remembering_or_concentration,20-29,Број,256
2013,M,self_care,20-29,Број,44
2013,M,Communication,20-29,Број,133
2013,M,multiple_disabilities,20-29,Број,1306
2013,M,Seeing,30-49,Број,4313
2013,M,Hearing,30-49,Број,1722
2013,M,walking_or_climbing_up_the_stairs,30-49,Број,10912
2013,M,remembering_or_concentration,30-49,Број,1488
2013,M,self_care,30-49,Број,216
2013,M,Communication,30-49,Број,442
2013,M,multiple_disabilities,30-49,Број,6669
2013,M,Seeing,50-59,Број,6088
2013,M,Hearing,50-59,Број,2282
2013,M,walking_or_climbing_up_the_stairs,50-59,Број,11557
2013,M,remembering_or_concentration,50-59,Број,1170
2013,M,self_care,50-59,Број,179
2013,M,Communication,50-59,Број,338
2013,M,multiple_disabilities,50-59,Број,9039
2013,M,Seeing,60-64,Број,3155
2013,M,Hearing,60-64,Број,1432
2013,M,walking_or_climbing_up_the_stairs,60-64,Број,5672
2013,M,remembering_or_concentration,60-64,Број,440
2013,M,self_care,60-64,Број,57
2013,M,Communication,60-64,Број,198
2013,M,multiple_disabilities,60-64,Број,5203
2013,M,Seeing,65+,Број,8036
2013,M,Hearing,65+,Број,6620
2013,M,walking_or_climbing_up_the_stairs,65+,Број,13529
2013,M,remembering_or_concentration,65+,Број,1092
2013,M,self_care,65+,Број,266
2013,M,Communication,65+,Број,360
2013,M,multiple_disabilities,65+,Број,22432
2013,Ж,Seeing,0-14,Број,513
2013,Ж,Hearing,0-14,Број,116
2013,Ж,walking_or_climbing_up_the_stairs,0-14,Број,301
2013,Ж,remembering_or_concentration,0-14,Број,77
2013,Ж,self_care,0-14,Број,60
2013,Ж,Communication,0-14,Број,103
2013,Ж,multiple_disabilities,0-14,Број,749
2013,Ж,Seeing,15-19,Број,432
2013,Ж,Hearing,15-19,Број,90
2013,Ж,walking_or_climbing_up_the_stairs,15-19,Број,210
2013,Ж,remembering_or_concentration,15-19,Број,34
2013,Ж,self_care,15-19,Број,13
2013,Ж,Communication,15-19,Број,37
2013,Ж,multiple_disabilities,15-19,Број,429
2013,Ж,Seeing,20-29,Број,843
2013,Ж,Hearing,20-29,Број,147
2013,Ж,walking_or_climbing_up_the_stairs,20-29,Број,467
2013,Ж,remembering_or_concentration,20-29,Број,124
2013,Ж,self_care,20-29,Број,28
2013,Ж,Communication,20-29,Број,75
2013,Ж,multiple_disabilities,20-29,Број,893
2013,Ж,Seeing,30-49,Број,3528
2013,Ж,Hearing,30-49,Број,738
2013,Ж,walking_or_climbing_up_the_stairs,30-49,Број,4950
2013,Ж,remembering_or_concentration,30-49,Број,849
2013,Ж,self_care,30-49,Број,103
2013,Ж,Communication,30-49,Број,241
2013,Ж,multiple_disabilities,30-49,Број,4025
2013,Ж,Seeing,50-59,Број,6782
2013,Ж,Hearing,50-59,Број,1216
2013,Ж,walking_or_climbing_up_the_stairs,50-59,Број,9927
2013,Ж,remembering_or_concentration,50-59,Број,865
2013,Ж,self_care,50-59,Број,80
2013,Ж,Communication,50-59,Број,150
2013,Ж,multiple_disabilities,50-59,Број,7822
2013,Ж,Seeing,60-64,Број,4034
2013,Ж,Hearing,60-64,Број,857
2013,Ж,walking_or_climbing_up_the_stairs,60-64,Број,7055
2013,Ж,remembering_or_concentration,60-64,Број,430
2013,Ж,self_care,60-64,Број,43
2013,Ж,Communication,60-64,Број,61
2013,Ж,multiple_disabilities,60-64,Број,5922
2013,Ж,Seeing,65+,Број,12600
2013,Ж,Hearing,65+,Број,5885
2013,Ж,walking_or_climbing_up_the_stairs,65+,Број,30877
2013,Ж,remembering_or_concentration,65+,Број,1744
2013,Ж,self_care,65+,Број,321
2013,Ж,Communication,65+,Број,226
2013,Ж,multiple_disabilities,65+,Број,44011
