Year,UNIT_MEASURE,Административна јединица,Врста образовања,Пол,Value
2017,Број,Зеничко-добојски кантон,Специјалисти,Оба пола,
2017,Број,Зеничко-добојски кантон,Специјалисти,M,
2017,Број,Зеничко-добојски кантон,Специјалисти,Ж,
2018,Број,Зеничко-добојски кантон,Специјалисти,Оба пола,
2018,Број,Зеничко-добојски кантон,Специјалисти,M,
2018,Број,Зеничко-добојски кантон,Специјалисти,Ж,
2019,Број,Зеничко-добојски кантон,Специјалисти,Оба пола,
2019,Број,Зеничко-добојски кантон,Специјалисти,M,
2019,Број,Зеничко-добојски кантон,Специјалисти,Ж,
2020,Број,Зеничко-добојски кантон,Специјалисти,Оба пола,
2020,Број,Зеничко-добојски кантон,Специјалисти,M,
2020,Број,Зеничко-добојски кантон,Специјалисти,Ж,
2016,Број,Босанско-подрињски кантон,Магистри наука,Оба пола,
2016,Број,Босанско-подрињски кантон,Магистри наука,M,
2016,Број,Босанско-подрињски кантон,Магистри наука,Ж,
2017,Број,Босанско-подрињски кантон,Магистри наука,Оба пола,
2017,Број,Босанско-подрињски кантон,Магистри наука,M,
2017,Број,Босанско-подрињски кантон,Магистри наука,Ж,
2018,Број,Босанско-подрињски кантон,Магистри наука,Оба пола,
2018,Број,Босанско-подрињски кантон,Магистри наука,M,
2018,Број,Босанско-подрињски кантон,Магистри наука,Ж,
2019,Број,Босанско-подрињски кантон,Магистри наука,Оба пола,
2019,Број,Босанско-подрињски кантон,Магистри наука,M,
2019,Број,Босанско-подрињски кантон,Магистри наука,Ж,
2020,Број,Босанско-подрињски кантон,Магистри наука,Оба пола,
2020,Број,Босанско-подрињски кантон,Магистри наука,M,
2020,Број,Босанско-подрињски кантон,Магистри наука,Ж,
2016,Број,Босанско-подрињски кантон,Мастери,Оба пола,
2016,Број,Босанско-подрињски кантон,Мастери,M,
2016,Број,Босанско-подрињски кантон,Мастери,Ж,
2017,Број,Босанско-подрињски кантон,Мастери,Оба пола,
2017,Број,Босанско-подрињски кантон,Мастери,M,
2017,Број,Босанско-подрињски кантон,Мастери,Ж,
2018,Број,Босанско-подрињски кантон,Мастери,Оба пола,
2018,Број,Босанско-подрињски кантон,Мастери,M,
2018,Број,Босанско-подрињски кантон,Мастери,Ж,
2019,Број,Босанско-подрињски кантон,Мастери,Оба пола,
2019,Број,Босанско-подрињски кантон,Мастери,M,
2019,Број,Босанско-подрињски кантон,Мастери,Ж,
2020,Број,Босанско-подрињски кантон,Мастери,Оба пола,
2020,Број,Босанско-подрињски кантон,Мастери,M,
2020,Број,Босанско-подрињски кантон,Мастери,Ж,
2016,Број,Босанско-подрињски кантон,Специјалисти,Оба пола,
2016,Број,Босанско-подрињски кантон,Специјалисти,M,
2016,Број,Босанско-подрињски кантон,Специјалисти,Ж,
2017,Број,Босанско-подрињски кантон,Специјалисти,Оба пола,
2017,Број,Босанско-подрињски кантон,Специјалисти,M,
2017,Број,Босанско-подрињски кантон,Специјалисти,Ж,
2018,Број,Босанско-подрињски кантон,Специјалисти,Оба пола,
2018,Број,Босанско-подрињски кантон,Специјалисти,M,
2018,Број,Босанско-подрињски кантон,Специјалисти,Ж,
2019,Број,Босанско-подрињски кантон,Специјалисти,Оба пола,
2019,Број,Босанско-подрињски кантон,Специјалисти,M,
2019,Број,Босанско-подрињски кантон,Специјалисти,Ж,
2020,Број,Босанско-подрињски кантон,Специјалисти,Оба пола,
2020,Број,Босанско-подрињски кантон,Специјалисти,M,
2020,Број,Босанско-подрињски кантон,Специјалисти,Ж,
2016,Број,Средњобосански кантон,Магистри наука,Оба пола,
2016,Број,Средњобосански кантон,Магистри наука,M,
2016,Број,Средњобосански кантон,Магистри наука,Ж,
2017,Број,Средњобосански кантон,Магистри наука,Оба пола,
2017,Број,Средњобосански кантон,Магистри наука,M,
2017,Број,Средњобосански кантон,Магистри наука,Ж,
2018,Број,Средњобосански кантон,Магистри наука,Оба пола,
2018,Број,Средњобосански кантон,Магистри наука,M,
2018,Број,Средњобосански кантон,Магистри наука,Ж,
2019,Број,Средњобосански кантон,Магистри наука,Оба пола,
2019,Број,Средњобосански кантон,Магистри наука,M,
2019,Број,Средњобосански кантон,Магистри наука,Ж,
2020,Број,Средњобосански кантон,Магистри наука,Оба пола,
2020,Број,Средњобосански кантон,Магистри наука,M,
2020,Број,Средњобосански кантон,Магистри наука,Ж,
2016,Број,Средњобосански кантон,Мастери,Оба пола,
2016,Број,Средњобосански кантон,Мастери,M,
2016,Број,Средњобосански кантон,Мастери,Ж,
2017,Број,Средњобосански кантон,Мастери,Оба пола,
2017,Број,Средњобосански кантон,Мастери,M,
2017,Број,Средњобосански кантон,Мастери,Ж,
2018,Број,Средњобосански кантон,Мастери,Оба пола,
2018,Број,Средњобосански кантон,Мастери,M,
2018,Број,Средњобосански кантон,Мастери,Ж,
2019,Број,Средњобосански кантон,Мастери,Оба пола,
2019,Број,Средњобосански кантон,Мастери,M,
2019,Број,Средњобосански кантон,Мастери,Ж,
2020,Број,Средњобосански кантон,Мастери,Оба пола,
2020,Број,Средњобосански кантон,Мастери,M,
2020,Број,Средњобосански кантон,Мастери,Ж,
2016,Број,Средњобосански кантон,Специјалисти,Оба пола,
2016,Број,Средњобосански кантон,Специјалисти,M,
2016,Број,Средњобосански кантон,Специјалисти,Ж,
2017,Број,Средњобосански кантон,Специјалисти,Оба пола,
2017,Број,Средњобосански кантон,Специјалисти,M,
2017,Број,Средњобосански кантон,Специјалисти,Ж,
2018,Број,Средњобосански кантон,Специјалисти,Оба пола,
2018,Број,Средњобосански кантон,Специјалисти,M,
2018,Број,Средњобосански кантон,Специјалисти,Ж,
2019,Број,Средњобосански кантон,Специјалисти,Оба пола,
2019,Број,Средњобосански кантон,Специјалисти,M,
2019,Број,Средњобосански кантон,Специјалисти,Ж,
2020,Број,Средњобосански кантон,Специјалисти,Оба пола,
2020,Број,Средњобосански кантон,Специјалисти,M,
2020,Број,Средњобосански кантон,Специјалисти,Ж,
2016,Број,Херцеговачко-неретвански кантон,Магистри наука,Оба пола,
2016,Број,Херцеговачко-неретвански кантон,Магистри наука,M,
2016,Број,Херцеговачко-неретвански кантон,Магистри наука,Ж,
2017,Број,Херцеговачко-неретвански кантон,Магистри наука,Оба пола,
2017,Број,Херцеговачко-неретвански кантон,Магистри наука,M,
2017,Број,Херцеговачко-неретвански кантон,Магистри наука,Ж,
2018,Број,Херцеговачко-неретвански кантон,Магистри наука,Оба пола,
2018,Број,Херцеговачко-неретвански кантон,Магистри наука,M,
2018,Број,Херцеговачко-неретвански кантон,Магистри наука,Ж,
2019,Број,Херцеговачко-неретвански кантон,Магистри наука,Оба пола,
2019,Број,Херцеговачко-неретвански кантон,Магистри наука,M,
2019,Број,Херцеговачко-неретвански кантон,Магистри наука,Ж,
2020,Број,Херцеговачко-неретвански кантон,Магистри наука,Оба пола,
2020,Број,Херцеговачко-неретвански кантон,Магистри наука,M,
2020,Број,Херцеговачко-неретвански кантон,Магистри наука,Ж,
2016,Број,Херцеговачко-неретвански кантон,Мастери,Оба пола,
2016,Број,Херцеговачко-неретвански кантон,Мастери,M,
2016,Број,Херцеговачко-неретвански кантон,Мастери,Ж,
2017,Број,Херцеговачко-неретвански кантон,Мастери,Оба пола,
2017,Број,Херцеговачко-неретвански кантон,Мастери,M,
2017,Број,Херцеговачко-неретвански кантон,Мастери,Ж,
2018,Број,Херцеговачко-неретвански кантон,Мастери,Оба пола,
2018,Број,Херцеговачко-неретвански кантон,Мастери,M,
2018,Број,Херцеговачко-неретвански кантон,Мастери,Ж,
2019,Број,Херцеговачко-неретвански кантон,Мастери,Оба пола,
2019,Број,Херцеговачко-неретвански кантон,Мастери,M,
2019,Број,Херцеговачко-неретвански кантон,Мастери,Ж,
2020,Број,Херцеговачко-неретвански кантон,Мастери,Оба пола,
2020,Број,Херцеговачко-неретвански кантон,Мастери,M,
2020,Број,Херцеговачко-неретвански кантон,Мастери,Ж,
2016,Број,Херцеговачко-неретвански кантон,Специјалисти,Оба пола,
2016,Број,Херцеговачко-неретвански кантон,Специјалисти,M,
2016,Број,Херцеговачко-неретвански кантон,Специјалисти,Ж,
2017,Број,Херцеговачко-неретвански кантон,Специјалисти,Оба пола,
2017,Број,Херцеговачко-неретвански кантон,Специјалисти,M,
2017,Број,Херцеговачко-неретвански кантон,Специјалисти,Ж,
2018,Број,Херцеговачко-неретвански кантон,Специјалисти,Оба пола,
2018,Број,Херцеговачко-неретвански кантон,Специјалисти,M,
2018,Број,Херцеговачко-неретвански кантон,Специјалисти,Ж,
2019,Број,Херцеговачко-неретвански кантон,Специјалисти,Оба пола,
2019,Број,Херцеговачко-неретвански кантон,Специјалисти,M,
2019,Број,Херцеговачко-неретвански кантон,Специјалисти,Ж,
2020,Број,Херцеговачко-неретвански кантон,Специјалисти,Оба пола,
2020,Број,Херцеговачко-неретвански кантон,Специјалисти,M,
2020,Број,Херцеговачко-неретвански кантон,Специјалисти,Ж,
2016,Број,Кантон Сарајево,Магистри наука,Оба пола,
2016,Број,Кантон Сарајево,Магистри наука,M,
2016,Број,Кантон Сарајево,Магистри наука,Ж,
2017,Број,Кантон Сарајево,Магистри наука,Оба пола,
2017,Број,Кантон Сарајево,Магистри наука,M,
2017,Број,Кантон Сарајево,Магистри наука,Ж,
2018,Број,Кантон Сарајево,Магистри наука,Оба пола,
2018,Број,Кантон Сарајево,Магистри наука,M,
2018,Број,Кантон Сарајево,Магистри наука,Ж,
2019,Број,Кантон Сарајево,Магистри наука,Оба пола,
2019,Број,Кантон Сарајево,Магистри наука,M,
2019,Број,Кантон Сарајево,Магистри наука,Ж,
2020,Број,Кантон Сарајево,Магистри наука,Оба пола,
2020,Број,Кантон Сарајево,Магистри наука,M,
2020,Број,Кантон Сарајево,Магистри наука,Ж,
2016,Број,Кантон Сарајево,Мастери,Оба пола,
2016,Број,Кантон Сарајево,Мастери,M,
2016,Број,Кантон Сарајево,Мастери,Ж,
2017,Број,Кантон Сарајево,Мастери,Оба пола,
2017,Број,Кантон Сарајево,Мастери,M,
2017,Број,Кантон Сарајево,Мастери,Ж,
2018,Број,Кантон Сарајево,Мастери,Оба пола,
2018,Број,Кантон Сарајево,Мастери,M,
2018,Број,Кантон Сарајево,Мастери,Ж,
2019,Број,Кантон Сарајево,Мастери,Оба пола,
2019,Број,Кантон Сарајево,Мастери,M,
2019,Број,Кантон Сарајево,Мастери,Ж,
2020,Број,Кантон Сарајево,Мастери,Оба пола,
2020,Број,Кантон Сарајево,Мастери,M,
2020,Број,Кантон Сарајево,Мастери,Ж,
2016,Број,Кантон Сарајево,Специјалисти,Оба пола,
2016,Број,Кантон Сарајево,Специјалисти,M,
2016,Број,Кантон Сарајево,Специјалисти,Ж,
2017,Број,Кантон Сарајево,Специјалисти,Оба пола,
2017,Број,Кантон Сарајево,Специјалисти,M,
2017,Број,Кантон Сарајево,Специјалисти,Ж,
2018,Број,Кантон Сарајево,Специјалисти,Оба пола,
2018,Број,Кантон Сарајево,Специјалисти,M,
2018,Број,Кантон Сарајево,Специјалисти,Ж,
2019,Број,Кантон Сарајево,Специјалисти,Оба пола,
2019,Број,Кантон Сарајево,Специјалисти,M,
2019,Број,Кантон Сарајево,Специјалисти,Ж,
2020,Број,Кантон Сарајево,Специјалисти,Оба пола,
2020,Број,Кантон Сарајево,Специјалисти,M,
2020,Број,Кантон Сарајево,Специјалисти,Ж,
