Year,UNIT_MEASURE,Административна јединица,Врста школе,Пол,Value
2022,Број,Западнохерцеговчки кантон,Умјетничке школе,Оба пола,1
2016,Број,Кантон Сарајево,Умјетничке школе,Оба пола,68
2017,Број,Кантон Сарајево,Умјетничке школе,Оба пола,42
2018,Број,Кантон Сарајево,Умјетничке школе,Оба пола,78
2019,Број,Кантон Сарајево,Умјетничке школе,Оба пола,82
2020,Број,Кантон Сарајево,Умјетничке школе,Оба пола,62
2021,Број,Кантон Сарајево,Умјетничке школе,Оба пола,81
2022,Број,Кантон Сарајево,Умјетничке школе,Оба пола,69
2016,Број,Федерација Босне и Херцеговине,Умјетничке школе,M,79
2017,Број,Федерација Босне и Херцеговине,Умјетничке школе,M,48
2018,Број,Федерација Босне и Херцеговине,Умјетничке школе,M,87
2019,Број,Федерација Босне и Херцеговине,Умјетничке школе,M,85
2020,Број,Федерација Босне и Херцеговине,Умјетничке школе,M,54
2021,Број,Федерација Босне и Херцеговине,Умјетничке школе,M,58
2022,Број,Федерација Босне и Херцеговине,Умјетничке школе,M,66
2016,Број,Унско-сански кантон,Умјетничке школе,M,13
2017,Број,Унско-сански кантон,Умјетничке школе,M,10
2018,Број,Унско-сански кантон,Умјетничке школе,M,4
2019,Број,Унско-сански кантон,Умјетничке школе,M,6
2020,Број,Унско-сански кантон,Умјетничке школе,M,2
2021,Број,Унско-сански кантон,Умјетничке школе,M,6
2022,Број,Унско-сански кантон,Умјетничке школе,M,5
2016,Број,Тузлански кантон,Умјетничке школе,M,9
2017,Број,Тузлански кантон,Умјетничке школе,M,5
2018,Број,Тузлански кантон,Умјетничке школе,M,15
2019,Број,Тузлански кантон,Умјетничке школе,M,22
2020,Број,Тузлански кантон,Умјетничке школе,M,14
2021,Број,Тузлански кантон,Умјетничке школе,M,10
2022,Број,Тузлански кантон,Умјетничке школе,M,17
2016,Број,Зеничко-добојски кантон,Умјетничке школе,M,12
2017,Број,Зеничко-добојски кантон,Умјетничке школе,M,9
2018,Број,Зеничко-добојски кантон,Умјетничке школе,M,16
2019,Број,Зеничко-добојски кантон,Умјетничке школе,M,3
2020,Број,Зеничко-добојски кантон,Умјетничке школе,M,5
2021,Број,Зеничко-добојски кантон,Умјетничке школе,M,1
2022,Број,Зеничко-добојски кантон,Умјетничке школе,M,1
2016,Број,Средњобосански кантон,Умјетничке школе,M,5
2017,Број,Средњобосански кантон,Умјетничке школе,M,6
2018,Број,Средњобосански кантон,Умјетничке школе,M,9
2019,Број,Средњобосански кантон,Умјетничке школе,M,9
2020,Број,Средњобосански кантон,Умјетничке школе,M,7
2021,Број,Средњобосански кантон,Умјетничке школе,M,5
2022,Број,Средњобосански кантон,Умјетничке школе,M,4
2016,Број,Херцеговачко-неретвански кантон,Умјетничке школе,M,8
2017,Број,Херцеговачко-неретвански кантон,Умјетничке школе,M,6
2018,Број,Херцеговачко-неретвански кантон,Умјетничке школе,M,15
2019,Број,Херцеговачко-неретвански кантон,Умјетничке школе,M,13
2020,Број,Херцеговачко-неретвански кантон,Умјетничке школе,M,9
2021,Број,Херцеговачко-неретвански кантон,Умјетничке школе,M,3
2022,Број,Херцеговачко-неретвански кантон,Умјетничке школе,M,6
2016,Број,Западнохерцеговчки кантон,Умјетничке школе,M,2
2017,Број,Западнохерцеговчки кантон,Умјетничке школе,M,1
2018,Број,Западнохерцеговчки кантон,Умјетничке школе,M,0
2019,Број,Западнохерцеговчки кантон,Умјетничке школе,M,4
2021,Број,Западнохерцеговчки кантон,Умјетничке школе,M,4
2022,Број,Западнохерцеговчки кантон,Умјетничке школе,M,1
2016,Број,Кантон Сарајево,Умјетничке школе,M,30
2017,Број,Кантон Сарајево,Умјетничке школе,M,11
2018,Број,Кантон Сарајево,Умјетничке школе,M,28
2019,Број,Кантон Сарајево,Умјетничке школе,M,28
2020,Број,Кантон Сарајево,Умјетничке школе,M,17
2021,Број,Кантон Сарајево,Умјетничке школе,M,29
2022,Број,Кантон Сарајево,Умјетничке школе,M,32
2016,Број,Федерација Босне и Херцеговине,Умјетничке школе,Ж,139
2017,Број,Федерација Босне и Херцеговине,Умјетничке школе,Ж,88
2018,Број,Федерација Босне и Херцеговине,Умјетничке школе,Ж,145
2019,Број,Федерација Босне и Херцеговине,Умјетничке школе,Ж,132
2020,Број,Федерација Босне и Херцеговине,Умјетничке школе,Ж,127
2021,Број,Федерација Босне и Херцеговине,Умјетничке школе,Ж,111
2022,Број,Федерација Босне и Херцеговине,Умјетничке школе,Ж,96
2016,Број,Унско-сански кантон,Умјетничке школе,Ж,15
2017,Број,Унско-сански кантон,Умјетничке школе,Ж,13
2018,Број,Унско-сански кантон,Умјетничке школе,Ж,14
2019,Број,Унско-сански кантон,Умјетничке школе,Ж,10
2020,Број,Унско-сански кантон,Умјетничке школе,Ж,6
2021,Број,Унско-сански кантон,Умјетничке школе,Ж,5
2022,Број,Унско-сански кантон,Умјетничке школе,Ж,9
2016,Број,Тузлански кантон,Умјетничке школе,Ж,17
2017,Број,Тузлански кантон,Умјетничке школе,Ж,10
2018,Број,Тузлански кантон,Умјетничке школе,Ж,23
2019,Број,Тузлански кантон,Умјетничке школе,Ж,21
2020,Број,Тузлански кантон,Умјетничке школе,Ж,33
2021,Број,Тузлански кантон,Умјетничке школе,Ж,23
2022,Број,Тузлански кантон,Умјетничке школе,Ж,21
2016,Број,Зеничко-добојски кантон,Умјетничке школе,Ж,12
2017,Број,Зеничко-добојски кантон,Умјетничке школе,Ж,7
2018,Број,Зеничко-добојски кантон,Умјетничке школе,Ж,13
2019,Број,Зеничко-добојски кантон,Умјетничке школе,Ж,3
2020,Број,Зеничко-добојски кантон,Умјетничке школе,Ж,13
2021,Број,Зеничко-добојски кантон,Умјетничке школе,Ж,7
2022,Број,Зеничко-добојски кантон,Умјетничке школе,Ж,7
2016,Број,Средњобосански кантон,Умјетничке школе,Ж,22
2017,Број,Средњобосански кантон,Умјетничке школе,Ж,13
2018,Број,Средњобосански кантон,Умјетничке школе,Ж,20
2019,Број,Средњобосански кантон,Умјетничке школе,Ж,14
2020,Број,Средњобосански кантон,Умјетничке школе,Ж,10
2021,Број,Средњобосански кантон,Умјетничке школе,Ж,3
2022,Број,Средњобосански кантон,Умјетничке школе,Ж,14
2016,Број,Херцеговачко-неретвански кантон,Умјетничке школе,Ж,29
2017,Број,Херцеговачко-неретвански кантон,Умјетничке школе,Ж,10
2018,Број,Херцеговачко-неретвански кантон,Умјетничке школе,Ж,23
2019,Број,Херцеговачко-неретвански кантон,Умјетничке школе,Ж,29
2020,Број,Херцеговачко-неретвански кантон,Умјетничке школе,Ж,20
2021,Број,Херцеговачко-неретвански кантон,Умјетничке школе,Ж,13
2022,Број,Херцеговачко-неретвански кантон,Умјетничке школе,Ж,8
2016,Број,Западнохерцеговчки кантон,Умјетничке школе,Ж,6
2017,Број,Западнохерцеговчки кантон,Умјетничке школе,Ж,4
2018,Број,Западнохерцеговчки кантон,Умјетничке школе,Ж,2
2019,Број,Западнохерцеговчки кантон,Умјетничке школе,Ж,1
2021,Број,Западнохерцеговчки кантон,Умјетничке школе,Ж,8
2022,Број,Западнохерцеговчки кантон,Умјетничке школе,Ж,0
2016,Број,Кантон Сарајево,Умјетничке школе,Ж,38
2017,Број,Кантон Сарајево,Умјетничке школе,Ж,31
2018,Број,Кантон Сарајево,Умјетничке школе,Ж,50
2019,Број,Кантон Сарајево,Умјетничке школе,Ж,54
2020,Број,Кантон Сарајево,Умјетничке школе,Ж,45
2021,Број,Кантон Сарајево,Умјетничке школе,Ж,52
2022,Број,Кантон Сарајево,Умјетничке школе,Ж,37
2016,Број,Федерација Босне и Херцеговине,Гимназија,Оба пола,6584
2017,Број,Федерација Босне и Херцеговине,Гимназија,Оба пола,5298
2018,Број,Федерација Босне и Херцеговине,Гимназија,Оба пола,5401
2019,Број,Федерација Босне и Херцеговине,Гимназија,Оба пола,5049
2020,Број,Федерација Босне и Херцеговине,Гимназија,Оба пола,4792
2021,Број,Федерација Босне и Херцеговине,Гимназија,Оба пола,4356
2022,Број,Федерација Босне и Херцеговине,Гимназија,Оба пола,3416
2016,Број,Унско-сански кантон,Гимназија,Оба пола,764
2017,Број,Унско-сански кантон,Гимназија,Оба пола,422
2018,Број,Унско-сански кантон,Гимназија,Оба пола,570
2019,Број,Унско-сански кантон,Гимназија,Оба пола,421
2020,Број,Унско-сански кантон,Гимназија,Оба пола,432
2021,Број,Унско-сански кантон,Гимназија,Оба пола,379
2022,Број,Унско-сански кантон,Гимназија,Оба пола,319
2016,Број,Посавски кантон,Гимназија,Оба пола,77
2017,Број,Посавски кантон,Гимназија,Оба пола,56
2018,Број,Посавски кантон,Гимназија,Оба пола,44
2019,Број,Посавски кантон,Гимназија,Оба пола,58
2020,Број,Посавски кантон,Гимназија,Оба пола,56
2021,Број,Посавски кантон,Гимназија,Оба пола,55
2022,Број,Посавски кантон,Гимназија,Оба пола,44
2016,Број,Тузлански кантон,Гимназија,Оба пола,913
2017,Број,Тузлански кантон,Гимназија,Оба пола,765
2018,Број,Тузлански кантон,Гимназија,Оба пола,529
2019,Број,Тузлански кантон,Гимназија,Оба пола,622
2020,Број,Тузлански кантон,Гимназија,Оба пола,536
2021,Број,Тузлански кантон,Гимназија,Оба пола,596
2022,Број,Тузлански кантон,Гимназија,Оба пола,546
2016,Број,Зеничко-добојски кантон,Гимназија,Оба пола,921
2017,Број,Зеничко-добојски кантон,Гимназија,Оба пола,846
2018,Број,Зеничко-добојски кантон,Гимназија,Оба пола,986
2019,Број,Зеничко-добојски кантон,Гимназија,Оба пола,854
2020,Број,Зеничко-добојски кантон,Гимназија,Оба пола,861
2021,Број,Зеничко-добојски кантон,Гимназија,Оба пола,704
2022,Број,Зеничко-добојски кантон,Гимназија,Оба пола,477
2016,Број,Босанско-подрињски кантон,Гимназија,Оба пола,46
2017,Број,Босанско-подрињски кантон,Гимназија,Оба пола,31
2018,Број,Босанско-подрињски кантон,Гимназија,Оба пола,50
2019,Број,Босанско-подрињски кантон,Гимназија,Оба пола,50
2020,Број,Босанско-подрињски кантон,Гимназија,Оба пола,38
2021,Број,Босанско-подрињски кантон,Гимназија,Оба пола,43
2022,Број,Босанско-подрињски кантон,Гимназија,Оба пола,27
2016,Број,Средњобосански кантон,Гимназија,Оба пола,747
2017,Број,Средњобосански кантон,Гимназија,Оба пола,724
2018,Број,Средњобосански кантон,Гимназија,Оба пола,516
2019,Број,Средњобосански кантон,Гимназија,Оба пола,499
2020,Број,Средњобосански кантон,Гимназија,Оба пола,504
2021,Број,Средњобосански кантон,Гимназија,Оба пола,366
2022,Број,Средњобосански кантон,Гимназија,Оба пола,181
2016,Број,Херцеговачко-неретвански кантон,Гимназија,Оба пола,841
2017,Број,Херцеговачко-неретвански кантон,Гимназија,Оба пола,770
2018,Број,Херцеговачко-неретвански кантон,Гимназија,Оба пола,672
2019,Број,Херцеговачко-неретвански кантон,Гимназија,Оба пола,687
2020,Број,Херцеговачко-неретвански кантон,Гимназија,Оба пола,598
2021,Број,Херцеговачко-неретвански кантон,Гимназија,Оба пола,561
2022,Број,Херцеговачко-неретвански кантон,Гимназија,Оба пола,497
2016,Број,Западнохерцеговчки кантон,Гимназија,Оба пола,466
2017,Број,Западнохерцеговчки кантон,Гимназија,Оба пола,456
2018,Број,Западнохерцеговчки кантон,Гимназија,Оба пола,430
2019,Број,Западнохерцеговчки кантон,Гимназија,Оба пола,352
2020,Број,Западнохерцеговчки кантон,Гимназија,Оба пола,353
2021,Број,Западнохерцеговчки кантон,Гимназија,Оба пола,323
2022,Број,Западнохерцеговчки кантон,Гимназија,Оба пола,211
2016,Број,Кантон Сарајево,Гимназија,Оба пола,1565
2017,Број,Кантон Сарајево,Гимназија,Оба пола,1012
2018,Број,Кантон Сарајево,Гимназија,Оба пола,1417
2019,Број,Кантон Сарајево,Гимназија,Оба пола,1386
2020,Број,Кантон Сарајево,Гимназија,Оба пола,1254
2021,Број,Кантон Сарајево,Гимназија,Оба пола,1150
2022,Број,Кантон Сарајево,Гимназија,Оба пола,950
2016,Број,Кантон 10,Гимназија,Оба пола,244
2017,Број,Кантон 10,Гимназија,Оба пола,216
2018,Број,Кантон 10,Гимназија,Оба пола,187
2019,Број,Кантон 10,Гимназија,Оба пола,120
2020,Број,Кантон 10,Гимназија,Оба пола,160
2021,Број,Кантон 10,Гимназија,Оба пола,179
2022,Број,Кантон 10,Гимназија,Оба пола,164
2016,Број,Федерација Босне и Херцеговине,Гимназија,M,2446
2017,Број,Федерација Босне и Херцеговине,Гимназија,M,1933
2018,Број,Федерација Босне и Херцеговине,Гимназија,M,1976
2019,Број,Федерација Босне и Херцеговине,Гимназија,M,1915
2020,Број,Федерација Босне и Херцеговине,Гимназија,M,1688
2021,Број,Федерација Босне и Херцеговине,Гимназија,M,1543
2022,Број,Федерација Босне и Херцеговине,Гимназија,M,1210
2016,Број,Унско-сански кантон,Гимназија,M,268
2017,Број,Унско-сански кантон,Гимназија,M,143
2018,Број,Унско-сански кантон,Гимназија,M,196
2019,Број,Унско-сански кантон,Гимназија,M,143
2020,Број,Унско-сански кантон,Гимназија,M,131
2021,Број,Унско-сански кантон,Гимназија,M,126
2022,Број,Унско-сански кантон,Гимназија,M,94
2016,Број,Посавски кантон,Гимназија,M,21
2017,Број,Посавски кантон,Гимназија,M,15
2018,Број,Посавски кантон,Гимназија,M,16
2019,Број,Посавски кантон,Гимназија,M,24
2020,Број,Посавски кантон,Гимназија,M,19
2021,Број,Посавски кантон,Гимназија,M,19
2022,Број,Посавски кантон,Гимназија,M,11
2016,Број,Тузлански кантон,Гимназија,M,320
2017,Број,Тузлански кантон,Гимназија,M,280
2018,Број,Тузлански кантон,Гимназија,M,169
2019,Број,Тузлански кантон,Гимназија,M,213
2020,Број,Тузлански кантон,Гимназија,M,173
2021,Број,Тузлански кантон,Гимназија,M,179
2022,Број,Тузлански кантон,Гимназија,M,179
2016,Број,Зеничко-добојски кантон,Гимназија,M,343
2017,Број,Зеничко-добојски кантон,Гимназија,M,316
2018,Број,Зеничко-добојски кантон,Гимназија,M,363
2019,Број,Зеничко-добојски кантон,Гимназија,M,324
2020,Број,Зеничко-добојски кантон,Гимназија,M,277
2021,Број,Зеничко-добојски кантон,Гимназија,M,219
2022,Број,Зеничко-добојски кантон,Гимназија,M,157
2016,Број,Босанско-подрињски кантон,Гимназија,M,10
2017,Број,Босанско-подрињски кантон,Гимназија,M,10
2018,Број,Босанско-подрињски кантон,Гимназија,M,10
2019,Број,Босанско-подрињски кантон,Гимназија,M,15
2020,Број,Босанско-подрињски кантон,Гимназија,M,17
2021,Број,Босанско-подрињски кантон,Гимназија,M,13
2022,Број,Босанско-подрињски кантон,Гимназија,M,6
2016,Број,Средњобосански кантон,Гимназија,M,255
2017,Број,Средњобосански кантон,Гимназија,M,258
2018,Број,Средњобосански кантон,Гимназија,M,178
2019,Број,Средњобосански кантон,Гимназија,M,177
2020,Број,Средњобосански кантон,Гимназија,M,174
2021,Број,Средњобосански кантон,Гимназија,M,109
2022,Број,Средњобосански кантон,Гимназија,M,55
2016,Број,Херцеговачко-неретвански кантон,Гимназија,M,310
2017,Број,Херцеговачко-неретвански кантон,Гимназија,M,244
2018,Број,Херцеговачко-неретвански кантон,Гимназија,M,253
2019,Број,Херцеговачко-неретвански кантон,Гимназија,M,265
2020,Број,Херцеговачко-неретвански кантон,Гимназија,M,203
2021,Број,Херцеговачко-неретвански кантон,Гимназија,M,184
2022,Број,Херцеговачко-неретвански кантон,Гимназија,M,169
2016,Број,Западнохерцеговчки кантон,Гимназија,M,188
2017,Број,Западнохерцеговчки кантон,Гимназија,M,163
2018,Број,Западнохерцеговчки кантон,Гимназија,M,153
2019,Број,Западнохерцеговчки кантон,Гимназија,M,132
2020,Број,Западнохерцеговчки кантон,Гимназија,M,131
2021,Број,Западнохерцеговчки кантон,Гимназија,M,122
2022,Број,Западнохерцеговчки кантон,Гимназија,M,86
2016,Број,Кантон Сарајево,Гимназија,M,648
2017,Број,Кантон Сарајево,Гимназија,M,416
2018,Број,Кантон Сарајево,Гимназија,M,561
2019,Број,Кантон Сарајево,Гимназија,M,577
2020,Број,Кантон Сарајево,Гимназија,M,510
2021,Број,Кантон Сарајево,Гимназија,M,503
2022,Број,Кантон Сарајево,Гимназија,M,403
2016,Број,Кантон 10,Гимназија,M,83
2017,Број,Кантон 10,Гимназија,M,88
2018,Број,Кантон 10,Гимназија,M,77
2019,Број,Кантон 10,Гимназија,M,45
2020,Број,Кантон 10,Гимназија,M,53
2021,Број,Кантон 10,Гимназија,M,69
2022,Број,Кантон 10,Гимназија,M,50
2016,Број,Федерација Босне и Херцеговине,Гимназија,Ж,4138
2017,Број,Федерација Босне и Херцеговине,Гимназија,Ж,3365
2018,Број,Федерација Босне и Херцеговине,Гимназија,Ж,3425
2019,Број,Федерација Босне и Херцеговине,Гимназија,Ж,3134
2020,Број,Федерација Босне и Херцеговине,Гимназија,Ж,3104
2021,Број,Федерација Босне и Херцеговине,Гимназија,Ж,2813
2022,Број,Федерација Босне и Херцеговине,Гимназија,Ж,2206
2016,Број,Унско-сански кантон,Гимназија,Ж,496
2017,Број,Унско-сански кантон,Гимназија,Ж,279
2018,Број,Унско-сански кантон,Гимназија,Ж,374
2019,Број,Унско-сански кантон,Гимназија,Ж,278
2020,Број,Унско-сански кантон,Гимназија,Ж,301
2021,Број,Унско-сански кантон,Гимназија,Ж,253
2022,Број,Унско-сански кантон,Гимназија,Ж,225
2016,Број,Посавски кантон,Гимназија,Ж,56
2017,Број,Посавски кантон,Гимназија,Ж,41
2018,Број,Посавски кантон,Гимназија,Ж,28
2019,Број,Посавски кантон,Гимназија,Ж,34
2020,Број,Посавски кантон,Гимназија,Ж,37
2021,Број,Посавски кантон,Гимназија,Ж,36
2022,Број,Посавски кантон,Гимназија,Ж,33
2016,Број,Тузлански кантон,Гимназија,Ж,593
2017,Број,Тузлански кантон,Гимназија,Ж,485
2018,Број,Тузлански кантон,Гимназија,Ж,360
2019,Број,Тузлански кантон,Гимназија,Ж,409
2020,Број,Тузлански кантон,Гимназија,Ж,363
2021,Број,Тузлански кантон,Гимназија,Ж,417
2022,Број,Тузлански кантон,Гимназија,Ж,367
2016,Број,Зеничко-добојски кантон,Гимназија,Ж,578
2017,Број,Зеничко-добојски кантон,Гимназија,Ж,530
2018,Број,Зеничко-добојски кантон,Гимназија,Ж,623
2019,Број,Зеничко-добојски кантон,Гимназија,Ж,530
2020,Број,Зеничко-добојски кантон,Гимназија,Ж,584
2021,Број,Зеничко-добојски кантон,Гимназија,Ж,485
2022,Број,Зеничко-добојски кантон,Гимназија,Ж,320
2016,Број,Босанско-подрињски кантон,Гимназија,Ж,36
2017,Број,Босанско-подрињски кантон,Гимназија,Ж,21
2018,Број,Босанско-подрињски кантон,Гимназија,Ж,40
2019,Број,Босанско-подрињски кантон,Гимназија,Ж,35
2020,Број,Босанско-подрињски кантон,Гимназија,Ж,21
2021,Број,Босанско-подрињски кантон,Гимназија,Ж,30
2022,Број,Босанско-подрињски кантон,Гимназија,Ж,21
2016,Број,Средњобосански кантон,Гимназија,Ж,492
2017,Број,Средњобосански кантон,Гимназија,Ж,466
2018,Број,Средњобосански кантон,Гимназија,Ж,338
2019,Број,Средњобосански кантон,Гимназија,Ж,322
2020,Број,Средњобосански кантон,Гимназија,Ж,330
2021,Број,Средњобосански кантон,Гимназија,Ж,257
2022,Број,Средњобосански кантон,Гимназија,Ж,126
2016,Број,Херцеговачко-неретвански кантон,Гимназија,Ж,531
2017,Број,Херцеговачко-неретвански кантон,Гимназија,Ж,526
2018,Број,Херцеговачко-неретвански кантон,Гимназија,Ж,419
2019,Број,Херцеговачко-неретвански кантон,Гимназија,Ж,422
2020,Број,Херцеговачко-неретвански кантон,Гимназија,Ж,395
2021,Број,Херцеговачко-неретвански кантон,Гимназија,Ж,377
2022,Број,Херцеговачко-неретвански кантон,Гимназија,Ж,328
2016,Број,Западнохерцеговчки кантон,Гимназија,Ж,278
2017,Број,Западнохерцеговчки кантон,Гимназија,Ж,293
2018,Број,Западнохерцеговчки кантон,Гимназија,Ж,277
2019,Број,Западнохерцеговчки кантон,Гимназија,Ж,220
2020,Број,Западнохерцеговчки кантон,Гимназија,Ж,222
2021,Број,Западнохерцеговчки кантон,Гимназија,Ж,201
2022,Број,Западнохерцеговчки кантон,Гимназија,Ж,125
2016,Број,Кантон Сарајево,Гимназија,Ж,917
2017,Број,Кантон Сарајево,Гимназија,Ж,596
2018,Број,Кантон Сарајево,Гимназија,Ж,856
2019,Број,Кантон Сарајево,Гимназија,Ж,809
2020,Број,Кантон Сарајево,Гимназија,Ж,744
2021,Број,Кантон Сарајево,Гимназија,Ж,647
2022,Број,Кантон Сарајево,Гимназија,Ж,547
2016,Број,Кантон 10,Гимназија,Ж,161
2017,Број,Кантон 10,Гимназија,Ж,128
2018,Број,Кантон 10,Гимназија,Ж,110
2019,Број,Кантон 10,Гимназија,Ж,75
2020,Број,Кантон 10,Гимназија,Ж,107
2021,Број,Кантон 10,Гимназија,Ж,110
2022,Број,Кантон 10,Гимназија,Ж,114
2016,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,Оба пола,92
2017,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,Оба пола,75
2018,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,Оба пола,74
2019,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,Оба пола,72
2020,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,Оба пола,78
2021,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,Оба пола,75
2022,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,Оба пола,63
2016,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,Оба пола,11
2017,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,Оба пола,11
2018,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,Оба пола,11
2019,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,Оба пола,8
2020,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,Оба пола,8
2016,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,Оба пола,21
2017,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,Оба пола,16
2018,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,Оба пола,19
2019,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,Оба пола,8
2020,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,Оба пола,18
2021,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,Оба пола,32
2022,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,Оба пола,10
2016,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,Оба пола,7
2017,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,Оба пола,17
2018,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,Оба пола,12
2019,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,Оба пола,11
2020,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,Оба пола,10
2021,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,Оба пола,8
2022,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,Оба пола,1
2016,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,Оба пола,2
2017,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,Оба пола,0
2018,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,Оба пола,2
2019,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,Оба пола,1
2020,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,Оба пола,5
2021,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,Оба пола,1
2022,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,Оба пола,2
2016,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,Оба пола,49
2017,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,Оба пола,28
2018,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,Оба пола,29
