Year,UNIT_MEASURE,Врста образовања,Пол,Value
2018,Број,"natural_sciences,_mathematics_and_statistics",M,1
2018,Број,information_and_communication_technologie,M,9
2018,Број,"engineering,_production_and_construction",M,10
2018,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,1
2018,Број,Здравство и социјална заштита,M,2
2018,Број,Услуге,M,0
2018,Број,TOTAL,Ж,15
2018,Број,Образовање,Ж,0
2018,Број,humanities_and_arts,Ж,2
2018,Број,"social_sciences,_journalism_and_information",Ж,0
2018,Број,"business,_administration_and_law",Ж,0
2018,Број,"natural_sciences,_mathematics_and_statistics",Ж,3
2018,Број,information_and_communication_technologie,Ж,5
2018,Број,"engineering,_production_and_construction",Ж,2
2018,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Ж,0
2018,Број,Здравство и социјална заштита,Ж,3
2018,Број,Услуге,Ж,0
2019,Број,TOTAL,Оба пола,42
2019,Број,Образовање,Оба пола,2
2019,Број,humanities_and_arts,Оба пола,1
2019,Број,"social_sciences,_journalism_and_information",Оба пола,25
2019,Број,"business,_administration_and_law",Оба пола,2
2019,Број,"natural_sciences,_mathematics_and_statistics",Оба пола,3
2019,Број,information_and_communication_technologie,Оба пола,1
2019,Број,"engineering,_production_and_construction",Оба пола,3
2019,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Оба пола,3
2019,Број,Здравство и социјална заштита,Оба пола,2
2019,Број,Услуге,Оба пола,0
2019,Број,TOTAL,M,26
2019,Број,Образовање,M,2
2019,Број,humanities_and_arts,M,0
2019,Број,"social_sciences,_journalism_and_information",M,19
2019,Број,"business,_administration_and_law",M,2
2019,Број,"natural_sciences,_mathematics_and_statistics",M,0
2019,Број,information_and_communication_technologie,M,0
2019,Број,"engineering,_production_and_construction",M,2
2019,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,1
2019,Број,Здравство и социјална заштита,M,0
2019,Број,Услуге,M,0
2019,Број,TOTAL,Ж,16
2019,Број,Образовање,Ж,0
2019,Број,humanities_and_arts,Ж,1
2019,Број,"social_sciences,_journalism_and_information",Ж,6
2019,Број,"business,_administration_and_law",Ж,0
2019,Број,"natural_sciences,_mathematics_and_statistics",Ж,3
2019,Број,information_and_communication_technologie,Ж,1
2019,Број,"engineering,_production_and_construction",Ж,1
2019,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Ж,2
2019,Број,Здравство и социјална заштита,Ж,2
2019,Број,Услуге,Ж,0
2020,Број,TOTAL,Оба пола,64
2020,Број,Образовање,Оба пола,0
2020,Број,humanities_and_arts,Оба пола,3
2020,Број,"social_sciences,_journalism_and_information",Оба пола,30
2020,Број,"business,_administration_and_law",Оба пола,5
2020,Број,"natural_sciences,_mathematics_and_statistics",Оба пола,2
2020,Број,information_and_communication_technologie,Оба пола,5
2020,Број,"engineering,_production_and_construction",Оба пола,8
2020,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Оба пола,2
2020,Број,Здравство и социјална заштита,Оба пола,9
2020,Број,Услуге,Оба пола,0
2020,Број,TOTAL,M,34
2020,Број,Образовање,M,0
2020,Број,humanities_and_arts,M,0
2020,Број,"social_sciences,_journalism_and_information",M,21
2020,Број,"business,_administration_and_law",M,4
2020,Број,"natural_sciences,_mathematics_and_statistics",M,1
2020,Број,information_and_communication_technologie,M,3
2020,Број,"engineering,_production_and_construction",M,3
2020,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,0
2020,Број,Здравство и социјална заштита,M,2
2020,Број,Услуге,M,0
2020,Број,TOTAL,Ж,30
2020,Број,Образовање,Ж,0
2020,Број,humanities_and_arts,Ж,3
2020,Број,"social_sciences,_journalism_and_information",Ж,9
2020,Број,"business,_administration_and_law",Ж,1
2020,Број,"natural_sciences,_mathematics_and_statistics",Ж,1
2020,Број,information_and_communication_technologie,Ж,2
2020,Број,"engineering,_production_and_construction",Ж,5
2020,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Ж,2
2020,Број,Здравство и социјална заштита,Ж,7
2020,Број,Услуге,Ж,0
