Year,UNIT_MEASURE,Административна јединица,scientific_field,Value
2012,Број,Унско-сански кантон,"natural_sciences,_mathematics_and_statistics",
2012,Број,Унско-сански кантон,Информационе и комуникационе технологије,
2012,Број,Унско-сански кантон,"engineering,_production_and_construction",
2012,Број,Унско-сански кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Број,Унско-сански кантон,Здравство и социјална заштита,
2012,Број,Унско-сански кантон,Услуге,
2012,Број,Тузлански кантон,Образовање,
2012,Број,Тузлански кантон,Умјетност и хуманистичке науке,
2012,Број,Тузлански кантон,"social_sciences,_journalism_and_information",
2012,Број,Тузлански кантон,"business,_administration_and_law",
2012,Број,Тузлански кантон,"natural_sciences,_mathematics_and_statistics",
2012,Број,Тузлански кантон,Информационе и комуникационе технологије,
2012,Број,Тузлански кантон,"engineering,_production_and_construction",
2012,Број,Тузлански кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Број,Тузлански кантон,Здравство и социјална заштита,
2012,Број,Тузлански кантон,Услуге,
2012,Број,Зеничко-добојски кантон,Образовање,
2012,Број,Зеничко-добојски кантон,Умјетност и хуманистичке науке,
2012,Број,Зеничко-добојски кантон,"social_sciences,_journalism_and_information",
2012,Број,Зеничко-добојски кантон,"business,_administration_and_law",
2012,Број,Зеничко-добојски кантон,"natural_sciences,_mathematics_and_statistics",
2012,Број,Зеничко-добојски кантон,Информационе и комуникационе технологије,
2012,Број,Зеничко-добојски кантон,"engineering,_production_and_construction",
2012,Број,Зеничко-добојски кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Број,Зеничко-добојски кантон,Здравство и социјална заштита,
2012,Број,Зеничко-добојски кантон,Услуге,
2012,Број,Босанско-подрињски кантон,Образовање,
2012,Број,Босанско-подрињски кантон,Умјетност и хуманистичке науке,
2012,Број,Босанско-подрињски кантон,"social_sciences,_journalism_and_information",
2012,Број,Босанско-подрињски кантон,"business,_administration_and_law",
2012,Број,Босанско-подрињски кантон,"natural_sciences,_mathematics_and_statistics",
2012,Број,Босанско-подрињски кантон,Информационе и комуникационе технологије,
2012,Број,Босанско-подрињски кантон,"engineering,_production_and_construction",
2012,Број,Босанско-подрињски кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Број,Босанско-подрињски кантон,Здравство и социјална заштита,
2012,Број,Босанско-подрињски кантон,Услуге,
2012,Број,Средњобосански кантон,Образовање,
2012,Број,Средњобосански кантон,Умјетност и хуманистичке науке,
2012,Број,Средњобосански кантон,"social_sciences,_journalism_and_information",
2012,Број,Средњобосански кантон,"business,_administration_and_law",
2012,Број,Средњобосански кантон,"natural_sciences,_mathematics_and_statistics",
2012,Број,Средњобосански кантон,Информационе и комуникационе технологије,
2012,Број,Средњобосански кантон,"engineering,_production_and_construction",
2012,Број,Средњобосански кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Број,Средњобосански кантон,Здравство и социјална заштита,
2012,Број,Средњобосански кантон,Услуге,
2012,Број,Херцеговачко-неретвански кантон,Образовање,
2012,Број,Херцеговачко-неретвански кантон,Умјетност и хуманистичке науке,
2012,Број,Херцеговачко-неретвански кантон,"social_sciences,_journalism_and_information",
2012,Број,Херцеговачко-неретвански кантон,"business,_administration_and_law",
2012,Број,Херцеговачко-неретвански кантон,"natural_sciences,_mathematics_and_statistics",
2012,Број,Херцеговачко-неретвански кантон,Информационе и комуникационе технологије,
2012,Број,Херцеговачко-неретвански кантон,"engineering,_production_and_construction",
2012,Број,Херцеговачко-неретвански кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Број,Херцеговачко-неретвански кантон,Здравство и социјална заштита,
2012,Број,Херцеговачко-неретвански кантон,Услуге,
2012,Број,Кантон Сарајево,Образовање,
2012,Број,Кантон Сарајево,Умјетност и хуманистичке науке,
2012,Број,Кантон Сарајево,"social_sciences,_journalism_and_information",
2012,Број,Кантон Сарајево,"business,_administration_and_law",
2012,Број,Кантон Сарајево,"natural_sciences,_mathematics_and_statistics",
2012,Број,Кантон Сарајево,Информационе и комуникационе технологије,
2012,Број,Кантон Сарајево,"engineering,_production_and_construction",
2012,Број,Кантон Сарајево,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Број,Кантон Сарајево,Здравство и социјална заштита,
2012,Број,Кантон Сарајево,Услуге,
2013,Број,Федерација Босне и Херцеговине,Образовање,
2013,Број,Федерација Босне и Херцеговине,Умјетност и хуманистичке науке,
2013,Број,Федерација Босне и Херцеговине,"social_sciences,_journalism_and_information",
2013,Број,Федерација Босне и Херцеговине,"business,_administration_and_law",
2013,Број,Федерација Босне и Херцеговине,"natural_sciences,_mathematics_and_statistics",
2013,Број,Федерација Босне и Херцеговине,Информационе и комуникационе технологије,
2013,Број,Федерација Босне и Херцеговине,"engineering,_production_and_construction",
2013,Број,Федерација Босне и Херцеговине,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Број,Федерација Босне и Херцеговине,Здравство и социјална заштита,
2013,Број,Федерација Босне и Херцеговине,Услуге,
2013,Број,Унско-сански кантон,Образовање,
2013,Број,Унско-сански кантон,Умјетност и хуманистичке науке,
2013,Број,Унско-сански кантон,"social_sciences,_journalism_and_information",
2013,Број,Унско-сански кантон,"business,_administration_and_law",
2013,Број,Унско-сански кантон,"natural_sciences,_mathematics_and_statistics",
2013,Број,Унско-сански кантон,Информационе и комуникационе технологије,
2013,Број,Унско-сански кантон,"engineering,_production_and_construction",
2013,Број,Унско-сански кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Број,Унско-сански кантон,Здравство и социјална заштита,
2013,Број,Унско-сански кантон,Услуге,
2013,Број,Тузлански кантон,Образовање,
2013,Број,Тузлански кантон,Умјетност и хуманистичке науке,
2013,Број,Тузлански кантон,"social_sciences,_journalism_and_information",
2013,Број,Тузлански кантон,"business,_administration_and_law",
2013,Број,Тузлански кантон,"natural_sciences,_mathematics_and_statistics",
2013,Број,Тузлански кантон,Информационе и комуникационе технологије,
2013,Број,Тузлански кантон,"engineering,_production_and_construction",
2013,Број,Тузлански кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Број,Тузлански кантон,Здравство и социјална заштита,
2013,Број,Тузлански кантон,Услуге,
2013,Број,Зеничко-добојски кантон,Образовање,
2013,Број,Зеничко-добојски кантон,Умјетност и хуманистичке науке,
2013,Број,Зеничко-добојски кантон,"social_sciences,_journalism_and_information",
2013,Број,Зеничко-добојски кантон,"business,_administration_and_law",
2013,Број,Зеничко-добојски кантон,"natural_sciences,_mathematics_and_statistics",
2013,Број,Зеничко-добојски кантон,Информационе и комуникационе технологије,
2013,Број,Зеничко-добојски кантон,"engineering,_production_and_construction",
2013,Број,Зеничко-добојски кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Број,Зеничко-добојски кантон,Здравство и социјална заштита,
2013,Број,Зеничко-добојски кантон,Услуге,
2013,Број,Босанско-подрињски кантон,Образовање,
2013,Број,Босанско-подрињски кантон,Умјетност и хуманистичке науке,
2013,Број,Босанско-подрињски кантон,"social_sciences,_journalism_and_information",
2013,Број,Босанско-подрињски кантон,"business,_administration_and_law",
2013,Број,Босанско-подрињски кантон,"natural_sciences,_mathematics_and_statistics",
2013,Број,Босанско-подрињски кантон,Информационе и комуникационе технологије,
2013,Број,Босанско-подрињски кантон,"engineering,_production_and_construction",
2013,Број,Босанско-подрињски кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Број,Босанско-подрињски кантон,Здравство и социјална заштита,
2013,Број,Босанско-подрињски кантон,Услуге,
2013,Број,Средњобосански кантон,Образовање,
2013,Број,Средњобосански кантон,Умјетност и хуманистичке науке,
2013,Број,Средњобосански кантон,"social_sciences,_journalism_and_information",
2013,Број,Средњобосански кантон,"business,_administration_and_law",
2013,Број,Средњобосански кантон,"natural_sciences,_mathematics_and_statistics",
2013,Број,Средњобосански кантон,Информационе и комуникационе технологије,
2013,Број,Средњобосански кантон,"engineering,_production_and_construction",
2013,Број,Средњобосански кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Број,Средњобосански кантон,Здравство и социјална заштита,
2013,Број,Средњобосански кантон,Услуге,
2013,Број,Херцеговачко-неретвански кантон,Образовање,
2013,Број,Херцеговачко-неретвански кантон,Умјетност и хуманистичке науке,
2013,Број,Херцеговачко-неретвански кантон,"social_sciences,_journalism_and_information",
2013,Број,Херцеговачко-неретвански кантон,"business,_administration_and_law",
2013,Број,Херцеговачко-неретвански кантон,"natural_sciences,_mathematics_and_statistics",
2013,Број,Херцеговачко-неретвански кантон,Информационе и комуникационе технологије,
2013,Број,Херцеговачко-неретвански кантон,"engineering,_production_and_construction",
2013,Број,Херцеговачко-неретвански кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Број,Херцеговачко-неретвански кантон,Здравство и социјална заштита,
2013,Број,Херцеговачко-неретвански кантон,Услуге,
2013,Број,Кантон Сарајево,Образовање,
2013,Број,Кантон Сарајево,Умјетност и хуманистичке науке,
2013,Број,Кантон Сарајево,"social_sciences,_journalism_and_information",
2013,Број,Кантон Сарајево,"business,_administration_and_law",
2013,Број,Кантон Сарајево,"natural_sciences,_mathematics_and_statistics",
2013,Број,Кантон Сарајево,Информационе и комуникационе технологије,
2013,Број,Кантон Сарајево,"engineering,_production_and_construction",
2013,Број,Кантон Сарајево,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2013,Број,Кантон Сарајево,Здравство и социјална заштита,
2013,Број,Кантон Сарајево,Услуге,
2014,Број,Федерација Босне и Херцеговине,Образовање,
2014,Број,Федерација Босне и Херцеговине,Умјетност и хуманистичке науке,
2014,Број,Федерација Босне и Херцеговине,"social_sciences,_journalism_and_information",
2014,Број,Федерација Босне и Херцеговине,"business,_administration_and_law",
2014,Број,Федерација Босне и Херцеговине,"natural_sciences,_mathematics_and_statistics",
2014,Број,Федерација Босне и Херцеговине,Информационе и комуникационе технологије,
2014,Број,Федерација Босне и Херцеговине,"engineering,_production_and_construction",
2014,Број,Федерација Босне и Херцеговине,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Број,Федерација Босне и Херцеговине,Здравство и социјална заштита,
2014,Број,Федерација Босне и Херцеговине,Услуге,
2014,Број,Унско-сански кантон,Образовање,
2014,Број,Унско-сански кантон,Умјетност и хуманистичке науке,
2014,Број,Унско-сански кантон,"social_sciences,_journalism_and_information",
2014,Број,Унско-сански кантон,"business,_administration_and_law",
2014,Број,Унско-сански кантон,"natural_sciences,_mathematics_and_statistics",
2014,Број,Унско-сански кантон,Информационе и комуникационе технологије,
2014,Број,Унско-сански кантон,"engineering,_production_and_construction",
2014,Број,Унско-сански кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Број,Унско-сански кантон,Здравство и социјална заштита,
2014,Број,Унско-сански кантон,Услуге,
2014,Број,Тузлански кантон,Образовање,
2014,Број,Тузлански кантон,Умјетност и хуманистичке науке,
2014,Број,Тузлански кантон,"social_sciences,_journalism_and_information",
2014,Број,Тузлански кантон,"business,_administration_and_law",
2014,Број,Тузлански кантон,"natural_sciences,_mathematics_and_statistics",
2014,Број,Тузлански кантон,Информационе и комуникационе технологије,
2014,Број,Тузлански кантон,"engineering,_production_and_construction",
2014,Број,Тузлански кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Број,Тузлански кантон,Здравство и социјална заштита,
2014,Број,Тузлански кантон,Услуге,
2014,Број,Зеничко-добојски кантон,Образовање,
2014,Број,Зеничко-добојски кантон,Умјетност и хуманистичке науке,
2014,Број,Зеничко-добојски кантон,"social_sciences,_journalism_and_information",
2014,Број,Зеничко-добојски кантон,"business,_administration_and_law",
2014,Број,Зеничко-добојски кантон,"natural_sciences,_mathematics_and_statistics",
2014,Број,Зеничко-добојски кантон,Информационе и комуникационе технологије,
2014,Број,Зеничко-добојски кантон,"engineering,_production_and_construction",
2014,Број,Зеничко-добојски кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Број,Зеничко-добојски кантон,Здравство и социјална заштита,
2014,Број,Зеничко-добојски кантон,Услуге,
2014,Број,Босанско-подрињски кантон,Образовање,
2014,Број,Босанско-подрињски кантон,Умјетност и хуманистичке науке,
2014,Број,Босанско-подрињски кантон,"social_sciences,_journalism_and_information",
2014,Број,Босанско-подрињски кантон,"business,_administration_and_law",
2014,Број,Босанско-подрињски кантон,"natural_sciences,_mathematics_and_statistics",
2014,Број,Босанско-подрињски кантон,Информационе и комуникационе технологије,
2014,Број,Босанско-подрињски кантон,"engineering,_production_and_construction",
2014,Број,Босанско-подрињски кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Број,Босанско-подрињски кантон,Здравство и социјална заштита,
2014,Број,Босанско-подрињски кантон,Услуге,
2014,Број,Средњобосански кантон,Образовање,
2014,Број,Средњобосански кантон,Умјетност и хуманистичке науке,
2014,Број,Средњобосански кантон,"social_sciences,_journalism_and_information",
2014,Број,Средњобосански кантон,"business,_administration_and_law",
2014,Број,Средњобосански кантон,"natural_sciences,_mathematics_and_statistics",
2014,Број,Средњобосански кантон,Информационе и комуникационе технологије,
2014,Број,Средњобосански кантон,"engineering,_production_and_construction",
2014,Број,Средњобосански кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Број,Средњобосански кантон,Здравство и социјална заштита,
2014,Број,Средњобосански кантон,Услуге,
2014,Број,Херцеговачко-неретвански кантон,Образовање,
2014,Број,Херцеговачко-неретвански кантон,Умјетност и хуманистичке науке,
2014,Број,Херцеговачко-неретвански кантон,"social_sciences,_journalism_and_information",
2014,Број,Херцеговачко-неретвански кантон,"business,_administration_and_law",
2014,Број,Херцеговачко-неретвански кантон,"natural_sciences,_mathematics_and_statistics",
2014,Број,Херцеговачко-неретвански кантон,Информационе и комуникационе технологије,
2014,Број,Херцеговачко-неретвански кантон,"engineering,_production_and_construction",
2014,Број,Херцеговачко-неретвански кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Број,Херцеговачко-неретвански кантон,Здравство и социјална заштита,
2014,Број,Херцеговачко-неретвански кантон,Услуге,
2014,Број,Кантон Сарајево,Образовање,
2014,Број,Кантон Сарајево,Умјетност и хуманистичке науке,
2014,Број,Кантон Сарајево,"social_sciences,_journalism_and_information",
2014,Број,Кантон Сарајево,"business,_administration_and_law",
2014,Број,Кантон Сарајево,"natural_sciences,_mathematics_and_statistics",
2014,Број,Кантон Сарајево,Информационе и комуникационе технологије,
2014,Број,Кантон Сарајево,"engineering,_production_and_construction",
2014,Број,Кантон Сарајево,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2014,Број,Кантон Сарајево,Здравство и социјална заштита,
2014,Број,Кантон Сарајево,Услуге,
2015,Број,Федерација Босне и Херцеговине,Образовање,
2015,Број,Федерација Босне и Херцеговине,Умјетност и хуманистичке науке,
2015,Број,Федерација Босне и Херцеговине,"social_sciences,_journalism_and_information",
2015,Број,Федерација Босне и Херцеговине,"business,_administration_and_law",
2015,Број,Федерација Босне и Херцеговине,"natural_sciences,_mathematics_and_statistics",
2015,Број,Федерација Босне и Херцеговине,Информационе и комуникационе технологије,
2015,Број,Федерација Босне и Херцеговине,"engineering,_production_and_construction",
2015,Број,Федерација Босне и Херцеговине,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2015,Број,Федерација Босне и Херцеговине,Здравство и социјална заштита,
2015,Број,Федерација Босне и Херцеговине,Услуге,
2015,Број,Унско-сански кантон,Образовање,
2015,Број,Унско-сански кантон,Умјетност и хуманистичке науке,
2015,Број,Унско-сански кантон,"social_sciences,_journalism_and_information",
2015,Број,Унско-сански кантон,"business,_administration_and_law",
2015,Број,Унско-сански кантон,"natural_sciences,_mathematics_and_statistics",
2015,Број,Унско-сански кантон,Информационе и комуникационе технологије,
2015,Број,Унско-сански кантон,"engineering,_production_and_construction",
2015,Број,Унско-сански кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2015,Број,Унско-сански кантон,Здравство и социјална заштита,
2015,Број,Унско-сански кантон,Услуге,
2015,Број,Тузлански кантон,Образовање,
2015,Број,Тузлански кантон,Умјетност и хуманистичке науке,
2015,Број,Тузлански кантон,"social_sciences,_journalism_and_information",
2015,Број,Тузлански кантон,"business,_administration_and_law",
