Year,UNIT_MEASURE,Административна јединица,Пол,Value
2017,Број,Федерација Босне и Херцеговине,Ж,7262.0
2018,Број,Федерација Босне и Херцеговине,Ж,7065.0
2019,Број,Федерација Босне и Херцеговине,Ж,7556.0
2020,Број,Федерација Босне и Херцеговине,Ж,7073.0
2021,Број,Федерација Босне и Херцеговине,Ж,7307.0
2022,Број,Федерација Босне и Херцеговине,Ж,6643.0
2023,Број,Федерација Босне и Херцеговине,Ж,5955.0
2010,Број,Унско-сански кантон,Оба пола,729.0
2011,Број,Унско-сански кантон,Оба пола,409.0
2012,Број,Унско-сански кантон,Оба пола,603.0
2013,Број,Унско-сански кантон,Оба пола,588.0
2014,Број,Унско-сански кантон,Оба пола,514.0
2015,Број,Унско-сански кантон,Оба пола,481.0
2016,Број,Унско-сански кантон,Оба пола,417.0
2017,Број,Унско-сански кантон,Оба пола,432.0
2018,Број,Унско-сански кантон,Оба пола,423.0
2019,Број,Унско-сански кантон,Оба пола,330.0
2020,Број,Унско-сански кантон,Оба пола,272.0
2021,Број,Унско-сански кантон,Оба пола,384.0
2022,Број,Унско-сански кантон,Оба пола,314.0
2023,Број,Унско-сански кантон,Оба пола,236.0
2010,Број,Унско-сански кантон,M,249.0
2011,Број,Унско-сански кантон,M,179.0
2012,Број,Унско-сански кантон,M,204.0
2013,Број,Унско-сански кантон,M,219.0
2014,Број,Унско-сански кантон,M,195.0
2015,Број,Унско-сански кантон,M,210.0
2016,Број,Унско-сански кантон,M,158.0
2017,Број,Унско-сански кантон,M,181.0
2018,Број,Унско-сански кантон,M,178.0
2019,Број,Унско-сански кантон,M,105.0
2020,Број,Унско-сански кантон,M,91.0
2021,Број,Унско-сански кантон,M,108.0
2022,Број,Унско-сански кантон,M,84.0
2023,Број,Унско-сански кантон,M,80.0
2010,Број,Унско-сански кантон,Ж,480.0
2011,Број,Унско-сански кантон,Ж,230.0
2012,Број,Унско-сански кантон,Ж,399.0
2013,Број,Унско-сански кантон,Ж,369.0
2014,Број,Унско-сански кантон,Ж,319.0
2015,Број,Унско-сански кантон,Ж,271.0
2016,Број,Унско-сански кантон,Ж,259.0
2017,Број,Унско-сански кантон,Ж,251.0
2018,Број,Унско-сански кантон,Ж,245.0
2019,Број,Унско-сански кантон,Ж,225.0
2020,Број,Унско-сански кантон,Ж,181.0
2021,Број,Унско-сански кантон,Ж,276.0
2022,Број,Унско-сански кантон,Ж,230.0
2023,Број,Унско-сански кантон,Ж,156.0
2010,Број,Тузлански кантон,Оба пола,1938.0
2011,Број,Тузлански кантон,Оба пола,2032.0
2012,Број,Тузлански кантон,Оба пола,2046.0
2013,Број,Тузлански кантон,Оба пола,2050.0
2014,Број,Тузлански кантон,Оба пола,1943.0
2015,Број,Тузлански кантон,Оба пола,1773.0
2016,Број,Тузлански кантон,Оба пола,1548.0
2017,Број,Тузлански кантон,Оба пола,1441.0
2018,Број,Тузлански кантон,Оба пола,1449.0
2019,Број,Тузлански кантон,Оба пола,1656.0
2020,Број,Тузлански кантон,Оба пола,1496.0
2021,Број,Тузлански кантон,Оба пола,1404.0
2022,Број,Тузлански кантон,Оба пола,1346.0
2023,Број,Тузлански кантон,Оба пола,1172.0
2010,Број,Тузлански кантон,M,646.0
2011,Број,Тузлански кантон,M,698.0
2012,Број,Тузлански кантон,M,738.0
2013,Број,Тузлански кантон,M,732.0
2014,Број,Тузлански кантон,M,682.0
2015,Број,Тузлански кантон,M,595.0
2016,Број,Тузлански кантон,M,581.0
2017,Број,Тузлански кантон,M,540.0
2018,Број,Тузлански кантон,M,539.0
2019,Број,Тузлански кантон,M,569.0
2020,Број,Тузлански кантон,M,525.0
2021,Број,Тузлански кантон,M,485.0
2022,Број,Тузлански кантон,M,464.0
2023,Број,Тузлански кантон,M,435.0
2010,Број,Тузлански кантон,Ж,1292.0
2011,Број,Тузлански кантон,Ж,1334.0
2012,Број,Тузлански кантон,Ж,1308.0
2013,Број,Тузлански кантон,Ж,1318.0
2014,Број,Тузлански кантон,Ж,1261.0
2015,Број,Тузлански кантон,Ж,1178.0
2016,Број,Тузлански кантон,Ж,967.0
2017,Број,Тузлански кантон,Ж,901.0
2018,Број,Тузлански кантон,Ж,910.0
2019,Број,Тузлански кантон,Ж,1087.0
2020,Број,Тузлански кантон,Ж,971.0
2021,Број,Тузлански кантон,Ж,919.0
2022,Број,Тузлански кантон,Ж,882.0
2023,Број,Тузлански кантон,Ж,737.0
2010,Број,Зеничко-добојски кантон,Оба пола,235.0
2011,Број,Зеничко-добојски кантон,Оба пола,348.0
2012,Број,Зеничко-добојски кантон,Оба пола,596.0
2013,Број,Зеничко-добојски кантон,Оба пола,567.0
2014,Број,Зеничко-добојски кантон,Оба пола,271.0
2015,Број,Зеничко-добојски кантон,Оба пола,412.0
2016,Број,Зеничко-добојски кантон,Оба пола,445.0
2017,Број,Зеничко-добојски кантон,Оба пола,508.0
2018,Број,Зеничко-добојски кантон,Оба пола,519.0
2019,Број,Зеничко-добојски кантон,Оба пола,472.0
2020,Број,Зеничко-добојски кантон,Оба пола,454.0
2021,Број,Зеничко-добојски кантон,Оба пола,443.0
2022,Број,Зеничко-добојски кантон,Оба пола,398.0
2023,Број,Зеничко-добојски кантон,Оба пола,406.0
2010,Број,Зеничко-добојски кантон,M,85.0
2011,Број,Зеничко-добојски кантон,M,107.0
2012,Број,Зеничко-добојски кантон,M,161.0
2013,Број,Зеничко-добојски кантон,M,170.0
2014,Број,Зеничко-добојски кантон,M,95.0
2015,Број,Зеничко-добојски кантон,M,111.0
2016,Број,Зеничко-добојски кантон,M,153.0
2017,Број,Зеничко-добојски кантон,M,159.0
2018,Број,Зеничко-добојски кантон,M,189.0
2019,Број,Зеничко-добојски кантон,M,148.0
2020,Број,Зеничко-добојски кантон,M,133.0
2021,Број,Зеничко-добојски кантон,M,156.0
2022,Број,Зеничко-добојски кантон,M,97.0
2023,Број,Зеничко-добојски кантон,M,105.0
2010,Број,Зеничко-добојски кантон,Ж,150.0
2011,Број,Зеничко-добојски кантон,Ж,241.0
2012,Број,Зеничко-добојски кантон,Ж,435.0
2013,Број,Зеничко-добојски кантон,Ж,397.0
2014,Број,Зеничко-добојски кантон,Ж,176.0
2015,Број,Зеничко-добојски кантон,Ж,301.0
2016,Број,Зеничко-добојски кантон,Ж,292.0
2017,Број,Зеничко-добојски кантон,Ж,349.0
2018,Број,Зеничко-добојски кантон,Ж,330.0
2019,Број,Зеничко-добојски кантон,Ж,324.0
2020,Број,Зеничко-добојски кантон,Ж,321.0
2021,Број,Зеничко-добојски кантон,Ж,287.0
2022,Број,Зеничко-добојски кантон,Ж,301.0
2023,Број,Зеничко-добојски кантон,Ж,301.0
2017,Број,Босанско-подрињски кантон,Оба пола,5.0
2018,Број,Босанско-подрињски кантон,Оба пола,15.0
2019,Број,Босанско-подрињски кантон,Оба пола,3.0
2020,Број,Босанско-подрињски кантон,Оба пола,11.0
2021,Број,Босанско-подрињски кантон,Оба пола,33.0
2022,Број,Босанско-подрињски кантон,Оба пола,6.0
2023,Број,Босанско-подрињски кантон,Оба пола,0.0
2017,Број,Босанско-подрињски кантон,M,4.0
2018,Број,Босанско-подрињски кантон,M,3.0
2019,Број,Босанско-подрињски кантон,M,3.0
2020,Број,Босанско-подрињски кантон,M,7.0
2021,Број,Босанско-подрињски кантон,M,10.0
2022,Број,Босанско-подрињски кантон,M,2.0
2023,Број,Босанско-подрињски кантон,M,0.0
2017,Број,Босанско-подрињски кантон,Ж,1.0
2018,Број,Босанско-подрињски кантон,Ж,12.0
2020,Број,Босанско-подрињски кантон,Ж,4.0
2021,Број,Босанско-подрињски кантон,Ж,23.0
2022,Број,Босанско-подрињски кантон,Ж,4.0
2023,Број,Босанско-подрињски кантон,M,0.0
2011,Број,Средњобосански кантон,Оба пола,135.0
2012,Број,Средњобосански кантон,Оба пола,472.0
2013,Број,Средњобосански кантон,Оба пола,910.0
2014,Број,Средњобосански кантон,Оба пола,867.0
2015,Број,Средњобосански кантон,Оба пола,1044.0
2016,Број,Средњобосански кантон,Оба пола,1188.0
2017,Број,Средњобосански кантон,Оба пола,1479.0
2018,Број,Средњобосански кантон,Оба пола,1244.0
2019,Број,Средњобосански кантон,Оба пола,1482.0
2020,Број,Средњобосански кантон,Оба пола,1461.0
2021,Број,Средњобосански кантон,Оба пола,1390.0
2022,Број,Средњобосански кантон,Оба пола,1546.0
2023,Број,Средњобосански кантон,Оба пола,1115.0
2011,Број,Средњобосански кантон,M,64.0
2012,Број,Средњобосански кантон,M,279.0
2013,Број,Средњобосански кантон,M,478.0
2014,Број,Средњобосански кантон,M,484.0
2015,Број,Средњобосански кантон,M,547.0
2016,Број,Средњобосански кантон,M,732.0
2017,Број,Средњобосански кантон,M,932.0
2018,Број,Средњобосански кантон,M,769.0
2019,Број,Средњобосански кантон,M,925.0
2020,Број,Средњобосански кантон,M,842.0
2021,Број,Средњобосански кантон,M,801.0
2022,Број,Средњобосански кантон,M,835.0
2023,Број,Средњобосански кантон,M,608.0
2011,Број,Средњобосански кантон,Ж,71.0
2012,Број,Средњобосански кантон,Ж,193.0
2013,Број,Средњобосански кантон,Ж,432.0
2014,Број,Средњобосански кантон,Ж,383.0
2015,Број,Средњобосански кантон,Ж,497.0
2016,Број,Средњобосански кантон,Ж,456.0
2017,Број,Средњобосански кантон,Ж,547.0
2018,Број,Средњобосански кантон,Ж,475.0
2019,Број,Средњобосански кантон,Ж,557.0
2020,Број,Средњобосански кантон,Ж,619.0
2021,Број,Средњобосански кантон,Ж,589.0
2022,Број,Средњобосански кантон,Ж,711.0
2023,Број,Средњобосански кантон,Ж,507.0
2010,Број,Херцеговачко-неретвански кантон,Оба пола,2138.0
2011,Број,Херцеговачко-неретвански кантон,Оба пола,2421.0
2012,Број,Херцеговачко-неретвански кантон,Оба пола,2422.0
2013,Број,Херцеговачко-неретвански кантон,Оба пола,2952.0
2014,Број,Херцеговачко-неретвански кантон,Оба пола,3088.0
2015,Број,Херцеговачко-неретвански кантон,Оба пола,2767.0
2016,Број,Херцеговачко-неретвански кантон,Оба пола,2774.0
2017,Број,Херцеговачко-неретвански кантон,Оба пола,2918.0
2018,Број,Херцеговачко-неретвански кантон,Оба пола,2622.0
2019,Број,Херцеговачко-неретвански кантон,Оба пола,3082.0
2020,Број,Херцеговачко-неретвански кантон,Оба пола,2612.0
2021,Број,Херцеговачко-неретвански кантон,Оба пола,2867.0
2022,Број,Херцеговачко-неретвански кантон,Оба пола,2242.0
2023,Број,Херцеговачко-неретвански кантон,Оба пола,2234.0
2010,Број,Херцеговачко-неретвански кантон,M,719.0
2011,Број,Херцеговачко-неретвански кантон,M,823.0
2012,Број,Херцеговачко-неретвански кантон,M,815.0
2013,Број,Херцеговачко-неретвански кантон,M,873.0
2014,Број,Херцеговачко-неретвански кантон,M,982.0
2015,Број,Херцеговачко-неретвански кантон,M,929.0
2016,Број,Херцеговачко-неретвански кантон,M,935.0
2017,Број,Херцеговачко-неретвански кантон,M,910.0
2018,Број,Херцеговачко-неретвански кантон,M,879.0
2019,Број,Херцеговачко-неретвански кантон,M,1024.0
2020,Број,Херцеговачко-неретвански кантон,M,783.0
2021,Број,Херцеговачко-неретвански кантон,M,903.0
2022,Број,Херцеговачко-неретвански кантон,M,739.0
2023,Број,Херцеговачко-неретвански кантон,M,678.0
2010,Број,Херцеговачко-неретвански кантон,Ж,1419.0
2011,Број,Херцеговачко-неретвански кантон,Ж,1598.0
2012,Број,Херцеговачко-неретвански кантон,Ж,1607.0
2013,Број,Херцеговачко-неретвански кантон,Ж,2079.0
2014,Број,Херцеговачко-неретвански кантон,Ж,2106.0
2015,Број,Херцеговачко-неретвански кантон,Ж,1838.0
2016,Број,Херцеговачко-неретвански кантон,Ж,1839.0
2017,Број,Херцеговачко-неретвански кантон,Ж,2008.0
2018,Број,Херцеговачко-неретвански кантон,Ж,1743.0
2019,Број,Херцеговачко-неретвански кантон,Ж,2058.0
2020,Број,Херцеговачко-неретвански кантон,Ж,1829.0
2021,Број,Херцеговачко-неретвански кантон,Ж,1964.0
2022,Број,Херцеговачко-неретвански кантон,Ж,1503.0
2023,Број,Херцеговачко-неретвански кантон,Ж,1556.0
2010,Број,Западнохерцеговчки кантон,Оба пола,19.0
2011,Број,Западнохерцеговчки кантон,Оба пола,13.0
2012,Број,Западнохерцеговчки кантон,Оба пола,19.0
2013,Број,Западнохерцеговчки кантон,Оба пола,17.0
2014,Број,Западнохерцеговчки кантон,Оба пола,9.0
2015,Број,Западнохерцеговчки кантон,Оба пола,16.0
2016,Број,Западнохерцеговчки кантон,Оба пола,15.0
2017,Број,Западнохерцеговчки кантон,Оба пола,25.0
2018,Број,Западнохерцеговчки кантон,Оба пола,16.0
2019,Број,Западнохерцеговчки кантон,Оба пола,6.0
2020,Број,Западнохерцеговчки кантон,Оба пола,17.0
2021,Број,Западнохерцеговчки кантон,Оба пола,31.0
2022,Број,Западнохерцеговчки кантон,Оба пола,27.0
2023,Број,Западнохерцеговчки кантон,Оба пола,
2010,Број,Западнохерцеговчки кантон,M,6.0
2011,Број,Западнохерцеговчки кантон,M,6.0
2012,Број,Западнохерцеговчки кантон,M,8.0
2013,Број,Западнохерцеговчки кантон,M,8.0
2014,Број,Западнохерцеговчки кантон,M,4.0
2015,Број,Западнохерцеговчки кантон,M,5.0
2016,Број,Западнохерцеговчки кантон,M,7.0
2017,Број,Западнохерцеговчки кантон,M,6.0
2018,Број,Западнохерцеговчки кантон,M,6.0
2019,Број,Западнохерцеговчки кантон,M,2.0
2020,Број,Западнохерцеговчки кантон,M,7.0
2021,Број,Западнохерцеговчки кантон,M,10.0
2022,Број,Западнохерцеговчки кантон,M,7.0
2023,Број,Западнохерцеговчки кантон,M,
2010,Број,Западнохерцеговчки кантон,Ж,13.0
2011,Број,Западнохерцеговчки кантон,Ж,7.0
2012,Број,Западнохерцеговчки кантон,Ж,11.0
2013,Број,Западнохерцеговчки кантон,Ж,9.0
2014,Број,Западнохерцеговчки кантон,Ж,5.0
2015,Број,Западнохерцеговчки кантон,Ж,11.0
2016,Број,Западнохерцеговчки кантон,Ж,8.0
2017,Број,Западнохерцеговчки кантон,Ж,19.0
2018,Број,Западнохерцеговчки кантон,Ж,10.0
2019,Број,Западнохерцеговчки кантон,Ж,4.0
2020,Број,Западнохерцеговчки кантон,Ж,10.0
2021,Број,Западнохерцеговчки кантон,Ж,21.0
2022,Број,Западнохерцеговчки кантон,Ж,20.0
2023,Број,Западнохерцеговчки кантон,Ж,0.0
2010,Број,Кантон Сарајево,Оба пола,5026.0
2011,Број,Кантон Сарајево,Оба пола,5158.0
2012,Број,Кантон Сарајево,Оба пола,5891.0
2013,Број,Кантон Сарајево,Оба пола,6109.0
2014,Број,Кантон Сарајево,Оба пола,5322.0
2015,Број,Кантон Сарајево,Оба пола,5151.0
2016,Број,Кантон Сарајево,Оба пола,5551.0
2017,Број,Кантон Сарајево,Оба пола,5018.0
2018,Број,Кантон Сарајево,Оба пола,5215.0
2019,Број,Кантон Сарајево,Оба пола,5144.0
2020,Број,Кантон Сарајево,Оба пола,5153.0
2021,Број,Кантон Сарајево,Оба пола,4985.0
2022,Број,Кантон Сарајево,Оба пола,4495.0
2023,Број,Кантон Сарајево,Оба пола,4123.0
2010,Број,Кантон Сарајево,M,2018.0
2011,Број,Кантон Сарајево,M,2180.0
2012,Број,Кантон Сарајево,M,2340.0
2013,Број,Кантон Сарајево,M,2531.0
2014,Број,Кантон Сарајево,M,2183.0
2015,Број,Кантон Сарајево,M,2130.0
2016,Број,Кантон Сарајево,M,2085.0
2017,Број,Кантон Сарајево,M,1937.0
2018,Број,Кантон Сарајево,M,2011.0
2019,Број,Кантон Сарајево,M,1924.0
2020,Број,Кантон Сарајево,M,2015.0
2021,Број,Кантон Сарајево,M,1757.0
2022,Број,Кантон Сарајево,M,1503.0
2023,Број,Кантон Сарајево,M,1425.0
2010,Број,Кантон Сарајево,Ж,3008.0
2011,Број,Кантон Сарајево,Ж,2978.0
2012,Број,Кантон Сарајево,Ж,3551.0
2013,Број,Кантон Сарајево,Ж,3578.0
2014,Број,Кантон Сарајево,Ж,3139.0
2015,Број,Кантон Сарајево,Ж,3021.0
2016,Број,Кантон Сарајево,Ж,3466.0
2017,Број,Кантон Сарајево,Ж,3081.0
2018,Број,Кантон Сарајево,Ж,3204.0
2019,Број,Кантон Сарајево,Ж,3220.0
2020,Број,Кантон Сарајево,Ж,3138.0
2021,Број,Кантон Сарајево,Ж,3228.0
2022,Број,Кантон Сарајево,Ж,2992.0
2023,Број,Кантон Сарајево,Ж,2698.0
