Year,UNIT_MEASURE,Vrsta obrazovanja,Spol,Value
2020,Broj,"Prirodne nauke, matematika i statistika svega",Oba spola,686
2020,Broj,Informacione i komunikacione tehnologije,Oba spola,582
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba spola,1971
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba spola,751
2020,Broj,Zdravstvo i socijalna zaštita,Oba spola,1345
2020,Broj,Usluge,Oba spola,749
2020,Broj,Nepoznato,Oba spola,65
2020,Broj,Ukupno,M,4945
2020,Broj,Obrazovanje,M,323
2020,Broj,Umjetnost i humanističke nauke,M,458
2020,Broj,"Društvene nauke, novinarstvo i informisanje",M,690
2020,Broj,"Poslovanje, administracija i pravo svega",M,837
2020,Broj,"Prirodne nauke, matematika i statistika svega",M,194
2020,Broj,Informacione i komunikacione tehnologije,M,364
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,1116
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,325
2020,Broj,Zdravstvo i socijalna zaštita,M,244
2020,Broj,Usluge,M,372
2020,Broj,Nepoznato,M,22
2020,Broj,Ukupno,Ž,8247
2020,Broj,Obrazovanje,Ž,945
2020,Broj,Umjetnost i humanističke nauke,Ž,871
2020,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,1242
2020,Broj,"Poslovanje, administracija i pravo svega",Ž,1677
2020,Broj,"Prirodne nauke, matematika i statistika svega",Ž,492
2020,Broj,Informacione i komunikacione tehnologije,Ž,218
2020,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,855
2020,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,426
2020,Broj,Zdravstvo i socijalna zaštita,Ž,1101
2020,Broj,Usluge,Ž,377
2020,Broj,Nepoznato,Ž,43
