Year,UNIT_MEASURE,Административна јединица,Научна област,Value
2012,Број,Унско-сански кантон,"Природне науке, математика и статистика",
2012,Број,Унско-сански кантон,Информационе и комуникационе технологије,
2012,Број,Унско-сански кантон,"Инжењерство, производња и грађевинарство",
2012,Број,Унско-сански кантон,"Пољопривреда, шумарство, рибарство и ветеринарство",
2012,Број,Унско-сански кантон,Здравство и социјална заштита,
2012,Број,Унско-сански кантон,Услуге,
2012,Број,Тузлански кантон,Образовање,
2012,Број,Тузлански кантон,Умјетност и хуманистичке науке,
2012,Број,Тузлански кантон,"Друштвене науке, новинарство и информисање",
2012,Број,Тузлански кантон,"Пословање, администрација и право",
2012,Број,Тузлански кантон,"Природне науке, математика и статистика",
2012,Број,Тузлански кантон,Информационе и комуникационе технологије,
2012,Број,Тузлански кантон,"Инжењерство, производња и грађевинарство",
2012,Број,Тузлански кантон,"Пољопривреда, шумарство, рибарство и ветеринарство",
2012,Број,Тузлански кантон,Здравство и социјална заштита,
2012,Број,Тузлански кантон,Услуге,
2012,Број,Зеничко-добојски кантон,Образовање,
2012,Број,Зеничко-добојски кантон,Умјетност и хуманистичке науке,
2012,Број,Зеничко-добојски кантон,"Друштвене науке, новинарство и информисање",
2012,Број,Зеничко-добојски кантон,"Пословање, администрација и право",
2012,Број,Зеничко-добојски кантон,"Природне науке, математика и статистика",
2012,Број,Зеничко-добојски кантон,Информационе и комуникационе технологије,
2012,Број,Зеничко-добојски кантон,"Инжењерство, производња и грађевинарство",
2012,Број,Зеничко-добојски кантон,"Пољопривреда, шумарство, рибарство и ветеринарство",
2012,Број,Зеничко-добојски кантон,Здравство и социјална заштита,
2012,Број,Зеничко-добојски кантон,Услуге,
2012,Број,Босанско-подрињски кантон,Образовање,
2012,Број,Босанско-подрињски кантон,Умјетност и хуманистичке науке,
2012,Број,Босанско-подрињски кантон,"Друштвене науке, новинарство и информисање",
2012,Број,Босанско-подрињски кантон,"Пословање, администрација и право",
2012,Број,Босанско-подрињски кантон,"Природне науке, математика и статистика",
2012,Број,Босанско-подрињски кантон,Информационе и комуникационе технологије,
2012,Број,Босанско-подрињски кантон,"Инжењерство, производња и грађевинарство",
2012,Број,Босанско-подрињски кантон,"Пољопривреда, шумарство, рибарство и ветеринарство",
2012,Број,Босанско-подрињски кантон,Здравство и социјална заштита,
2012,Број,Босанско-подрињски кантон,Услуге,
2012,Број,Средњобосански кантон,Образовање,
2012,Број,Средњобосански кантон,Умјетност и хуманистичке науке,
2012,Број,Средњобосански кантон,"Друштвене науке, новинарство и информисање",
2012,Број,Средњобосански кантон,"Пословање, администрација и право",
2012,Број,Средњобосански кантон,"Природне науке, математика и статистика",
2012,Број,Средњобосански кантон,Информационе и комуникационе технологије,
2012,Број,Средњобосански кантон,"Инжењерство, производња и грађевинарство",
2012,Број,Средњобосански кантон,"Пољопривреда, шумарство, рибарство и ветеринарство",
2012,Број,Средњобосански кантон,Здравство и социјална заштита,
2012,Број,Средњобосански кантон,Услуге,
2012,Број,Херцеговачко-неретвански кантон,Образовање,
2012,Број,Херцеговачко-неретвански кантон,Умјетност и хуманистичке науке,
2012,Број,Херцеговачко-неретвански кантон,"Друштвене науке, новинарство и информисање",
2012,Број,Херцеговачко-неретвански кантон,"Пословање, администрација и право",
2012,Број,Херцеговачко-неретвански кантон,"Природне науке, математика и статистика",
2012,Број,Херцеговачко-неретвански кантон,Информационе и комуникационе технологије,
2012,Број,Херцеговачко-неретвански кантон,"Инжењерство, производња и грађевинарство",
2012,Број,Херцеговачко-неретвански кантон,"Пољопривреда, шумарство, рибарство и ветеринарство",
2012,Број,Херцеговачко-неретвански кантон,Здравство и социјална заштита,
2012,Број,Херцеговачко-неретвански кантон,Услуге,
2012,Број,Кантон Сарајево,Образовање,
2012,Број,Кантон Сарајево,Умјетност и хуманистичке науке,
2012,Број,Кантон Сарајево,"Друштвене науке, новинарство и информисање",
2012,Број,Кантон Сарајево,"Пословање, администрација и право",
2012,Број,Кантон Сарајево,"Природне науке, математика и статистика",
2012,Број,Кантон Сарајево,Информационе и комуникационе технологије,
2012,Број,Кантон Сарајево,"Инжењерство, производња и грађевинарство",
2012,Број,Кантон Сарајево,"Пољопривреда, шумарство, рибарство и ветеринарство",
2012,Број,Кантон Сарајево,Здравство и социјална заштита,
2012,Број,Кантон Сарајево,Услуге,
2013,Број,Федерација Босне и Херцеговине,Образовање,
2013,Број,Федерација Босне и Херцеговине,Умјетност и хуманистичке науке,
2013,Број,Федерација Босне и Херцеговине,"Друштвене науке, новинарство и информисање",
2013,Број,Федерација Босне и Херцеговине,"Пословање, администрација и право",
2013,Број,Федерација Босне и Херцеговине,"Природне науке, математика и статистика",
2013,Број,Федерација Босне и Херцеговине,Информационе и комуникационе технологије,
2013,Број,Федерација Босне и Херцеговине,"Инжењерство, производња и грађевинарство",
2013,Број,Федерација Босне и Херцеговине,"Пољопривреда, шумарство, рибарство и ветеринарство",
2013,Број,Федерација Босне и Херцеговине,Здравство и социјална заштита,
2013,Број,Федерација Босне и Херцеговине,Услуге,
2013,Број,Унско-сански кантон,Образовање,
2013,Број,Унско-сански кантон,Умјетност и хуманистичке науке,
2013,Број,Унско-сански кантон,"Друштвене науке, новинарство и информисање",
2013,Број,Унско-сански кантон,"Пословање, администрација и право",
2013,Број,Унско-сански кантон,"Природне науке, математика и статистика",
2013,Број,Унско-сански кантон,Информационе и комуникационе технологије,
2013,Број,Унско-сански кантон,"Инжењерство, производња и грађевинарство",
2013,Број,Унско-сански кантон,"Пољопривреда, шумарство, рибарство и ветеринарство",
2013,Број,Унско-сански кантон,Здравство и социјална заштита,
2013,Број,Унско-сански кантон,Услуге,
2013,Број,Тузлански кантон,Образовање,
2013,Број,Тузлански кантон,Умјетност и хуманистичке науке,
2013,Број,Тузлански кантон,"Друштвене науке, новинарство и информисање",
2013,Број,Тузлански кантон,"Пословање, администрација и право",
2013,Број,Тузлански кантон,"Природне науке, математика и статистика",
2013,Број,Тузлански кантон,Информационе и комуникационе технологије,
2013,Број,Тузлански кантон,"Инжењерство, производња и грађевинарство",
2013,Број,Тузлански кантон,"Пољопривреда, шумарство, рибарство и ветеринарство",
2013,Број,Тузлански кантон,Здравство и социјална заштита,
2013,Број,Тузлански кантон,Услуге,
2013,Број,Зеничко-добојски кантон,Образовање,
2013,Број,Зеничко-добојски кантон,Умјетност и хуманистичке науке,
2013,Број,Зеничко-добојски кантон,"Друштвене науке, новинарство и информисање",
2013,Број,Зеничко-добојски кантон,"Пословање, администрација и право",
2013,Број,Зеничко-добојски кантон,"Природне науке, математика и статистика",
2013,Број,Зеничко-добојски кантон,Информационе и комуникационе технологије,
2013,Број,Зеничко-добојски кантон,"Инжењерство, производња и грађевинарство",
2013,Број,Зеничко-добојски кантон,"Пољопривреда, шумарство, рибарство и ветеринарство",
2013,Број,Зеничко-добојски кантон,Здравство и социјална заштита,
2013,Број,Зеничко-добојски кантон,Услуге,
2013,Број,Босанско-подрињски кантон,Образовање,
2013,Број,Босанско-подрињски кантон,Умјетност и хуманистичке науке,
2013,Број,Босанско-подрињски кантон,"Друштвене науке, новинарство и информисање",
2013,Број,Босанско-подрињски кантон,"Пословање, администрација и право",
2013,Број,Босанско-подрињски кантон,"Природне науке, математика и статистика",
2013,Број,Босанско-подрињски кантон,Информационе и комуникационе технологије,
2013,Број,Босанско-подрињски кантон,"Инжењерство, производња и грађевинарство",
2013,Број,Босанско-подрињски кантон,"Пољопривреда, шумарство, рибарство и ветеринарство",
2013,Број,Босанско-подрињски кантон,Здравство и социјална заштита,
2013,Број,Босанско-подрињски кантон,Услуге,
2013,Број,Средњобосански кантон,Образовање,
2013,Број,Средњобосански кантон,Умјетност и хуманистичке науке,
2013,Број,Средњобосански кантон,"Друштвене науке, новинарство и информисање",
2013,Број,Средњобосански кантон,"Пословање, администрација и право",
2013,Број,Средњобосански кантон,"Природне науке, математика и статистика",
2013,Број,Средњобосански кантон,Информационе и комуникационе технологије,
2013,Број,Средњобосански кантон,"Инжењерство, производња и грађевинарство",
2013,Број,Средњобосански кантон,"Пољопривреда, шумарство, рибарство и ветеринарство",
2013,Број,Средњобосански кантон,Здравство и социјална заштита,
2013,Број,Средњобосански кантон,Услуге,
2013,Број,Херцеговачко-неретвански кантон,Образовање,
2013,Број,Херцеговачко-неретвански кантон,Умјетност и хуманистичке науке,
2013,Број,Херцеговачко-неретвански кантон,"Друштвене науке, новинарство и информисање",
2013,Број,Херцеговачко-неретвански кантон,"Пословање, администрација и право",
2013,Број,Херцеговачко-неретвански кантон,"Природне науке, математика и статистика",
2013,Број,Херцеговачко-неретвански кантон,Информационе и комуникационе технологије,
2013,Број,Херцеговачко-неретвански кантон,"Инжењерство, производња и грађевинарство",
2013,Број,Херцеговачко-неретвански кантон,"Пољопривреда, шумарство, рибарство и ветеринарство",
2013,Број,Херцеговачко-неретвански кантон,Здравство и социјална заштита,
2013,Број,Херцеговачко-неретвански кантон,Услуге,
2013,Број,Кантон Сарајево,Образовање,
2013,Број,Кантон Сарајево,Умјетност и хуманистичке науке,
2013,Број,Кантон Сарајево,"Друштвене науке, новинарство и информисање",
2013,Број,Кантон Сарајево,"Пословање, администрација и право",
2013,Број,Кантон Сарајево,"Природне науке, математика и статистика",
2013,Број,Кантон Сарајево,Информационе и комуникационе технологије,
2013,Број,Кантон Сарајево,"Инжењерство, производња и грађевинарство",
2013,Број,Кантон Сарајево,"Пољопривреда, шумарство, рибарство и ветеринарство",
2013,Број,Кантон Сарајево,Здравство и социјална заштита,
2013,Број,Кантон Сарајево,Услуге,
2014,Број,Федерација Босне и Херцеговине,Образовање,
2014,Број,Федерација Босне и Херцеговине,Умјетност и хуманистичке науке,
2014,Број,Федерација Босне и Херцеговине,"Друштвене науке, новинарство и информисање",
2014,Број,Федерација Босне и Херцеговине,"Пословање, администрација и право",
2014,Број,Федерација Босне и Херцеговине,"Природне науке, математика и статистика",
2014,Број,Федерација Босне и Херцеговине,Информационе и комуникационе технологије,
2014,Број,Федерација Босне и Херцеговине,"Инжењерство, производња и грађевинарство",
2014,Број,Федерација Босне и Херцеговине,"Пољопривреда, шумарство, рибарство и ветеринарство",
2014,Број,Федерација Босне и Херцеговине,Здравство и социјална заштита,
2014,Број,Федерација Босне и Херцеговине,Услуге,
2014,Број,Унско-сански кантон,Образовање,
2014,Број,Унско-сански кантон,Умјетност и хуманистичке науке,
2014,Број,Унско-сански кантон,"Друштвене науке, новинарство и информисање",
2014,Број,Унско-сански кантон,"Пословање, администрација и право",
2014,Број,Унско-сански кантон,"Природне науке, математика и статистика",
2014,Број,Унско-сански кантон,Информационе и комуникационе технологије,
2014,Број,Унско-сански кантон,"Инжењерство, производња и грађевинарство",
2014,Број,Унско-сански кантон,"Пољопривреда, шумарство, рибарство и ветеринарство",
2014,Број,Унско-сански кантон,Здравство и социјална заштита,
2014,Број,Унско-сански кантон,Услуге,
2014,Број,Тузлански кантон,Образовање,
2014,Број,Тузлански кантон,Умјетност и хуманистичке науке,
2014,Број,Тузлански кантон,"Друштвене науке, новинарство и информисање",
2014,Број,Тузлански кантон,"Пословање, администрација и право",
2014,Број,Тузлански кантон,"Природне науке, математика и статистика",
2014,Број,Тузлански кантон,Информационе и комуникационе технологије,
2014,Број,Тузлански кантон,"Инжењерство, производња и грађевинарство",
2014,Број,Тузлански кантон,"Пољопривреда, шумарство, рибарство и ветеринарство",
2014,Број,Тузлански кантон,Здравство и социјална заштита,
2014,Број,Тузлански кантон,Услуге,
2014,Број,Зеничко-добојски кантон,Образовање,
2014,Број,Зеничко-добојски кантон,Умјетност и хуманистичке науке,
2014,Број,Зеничко-добојски кантон,"Друштвене науке, новинарство и информисање",
2014,Број,Зеничко-добојски кантон,"Пословање, администрација и право",
2014,Број,Зеничко-добојски кантон,"Природне науке, математика и статистика",
2014,Број,Зеничко-добојски кантон,Информационе и комуникационе технологије,
2014,Број,Зеничко-добојски кантон,"Инжењерство, производња и грађевинарство",
2014,Број,Зеничко-добојски кантон,"Пољопривреда, шумарство, рибарство и ветеринарство",
2014,Број,Зеничко-добојски кантон,Здравство и социјална заштита,
2014,Број,Зеничко-добојски кантон,Услуге,
2014,Број,Босанско-подрињски кантон,Образовање,
2014,Број,Босанско-подрињски кантон,Умјетност и хуманистичке науке,
2014,Број,Босанско-подрињски кантон,"Друштвене науке, новинарство и информисање",
2014,Број,Босанско-подрињски кантон,"Пословање, администрација и право",
2014,Број,Босанско-подрињски кантон,"Природне науке, математика и статистика",
2014,Број,Босанско-подрињски кантон,Информационе и комуникационе технологије,
2014,Број,Босанско-подрињски кантон,"Инжењерство, производња и грађевинарство",
2014,Број,Босанско-подрињски кантон,"Пољопривреда, шумарство, рибарство и ветеринарство",
2014,Број,Босанско-подрињски кантон,Здравство и социјална заштита,
2014,Број,Босанско-подрињски кантон,Услуге,
2014,Број,Средњобосански кантон,Образовање,
2014,Број,Средњобосански кантон,Умјетност и хуманистичке науке,
2014,Број,Средњобосански кантон,"Друштвене науке, новинарство и информисање",
2014,Број,Средњобосански кантон,"Пословање, администрација и право",
2014,Број,Средњобосански кантон,"Природне науке, математика и статистика",
2014,Број,Средњобосански кантон,Информационе и комуникационе технологије,
2014,Број,Средњобосански кантон,"Инжењерство, производња и грађевинарство",
2014,Број,Средњобосански кантон,"Пољопривреда, шумарство, рибарство и ветеринарство",
2014,Број,Средњобосански кантон,Здравство и социјална заштита,
2014,Број,Средњобосански кантон,Услуге,
2014,Број,Херцеговачко-неретвански кантон,Образовање,
2014,Број,Херцеговачко-неретвански кантон,Умјетност и хуманистичке науке,
2014,Број,Херцеговачко-неретвански кантон,"Друштвене науке, новинарство и информисање",
2014,Број,Херцеговачко-неретвански кантон,"Пословање, администрација и право",
2014,Број,Херцеговачко-неретвански кантон,"Природне науке, математика и статистика",
2014,Број,Херцеговачко-неретвански кантон,Информационе и комуникационе технологије,
2014,Број,Херцеговачко-неретвански кантон,"Инжењерство, производња и грађевинарство",
2014,Број,Херцеговачко-неретвански кантон,"Пољопривреда, шумарство, рибарство и ветеринарство",
2014,Број,Херцеговачко-неретвански кантон,Здравство и социјална заштита,
2014,Број,Херцеговачко-неретвански кантон,Услуге,
2014,Број,Кантон Сарајево,Образовање,
2014,Број,Кантон Сарајево,Умјетност и хуманистичке науке,
2014,Број,Кантон Сарајево,"Друштвене науке, новинарство и информисање",
2014,Број,Кантон Сарајево,"Пословање, администрација и право",
2014,Број,Кантон Сарајево,"Природне науке, математика и статистика",
2014,Број,Кантон Сарајево,Информационе и комуникационе технологије,
2014,Број,Кантон Сарајево,"Инжењерство, производња и грађевинарство",
2014,Број,Кантон Сарајево,"Пољопривреда, шумарство, рибарство и ветеринарство",
2014,Број,Кантон Сарајево,Здравство и социјална заштита,
2014,Број,Кантон Сарајево,Услуге,
2015,Број,Федерација Босне и Херцеговине,Образовање,
2015,Број,Федерација Босне и Херцеговине,Умјетност и хуманистичке науке,
2015,Број,Федерација Босне и Херцеговине,"Друштвене науке, новинарство и информисање",
2015,Број,Федерација Босне и Херцеговине,"Пословање, администрација и право",
2015,Број,Федерација Босне и Херцеговине,"Природне науке, математика и статистика",
2015,Број,Федерација Босне и Херцеговине,Информационе и комуникационе технологије,
2015,Број,Федерација Босне и Херцеговине,"Инжењерство, производња и грађевинарство",
2015,Број,Федерација Босне и Херцеговине,"Пољопривреда, шумарство, рибарство и ветеринарство",
2015,Број,Федерација Босне и Херцеговине,Здравство и социјална заштита,
2015,Број,Федерација Босне и Херцеговине,Услуге,
2015,Број,Унско-сански кантон,Образовање,
2015,Број,Унско-сански кантон,Умјетност и хуманистичке науке,
2015,Број,Унско-сански кантон,"Друштвене науке, новинарство и информисање",
2015,Број,Унско-сански кантон,"Пословање, администрација и право",
2015,Број,Унско-сански кантон,"Природне науке, математика и статистика",
2015,Број,Унско-сански кантон,Информационе и комуникационе технологије,
2015,Број,Унско-сански кантон,"Инжењерство, производња и грађевинарство",
2015,Број,Унско-сански кантон,"Пољопривреда, шумарство, рибарство и ветеринарство",
2015,Број,Унско-сански кантон,Здравство и социјална заштита,
2015,Број,Унско-сански кантон,Услуге,
2015,Број,Тузлански кантон,Образовање,
2015,Број,Тузлански кантон,Умјетност и хуманистичке науке,
2015,Број,Тузлански кантон,"Друштвене науке, новинарство и информисање",
2015,Број,Тузлански кантон,"Пословање, администрација и право",
