Year,UNIT_MEASURE,Municipality,Sex,Education,Value
2013,Number,Trnovo-FBiH,Both sexes,No education,203
2013,Number,Tuzla,Both sexes,No education,3226
2013,Number,Usora,Both sexes,No education,420
2013,Number,Vares,Both sexes,No education,299
2013,Number,Velika Kladusa,Both sexes,No education,2257
2013,Number,Visoko,Both sexes,No education,1394
2013,Number,Vitez,Both sexes,No education,816
2013,Number,Sarajevo-Vogosca,Both sexes,No education,786
2013,Number,Zavidovici,Both sexes,No education,1563
2013,Number,Zenica,Both sexes,No education,2731
2013,Number,Zepce,Both sexes,No education,1143
2013,Number,Zivinice,Both sexes,No education,2673
2013,Number,Banovici,M,No education,70
2013,Number,Bihac,M,No education,356
2013,Number,Bosanska Krupa,M,No education,309
2013,Number,Bosanski Petrovac,M,No education,72
2013,Number,Bosansko Grahovo,M,No education,7
2013,Number,Breza,M,No education,37
2013,Number,Bugojno,M,No education,180
2013,Number,Busovaca,M,No education,98
2013,Number,Buzim,M,No education,230
2013,Number,Cazin,M,No education,649
2013,Number,Sarajevo-Centar,M,No education,103
2013,Number,Capljina,M,No education,106
2013,Number,Celic,M,No education,173
2013,Number,Citluk,M,No education,46
2013,Number,Doboj-Istok,M,No education,136
2013,Number,Doboj-Jug,M,No education,4
2013,Number,Dobretici,M,No education,34
2013,Number,Domaljevac-Samac,M,No education,54
2013,Number,Donji Vakuf,M,No education,129
2013,Number,Drvar,M,No education,39
2013,Number,foca-fbih,M,No education,24
2013,Number,Fojnica,M,No education,133
2013,Number,Glamoc,M,No education,40
2013,Number,Gorazde,M,No education,118
2013,Number,Gornji Vakuf-Uskoplje,M,No education,260
2013,Number,Gracanica,M,No education,353
2013,Number,Gradacac,M,No education,344
2013,Number,Grude,M,No education,89
2013,Number,Sarajevo-Hadzici,M,No education,266
2013,Number,Sarajevo-Ilidza,M,No education,234
2013,Number,Sarajevo-Ilijas,M,No education,112
2013,Number,Jablanica,M,No education,59
2013,Number,Jajce,M,No education,281
2013,Number,Kakanj,M,No education,287
2013,Number,Kalesija,M,No education,274
2013,Number,Kiseljak,M,No education,128
2013,Number,Kladanj,M,No education,76
2013,Number,Kljuc,M,No education,132
2013,Number,Konjic,M,No education,204
2013,Number,Kresevo,M,No education,41
2013,Number,Kupres-FBiH,M,No education,37
2013,Number,Livno,M,No education,201
2013,Number,Lukavac,M,No education,267
2013,Number,Ljubuski,M,No education,91
2013,Number,Maglaj,M,No education,121
2013,Number,Mostar,M,No education,275
2013,Number,Neum,M,No education,34
2013,Number,Sarajevo-Novi Grad,M,No education,362
2013,Number,Novi Travnik,M,No education,126
2013,Number,Sarajevo-Novo Sarajevo,M,No education,119
2013,Number,Odzak,M,No education,182
2013,Number,Olovo,M,No education,62
2013,Number,Orasje,M,No education,131
2013,Number,Pale-FBiH,M,No education,17
2013,Number,Posusje,M,No education,134
2013,Number,Prozor,M,No education,204
2013,Number,Ravno,M,No education,7
2013,Number,Sanski Most,M,No education,366
2013,Number,Sapna,M,No education,148
2013,Number,Srebrenik,M,No education,384
2013,Number,Sarajevo-Stari Grad,M,No education,100
2013,Number,Stolac,M,No education,112
2013,Number,Siroki Brijeg,M,No education,136
2013,Number,Teocak,M,No education,82
2013,Number,Tesanj,M,No education,266
2013,Number,Tomislavgrad,M,No education,256
2013,Number,Travnik,M,No education,445
2013,Number,Trnovo-FBiH,M,No education,28
2013,Number,Tuzla,M,No education,413
2013,Number,Usora,M,No education,48
2013,Number,Vares,M,No education,30
2013,Number,Velika Kladusa,M,No education,495
2013,Number,Visoko,M,No education,218
2013,Number,Vitez,M,No education,126
2013,Number,Sarajevo-Vogosca,M,No education,93
2013,Number,Zavidovici,M,No education,259
2013,Number,Zenica,M,No education,429
2013,Number,Zepce,M,No education,175
2013,Number,Zivinice,M,No education,369
2013,Number,Banovici,F,No education,622
2013,Number,Bihac,F,No education,1620
2013,Number,Bosanska Krupa,F,No education,1202
2013,Number,Bosanski Petrovac,F,No education,327
2013,Number,Bosansko Grahovo,F,No education,120
2013,Number,Breza,F,No education,552
2013,Number,Bugojno,F,No education,957
2013,Number,Busovaca,F,No education,657
2013,Number,Buzim,F,No education,708
2013,Number,Cazin,F,No education,2571
2013,Number,Sarajevo-Centar,F,No education,572
2013,Number,Capljina,F,No education,687
2013,Number,Celic,F,No education,512
2013,Number,Citluk,F,No education,323
2013,Number,Doboj-Istok,F,No education,546
2013,Number,Doboj-Jug,F,No education,126
2013,Number,Dobretici,F,No education,140
2013,Number,Domaljevac-Samac,F,No education,205
2013,Number,Donji Vakuf,F,No education,502
2013,Number,Drvar,F,No education,234
2013,Number,foca-fbih,F,No education,124
2013,Number,Fojnica,F,No education,548
2013,Number,Glamoc,F,No education,204
2013,Number,Gorazde,F,No education,797
2013,Number,Gornji Vakuf-Uskoplje,F,No education,885
2013,Number,Gracanica,F,No education,1636
2013,Number,Gradacac,F,No education,1316
2013,Number,Grude,F,No education,437
2013,Number,Sarajevo-Hadzici,F,No education,911
2013,Number,Sarajevo-Ilidza,F,No education,1495
2013,Number,Sarajevo-Ilijas,F,No education,878
2013,Number,Jablanica,F,No education,424
2013,Number,Jajce,F,No education,1162
2013,Number,Kakanj,F,No education,1412
2013,Number,Kalesija,F,No education,1440
2013,Number,Kiseljak,F,No education,732
2013,Number,Kladanj,F,No education,379
2013,Number,Kljuc,F,No education,786
2013,Number,Konjic,F,No education,1116
2013,Number,Kresevo,F,No education,249
2013,Number,Kupres-FBiH,F,No education,180
2013,Number,Livno,F,No education,1192
2013,Number,Lukavac,F,No education,1814
2013,Number,Ljubuski,F,No education,600
2013,Number,Maglaj,F,No education,710
2013,Number,Mostar,F,No education,1749
2013,Number,Neum,F,No education,170
2013,Number,Sarajevo-Novi Grad,F,No education,2262
2013,Number,Novi Travnik,F,No education,718
2013,Number,Sarajevo-Novo Sarajevo,F,No education,753
2013,Number,Odzak,F,No education,717
2013,Number,Olovo,F,No education,449
2013,Number,Orasje,F,No education,588
2013,Number,Pale-FBiH,F,No education,53
2013,Number,Posusje,F,No education,645
2013,Number,Prozor,F,No education,739
2013,Number,Ravno,F,No education,76
2013,Number,Sanski Most,F,No education,1695
2013,Number,Sapna,F,No education,612
2013,Number,Srebrenik,F,No education,1824
2013,Number,Sarajevo-Stari Grad,F,No education,610
2013,Number,Stolac,F,No education,458
2013,Number,Siroki Brijeg,F,No education,828
2013,Number,Teocak,F,No education,328
2013,Number,Tesanj,F,No education,1464
2013,Number,Tomislavgrad,F,No education,1176
2013,Number,Travnik,F,No education,1737
2013,Number,Trnovo-FBiH,F,No education,175
2013,Number,Tuzla,F,No education,2813
2013,Number,Usora,F,No education,372
2013,Number,Vares,F,No education,269
2013,Number,Velika Kladusa,F,No education,1762
2013,Number,Visoko,F,No education,1176
2013,Number,Vitez,F,No education,690
2013,Number,Sarajevo-Vogosca,F,No education,693
2013,Number,Zavidovici,F,No education,1304
2013,Number,Zenica,F,No education,2302
2013,Number,Zepce,F,No education,968
2013,Number,Zivinice,F,No education,2304
2013,Number,Banovici,Both sexes,Incomplete elementary education,1845
2013,Number,Bihac,Both sexes,Incomplete elementary education,3478
2013,Number,Bosanska Krupa,Both sexes,Incomplete elementary education,2675
2013,Number,Bosanski Petrovac,Both sexes,Incomplete elementary education,782
2013,Number,Bosansko Grahovo,Both sexes,Incomplete elementary education,337
2013,Number,Breza,Both sexes,Incomplete elementary education,1289
2013,Number,Bugojno,Both sexes,Incomplete elementary education,2265
2013,Number,Busovaca,Both sexes,Incomplete elementary education,1492
2013,Number,Buzim,Both sexes,Incomplete elementary education,1875
2013,Number,Cazin,Both sexes,Incomplete elementary education,5704
2013,Number,Sarajevo-Centar,Both sexes,Incomplete elementary education,1129
2013,Number,Capljina,Both sexes,Incomplete elementary education,1671
2013,Number,Celic,Both sexes,Incomplete elementary education,1336
2013,Number,Citluk,Both sexes,Incomplete elementary education,1074
2013,Number,Doboj-Istok,Both sexes,Incomplete elementary education,974
2013,Number,Doboj-Jug,Both sexes,Incomplete elementary education,266
2013,Number,Dobretici,Both sexes,Incomplete elementary education,150
2013,Number,Domaljevac-Samac,Both sexes,Incomplete elementary education,687
2013,Number,Donji Vakuf,Both sexes,Incomplete elementary education,1308
2013,Number,Drvar,Both sexes,Incomplete elementary education,534
2013,Number,foca-fbih,Both sexes,Incomplete elementary education,225
2013,Number,Fojnica,Both sexes,Incomplete elementary education,1369
2013,Number,Glamoc,Both sexes,Incomplete elementary education,443
2013,Number,Gorazde,Both sexes,Incomplete elementary education,1388
2013,Number,Gornji Vakuf-Uskoplje,Both sexes,Incomplete elementary education,1628
2013,Number,Gracanica,Both sexes,Incomplete elementary education,4661
2013,Number,Gradacac,Both sexes,Incomplete elementary education,4577
2013,Number,Grude,Both sexes,Incomplete elementary education,1079
2013,Number,Sarajevo-Hadzici,Both sexes,Incomplete elementary education,1630
2013,Number,Sarajevo-Ilidza,Both sexes,Incomplete elementary education,2597
2013,Number,Sarajevo-Ilijas,Both sexes,Incomplete elementary education,1548
2013,Number,Jablanica,Both sexes,Incomplete elementary education,1031
2013,Number,Jajce,Both sexes,Incomplete elementary education,3291
2013,Number,Kakanj,Both sexes,Incomplete elementary education,3704
2013,Number,Kalesija,Both sexes,Incomplete elementary education,3528
2013,Number,Kiseljak,Both sexes,Incomplete elementary education,1873
2013,Number,Kladanj,Both sexes,Incomplete elementary education,1154
2013,Number,Kljuc,Both sexes,Incomplete elementary education,1516
2013,Number,Konjic,Both sexes,Incomplete elementary education,2665
2013,Number,Kresevo,Both sexes,Incomplete elementary education,477
2013,Number,Kupres-FBiH,Both sexes,Incomplete elementary education,421
2013,Number,Livno,Both sexes,Incomplete elementary education,3312
2013,Number,Lukavac,Both sexes,Incomplete elementary education,4069
2013,Number,Ljubuski,Both sexes,Incomplete elementary education,2547
2013,Number,Maglaj,Both sexes,Incomplete elementary education,2087
2013,Number,Mostar,Both sexes,Incomplete elementary education,4310
2013,Number,Neum,Both sexes,Incomplete elementary education,282
2013,Number,Sarajevo-Novi Grad,Both sexes,Incomplete elementary education,4062
2013,Number,Novi Travnik,Both sexes,Incomplete elementary education,1863
2013,Number,Sarajevo-Novo Sarajevo,Both sexes,Incomplete elementary education,1351
2013,Number,Odzak,Both sexes,Incomplete elementary education,1925
2013,Number,Olovo,Both sexes,Incomplete elementary education,1122
2013,Number,Orasje,Both sexes,Incomplete elementary education,2799
2013,Number,Pale-FBiH,Both sexes,Incomplete elementary education,92
2013,Number,Posusje,Both sexes,Incomplete elementary education,864
2013,Number,Prozor,Both sexes,Incomplete elementary education,1507
2013,Number,Ravno,Both sexes,Incomplete elementary education,206
2013,Number,Sanski Most,Both sexes,Incomplete elementary education,2511
2013,Number,Sapna,Both sexes,Incomplete elementary education,1367
2013,Number,Srebrenik,Both sexes,Incomplete elementary education,4665
2013,Number,Sarajevo-Stari Grad,Both sexes,Incomplete elementary education,1020
2013,Number,Stolac,Both sexes,Incomplete elementary education,902
2013,Number,Siroki Brijeg,Both sexes,Incomplete elementary education,1777
2013,Number,Teocak,Both sexes,Incomplete elementary education,762
2013,Number,Tesanj,Both sexes,Incomplete elementary education,3225
2013,Number,Tomislavgrad,Both sexes,Incomplete elementary education,2290
2013,Number,Travnik,Both sexes,Incomplete elementary education,5388
2013,Number,Trnovo-FBiH,Both sexes,Incomplete elementary education,217
2013,Number,Tuzla,Both sexes,Incomplete elementary education,6228
2013,Number,Usora,Both sexes,Incomplete elementary education,478
2013,Number,Vares,Both sexes,Incomplete elementary education,1345
2013,Number,Velika Kladusa,Both sexes,Incomplete elementary education,5157
2013,Number,Visoko,Both sexes,Incomplete elementary education,3457
2013,Number,Vitez,Both sexes,Incomplete elementary education,1941
2013,Number,Sarajevo-Vogosca,Both sexes,Incomplete elementary education,1115
2013,Number,Zavidovici,Both sexes,Incomplete elementary education,3318
2013,Number,Zenica,Both sexes,Incomplete elementary education,8547
2013,Number,Zepce,Both sexes,Incomplete elementary education,2487
2013,Number,Zivinice,Both sexes,Incomplete elementary education,5685
2013,Number,Banovici,M,Incomplete elementary education,295
2013,Number,Bihac,M,Incomplete elementary education,1050
2013,Number,Bosanska Krupa,M,Incomplete elementary education,998
2013,Number,Bosanski Petrovac,M,Incomplete elementary education,284
2013,Number,Bosansko Grahovo,M,Incomplete elementary education,109
2013,Number,Breza,M,Incomplete elementary education,303
2013,Number,Bugojno,M,Incomplete elementary education,621
2013,Number,Busovaca,M,Incomplete elementary education,359
2013,Number,Buzim,M,Incomplete elementary education,703
2013,Number,Cazin,M,Incomplete elementary education,2086
2013,Number,Sarajevo-Centar,M,Incomplete elementary education,181
2013,Number,Capljina,M,Incomplete elementary education,425
2013,Number,Celic,M,Incomplete elementary education,544
2013,Number,Citluk,M,Incomplete elementary education,325
2013,Number,Doboj-Istok,M,Incomplete elementary education,279
2013,Number,Doboj-Jug,M,Incomplete elementary education,61
2013,Number,Dobretici,M,Incomplete elementary education,81
2013,Number,Domaljevac-Samac,M,Incomplete elementary education,297
2013,Number,Donji Vakuf,M,Incomplete elementary education,370
2013,Number,Drvar,M,Incomplete elementary education,105
2013,Number,foca-fbih,M,Incomplete elementary education,71
2013,Number,Fojnica,M,Incomplete elementary education,466
2013,Number,Glamoc,M,Incomplete elementary education,146
2013,Number,Gorazde,M,Incomplete elementary education,309
2013,Number,Gornji Vakuf-Uskoplje,M,Incomplete elementary education,449
2013,Number,Gracanica,M,Incomplete elementary education,1278
2013,Number,Gradacac,M,Incomplete elementary education,1387
2013,Number,Grude,M,Incomplete elementary education,352
2013,Number,Sarajevo-Hadzici,M,Incomplete elementary education,272
2013,Number,Sarajevo-Ilidza,M,Incomplete elementary education,419
2013,Number,Sarajevo-Ilijas,M,Incomplete elementary education,336
2013,Number,Jablanica,M,Incomplete elementary education,254
2013,Number,Jajce,M,Incomplete elementary education,1039
2013,Number,Kakanj,M,Incomplete elementary education,821
2013,Number,Kalesija,M,Incomplete elementary education,878
2013,Number,Kiseljak,M,Incomplete elementary education,493
2013,Number,Kladanj,M,Incomplete elementary education,287
2013,Number,Kljuc,M,Incomplete elementary education,536
2013,Number,Konjic,M,Incomplete elementary education,778
2013,Number,Kresevo,M,Incomplete elementary education,138
2013,Number,Kupres-FBiH,M,Incomplete elementary education,170
2013,Number,Livno,M,Incomplete elementary education,1238
2013,Number,Lukavac,M,Incomplete elementary education,778
2013,Number,Ljubuski,M,Incomplete elementary education,889
2013,Number,Maglaj,M,Incomplete elementary education,553
2013,Number,Mostar,M,Incomplete elementary education,929
2013,Number,Neum,M,Incomplete elementary education,87
2013,Number,Sarajevo-Novi Grad,M,Incomplete elementary education,739
2013,Number,Novi Travnik,M,Incomplete elementary education,359
2013,Number,Sarajevo-Novo Sarajevo,M,Incomplete elementary education,210
2013,Number,Odzak,M,Incomplete elementary education,718
2013,Number,Olovo,M,Incomplete elementary education,243
2013,Number,Orasje,M,Incomplete elementary education,1110
2013,Number,Pale-FBiH,M,Incomplete elementary education,25
2013,Number,Posusje,M,Incomplete elementary education,293
2013,Number,Prozor,M,Incomplete elementary education,528
2013,Number,Ravno,M,Incomplete elementary education,53
2013,Number,Sanski Most,M,Incomplete elementary education,849
2013,Number,Sapna,M,Incomplete elementary education,325
2013,Number,Srebrenik,M,Incomplete elementary education,1428
2013,Number,Sarajevo-Stari Grad,M,Incomplete elementary education,155
2013,Number,Stolac,M,Incomplete elementary education,278
2013,Number,Siroki Brijeg,M,Incomplete elementary education,538
2013,Number,Teocak,M,Incomplete elementary education,197
2013,Number,Tesanj,M,Incomplete elementary education,947
2013,Number,Tomislavgrad,M,Incomplete elementary education,803
2013,Number,Travnik,M,Incomplete elementary education,1567
2013,Number,Trnovo-FBiH,M,Incomplete elementary education,67
2013,Number,Tuzla,M,Incomplete elementary education,1450
2013,Number,Usora,M,Incomplete elementary education,178
2013,Number,Vares,M,Incomplete elementary education,264
2013,Number,Velika Kladusa,M,Incomplete elementary education,2005
2013,Number,Visoko,M,Incomplete elementary education,921
2013,Number,Vitez,M,Incomplete elementary education,481
2013,Number,Sarajevo-Vogosca,M,Incomplete elementary education,189
2013,Number,Zavidovici,M,Incomplete elementary education,1010
2013,Number,Zenica,M,Incomplete elementary education,1864
2013,Number,Zepce,M,Incomplete elementary education,743
2013,Number,Zivinice,M,Incomplete elementary education,1104
2013,Number,Banovici,F,Incomplete elementary education,1550
2013,Number,Bihac,F,Incomplete elementary education,2428
2013,Number,Bosanska Krupa,F,Incomplete elementary education,1677
2013,Number,Bosanski Petrovac,F,Incomplete elementary education,498
2013,Number,Bosansko Grahovo,F,Incomplete elementary education,228
2013,Number,Breza,F,Incomplete elementary education,986
2013,Number,Bugojno,F,Incomplete elementary education,1644
2013,Number,Busovaca,F,Incomplete elementary education,1133
2013,Number,Buzim,F,Incomplete elementary education,1172
2013,Number,Cazin,F,Incomplete elementary education,3618
2013,Number,Sarajevo-Centar,F,Incomplete elementary education,948
2013,Number,Capljina,F,Incomplete elementary education,1246
2013,Number,Celic,F,Incomplete elementary education,792
2013,Number,Citluk,F,Incomplete elementary education,749
2013,Number,Doboj-Istok,F,Incomplete elementary education,695
2013,Number,Doboj-Jug,F,Incomplete elementary education,205
2013,Number,Dobretici,F,Incomplete elementary education,69
2013,Number,Domaljevac-Samac,F,Incomplete elementary education,390
2013,Number,Donji Vakuf,F,Incomplete elementary education,938
2013,Number,Drvar,F,Incomplete elementary education,429
2013,Number,foca-fbih,F,Incomplete elementary education,154
2013,Number,Fojnica,F,Incomplete elementary education,903
2013,Number,Glamoc,F,Incomplete elementary education,297
2013,Number,Gorazde,F,Incomplete elementary education,1079
2013,Number,Gornji Vakuf-Uskoplje,F,Incomplete elementary education,1179
2013,Number,Gracanica,F,Incomplete elementary education,3383
2013,Number,Gradacac,F,Incomplete elementary education,3190
2013,Number,Grude,F,Incomplete elementary education,727
2013,Number,Sarajevo-Hadzici,F,Incomplete elementary education,1358
2013,Number,Sarajevo-Ilidza,F,Incomplete elementary education,2178
2013,Number,Sarajevo-Ilijas,F,Incomplete elementary education,1212
2013,Number,Jablanica,F,Incomplete elementary education,777
2013,Number,Jajce,F,Incomplete elementary education,2252
2013,Number,Kakanj,F,Incomplete elementary education,2883
2013,Number,Kalesija,F,Incomplete elementary education,2650
2013,Number,Kiseljak,F,Incomplete elementary education,1380
2013,Number,Kladanj,F,Incomplete elementary education,867
2013,Number,Kljuc,F,Incomplete elementary education,980
2013,Number,Konjic,F,Incomplete elementary education,1887
2013,Number,Kresevo,F,Incomplete elementary education,339
2013,Number,Kupres-FBiH,F,Incomplete elementary education,251
2013,Number,Livno,F,Incomplete elementary education,2074
2013,Number,Lukavac,F,Incomplete elementary education,3291
2013,Number,Ljubuski,F,Incomplete elementary education,1658
2013,Number,Maglaj,F,Incomplete elementary education,1534
2013,Number,Mostar,F,Incomplete elementary education,3381
2013,Number,Neum,F,Incomplete elementary education,195
2013,Number,Sarajevo-Novi Grad,F,Incomplete elementary education,3323
2013,Number,Novi Travnik,F,Incomplete elementary education,1504
2013,Number,Sarajevo-Novo Sarajevo,F,Incomplete elementary education,1141
2013,Number,Odzak,F,Incomplete elementary education,1207
2013,Number,Olovo,F,Incomplete elementary education,879
2013,Number,Orasje,F,Incomplete elementary education,1689
2013,Number,Pale-FBiH,F,Incomplete elementary education,67
2013,Number,Posusje,F,Incomplete elementary education,571
2013,Number,Prozor,F,Incomplete elementary education,979
2013,Number,Ravno,F,Incomplete elementary education,153
2013,Number,Sanski Most,F,Incomplete elementary education,1662
2013,Number,Sapna,F,Incomplete elementary education,1042
2013,Number,Srebrenik,F,Incomplete elementary education,3237
2013,Number,Sarajevo-Stari Grad,F,Incomplete elementary education,865
2013,Number,Stolac,F,Incomplete elementary education,624
2013,Number,Siroki Brijeg,F,Incomplete elementary education,1239
2013,Number,Teocak,F,Incomplete elementary education,565
2013,Number,Tesanj,F,Incomplete elementary education,2278
2013,Number,Tomislavgrad,F,Incomplete elementary education,1487
2013,Number,Travnik,F,Incomplete elementary education,3821
2013,Number,Trnovo-FBiH,F,Incomplete elementary education,150
2013,Number,Tuzla,F,Incomplete elementary education,4778
2013,Number,Usora,F,Incomplete elementary education,300
2013,Number,Vares,F,Incomplete elementary education,1081
2013,Number,Velika Kladusa,F,Incomplete elementary education,3152
2013,Number,Visoko,F,Incomplete elementary education,2536
2013,Number,Vitez,F,Incomplete elementary education,1460
2013,Number,Sarajevo-Vogosca,F,Incomplete elementary education,926
2013,Number,Zavidovici,F,Incomplete elementary education,2308
2013,Number,Zenica,F,Incomplete elementary education,6683
2013,Number,Zepce,F,Incomplete elementary education,1744
2013,Number,Zivinice,F,Incomplete elementary education,4581
2013,Number,Banovici,Both sexes,Elementary education,4419
2013,Number,Bihac,Both sexes,Elementary education,11023
2013,Number,Bosanska Krupa,Both sexes,Elementary education,6093
2013,Number,Bosanski Petrovac,Both sexes,Elementary education,1564
2013,Number,Bosansko Grahovo,Both sexes,Elementary education,425
2013,Number,Breza,Both sexes,Elementary education,2276
2013,Number,Bugojno,Both sexes,Elementary education,6364
2013,Number,Busovaca,Both sexes,Elementary education,3490
2013,Number,Buzim,Both sexes,Elementary education,5643
2013,Number,Cazin,Both sexes,Elementary education,17120
2013,Number,Sarajevo-Centar,Both sexes,Elementary education,5446
2013,Number,Capljina,Both sexes,Elementary education,3780
2013,Number,Celic,Both sexes,Elementary education,2884
2013,Number,Citluk,Both sexes,Elementary education,2467
2013,Number,Doboj-Istok,Both sexes,Elementary education,2026
2013,Number,Doboj-Jug,Both sexes,Elementary education,854
2013,Number,Dobretici,Both sexes,Elementary education,451
2013,Number,Domaljevac-Samac,Both sexes,Elementary education,968
2013,Number,Donji Vakuf,Both sexes,Elementary education,3250
2013,Number,Drvar,Both sexes,Elementary education,1232
2013,Number,foca-fbih,Both sexes,Elementary education,440
2013,Number,Fojnica,Both sexes,Elementary education,2448
2013,Number,Glamoc,Both sexes,Elementary education,781
2013,Number,Gorazde,Both sexes,Elementary education,4197
2013,Number,Gornji Vakuf-Uskoplje,Both sexes,Elementary education,4130
2013,Number,Gracanica,Both sexes,Elementary education,9413
2013,Number,Gradacac,Both sexes,Elementary education,9408
2013,Number,Grude,Both sexes,Elementary education,2466
2013,Number,Sarajevo-Hadzici,Both sexes,Elementary education,4317
2013,Number,Sarajevo-Ilidza,Both sexes,Elementary education,9887
2013,Number,Sarajevo-Ilijas,Both sexes,Elementary education,3968
2013,Number,Jablanica,Both sexes,Elementary education,1662
2013,Number,Jajce,Both sexes,Elementary education,4851
2013,Number,Kakanj,Both sexes,Elementary education,7556
2013,Number,Kalesija,Both sexes,Elementary education,6841
2013,Number,Kiseljak,Both sexes,Elementary education,3616
2013,Number,Kladanj,Both sexes,Elementary education,2730
2013,Number,Kljuc,Both sexes,Elementary education,3753
2013,Number,Konjic,Both sexes,Elementary education,5206
2013,Number,Kresevo,Both sexes,Elementary education,861
2013,Number,Kupres-FBiH,Both sexes,Elementary education,714
2013,Number,Livno,Both sexes,Elementary education,5245
2013,Number,Lukavac,Both sexes,Elementary education,7860
2013,Number,Ljubuski,Both sexes,Elementary education,3509
2013,Number,Maglaj,Both sexes,Elementary education,4758
2013,Number,Mostar,Both sexes,Elementary education,14243
2013,Number,Neum,Both sexes,Elementary education,608
2013,Number,Sarajevo-Novi Grad,Both sexes,Elementary education,15973
2013,Number,Novi Travnik,Both sexes,Elementary education,4298
2013,Number,Sarajevo-Novo Sarajevo,Both sexes,Elementary education,6456
2013,Number,Odzak,Both sexes,Elementary education,3982
2013,Number,Olovo,Both sexes,Elementary education,2421
2013,Number,Orasje,Both sexes,Elementary education,4015
2013,Number,Pale-FBiH,Both sexes,Elementary education,249
2013,Number,Posusje,Both sexes,Elementary education,3149
2013,Number,Prozor,Both sexes,Elementary education,2471
2013,Number,Ravno,Both sexes,Elementary education,442
2013,Number,Sanski Most,Both sexes,Elementary education,8907
2013,Number,Sapna,Both sexes,Elementary education,2930
2013,Number,Srebrenik,Both sexes,Elementary education,8593
2013,Number,Sarajevo-Stari Grad,Both sexes,Elementary education,4518
2013,Number,Stolac,Both sexes,Elementary education,2417
2013,Number,Siroki Brijeg,Both sexes,Elementary education,3451
2013,Number,Teocak,Both sexes,Elementary education,1846
2013,Number,Tesanj,Both sexes,Elementary education,9991
2013,Number,Tomislavgrad,Both sexes,Elementary education,5398
2013,Number,Travnik,Both sexes,Elementary education,11614
2013,Number,Trnovo-FBiH,Both sexes,Elementary education,290
