Year,Type_of_disability,SEX,AGE,UNIT_MEASURE,Value
2013.0,walking_or_climbing_up_the_stairs,M,0-14,NUMBER,370.0
2013.0,remembering_or_concentration,M,0-14,NUMBER,123.0
2013.0,self_care,M,0-14,NUMBER,104.0
2013.0,Communication,M,0-14,NUMBER,215.0
2013.0,multiple_disabilities,M,0-14,NUMBER,1077.0
2013.0,Seeing,M,15-19,NUMBER,430.0
2013.0,Hearing,M,15-19,NUMBER,101.0
2013.0,walking_or_climbing_up_the_stairs,M,15-19,NUMBER,268.0
2013.0,remembering_or_concentration,M,15-19,NUMBER,95.0
2013.0,self_care,M,15-19,NUMBER,19.0
2013.0,Communication,M,15-19,NUMBER,75.0
2013.0,multiple_disabilities,M,15-19,NUMBER,653.0
2013.0,Seeing,M,20-29,NUMBER,976.0
2013.0,Hearing,M,20-29,NUMBER,223.0
2013.0,walking_or_climbing_up_the_stairs,M,20-29,NUMBER,883.0
2013.0,remembering_or_concentration,M,20-29,NUMBER,256.0
2013.0,self_care,M,20-29,NUMBER,44.0
2013.0,Communication,M,20-29,NUMBER,133.0
2013.0,multiple_disabilities,M,20-29,NUMBER,1306.0
2013.0,Seeing,M,30-49,NUMBER,4313.0
2013.0,Hearing,M,30-49,NUMBER,1722.0
2013.0,walking_or_climbing_up_the_stairs,M,30-49,NUMBER,10912.0
2013.0,remembering_or_concentration,M,30-49,NUMBER,1488.0
2013.0,self_care,M,30-49,NUMBER,216.0
2013.0,Communication,M,30-49,NUMBER,442.0
2013.0,multiple_disabilities,M,30-49,NUMBER,6669.0
2013.0,Seeing,M,50-59,NUMBER,6088.0
2013.0,Hearing,M,50-59,NUMBER,2282.0
2013.0,walking_or_climbing_up_the_stairs,M,50-59,NUMBER,11557.0
2013.0,remembering_or_concentration,M,50-59,NUMBER,1170.0
2013.0,self_care,M,50-59,NUMBER,179.0
2013.0,Communication,M,50-59,NUMBER,338.0
2013.0,multiple_disabilities,M,50-59,NUMBER,9039.0
2013.0,Seeing,M,60-64,NUMBER,3155.0
2013.0,Hearing,M,60-64,NUMBER,1432.0
2013.0,walking_or_climbing_up_the_stairs,M,60-64,NUMBER,5672.0
2013.0,remembering_or_concentration,M,60-64,NUMBER,440.0
2013.0,self_care,M,60-64,NUMBER,57.0
2013.0,Communication,M,60-64,NUMBER,198.0
2013.0,multiple_disabilities,M,60-64,NUMBER,5203.0
2013.0,Seeing,M,65+,NUMBER,8036.0
2013.0,Hearing,M,65+,NUMBER,6620.0
2013.0,walking_or_climbing_up_the_stairs,M,65+,NUMBER,13529.0
2013.0,remembering_or_concentration,M,65+,NUMBER,1092.0
2013.0,self_care,M,65+,NUMBER,266.0
2013.0,Communication,M,65+,NUMBER,360.0
2013.0,multiple_disabilities,M,65+,NUMBER,22432.0
2013.0,Seeing,F,0-14,NUMBER,513.0
2013.0,Hearing,F,0-14,NUMBER,116.0
2013.0,walking_or_climbing_up_the_stairs,F,0-14,NUMBER,301.0
2013.0,remembering_or_concentration,F,0-14,NUMBER,77.0
2013.0,self_care,F,0-14,NUMBER,60.0
2013.0,Communication,F,0-14,NUMBER,103.0
2013.0,multiple_disabilities,F,0-14,NUMBER,749.0
2013.0,Seeing,F,15-19,NUMBER,432.0
2013.0,Hearing,F,15-19,NUMBER,90.0
2013.0,walking_or_climbing_up_the_stairs,F,15-19,NUMBER,210.0
2013.0,remembering_or_concentration,F,15-19,NUMBER,34.0
2013.0,self_care,F,15-19,NUMBER,13.0
2013.0,Communication,F,15-19,NUMBER,37.0
2013.0,multiple_disabilities,F,15-19,NUMBER,429.0
2013.0,Seeing,F,20-29,NUMBER,843.0
2013.0,Hearing,F,20-29,NUMBER,147.0
2013.0,walking_or_climbing_up_the_stairs,F,20-29,NUMBER,467.0
2013.0,remembering_or_concentration,F,20-29,NUMBER,124.0
2013.0,self_care,F,20-29,NUMBER,28.0
2013.0,Communication,F,20-29,NUMBER,75.0
2013.0,multiple_disabilities,F,20-29,NUMBER,893.0
2013.0,Seeing,F,30-49,NUMBER,3528.0
2013.0,Hearing,F,30-49,NUMBER,738.0
2013.0,walking_or_climbing_up_the_stairs,F,30-49,NUMBER,4950.0
2013.0,remembering_or_concentration,F,30-49,NUMBER,849.0
2013.0,self_care,F,30-49,NUMBER,103.0
2013.0,Communication,F,30-49,NUMBER,241.0
2013.0,multiple_disabilities,F,30-49,NUMBER,4025.0
2013.0,Seeing,F,50-59,NUMBER,6782.0
2013.0,Hearing,F,50-59,NUMBER,1216.0
2013.0,walking_or_climbing_up_the_stairs,F,50-59,NUMBER,9927.0
2013.0,remembering_or_concentration,F,50-59,NUMBER,865.0
2013.0,self_care,F,50-59,NUMBER,80.0
2013.0,Communication,F,50-59,NUMBER,150.0
2013.0,multiple_disabilities,F,50-59,NUMBER,7822.0
2013.0,Seeing,F,60-64,NUMBER,4034.0
2013.0,Hearing,F,60-64,NUMBER,857.0
2013.0,walking_or_climbing_up_the_stairs,F,60-64,NUMBER,7055.0
2013.0,remembering_or_concentration,F,60-64,NUMBER,430.0
2013.0,self_care,F,60-64,NUMBER,43.0
2013.0,Communication,F,60-64,NUMBER,61.0
2013.0,multiple_disabilities,F,60-64,NUMBER,5922.0
2013.0,Seeing,F,65+,NUMBER,12600.0
2013.0,Hearing,F,65+,NUMBER,5885.0
2013.0,walking_or_climbing_up_the_stairs,F,65+,NUMBER,30877.0
2013.0,remembering_or_concentration,F,65+,NUMBER,1744.0
2013.0,self_care,F,65+,NUMBER,321.0
2013.0,Communication,F,65+,NUMBER,226.0
2013.0,multiple_disabilities,F,65+,NUMBER,44011.0
,,,,,
