Year,UNIT_MEASURE,Пол,Старосна доб,Узрок смрти,Value
2008,Број,M,Укупно,(Ф00-Ф99) Душевни поремећаји и поремећаји понашања,38.0
2008,Број,M,Укупно,(Г00-Г99) Болести нервног система,76.0
2008,Број,M,Укупно,(И00-И99) Болести циркулацијског система,4949.0
2008,Број,M,Укупно,(Ј00-Ј99) Болести респираторног система,336.0
2008,Број,M,Укупно,(К00-К93) Болести дигестивног система,270.0
2008,Број,M,Укупно,(М00-М99) Болести мускулоскелетног система и везивног ткива,11.0
2008,Број,M,Укупно,(Н00-Н99) Болести генитално-уринарног система,137.0
2008,Број,M,Укупно,(П00-П96) Одређена стања настала у перинаталном периоду,63.0
2008,Број,M,Укупно,"(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности",27.0
2008,Број,M,Укупно,"(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани",542.0
2008,Број,M,Укупно,Непознато,443.0
2008,Број,Ж,Укупно,(Х00-Х59) Болести ока,1.0
2008,Број,Ж,Укупно,"(О00-О99) Трудноћа, порођај и постпорођајни период",3.0
2008,Број,Ж,Укупно,(Л00-Л99) Болести коже и поткожног ткива,5.0
2008,Број,Ж,Укупно,(А00-Б99) Заразне и паразитарне болести,58.0
2008,Број,Ж,Укупно,"(Ц00-Ц97,Д00-Д48) Неоплазме",1546.0
2008,Број,Ж,Укупно,"(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система",15.0
2008,Број,Ж,Укупно,"(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма",476.0
2008,Број,Ж,Укупно,(Ф00-Ф99) Душевни поремећаји и поремећаји понашања,23.0
2008,Број,Ж,Укупно,(Г00-Г99) Болести нервног система,65.0
2008,Број,Ж,Укупно,(И00-И99) Болести циркулацијског система,5560.0
2008,Број,Ж,Укупно,(Ј00-Ј99) Болести респираторног система,222.0
2008,Број,Ж,Укупно,(К00-К93) Болести дигестивног система,198.0
2008,Број,Ж,Укупно,(М00-М99) Болести мускулоскелетног система и везивног ткива,12.0
2008,Број,Ж,Укупно,(Н00-Н99) Болести генитално-уринарног система,142.0
2008,Број,Ж,Укупно,(П00-П96) Одређена стања настала у перинаталном периоду,53.0
2008,Број,Ж,Укупно,"(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности",19.0
2008,Број,Ж,Укупно,"(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани",520.0
2008,Број,Ж,Укупно,"(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора",122.0
2008,Број,Ж,Укупно,Непознато,370.0
2008,Број,Оба пола,0,(Л00-Л99) Болести коже и поткожног ткива,0.0
2008,Број,Оба пола,0,(Х00-Х59) Болести ока,0.0
2008,Број,Оба пола,0,"(О00-О99) Трудноћа, порођај и постпорођајни период",0.0
2008,Број,Оба пола,0,"(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система",0.0
2008,Број,Оба пола,0,(М00-М99) Болести мускулоскелетног система и везивног ткива,0.0
2008,Број,Оба пола,0,(Ф00-Ф99) Душевни поремећаји и поремећаји понашања,0.0
2008,Број,Оба пола,0,"(Ц00-Ц97,Д00-Д48) Неоплазме",0.0
2008,Број,Оба пола,0,"(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма",0.0
2008,Број,Оба пола,0,(Г00-Г99) Болести нервног система,0.0
2008,Број,Оба пола,0,(Н00-Н99) Болести генитално-уринарног система,0.0
2008,Број,Оба пола,0,"(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора",2.0
2008,Број,Оба пола,0,(Ј00-Ј99) Болести респираторног система,3.0
2008,Број,Оба пола,0,(К00-К93) Болести дигестивног система,3.0
2008,Број,Оба пола,0,"(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани",10.0
2008,Број,Оба пола,0,(П00-П96) Одређена стања настала у перинаталном периоду,116.0
2008,Број,Оба пола,0,"(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности",35.0
2008,Број,Оба пола,0,Непознато,9.0
2008,Број,Оба пола,0,(И00-И99) Болести циркулацијског система,11.0
2008,Број,Оба пола,0,(А00-Б99) Заразне и паразитарне болести,5.0
2008,Број,M,0,"(Ц00-Ц97,Д00-Д48) Неоплазме",0.0
2008,Број,M,0,"(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма",0.0
2008,Број,M,0,(Г00-Г99) Болести нервног система,0.0
2008,Број,M,0,(Н00-Н99) Болести генитално-уринарног система,0.0
2008,Број,M,0,(Ф00-Ф99) Душевни поремећаји и поремећаји понашања,0.0
2008,Број,M,0,"(О00-О99) Трудноћа, порођај и постпорођајни период",0.0
2008,Број,M,0,(Х00-Х59) Болести ока,0.0
2008,Број,M,0,"(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система",0.0
2008,Број,M,0,(М00-М99) Болести мускулоскелетног система и везивног ткива,0.0
2008,Број,M,0,(Л00-Л99) Болести коже и поткожног ткива,0.0
2008,Број,M,0,"(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора",1.0
2008,Број,M,0,(А00-Б99) Заразне и паразитарне болести,2.0
2008,Број,M,0,(Ј00-Ј99) Болести респираторног система,2.0
2008,Број,M,0,(К00-К93) Болести дигестивног система,3.0
2008,Број,M,0,Непознато,4.0
2008,Број,M,0,(П00-П96) Одређена стања настала у перинаталном периоду,63.0
2008,Број,M,0,"(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности",22.0
2008,Број,M,0,"(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани",7.0
2008,Број,M,0,(И00-И99) Болести циркулацијског система,6.0
2008,Број,Ж,0,(Л00-Л99) Болести коже и поткожног ткива,0.0
2008,Број,Ж,0,"(Ц00-Ц97,Д00-Д48) Неоплазме",0.0
2008,Број,Ж,0,"(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система",0.0
2008,Број,Ж,0,"(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма",0.0
2008,Број,Ж,0,(Ф00-Ф99) Душевни поремећаји и поремећаји понашања,0.0
2008,Број,Ж,0,(Г00-Г99) Болести нервног система,0.0
2008,Број,Ж,0,(Х00-Х59) Болести ока,0.0
2008,Број,Ж,0,(К00-К93) Болести дигестивног система,0.0
2008,Број,Ж,0,(М00-М99) Болести мускулоскелетног система и везивног ткива,0.0
2008,Број,Ж,0,(Н00-Н99) Болести генитално-уринарног система,0.0
2008,Број,Ж,0,"(О00-О99) Трудноћа, порођај и постпорођајни период",0.0
2008,Број,Ж,0,(Ј00-Ј99) Болести респираторног система,1.0
2008,Број,Ж,0,"(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора",1.0
2008,Број,Ж,0,(А00-Б99) Заразне и паразитарне болести,3.0
2008,Број,Ж,0,"(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани",3.0
2008,Број,Ж,0,(И00-И99) Болести циркулацијског система,5.0
2008,Број,Ж,0,Непознато,5.0
2008,Број,Ж,0,(П00-П96) Одређена стања настала у перинаталном периоду,53.0
2008,Број,Ж,0,"(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности",13.0
2008,Број,Оба пола, 1-4,(П00-П96) Одређена стања настала у перинаталном периоду,0.0
2008,Број,Оба пола, 1-4,(Л00-Л99) Болести коже и поткожног ткива,0.0
2008,Број,Оба пола, 1-4,(Х00-Х59) Болести ока,0.0
2008,Број,Оба пола, 1-4,"(О00-О99) Трудноћа, порођај и постпорођајни период",0.0
2008,Број,Оба пола, 1-4,(М00-М99) Болести мускулоскелетног система и везивног ткива,0.0
2008,Број,Оба пола, 1-4,(Ф00-Ф99) Душевни поремећаји и поремећаји понашања,0.0
2008,Број,Оба пола, 1-4,"(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма",0.0
2008,Број,Оба пола, 1-4,(К00-К93) Болести дигестивног система,0.0
2008,Број,Оба пола, 1-4,"(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани",0.0
2008,Број,Оба пола, 1-4,"(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система",1.0
2008,Број,Оба пола, 1-4,(Г00-Г99) Болести нервног система,1.0
2008,Број,Оба пола, 1-4,(Ј00-Ј99) Болести респираторног система,1.0
2008,Број,Оба пола, 1-4,(Н00-Н99) Болести генитално-уринарног система,1.0
2008,Број,Оба пола, 1-4,(А00-Б99) Заразне и паразитарне болести,2.0
2008,Број,Оба пола, 1-4,Непознато,2.0
2008,Број,Оба пола, 1-4,"(Ц00-Ц97,Д00-Д48) Неоплазме",3.0
2008,Број,Оба пола, 1-4,"(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности",4.0
2008,Број,Оба пола, 1-4,(И00-И99) Болести циркулацијског система,6.0
2008,Број,Оба пола, 1-4,"(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора",6.0
2008,Број,M, 1-4,"(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма",0.0
2008,Број,M, 1-4,(Г00-Г99) Болести нервног система,0.0
2008,Број,M, 1-4,(К00-К93) Болести дигестивног система,0.0
2008,Број,M, 1-4,"(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани",0.0
2008,Број,M, 1-4,Непознато,0.0
2008,Број,M, 1-4,(Ф00-Ф99) Душевни поремећаји и поремећаји понашања,0.0
2008,Број,M, 1-4,"(О00-О99) Трудноћа, порођај и постпорођајни период",0.0
2008,Број,M, 1-4,(Х00-Х59) Болести ока,0.0
2008,Број,M, 1-4,(М00-М99) Болести мускулоскелетног система и везивног ткива,0.0
2008,Број,M, 1-4,(Л00-Л99) Болести коже и поткожног ткива,0.0
2008,Број,M, 1-4,(П00-П96) Одређена стања настала у перинаталном периоду,0.0
2008,Број,M, 1-4,"(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система",1.0
2008,Број,M, 1-4,(Ј00-Ј99) Болести респираторног система,1.0
2008,Број,M, 1-4,(Н00-Н99) Болести генитално-уринарног система,1.0
2008,Број,M, 1-4,(А00-Б99) Заразне и паразитарне болести,2.0
2008,Број,M, 1-4,"(Ц00-Ц97,Д00-Д48) Неоплазме",2.0
2008,Број,M, 1-4,(И00-И99) Болести циркулацијског система,2.0
2008,Број,M, 1-4,"(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности",3.0
2008,Број,M, 1-4,"(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора",5.0
2008,Број,Ж, 1-4,(П00-П96) Одређена стања настала у перинаталном периоду,0.0
2008,Број,Ж, 1-4,(Л00-Л99) Болести коже и поткожног ткива,0.0
2008,Број,Ж, 1-4,(А00-Б99) Заразне и паразитарне болести,0.0
2008,Број,Ж, 1-4,"(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система",0.0
2008,Број,Ж, 1-4,"(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма",0.0
2008,Број,Ж, 1-4,(Ф00-Ф99) Душевни поремећаји и поремећаји понашања,0.0
2008,Број,Ж, 1-4,(Х00-Х59) Болести ока,0.0
2008,Број,Ж, 1-4,(Ј00-Ј99) Болести респираторног система,0.0
2008,Број,Ж, 1-4,(К00-К93) Болести дигестивног система,0.0
2008,Број,Ж, 1-4,(М00-М99) Болести мускулоскелетног система и везивног ткива,0.0
2008,Број,Ж, 1-4,(Н00-Н99) Болести генитално-уринарног система,0.0
2008,Број,Ж, 1-4,"(О00-О99) Трудноћа, порођај и постпорођајни период",0.0
2008,Број,Ж, 1-4,"(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани",0.0
2008,Број,Ж, 1-4,"(Ц00-Ц97,Д00-Д48) Неоплазме",1.0
2008,Број,Ж, 1-4,(Г00-Г99) Болести нервног система,1.0
2008,Број,Ж, 1-4,"(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности",1.0
2008,Број,Ж, 1-4,"(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора",1.0
2008,Број,Ж, 1-4,Непознато,2.0
2008,Број,Ж, 1-4,(И00-И99) Болести циркулацијског система,4.0
2008,Број,Оба пола, 5-9,(П00-П96) Одређена стања настала у перинаталном периоду,0.0
2008,Број,Оба пола, 5-9,(Л00-Л99) Болести коже и поткожног ткива,0.0
2008,Број,Оба пола, 5-9,(Х00-Х59) Болести ока,0.0
2008,Број,Оба пола, 5-9,(А00-Б99) Заразне и паразитарне болести,0.0
2008,Број,Оба пола, 5-9,"(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система",0.0
2008,Број,Оба пола, 5-9,"(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма",0.0
2008,Број,Оба пола, 5-9,(Ф00-Ф99) Душевни поремећаји и поремећаји понашања,0.0
2008,Број,Оба пола, 5-9,(Ј00-Ј99) Болести респираторног система,0.0
2008,Број,Оба пола, 5-9,(К00-К93) Болести дигестивног система,0.0
2008,Број,Оба пола, 5-9,(М00-М99) Болести мускулоскелетног система и везивног ткива,0.0
2008,Број,Оба пола, 5-9,(Н00-Н99) Болести генитално-уринарног система,0.0
2008,Број,Оба пола, 5-9,"(О00-О99) Трудноћа, порођај и постпорођајни период",0.0
2008,Број,Оба пола, 5-9,(Г00-Г99) Болести нервног система,1.0
2008,Број,Оба пола, 5-9,Непознато,1.0
2008,Број,Оба пола, 5-9,(И00-И99) Болести циркулацијског система,2.0
2008,Број,Оба пола, 5-9,"(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности",2.0
2008,Број,Оба пола, 5-9,"(Ц00-Ц97,Д00-Д48) Неоплазме",3.0
2008,Број,Оба пола, 5-9,"(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани",3.0
2008,Број,Оба пола, 5-9,"(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора",8.0
2008,Број,M, 5-9,(А00-Б99) Заразне и паразитарне болести,0.0
2008,Број,M, 5-9,"(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма",0.0
2008,Број,M, 5-9,(Г00-Г99) Болести нервног система,0.0
2008,Број,M, 5-9,(Ј00-Ј99) Болести респираторног система,0.0
2008,Број,M, 5-9,(К00-К93) Болести дигестивног система,0.0
2008,Број,M, 5-9,(Н00-Н99) Болести генитално-уринарног система,0.0
2008,Број,M, 5-9,Непознато,0.0
2008,Број,M, 5-9,(Ф00-Ф99) Душевни поремећаји и поремећаји понашања,0.0
2008,Број,M, 5-9,"(О00-О99) Трудноћа, порођај и постпорођајни период",0.0
2008,Број,M, 5-9,(Х00-Х59) Болести ока,0.0
2008,Број,M, 5-9,"(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система",0.0
2008,Број,M, 5-9,(М00-М99) Болести мускулоскелетног система и везивног ткива,0.0
2008,Број,M, 5-9,"(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности",0.0
2008,Број,M, 5-9,(Л00-Л99) Болести коже и поткожног ткива,0.0
2008,Број,M, 5-9,(П00-П96) Одређена стања настала у перинаталном периоду,0.0
2008,Број,M, 5-9,"(Ц00-Ц97,Д00-Д48) Неоплазме",2.0
2008,Број,M, 5-9,(И00-И99) Болести циркулацијског система,2.0
2008,Број,M, 5-9,"(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани",2.0
2008,Број,M, 5-9,"(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора",7.0
2008,Број,Ж, 5-9,(П00-П96) Одређена стања настала у перинаталном периоду,0.0
2008,Број,Ж, 5-9,(Л00-Л99) Болести коже и поткожног ткива,0.0
2008,Број,Ж, 5-9,(А00-Б99) Заразне и паразитарне болести,0.0
2008,Број,Ж, 5-9,"(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система",0.0
2008,Број,Ж, 5-9,"(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма",0.0
2008,Број,Ж, 5-9,(Ф00-Ф99) Душевни поремећаји и поремећаји понашања,0.0
2008,Број,Ж, 5-9,(Х00-Х59) Болести ока,0.0
2008,Број,Ж, 5-9,(И00-И99) Болести циркулацијског система,0.0
2008,Број,Ж, 5-9,(Ј00-Ј99) Болести респираторног система,0.0
2008,Број,Ж, 5-9,(К00-К93) Болести дигестивног система,0.0
2008,Број,Ж, 5-9,(М00-М99) Болести мускулоскелетног система и везивног ткива,0.0
2008,Број,Ж, 5-9,(Н00-Н99) Болести генитално-уринарног система,0.0
2008,Број,Ж, 5-9,"(О00-О99) Трудноћа, порођај и постпорођајни период",0.0
2008,Број,Ж, 5-9,"(Ц00-Ц97,Д00-Д48) Неоплазме",1.0
2008,Број,Ж, 5-9,(Г00-Г99) Болести нервног система,1.0
2008,Број,Ж, 5-9,"(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани",1.0
2008,Број,Ж, 5-9,"(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора",1.0
2008,Број,Ж, 5-9,Непознато,1.0
2008,Број,Ж, 5-9,"(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности",2.0
2008,Број,Оба пола, 10-14,(П00-П96) Одређена стања настала у перинаталном периоду,0.0
2008,Број,Оба пола, 10-14,(Л00-Л99) Болести коже и поткожног ткива,0.0
2008,Број,Оба пола, 10-14,"(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности",0.0
2008,Број,Оба пола, 10-14,(Х00-Х59) Болести ока,0.0
2008,Број,Оба пола, 10-14,"(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система",0.0
2008,Број,Оба пола, 10-14,(Ф00-Ф99) Душевни поремећаји и поремећаји понашања,0.0
2008,Број,Оба пола, 10-14,(К00-К93) Болести дигестивног система,0.0
2008,Број,Оба пола, 10-14,(М00-М99) Болести мускулоскелетног система и везивног ткива,0.0
2008,Број,Оба пола, 10-14,(Н00-Н99) Болести генитално-уринарног система,0.0
2008,Број,Оба пола, 10-14,"(О00-О99) Трудноћа, порођај и постпорођајни период",0.0
2008,Број,Оба пола, 10-14,"(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма",1.0
2008,Број,Оба пола, 10-14,(Ј00-Ј99) Болести респираторног система,1.0
2008,Број,Оба пола, 10-14,(А00-Б99) Заразне и паразитарне болести,2.0
2008,Број,Оба пола, 10-14,(И00-И99) Болести циркулацијског система,2.0
2008,Број,Оба пола, 10-14,(Г00-Г99) Болести нервног система,3.0
2008,Број,Оба пола, 10-14,Непознато,3.0
2008,Број,Оба пола, 10-14,"(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани",4.0
2008,Број,Оба пола, 10-14,"(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора",9.0
2008,Број,Оба пола, 10-14,"(Ц00-Ц97,Д00-Д48) Неоплазме",5.0
2008,Број,M, 10-14,(А00-Б99) Заразне и паразитарне болести,0.0
2008,Број,M, 10-14,"(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма",0.0
2008,Број,M, 10-14,(И00-И99) Болести циркулацијског система,0.0
2008,Број,M, 10-14,(Ј00-Ј99) Болести респираторног система,0.0
2008,Број,M, 10-14,(К00-К93) Болести дигестивног система,0.0
2008,Број,M, 10-14,(Н00-Н99) Болести генитално-уринарног система,0.0
2008,Број,M, 10-14,(Ф00-Ф99) Душевни поремећаји и поремећаји понашања,0.0
2008,Број,M, 10-14,"(О00-О99) Трудноћа, порођај и постпорођајни период",0.0
2008,Број,M, 10-14,(Х00-Х59) Болести ока,0.0
2008,Број,M, 10-14,"(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система",0.0
2008,Број,M, 10-14,(М00-М99) Болести мускулоскелетног система и везивног ткива,0.0
2008,Број,M, 10-14,"(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности",0.0
2008,Број,M, 10-14,(Л00-Л99) Болести коже и поткожног ткива,0.0
2008,Број,M, 10-14,(П00-П96) Одређена стања настала у перинаталном периоду,0.0
2008,Број,M, 10-14,(Г00-Г99) Болести нервног система,1.0
2008,Број,M, 10-14,Непознато,2.0
2008,Број,M, 10-14,"(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани",3.0
2008,Број,M, 10-14,"(Ц00-Ц97,Д00-Д48) Неоплазме",4.0
2008,Број,M, 10-14,"(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора",6.0
2008,Број,Ж, 10-14,(П00-П96) Одређена стања настала у перинаталном периоду,0.0
2008,Број,Ж, 10-14,(Л00-Л99) Болести коже и поткожног ткива,0.0
2008,Број,Ж, 10-14,"(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности",0.0
2008,Број,Ж, 10-14,"(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система",0.0
2008,Број,Ж, 10-14,(Ф00-Ф99) Душевни поремећаји и поремећаји понашања,0.0
2008,Број,Ж, 10-14,(Х00-Х59) Болести ока,0.0
2008,Број,Ж, 10-14,(К00-К93) Болести дигестивног система,0.0
2008,Број,Ж, 10-14,(М00-М99) Болести мускулоскелетног система и везивног ткива,0.0
2008,Број,Ж, 10-14,(Н00-Н99) Болести генитално-уринарног система,0.0
2008,Број,Ж, 10-14,"(О00-О99) Трудноћа, порођај и постпорођајни период",0.0
2008,Број,Ж, 10-14,"(Ц00-Ц97,Д00-Д48) Неоплазме",1.0
2008,Број,Ж, 10-14,"(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма",1.0
2008,Број,Ж, 10-14,(Ј00-Ј99) Болести респираторног система,1.0
2008,Број,Ж, 10-14,"(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани",1.0
2008,Број,Ж, 10-14,Непознато,1.0
2008,Број,Ж, 10-14,(А00-Б99) Заразне и паразитарне болести,2.0
2008,Број,Ж, 10-14,(Г00-Г99) Болести нервног система,2.0
2008,Број,Ж, 10-14,(И00-И99) Болести циркулацијског система,2.0
2008,Број,Ж, 10-14,"(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора",3.0
2008,Број,Оба пола,15-19,(П00-П96) Одређена стања настала у перинаталном периоду,0.0
2008,Број,Оба пола,15-19,(Л00-Л99) Болести коже и поткожног ткива,0.0
2008,Број,Оба пола,15-19,(Х00-Х59) Болести ока,0.0
2008,Број,Оба пола,15-19,"(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система",0.0
2008,Број,Оба пола,15-19,(М00-М99) Болести мускулоскелетног система и везивног ткива,0.0
2008,Број,Оба пола,15-19,(Ф00-Ф99) Душевни поремећаји и поремећаји понашања,0.0
2008,Број,Оба пола,15-19,"(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма",0.0
2008,Број,Оба пола,15-19,(Ј00-Ј99) Болести респираторног система,0.0
2008,Број,Оба пола,15-19,(Н00-Н99) Болести генитално-уринарног система,0.0
2008,Број,Оба пола,15-19,(А00-Б99) Заразне и паразитарне болести,1.0
2008,Број,Оба пола,15-19,(Г00-Г99) Болести нервног система,1.0
2008,Број,Оба пола,15-19,"(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности",1.0
2008,Број,Оба пола,15-19,(К00-К93) Болести дигестивног система,2.0
2008,Број,Оба пола,15-19,"(О00-О99) Трудноћа, порођај и постпорођајни период",2.0
2008,Број,Оба пола,15-19,"(Ц00-Ц97,Д00-Д48) Неоплазме",3.0
2008,Број,Оба пола,15-19,Непознато,3.0
2008,Број,Оба пола,15-19,(И00-И99) Болести циркулацијског система,8.0
2008,Број,Оба пола,15-19,"(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора",30.0
2008,Број,Оба пола,15-19,"(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани",5.0
2008,Број,M,15-19,"(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма",0.0
2008,Број,M,15-19,(Ј00-Ј99) Болести респираторног система,0.0
2008,Број,M,15-19,(Н00-Н99) Болести генитално-уринарног система,0.0
2008,Број,M,15-19,(Ф00-Ф99) Душевни поремећаји и поремећаји понашања,0.0
2008,Број,M,15-19,"(О00-О99) Трудноћа, порођај и постпорођајни период",0.0
2008,Број,M,15-19,(Х00-Х59) Болести ока,0.0
2008,Број,M,15-19,"(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система",0.0
2008,Број,M,15-19,(М00-М99) Болести мускулоскелетног система и везивног ткива,0.0
2008,Број,M,15-19,"(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности",0.0
2008,Број,M,15-19,(Л00-Л99) Болести коже и поткожног ткива,0.0
2008,Број,M,15-19,(П00-П96) Одређена стања настала у перинаталном периоду,0.0
2008,Број,M,15-19,(А00-Б99) Заразне и паразитарне болести,1.0
2008,Број,M,15-19,(Г00-Г99) Болести нервног система,1.0
